date,open,high,low,close,volume
2022-08-23,0.699,0.73,0.684,0.725,4314517.7
2022-08-24,0.725,0.741,0.708,0.723,2808555.1
2022-08-25,0.721,0.752,0.721,0.744,2917799.4
2022-08-26,0.743,0.747,0.655,0.661,4529157.6
2022-08-27,0.661,0.665,0.644,0.652,2719879.5
2022-08-28,0.652,0.67,0.63,0.631,2083741.5
2022-08-29,0.632,0.676,0.626,0.671,3810295.6
2022-08-30,0.671,0.685,0.637,0.653,2678665.9
2022-08-31,0.654,0.71,0.653,0.662,5430553.2
2022-09-01,0.663,0.672,0.636,0.668,3938830.0
2022-09-02,0.669,0.739,0.663,0.713,13301647.4
2022-09-03,0.712,0.713,0.677,0.687,2952860.2
2022-09-04,0.688,0.692,0.659,0.673,3151976.7
2022-09-05,0.672,0.677,0.649,0.663,2942877.3
2022-09-06,0.663,0.676,0.6,0.608,7050421.5
2022-09-07,0.608,0.636,0.592,0.631,3867496.4
2022-09-08,0.631,0.644,0.615,0.638,4063490.7
2022-09-09,0.639,0.678,0.638,0.657,6716877.1
2022-09-10,0.658,0.681,0.647,0.657,5024572.9
2022-09-11,0.657,0.673,0.635,0.649,4543510.3
2022-09-12,0.649,0.675,0.634,0.647,5242458.3
2022-09-13,0.647,0.658,0.59,0.594,7211523.2
2022-09-14,0.594,0.618,0.59,0.613,4604617.9
2022-09-15,0.613,0.62,0.587,0.592,4304721.5
2022-09-16,0.592,0.625,0.582,0.616,6344667.9
2022-09-17,0.617,0.63,0.609,0.627,2639980.3
2022-09-18,0.628,0.639,0.534,0.571,5400791.5
2022-09-19,0.571,0.602,0.554,0.595,6492952.3
2022-09-20,0.595,0.609,0.585,0.599,4057056.1
2022-09-21,0.6,0.609,0.553,0.562,7453229.1
2022-09-22,0.562,0.597,0.559,0.592,4236560.0
2022-09-23,0.593,0.619,0.584,0.609,5976050.6
2022-09-24,0.609,0.626,0.602,0.606,2666256.0
2022-09-25,0.606,0.627,0.591,0.6,3551515.5
2022-09-26,0.6,0.636,0.597,0.625,6851365.9
2022-09-27,0.626,0.649,0.601,0.607,7028447.5
2022-09-28,0.608,0.612,0.574,0.585,6771208.7
2022-09-29,0.586,0.595,0.573,0.585,4419603.6
2022-09-30,0.585,0.591,0.571,0.576,3867478.3
2022-10-01,0.576,0.58,0.572,0.574,1068018.4
2022-10-02,0.575,0.578,0.552,0.553,1964452.4
2022-10-03,0.553,0.576,0.544,0.573,2370154.8
2022-10-04,0.573,0.59,0.57,0.585,1721773.9
2022-10-05,0.585,0.59,0.567,0.585,2460658.2
2022-10-06,0.585,0.594,0.572,0.574,2878333.6
2022-10-07,0.575,0.658,0.572,0.614,22922676.8
2022-10-08,0.614,0.627,0.593,0.6,5983686.9
2022-10-09,0.599,0.612,0.597,0.608,2965651.3
2022-10-10,0.607,0.62,0.574,0.575,4354835.6
2022-10-11,0.577,0.577,0.558,0.563,3135898.1
2022-10-12,0.562,0.574,0.561,0.569,1589482.3
2022-10-13,0.569,0.571,0.535,0.563,10187618.7
2022-10-14,0.562,0.579,0.553,0.56,4144935.8
2022-10-15,0.561,0.569,0.556,0.562,1721052.3
2022-10-16,0.561,0.572,0.559,0.569,2099078.3
2022-10-17,0.569,0.578,0.562,0.576,2490379.5
2022-10-18,0.577,0.583,0.561,0.57,3562220.0
2022-10-19,0.57,0.583,0.557,0.566,5919072.9
2022-10-20,0.566,0.582,0.555,0.563,5379152.6
2022-10-21,0.562,0.571,0.543,0.568,7463365.8
2022-10-22,0.569,0.574,0.558,0.571,2117292.8
2022-10-23,0.571,0.581,0.559,0.58,3144344.7
2022-10-24,0.58,0.584,0.56,0.566,3315793.0
2022-10-25,0.567,0.594,0.565,0.582,4895718.2
2022-10-26,0.583,0.618,0.582,0.61,6299487.6
2022-10-27,0.609,0.623,0.592,0.595,4939785.2
2022-10-28,0.594,0.622,0.583,0.614,5449405.9
2022-10-29,0.613,0.637,0.609,0.625,6183444.3
2022-10-30,0.625,0.634,0.601,0.614,5022154.9
2022-10-31,0.614,0.647,0.604,0.612,10901029.6
2022-11-01,0.612,0.626,0.606,0.607,3059128.9
2022-11-02,0.607,0.611,0.577,0.59,4789845.9
2022-11-03,0.59,0.616,0.589,0.608,6995875.0
2022-11-04,0.608,0.653,0.605,0.653,10692416.5
2022-11-05,0.652,0.664,0.632,0.646,7098888.7
2022-11-06,0.647,0.675,0.629,0.634,9554653.4
2022-11-07,0.634,0.662,0.622,0.635,8017818.0
2022-11-08,0.634,0.64,0.516,0.555,21336126.7
2022-11-09,0.555,0.56,0.515,0.529,20840128.5
2022-11-10,0.529,0.575,0.519,0.57,26698083.4
2022-11-11,0.57,0.571,0.54,0.56,10395582.6
2022-11-12,0.56,0.56,0.497,0.508,10043993.3
2022-11-13,0.508,0.531,0.49,0.521,11158675.2
2022-11-14,0.521,0.525,0.473,0.516,10876604.0
2022-11-15,0.515,0.544,0.508,0.531,5465781.4
2022-11-16,0.531,0.544,0.513,0.522,4315717.0
2022-11-17,0.523,0.526,0.504,0.516,44063424.4
2022-11-18,0.516,0.535,0.515,0.529,3184551.2
2022-11-19,0.529,0.548,0.518,0.538,3569148.7
2022-11-20,0.538,0.541,0.502,0.504,2331726.4
2022-11-21,0.504,0.509,0.489,0.503,4028140.1
2022-11-22,0.502,0.538,0.5,0.537,4627309.0
2022-11-23,0.538,0.547,0.529,0.546,3182885.8
2022-11-24,0.546,0.548,0.522,0.527,2778949.1
2022-11-25,0.528,0.528,0.512,0.518,2078930.6
2022-11-26,0.517,0.527,0.514,0.52,1875382.6
2022-11-27,0.519,0.563,0.515,0.52,7961920.0
