date,open,high,low,close,volume
2022-08-23,88.5,91.2,85.1,89.4,167019.009
2022-08-24,89.5,91.9,86.8,88.5,114060.905
2022-08-25,88.5,95.8,87.7,93.2,180095.58
2022-08-26,93.2,94.2,81.8,82.8,221902.31
2022-08-27,82.7,83.6,80.4,82.0,129020.116
2022-08-28,82.1,83.6,78.2,78.6,103340.6
2022-08-29,78.6,86.2,78.0,85.8,111809.624
2022-08-30,85.7,88.1,81.4,84.5,155436.215
2022-08-31,84.5,88.8,84.3,84.8,136119.452
2022-09-01,84.8,87.0,82.0,86.4,100488.442
2022-09-02,86.5,92.1,84.8,88.4,148802.317
2022-09-03,88.3,88.7,85.7,87.1,58850.791
2022-09-04,87.2,89.0,85.8,88.8,53304.276
2022-09-05,88.9,91.8,86.7,91.1,72817.196
2022-09-06,91.2,93.8,83.0,83.6,176542.931
2022-09-07,83.6,89.3,82.0,87.5,121689.189
2022-09-08,87.5,90.0,85.5,88.2,91022.421
2022-09-09,88.3,94.1,88.2,91.2,116375.442
2022-09-10,91.2,94.0,89.7,92.7,115100.573
2022-09-11,92.7,94.5,89.2,91.6,148221.062
2022-09-12,91.5,97.0,89.3,90.9,213336.765
2022-09-13,91.0,93.8,82.3,83.0,422344.918
2022-09-14,82.9,86.0,81.1,83.7,192224.332
2022-09-15,83.7,84.2,77.7,78.5,214634.37
2022-09-16,78.6,80.5,77.2,79.3,129579.455
2022-09-17,79.4,81.7,79.1,81.4,54439.15
2022-09-18,81.4,82.0,70.7,73.0,133739.125
2022-09-19,73.1,77.0,70.7,76.4,159042.066
2022-09-20,76.3,77.2,73.7,74.0,95897.764
2022-09-21,74.1,79.6,70.4,71.6,171833.493
2022-09-22,71.6,77.7,71.5,76.7,96991.203
2022-09-23,76.7,78.8,72.8,77.1,89220.265
2022-09-24,77.0,77.4,74.6,75.0,48703.744
2022-09-25,74.9,77.6,72.7,73.6,46457.151
2022-09-26,73.6,76.6,72.6,76.2,92569.996
2022-09-27,76.2,80.9,74.6,76.6,112577.46
2022-09-28,76.7,78.1,73.0,76.8,126074.5
2022-09-29,76.9,77.6,74.3,76.9,62809.833
2022-09-30,77.0,78.0,73.7,74.6,87081.019
2022-10-01,74.6,76.1,73.9,74.5,60557.732
2022-10-02,74.5,75.9,72.1,72.6,90772.121
2022-10-03,72.6,76.2,71.8,75.5,69920.296
2022-10-04,75.6,79.8,75.5,78.9,67929.104
2022-10-05,78.9,79.2,75.8,78.8,58332.845
2022-10-06,78.8,80.4,77.2,77.5,77223.946
2022-10-07,77.4,78.3,75.0,75.8,53599.961
2022-10-08,75.7,76.2,73.9,74.6,22752.315
2022-10-09,74.6,76.1,74.2,75.5,23731.376
2022-10-10,75.5,76.5,73.3,73.6,31014.762
2022-10-11,73.5,73.6,71.2,71.4,50595.162
2022-10-12,71.4,72.8,71.1,71.6,32958.909
2022-10-13,71.5,72.0,64.7,71.0,168837.39
2022-10-14,71.0,74.7,70.8,72.9,90460.559
2022-10-15,72.9,73.4,71.4,71.9,26605.732
2022-10-16,71.8,76.3,71.8,75.8,45262.259
