date,open,high,low,close,volume
2022-08-23,4.975,5.275,4.851,5.224,1150478.3
2022-08-24,5.223,5.225,4.82,4.876,609104.9
2022-08-25,4.879,4.99,4.673,4.682,358500.0
2022-08-26,4.683,4.697,4.065,4.124,529810.6
2022-08-27,4.123,4.272,3.879,4.212,485973.4
2022-08-28,4.213,4.559,3.982,3.998,603473.5
2022-08-29,3.999,4.248,3.995,4.177,272787.0
2022-08-30,4.179,4.377,4.04,4.099,680838.8
2022-08-31,4.104,4.563,4.104,4.337,1025234.5
2022-09-01,4.335,4.629,4.189,4.31,631095.6
2022-09-02,4.315,4.499,4.208,4.42,568945.1
2022-09-03,4.416,4.692,4.335,4.492,888808.1
2022-09-04,4.492,4.578,4.349,4.41,268084.8
2022-09-05,4.415,4.46,4.288,4.31,343209.7
2022-09-06,4.31,4.437,3.933,3.962,470313.0
2022-09-07,3.962,4.151,3.94,4.093,413420.1
2022-09-08,4.101,4.141,3.994,4.056,230431.0
2022-09-09,4.055,4.28,4.049,4.223,342921.3
2022-09-10,4.22,4.306,4.189,4.296,285300.6
2022-09-11,4.3,4.568,4.252,4.405,578867.1
2022-09-12,4.408,4.48,4.137,4.238,347223.4
2022-09-13,4.238,4.314,3.99,4.082,498624.6
2022-09-14,4.081,4.162,3.747,3.938,349008.3
2022-09-15,3.936,3.942,3.672,3.752,375892.0
2022-09-16,3.753,3.985,3.666,3.867,424542.1
2022-09-17,3.866,3.998,3.866,3.989,134845.9
2022-09-18,3.984,4.112,3.666,3.699,288005.2
2022-09-19,3.703,3.819,3.515,3.746,289478.2
2022-09-20,3.749,3.797,3.593,3.631,158165.4
2022-09-21,3.631,3.759,3.518,3.588,182962.3
2022-09-22,3.578,3.85,3.56,3.814,224907.9
2022-09-23,3.814,4.644,3.814,4.236,1667121.0
2022-09-24,4.234,4.236,3.9,3.917,467835.5
2022-09-25,3.917,4.19,3.911,3.981,644552.9
2022-09-26,3.997,4.064,3.722,3.902,401839.8
2022-09-27,3.908,3.993,3.805,3.933,273501.2
2022-09-28,3.929,3.976,3.73,3.863,347855.9
2022-09-29,3.868,3.96,3.813,3.906,227857.2
2022-09-30,3.906,3.99,3.85,3.882,160298.5
2022-10-01,3.881,3.971,3.836,3.867,103890.2
2022-10-02,3.871,3.894,3.594,3.642,191768.2
2022-10-03,3.644,3.799,3.606,3.764,183955.9
2022-10-04,3.765,3.863,3.707,3.767,259537.9
2022-10-05,3.771,3.801,3.66,3.692,175805.5
2022-10-06,3.692,3.952,3.666,3.738,270912.3
2022-10-07,3.738,3.84,3.683,3.707,222935.9
2022-10-08,3.708,3.776,3.687,3.706,67925.6
2022-10-09,3.705,3.749,3.673,3.707,59109.3
2022-10-10,3.699,3.732,3.302,3.324,283045.7
2022-10-11,3.324,3.349,3.137,3.254,299880.4
2022-10-12,3.254,3.271,3.122,3.141,137478.6
2022-10-13,3.139,3.179,2.845,3.097,408233.9
2022-10-14,3.096,3.249,3.037,3.062,230802.5
2022-10-15,3.064,3.103,3.001,3.058,90462.6
2022-10-16,3.064,3.2,3.058,3.165,134754.0
2022-10-17,3.161,3.24,3.104,3.168,135402.9
2022-10-18,3.173,3.252,3.103,3.169,98585.6
2022-10-19,3.169,3.178,2.994,3.043,116307.7
2022-10-20,3.042,3.063,2.946,2.964,131538.9
2022-10-21,2.965,3.078,2.809,3.038,253275.0
2022-10-22,3.045,3.12,2.968,3.013,109370.8
2022-10-23,3.013,3.068,2.972,3.046,83395.1
2022-10-24,3.047,3.181,2.97,3.061,201555.2
2022-10-25,3.062,3.202,3.051,3.18,333148.7
2022-10-26,3.18,3.365,3.151,3.267,322834.8
2022-10-27,3.273,3.35,3.172,3.18,151805.9
2022-10-28,3.174,3.243,3.058,3.209,156846.8
2022-10-29,3.216,3.266,3.163,3.195,161846.8
2022-10-30,3.194,3.5,3.173,3.313,633391.3
2022-10-31,3.314,3.392,3.126,3.297,412289.7
2022-11-01,3.297,3.42,3.226,3.275,225712.0
2022-11-02,3.276,3.306,3.11,3.218,292651.3
2022-11-03,3.211,3.287,3.153,3.191,357463.3
2022-11-04,3.187,3.329,3.162,3.296,254032.8
2022-11-05,3.299,3.529,3.22,3.384,883401.0
2022-11-06,3.377,3.558,3.304,3.334,725749.5
2022-11-07,3.332,3.483,3.182,3.307,453727.0
2022-11-08,3.307,3.345,2.487,2.863,1182355.6
2022-11-09,2.862,2.873,2.114,2.217,727688.5
2022-11-10,2.224,2.72,2.184,2.621,502186.2
2022-11-11,2.615,2.699,2.349,2.539,319861.2
2022-11-12,2.538,2.596,2.25,2.39,311016.6
2022-11-13,2.394,3.5,2.101,2.422,1429921.0
2022-11-14,2.429,2.555,2.244,2.449,396468.0
2022-11-15,2.449,2.878,2.433,2.694,756212.6
2022-11-16,2.694,2.854,2.55,2.718,743197.4
2022-11-17,2.718,2.867,2.59,2.777,627904.9
2022-11-18,2.777,3.25,2.75,3.022,1014063.8
2022-11-19,3.022,3.034,2.755,2.801,455433.1
2022-11-20,2.801,2.905,2.509,2.528,731675.2
2022-11-21,2.527,2.575,2.364,2.416,405863.6
2022-11-22,2.417,2.557,2.333,2.478,392646.0
2022-11-23,2.481,2.594,2.43,2.526,238127.0
2022-11-24,2.527,2.538,2.401,2.486,212131.4
2022-11-25,2.488,2.84,2.388,2.618,759673.5
2022-11-26,2.619,2.78,2.55,2.586,508079.1
2022-11-27,2.587,2.632,2.366,2.511,267198.7
2022-11-28,2.511,2.521,2.389,2.485,218660.7
2022-11-29,2.489,2.736,2.489,2.641,516043.1
2022-11-30,2.642,2.684,2.557,2.644,317404.1
2022-12-01,2.642,2.692,2.595,2.646,190554.0
2022-12-02,2.646,2.73,2.606,2.697,191551.1
2022-12-03,2.697,2.718,2.613,2.625,129297.7
2022-12-04,2.627,2.679,2.575,2.629,154965.8
2022-12-05,2.63,2.66,2.585,2.63,78559.6
2022-12-06,2.629,2.635,2.586,2.623,84784.9
2022-12-07,2.624,2.624,2.516,2.567,72908.8
2022-12-08,2.567,2.6,2.504,2.573,71377.1
2022-12-09,2.575,2.611,2.546,2.592,88347.1
2022-12-10,2.592,2.618,2.541,2.576,73972.7
2022-12-11,2.576,2.603,2.491,2.501,56718.3
2022-12-12,2.501,2.501,2.4,2.456,135833.8
2022-12-13,2.456,2.519,2.342,2.444,225212.4
2022-12-14,2.444,2.55,2.404,2.532,182664.4
2022-12-15,2.532,2.595,2.42,2.434,250572.3
2022-12-16,2.435,2.46,2.255,2.261,202469.2
2022-12-17,2.263,2.406,2.192,2.334,176521.1
2022-12-18,2.339,2.434,2.266,2.327,265361.9
2022-12-19,2.327,2.355,2.216,2.227,129559.7
2022-12-20,2.227,2.343,2.227,2.326,74227.3
2022-12-21,2.326,2.337,2.259,2.311,100685.6
2022-12-22,2.312,2.331,2.26,2.307,67121.7
2022-12-23,2.308,2.381,2.295,2.34,97161.4
2022-12-24,2.34,2.534,2.337,2.365,258666.9
2022-12-25,2.364,2.387,2.316,2.339,79210.8
2022-12-26,2.34,2.352,2.332,2.346,30469.5
2022-12-27,2.348,2.37,2.318,2.345,57076.1
2022-12-28,2.345,2.354,2.278,2.288,75543.2
2022-12-29,2.286,2.35,2.269,2.308,64928.1
2022-12-30,2.302,2.33,2.263,2.291,70343.7
2022-12-31,2.289,2.313,2.273,2.302,56447.5
2023-01-01,2.302,2.329,2.284,2.325,60092.9
2023-01-02,2.324,2.367,2.302,2.351,76021.4
2023-01-03,2.351,2.413,2.324,2.396,125175.8
2023-01-04,2.396,2.447,2.379,2.434,118780.9
2023-01-05,2.435,2.958,2.388,2.617,2460765.7
2023-01-06,2.616,2.661,2.479,2.548,302314.6
2023-01-07,2.549,2.59,2.526,2.544,105655.7
2023-01-08,2.544,2.585,2.508,2.52,157686.7
2023-01-09,2.52,2.589,2.51,2.528,237825.3
2023-01-10,2.528,2.599,2.508,2.56,189651.6
2023-01-11,2.566,2.593,2.518,2.575,108848.1
2023-01-12,2.579,2.588,2.51,2.561,119865.0
2023-01-13,2.557,2.662,2.544,2.61,165291.7
2023-01-14,2.608,3.2,2.605,2.834,1441562.6
2023-01-15,2.836,3.29,2.771,3.062,989610.4
2023-01-16,3.055,3.44,2.94,2.965,1162198.4
2023-01-17,2.971,3.054,2.927,2.949,271924.4
2023-01-18,2.948,3.0,2.7,2.711,329807.9
2023-01-19,2.711,2.895,2.68,2.813,174276.8
2023-01-20,2.813,3.031,2.77,2.952,502439.7
2023-01-21,2.952,3.008,2.9,2.9,256341.1
2023-01-22,2.901,2.99,2.861,2.939,213769.9
2023-01-23,2.938,3.033,2.9,2.967,206164.6
2023-01-24,2.964,3.014,2.755,2.793,230139.9
2023-01-25,2.786,2.918,2.712,2.842,399009.1
2023-01-26,2.842,2.879,2.818,2.838,109129.0
2023-01-27,2.836,2.865,2.785,2.836,119418.3
2023-01-28,2.836,2.882,2.813,2.865,127162.5
2023-01-29,2.86,2.913,2.83,2.846,234970.9
2023-01-30,2.846,2.851,2.662,2.696,213365.1
2023-01-31,2.687,2.762,2.68,2.713,99936.5
2023-02-01,2.71,2.758,2.629,2.745,155986.8
2023-02-02,2.747,2.815,2.724,2.755,180791.8
2023-02-03,2.756,2.855,2.737,2.823,153035.7
2023-02-04,2.826,2.85,2.806,2.813,110861.7
2023-02-05,2.813,2.843,2.7,2.739,116751.6
2023-02-06,2.738,2.831,2.7,2.773,172034.8
2023-02-07,2.773,2.924,2.76,2.902,310245.3
2023-02-08,2.906,3.25,2.849,3.047,1014534.2
2023-02-09,3.048,3.25,2.812,2.826,769119.4
2023-02-10,2.83,3.09,2.809,2.87,450913.0
2023-02-11,2.877,3.212,2.877,3.073,599939.2
2023-02-12,3.078,3.177,2.951,2.997,257609.9
2023-02-13,3.005,3.08,2.858,2.949,238565.1
2023-02-14,2.951,3.098,2.925,3.034,370033.0
2023-02-15,3.038,3.07,2.948,3.056,300562.2
2023-02-16,3.052,3.08,2.864,2.885,437775.2
2023-02-17,2.882,2.991,2.878,2.979,138137.3
2023-02-18,2.981,3.003,2.952,2.967,122789.7
2023-02-19,2.964,3.024,2.935,2.978,204707.2
2023-02-20,2.978,3.028,2.911,2.952,250632.9
2023-02-21,2.952,3.015,2.873,2.907,225497.4
2023-02-22,2.91,2.939,2.829,2.903,156558.6
2023-02-23,2.904,2.935,2.845,2.876,118845.8
2023-02-24,2.87,2.946,2.793,2.85,232190.2
2023-02-25,2.85,3.033,2.76,2.814,507439.4
2023-02-26,2.814,2.85,2.78,2.821,81102.1
2023-02-27,2.825,2.846,2.772,2.81,103604.6
2023-02-28,2.811,2.825,2.722,2.734,70601.0
2023-03-01,2.733,2.823,2.722,2.79,102154.1
2023-03-02,2.791,2.794,2.724,2.756,81905.6
2023-03-03,2.755,2.759,2.186,2.634,222150.8
2023-03-04,2.63,2.682,2.547,2.577,99360.9
2023-03-05,2.577,2.645,2.563,2.567,78076.2
2023-03-06,2.566,2.618,2.535,2.594,96238.5
2023-03-07,2.594,2.64,2.512,2.587,130256.1
2023-03-08,2.588,2.705,2.529,2.548,418574.5
2023-03-09,2.552,2.632,2.353,2.417,211927.1
2023-03-10,2.414,2.46,2.312,2.444,173869.8
2023-03-11,2.444,2.449,2.342,2.424,128609.7
2023-03-12,2.418,2.52,2.365,2.499,122421.1
2023-03-13,2.501,2.561,2.428,2.486,247321.7
2023-03-14,2.488,2.592,2.444,2.535,297836.5
2023-03-15,2.532,2.58,2.444,2.485,274945.3
2023-03-16,2.486,2.505,2.43,2.491,88046.0
2023-03-17,2.493,2.582,2.468,2.582,153068.8
2023-03-18,2.582,2.617,2.51,2.537,142258.6
2023-03-19,2.538,2.602,2.52,2.526,105354.9
2023-03-20,2.527,2.542,2.454,2.465,105779.5
2023-03-21,2.467,2.498,2.411,2.458,82177.9
2023-03-22,2.463,2.476,2.288,2.372,106124.8
2023-03-23,2.374,2.485,2.361,2.443,66121.2
2023-03-24,2.448,2.526,2.356,2.459,224912.8
2023-03-25,2.461,2.503,2.386,2.419,124573.1
2023-03-26,2.423,2.457,2.409,2.428,51401.1
2023-03-27,2.429,2.438,2.35,2.371,77364.0
2023-03-28,2.374,2.43,2.35,2.409,61192.7
2023-03-29,2.409,2.467,2.407,2.454,77288.3
