date,open,high,low,close,volume
2022-08-23,0.1594,0.1651,0.1569,0.163,5156350.0
2022-08-24,0.163,0.1857,0.1605,0.1653,12736405.0
2022-08-25,0.1653,0.1704,0.1633,0.1641,5841659.0
2022-08-26,0.164,0.1659,0.1537,0.1544,10204168.0
2022-08-27,0.1543,0.2113,0.1516,0.1588,70137909.0
2022-08-28,0.159,0.1605,0.1535,0.1543,9677227.0
2022-08-29,0.1543,0.1605,0.1525,0.1587,6065951.0
2022-08-30,0.1587,0.1629,0.152,0.1539,6879108.0
2022-08-31,0.154,0.1581,0.154,0.1556,4514975.0
2022-09-01,0.1556,0.1634,0.1534,0.1602,20151626.0
2022-09-02,0.1602,0.1621,0.155,0.1559,7056750.0
2022-09-03,0.156,0.158,0.1549,0.1567,2901944.0
2022-09-04,0.1566,0.1585,0.155,0.1584,2282880.0
2022-09-05,0.1584,0.1587,0.1551,0.1565,2571808.0
2022-09-06,0.1566,0.1625,0.1494,0.1495,6863532.0
2022-09-07,0.1495,0.157,0.147,0.1554,4244282.0
2022-09-08,0.1556,0.1619,0.1536,0.1589,7651998.0
2022-09-09,0.1588,0.1711,0.1588,0.1706,9415280.0
2022-09-10,0.1705,0.1709,0.1663,0.1699,5116710.0
2022-09-11,0.1698,0.191,0.1676,0.1722,25301622.0
2022-09-12,0.1724,0.1803,0.1701,0.174,7455653.0
2022-09-13,0.174,0.1793,0.1582,0.1585,12190874.0
2022-09-14,0.1584,0.164,0.1561,0.1627,12297099.0
2022-09-15,0.1627,0.1689,0.1571,0.1597,16651609.0
2022-09-16,0.1598,0.162,0.1546,0.157,8765216.0
2022-09-17,0.157,0.167,0.1569,0.1644,6008704.0
2022-09-18,0.1644,0.1793,0.1565,0.157,20395330.0
2022-09-19,0.1575,0.167,0.1484,0.1586,6462939.0
2022-09-20,0.1586,0.1798,0.1558,0.1594,20019294.0
2022-09-21,0.1592,0.182,0.1583,0.1628,20024317.0
2022-09-22,0.1628,0.168,0.1611,0.1656,9819645.0
2022-09-23,0.1656,0.1716,0.1576,0.1632,11841999.0
2022-09-24,0.1631,0.1661,0.161,0.1626,4035650.0
2022-09-25,0.1627,0.1719,0.1626,0.1675,6646239.0
2022-09-26,0.1673,0.1798,0.1633,0.1718,11119082.0
2022-09-27,0.1719,0.1777,0.1663,0.1669,9000856.0
2022-09-28,0.1668,0.1683,0.1613,0.1673,9175153.0
2022-09-29,0.1674,0.1707,0.1648,0.1685,5502108.0
