date,open,high,low,close,volume
2023-12-04,1.0875,1.305,1.0799,1.0833,3880913.7
2023-12-05,1.0833,3.25,1.066,2.8892,14296157.7
2023-12-08,1.0774,3.5,1.0724,1.0736,32328149.1
2023-12-09,1.0735,1.0757,1.0717,1.0733,6821309.1
2023-12-10,1.0733,1.0759,1.0729,1.0755,3712388.0
2023-12-11,1.0757,1.077,1.0612,1.0746,4430413.7
2023-12-12,1.0746,1.0816,1.0745,1.0795,1784636.7
2023-12-13,1.0795,1.0895,1.0759,1.0856,4006181.5
2023-12-14,1.0856,1.102,1.0852,1.0988,2268300.4
2023-12-15,1.0988,1.0995,1.0872,1.0884,1101729.2
2023-12-16,1.0884,1.094,1.0854,1.0902,1257590.5
2023-12-17,1.0902,1.1284,1.0834,1.0901,3212056.4
2023-12-18,1.0901,1.0943,1.088,1.0916,662031.2
2023-12-19,1.0923,1.0991,1.0915,1.0974,972653.4
2023-12-20,1.0974,1.098,1.0929,1.0939,1096017.2
2023-12-21,1.094,1.101,1.0929,1.1,1040780.8
2023-12-22,1.1002,1.1027,1.0978,1.098,598095.8
2023-12-23,1.0979,1.0995,1.0918,1.0947,536543.2
2023-12-24,1.0934,1.097,1.087,1.092,1132900.8
2023-12-25,1.092,1.098,1.087,1.0975,1216697.2
2023-12-26,1.0975,1.1041,1.0967,1.1021,477611.5
2023-12-27,1.1021,1.112,1.1002,1.1086,650809.4
2023-12-28,1.1086,1.1119,1.1,1.1036,622259.3
2023-12-29,1.1036,1.1065,1.1,1.1001,719303.8
2023-12-30,1.1001,1.1033,1.0979,1.1001,244692.6
2023-12-31,1.0984,1.1042,1.0972,1.1019,280424.2
2024-01-01,1.1019,1.103,1.0954,1.1011,341916.8
2024-01-02,1.1026,1.1031,1.09,1.0924,633748.8
2024-01-03,1.093,1.0953,1.0738,1.0875,3304981.3
2024-01-04,1.0875,1.0952,1.0845,1.0914,711508.7
2024-01-05,1.0914,1.098,1.0832,1.0903,675151.1
2024-01-06,1.0909,1.0911,1.0873,1.09,145148.0
2024-01-07,1.09,1.0934,1.0865,1.0901,232354.4
2024-01-08,1.0908,1.097,1.0885,1.0933,1478059.6
2024-01-09,1.0929,1.095,1.088,1.0914,841248.7
2024-01-10,1.0922,1.0963,1.0903,1.0958,342990.1
2024-01-11,1.0958,1.0976,1.0904,1.0965,642323.1
2024-01-12,1.0964,1.0976,1.089,1.0919,3763477.3
2024-01-13,1.0919,1.0928,1.0891,1.091,309466.3
2024-01-14,1.0911,1.0946,1.0891,1.0933,951959.2
2024-01-15,1.0937,1.096,1.091,1.0941,611315.3
2024-01-16,1.0941,1.0942,1.0859,1.0877,587615.4
2024-01-17,1.0877,1.088,1.084,1.088,322221.6
2024-01-18,1.088,1.0908,1.0844,1.0876,435350.6
2024-01-19,1.0877,1.0903,1.0866,1.0894,333508.3
2024-01-20,1.0896,1.0905,1.0866,1.0883,617775.4
2024-01-21,1.0883,1.0889,1.0863,1.0879,150649.7
2024-01-22,1.0881,1.0913,1.0876,1.088,391909.8
2024-01-23,1.088,1.0917,1.0828,1.0855,320557.3
2024-01-24,1.0853,1.0932,1.0847,1.0882,609400.8
2024-01-25,1.0879,1.09,1.0821,1.0842,329967.8
2024-01-26,1.0842,1.0877,1.0811,1.0849,468076.8
2024-01-27,1.0849,1.0853,1.0825,1.0829,313998.1
2024-01-28,1.0829,1.0847,1.0825,1.0836,395885.0
2024-01-29,1.0836,1.084,1.079,1.083,381177.8
