date,open,high,low,close,volume
2022-08-23,0.384,0.387,0.368,0.383,995763.0
2022-08-24,0.384,0.389,0.369,0.373,1818782.9
2022-08-25,0.374,0.385,0.371,0.375,1336979.6
2022-08-26,0.376,0.378,0.337,0.34,2362323.1
2022-08-27,0.34,0.372,0.338,0.347,3044298.0
2022-08-28,0.348,0.353,0.325,0.326,1612377.4
2022-08-29,0.326,0.351,0.322,0.35,2397399.0
2022-08-30,0.35,0.361,0.326,0.333,3148142.5
2022-08-31,0.334,0.386,0.334,0.347,7407612.7
2022-09-01,0.346,0.349,0.333,0.345,1836367.8
2022-09-02,0.346,0.365,0.342,0.35,2216063.8
2022-09-03,0.35,0.399,0.345,0.366,8318067.0
2022-09-04,0.366,0.371,0.353,0.358,2238461.9
2022-09-05,0.358,0.377,0.349,0.374,2321673.6
2022-09-06,0.374,0.442,0.37,0.432,12007743.4
2022-09-07,0.433,0.469,0.394,0.42,14198987.7
2022-09-08,0.42,0.424,0.399,0.404,3131442.5
2022-09-09,0.404,0.434,0.404,0.415,3344026.0
2022-09-10,0.415,0.43,0.413,0.419,1503907.4
2022-09-11,0.419,0.437,0.408,0.425,2177269.6
2022-09-12,0.425,0.427,0.397,0.408,2062764.7
2022-09-13,0.408,0.476,0.399,0.401,10857239.4
2022-09-14,0.401,0.405,0.367,0.378,3389464.0
2022-09-15,0.377,0.378,0.35,0.357,2572310.9
2022-09-16,0.357,0.361,0.338,0.346,3395284.8
2022-09-17,0.346,0.359,0.345,0.357,1002407.5
2022-09-18,0.357,0.358,0.311,0.315,1935524.1
2022-09-19,0.316,0.328,0.305,0.326,1930431.0
2022-09-20,0.325,0.327,0.307,0.311,2196763.5
2022-09-21,0.31,0.329,0.3,0.306,2683866.6
2022-09-22,0.306,0.327,0.306,0.322,1676176.3
2022-09-23,0.322,0.33,0.31,0.319,1499030.6
2022-09-24,0.32,0.346,0.318,0.319,2418406.8
2022-09-25,0.32,0.355,0.319,0.335,3234219.8
2022-09-26,0.334,0.343,0.315,0.327,2470972.5
2022-09-27,0.326,0.338,0.314,0.318,1900796.5
2022-09-28,0.318,0.322,0.304,0.317,2108678.9
2022-09-29,0.317,0.328,0.312,0.324,4276583.5
2022-09-30,0.325,0.338,0.316,0.322,6386394.0
2022-10-01,0.321,0.332,0.316,0.318,3865626.7
2022-10-02,0.318,0.326,0.311,0.315,1428782.0
2022-10-03,0.316,0.323,0.308,0.321,1348582.9
2022-10-04,0.321,0.332,0.319,0.331,1264648.5
2022-10-05,0.331,0.354,0.321,0.33,5723819.2
2022-10-06,0.329,0.354,0.329,0.337,4883551.9
2022-10-07,0.337,0.34,0.325,0.329,1390984.9
2022-10-08,0.33,0.33,0.32,0.325,1258685.9
2022-10-09,0.325,0.332,0.315,0.324,4698266.0
2022-10-10,0.323,0.326,0.31,0.313,3493135.0
2022-10-11,0.312,0.326,0.308,0.314,2619389.4
2022-10-12,0.314,0.318,0.31,0.316,1079264.1
2022-10-13,0.316,0.319,0.289,0.309,2329579.3
2022-10-14,0.309,0.315,0.302,0.307,1691256.1
2022-10-15,0.308,0.337,0.305,0.311,3008589.3
2022-10-16,0.31,0.339,0.31,0.328,3712263.6
2022-10-17,0.327,0.335,0.315,0.322,3980753.5
2022-10-18,0.322,0.326,0.31,0.311,1691996.5
2022-10-19,0.311,0.315,0.303,0.304,1627308.9
2022-10-20,0.304,0.312,0.302,0.306,1072164.6
2022-10-21,0.307,0.312,0.297,0.31,902442.4
2022-10-22,0.31,0.325,0.306,0.309,3233767.1
2022-10-23,0.309,0.314,0.306,0.311,1140077.2
2022-10-24,0.312,0.32,0.306,0.314,1555738.5
2022-10-25,0.313,0.324,0.309,0.32,2219023.3
2022-10-26,0.32,0.33,0.319,0.321,1919696.1
2022-10-27,0.322,0.332,0.312,0.313,1720390.8
2022-10-28,0.313,0.323,0.307,0.32,1286629.7
2022-10-29,0.32,0.355,0.319,0.343,5360031.4
2022-10-30,0.343,0.377,0.333,0.338,7831662.1
2022-10-31,0.338,0.344,0.328,0.338,3039477.6
2022-11-01,0.338,0.344,0.329,0.33,1006752.5
2022-11-02,0.33,0.342,0.324,0.334,3290353.0
2022-11-03,0.334,0.392,0.332,0.365,7451129.4
2022-11-04,0.364,0.403,0.347,0.371,9500297.3
2022-11-05,0.371,0.451,0.37,0.374,9088526.9
2022-11-06,0.374,0.383,0.349,0.35,2572978.5
2022-11-07,0.35,0.372,0.334,0.344,5177499.4
2022-11-08,0.343,0.348,0.275,0.291,10368743.6
2022-11-09,0.291,0.292,0.206,0.211,6752297.0
2022-11-10,0.211,0.264,0.208,0.257,4441430.8
2022-11-11,0.257,0.268,0.238,0.247,4949575.5
2022-11-12,0.248,0.254,0.235,0.246,2498723.0
2022-11-13,0.245,0.257,0.236,0.24,1868840.7
2022-11-14,0.239,0.242,0.224,0.234,3263522.3
2022-11-15,0.234,0.255,0.232,0.254,2589920.5
2022-11-16,0.253,0.257,0.236,0.244,1799457.3
2022-11-17,0.244,0.247,0.236,0.24,914275.2
2022-11-18,0.239,0.245,0.236,0.241,624778.9
2022-11-19,0.241,0.246,0.236,0.241,1591815.9
2022-11-20,0.241,0.269,0.241,0.245,5693567.0
2022-11-21,0.244,0.255,0.232,0.238,5015438.8
2022-11-22,0.238,0.246,0.228,0.243,1473121.4
2022-11-23,0.244,0.261,0.241,0.257,4087486.2
2022-11-24,0.258,0.263,0.244,0.251,2563725.0
2022-11-25,0.251,0.263,0.243,0.256,4240403.3
2022-11-26,0.257,0.264,0.249,0.254,3549113.3
2022-11-27,0.253,0.289,0.253,0.263,7709266.8
2022-11-28,0.263,0.267,0.246,0.256,2678777.3
2022-11-29,0.256,0.272,0.254,0.267,4191121.2
2022-11-30,0.267,0.317,0.267,0.292,13751014.7
2022-12-01,0.292,0.293,0.272,0.276,3557218.4
2022-12-02,0.275,0.285,0.268,0.278,2937802.7
2022-12-03,0.279,0.284,0.271,0.272,1812809.8
2022-12-04,0.271,0.303,0.271,0.275,8135102.5
2022-12-05,0.276,0.372,0.275,0.322,23912820.1
2022-12-06,0.321,0.387,0.316,0.322,21525128.7
2022-12-07,0.322,0.324,0.3,0.301,4217491.1
2022-12-08,0.301,0.397,0.298,0.34,15384875.6
2022-12-09,0.34,0.365,0.324,0.33,5740945.3
2022-12-10,0.33,0.337,0.301,0.312,5163825.0
2022-12-11,0.311,0.317,0.307,0.308,2783805.1
2022-12-12,0.307,0.311,0.289,0.299,5117893.2
2022-12-13,0.299,0.304,0.282,0.294,3327075.0
2022-12-14,0.294,0.297,0.28,0.289,2016925.6
2022-12-15,0.289,0.294,0.282,0.289,1426152.0
2022-12-16,0.29,0.297,0.24,0.247,2630176.7
2022-12-17,0.247,0.265,0.239,0.264,2001224.2
2022-12-18,0.265,0.265,0.256,0.256,867399.8
2022-12-19,0.256,0.28,0.247,0.25,3423471.8
2022-12-20,0.251,0.283,0.25,0.27,2604317.8
2022-12-21,0.27,0.292,0.262,0.279,2937904.1
2022-12-22,0.279,0.279,0.269,0.277,1229809.9
2022-12-23,0.278,0.281,0.273,0.275,1064805.2
2022-12-24,0.274,0.282,0.274,0.281,385068.1
2022-12-25,0.281,0.282,0.266,0.269,919155.7
2022-12-26,0.27,0.272,0.267,0.27,655573.0
2022-12-27,0.27,0.271,0.26,0.264,473233.1
2022-12-28,0.264,0.264,0.252,0.259,936266.6
2022-12-29,0.26,0.269,0.258,0.265,810575.7
2022-12-30,0.266,0.267,0.258,0.263,704979.8
2022-12-31,0.264,0.284,0.261,0.275,2422386.9
2023-01-01,0.275,0.29,0.27,0.273,2520657.9
2023-01-02,0.274,0.278,0.267,0.274,1087416.0
2023-01-03,0.274,0.275,0.268,0.274,752810.4
2023-01-04,0.275,0.283,0.271,0.274,1513414.3
2023-01-05,0.275,0.28,0.27,0.271,940636.2
2023-01-06,0.27,0.274,0.261,0.273,976277.4
2023-01-07,0.273,0.275,0.265,0.266,1004685.2
2023-01-08,0.265,0.275,0.262,0.274,823822.9
2023-01-09,0.274,0.287,0.27,0.272,1955693.1
2023-01-10,0.273,0.286,0.272,0.283,1393470.5
2023-01-11,0.283,0.295,0.275,0.288,1616825.5
2023-01-12,0.288,0.294,0.279,0.292,1716076.3
2023-01-13,0.291,0.321,0.29,0.312,2337002.3
2023-01-14,0.311,0.335,0.306,0.318,2902325.3
2023-01-15,0.318,0.333,0.306,0.323,1440536.5
2023-01-16,0.322,0.346,0.309,0.332,3541811.5
2023-01-17,0.332,0.342,0.322,0.323,1924161.0
2023-01-18,0.323,0.33,0.286,0.289,2795805.0
2023-01-19,0.29,0.309,0.289,0.303,1155366.6
2023-01-20,0.304,0.334,0.301,0.334,1703730.6
2023-01-21,0.335,0.339,0.319,0.32,1508851.7
2023-01-22,0.32,0.345,0.317,0.324,1461124.5
2023-01-23,0.324,0.357,0.322,0.341,2930692.2
2023-01-24,0.34,0.347,0.301,0.307,2932458.8
2023-01-25,0.307,0.314,0.3,0.307,5060561.9
2023-01-26,0.307,0.318,0.303,0.314,4155123.2
2023-01-27,0.315,0.341,0.3,0.321,5415647.3
2023-01-28,0.321,0.338,0.306,0.308,4919920.5
2023-01-29,0.308,0.358,0.307,0.354,9842983.0
2023-01-30,0.353,0.42,0.322,0.332,22755458.7
2023-01-31,0.332,0.354,0.325,0.337,5755233.5
2023-02-01,0.338,0.421,0.333,0.392,23889575.5
2023-02-02,0.391,0.414,0.38,0.412,9904442.9
2023-02-03,0.411,0.446,0.38,0.4,9818403.1
2023-02-04,0.401,0.404,0.381,0.384,3092662.0
2023-02-05,0.383,0.388,0.356,0.363,3217293.9
2023-02-06,0.363,0.388,0.356,0.369,3294919.1
2023-02-07,0.37,0.66,0.369,0.58,55784731.3
2023-02-08,0.58,0.58,0.457,0.475,13558706.1
2023-02-09,0.475,0.49,0.39,0.403,7355615.0
2023-02-10,0.403,0.437,0.38,0.425,5732687.5
