date,open,high,low,close,volume
2024-01-04,0.03,2.58,0.03,1.23994,214924858.0
2024-01-05,1.23899,1.388,1.03,1.19086,107907720.0
2024-01-06,1.19101,1.35,1.12201,1.29743,56584230.0
2024-01-07,1.2975,1.673,1.2,1.49499,124185635.0
2024-01-08,1.495,1.59319,1.25,1.35724,90925223.0
2024-01-09,1.35724,1.43551,1.08,1.15629,74053871.0
2024-01-10,1.15634,1.198,0.902,1.14292,81326369.0
2024-01-11,1.14288,1.26935,1.042,1.11196,77929219.0
2024-01-12,1.11294,1.13843,0.962,1.02297,36721348.0
2024-01-13,1.02387,1.119,0.971,1.07727,28954480.0
2024-01-14,1.0775,1.33277,1.071,1.20898,96764161.0
2024-01-15,1.21052,1.498,1.11,1.40313,104737366.0
2024-01-16,1.40313,1.49504,1.27279,1.33593,58011987.0
2024-01-17,1.33657,1.41815,1.24,1.3323,52733537.0
2024-01-18,1.33223,1.34,1.11001,1.15186,47200219.0
2024-01-19,1.15186,1.16488,0.99,1.07251,39534445.0
2024-01-20,1.07304,1.14249,1.052,1.09026,24261602.0
2024-01-21,1.08973,1.2262,1.0755,1.16162,34710059.0
2024-01-22,1.1621,1.19,1.04011,1.05055,27078193.0
2024-01-23,1.05159,1.10168,0.94428,1.01377,24646943.0
2024-01-24,1.01357,1.12467,1.0,1.09733,23890407.0
2024-01-25,1.09654,1.10383,0.98095,1.01255,21873532.0
2024-01-26,1.01226,1.15947,0.99128,1.12728,27916724.0
2024-01-27,1.1279,1.32787,1.10431,1.24159,54722281.0
2024-01-28,1.24247,1.27853,1.14616,1.17118,38544356.0
2024-01-29,1.17169,1.27712,1.15501,1.22667,32551200.0
2024-01-30,1.22696,1.376,1.18577,1.2828,46683861.0
2024-01-31,1.2828,1.4,1.1865,1.19468,66662585.0
2024-02-01,1.19468,1.20484,1.10875,1.14154,30354708.0
2024-02-02,1.14229,1.204,1.1328,1.17188,19990173.0
2024-02-03,1.17192,1.222,1.14001,1.16746,19035025.0
2024-02-04,1.16739,1.17618,1.07001,1.09649,16877301.0
2024-02-05,1.09607,1.12378,1.05,1.083,18258231.0
2024-02-06,1.08296,1.0946,1.02,1.05012,17661285.0
2024-02-07,1.05015,1.12,1.03552,1.10357,18510685.0
2024-02-08,1.10349,1.177,1.1,1.10505,26783786.0
2024-02-09,1.10571,1.20928,1.10552,1.18429,22639893.0
2024-02-10,1.18458,1.2198,1.14577,1.16144,16876687.0
2024-02-11,1.16144,1.4495,1.15735,1.3895,75729013.0
2024-02-12,1.38975,1.545,1.3162,1.44726,58453012.0
2024-02-13,1.44675,1.6835,1.38521,1.65029,66968827.0
