date,open,high,low,close,volume
2022-08-23,27.5,28.2,26.5,27.8,17643.1829
2022-08-24,27.9,28.2,26.9,27.5,17729.3142
2022-08-25,27.4,28.8,26.9,27.2,23396.8983
2022-08-26,27.2,27.4,24.2,24.5,27805.5727
2022-08-27,24.5,24.8,23.1,24.0,23021.8852
2022-08-28,24.0,24.1,22.1,22.3,16753.085
2022-08-29,22.3,24.1,22.2,23.9,15018.8979
2022-08-30,23.9,26.4,22.3,23.1,39816.7965
2022-08-31,23.1,24.1,22.8,23.1,14003.0942
2022-09-01,23.2,24.0,22.7,23.3,19432.3032
2022-09-02,23.4,24.5,23.0,23.3,17732.9687
2022-09-03,23.4,23.6,22.9,23.3,10188.742
2022-09-04,23.3,23.7,23.0,23.3,13396.5908
2022-09-05,23.3,23.5,22.6,23.0,11853.5483
2022-09-06,23.0,24.4,21.3,21.5,36472.4271
2022-09-07,21.5,23.4,21.1,22.7,13562.3001
2022-09-08,22.7,24.6,22.4,22.9,31009.8201
2022-09-09,22.9,24.4,22.9,23.7,29820.4673
2022-09-10,23.8,24.2,23.3,23.8,23666.9104
2022-09-11,23.8,23.9,23.2,23.5,21217.997
2022-09-12,23.5,23.9,22.6,23.1,30725.924
2022-09-13,23.1,23.3,21.4,21.5,20555.1763
2022-09-14,21.4,21.9,21.2,21.6,12995.5215
2022-09-15,21.6,22.0,20.4,21.3,22916.3623
2022-09-16,21.3,21.6,20.7,21.1,14478.3653
2022-09-17,21.1,23.3,21.0,22.2,45156.7683
2022-09-18,22.1,22.1,20.3,20.5,15327.9659
2022-09-19,20.5,20.9,19.8,20.8,11479.9658
2022-09-20,20.8,21.2,20.2,20.3,16995.1681
2022-09-21,20.3,21.0,19.3,19.5,20600.6154
2022-09-22,19.5,21.0,19.5,20.8,20975.4048
2022-09-23,20.8,21.0,20.0,20.4,10668.9695
2022-09-24,20.5,21.0,20.3,20.4,8231.7975
2022-09-25,20.4,20.6,20.0,20.1,4142.9663
2022-09-26,20.2,20.4,19.8,20.2,9522.9645
2022-09-27,20.3,22.0,19.9,20.3,21748.3942
2022-09-28,20.1,20.6,19.7,20.6,12061.5495
2022-09-29,20.6,22.4,20.4,21.4,59117.556
2022-09-30,21.4,22.1,20.6,21.1,26555.2759
2022-10-01,21.1,21.1,20.3,20.4,4998.033
2022-10-02,20.3,20.5,20.0,20.1,6681.3295
2022-10-03,20.0,20.9,20.0,20.6,7145.9287
2022-10-04,20.6,22.1,20.4,21.0,28591.2185
2022-10-05,21.1,23.8,20.8,21.3,74287.1087
2022-10-06,21.4,21.9,21.0,21.0,18121.9489
2022-10-07,21.0,21.2,20.4,20.8,14597.7571
2022-10-08,20.8,20.9,20.3,20.5,5464.4423
2022-10-09,20.5,20.8,20.3,20.5,5377.6499
2022-10-10,20.5,20.7,19.8,20.1,7080.8126
2022-10-11,19.9,20.1,19.5,19.7,9629.3872
2022-10-12,19.8,20.1,19.3,19.6,7414.4059
2022-10-13,19.6,19.6,17.8,19.4,12079.5371
2022-10-14,19.5,19.8,19.1,19.1,10934.2261
2022-10-15,19.2,20.3,19.1,19.9,13752.4226
2022-10-16,20.0,22.2,19.8,20.0,61949.7724
2022-10-17,20.0,20.4,19.6,20.3,22575.7656
2022-10-18,20.2,20.4,19.5,19.9,14960.7676
2022-10-19,20.0,20.0,18.8,19.0,16831.7534
2022-10-20,19.1,19.6,18.8,19.2,8271.7714
2022-10-21,19.3,19.6,18.8,19.4,9406.8692
2022-10-22,19.5,32.3,19.4,22.4,836516.5528
2022-10-23,22.3,22.4,20.3,21.2,93618.5203
2022-10-24,21.1,21.4,20.2,20.5,34168.2323
2022-10-25,20.6,21.5,19.9,20.5,35095.9882
2022-10-26,20.7,23.7,20.5,21.7,40570.8597
2022-10-27,21.8,26.8,21.7,22.1,206693.3311
2022-10-28,21.9,22.6,21.5,22.2,40691.8282
2022-10-29,22.2,23.1,21.7,22.0,43533.3548
2022-10-30,21.9,22.3,21.3,21.5,16706.1715
2022-10-31,21.4,31.4,21.3,24.8,534932.442
2022-11-01,24.8,26.0,23.1,23.3,74524.1729
2022-11-02,23.4,24.4,22.5,23.1,37930.7896
