date,open,high,low,close,volume
2022-08-23,0.303,0.3098,0.2929,0.3075,27554131.0
2022-08-24,0.3076,0.3094,0.2984,0.3022,27166655.0
2022-08-25,0.3021,0.3103,0.2991,0.3071,28593818.0
2022-08-26,0.3071,0.3082,0.2795,0.2828,48477828.0
2022-08-27,0.2828,0.2907,0.2788,0.2888,26750539.0
2022-08-28,0.2887,0.2954,0.2811,0.2824,19903969.0
2022-08-29,0.2825,0.2994,0.2798,0.298,22989796.0
2022-08-30,0.2979,0.3023,0.284,0.2916,21840802.0
2022-08-31,0.2917,0.3012,0.2873,0.2885,19273126.0
2022-09-01,0.2885,0.2937,0.2833,0.2936,16352281.0
2022-09-02,0.2936,0.3072,0.29,0.3023,23740914.0
2022-09-03,0.3023,0.3036,0.2953,0.3032,13901544.0
2022-09-04,0.3032,0.319,0.303,0.3126,32008949.0
2022-09-05,0.3125,0.3146,0.2971,0.3045,18384109.0
2022-09-06,0.3046,0.3098,0.2806,0.2852,39026594.0
2022-09-07,0.2852,0.3018,0.2812,0.2989,39330337.0
2022-09-08,0.2991,0.3084,0.2929,0.3077,28034703.0
2022-09-09,0.3078,0.3264,0.3073,0.3244,45442250.0
2022-09-10,0.3245,0.3278,0.3173,0.3219,29320253.0
2022-09-11,0.322,0.3309,0.3164,0.3266,32796554.0
2022-09-12,0.3264,0.3329,0.3168,0.3236,36062999.0
2022-09-13,0.3236,0.3238,0.2944,0.2965,49786945.0
2022-09-14,0.2965,0.3049,0.2949,0.303,23498609.0
2022-09-15,0.3029,0.3029,0.2889,0.2949,30273590.0
2022-09-16,0.2949,0.3007,0.2902,0.2979,26418283.0
2022-09-17,0.2978,0.3114,0.2976,0.311,14795514.0
2022-09-18,0.311,0.318,0.2893,0.293,35235420.0
2022-09-19,0.293,0.3248,0.2913,0.3171,85240089.0
2022-09-20,0.3172,0.347,0.3169,0.3297,114047647.0
2022-09-21,0.3299,0.3406,0.3081,0.3352,88425441.0
2022-09-22,0.3352,0.4071,0.3284,0.3699,151470762.0
2022-09-23,0.37,0.41,0.3632,0.3991,153032710.0
2022-09-24,0.3991,0.4045,0.3698,0.3853,83359376.0
2022-09-25,0.3854,0.4014,0.3778,0.3882,88867988.0
2022-09-26,0.3882,0.3923,0.357,0.3686,75688320.0
2022-09-27,0.3686,0.3756,0.3374,0.3521,71183063.0
2022-09-28,0.3521,0.3566,0.3317,0.3494,67484864.0
2022-09-29,0.3495,0.3642,0.3328,0.3549,69125272.0
2022-09-30,0.3549,0.3665,0.3466,0.3535,70916847.0
