date,open,high,low,close,volume
2022-08-23,2.193,2.261,2.134,2.244,2057234.6
2022-08-24,2.245,2.351,2.184,2.266,2382449.59
2022-08-25,2.266,2.352,2.232,2.289,1690014.11
2022-08-26,2.288,2.31,2.02,2.045,3152203.41
2022-08-27,2.045,2.061,1.986,2.018,1828168.63
2022-08-28,2.02,2.061,1.937,1.946,1384768.23
2022-08-29,1.947,2.101,1.911,2.088,2069832.79
2022-08-30,2.087,2.119,1.975,2.04,1801308.67
2022-08-31,2.039,2.108,2.003,2.013,1818218.21
2022-09-01,2.013,2.098,1.95,2.05,1930189.03
2022-09-02,2.049,2.105,1.996,2.035,2102713.62
2022-09-03,2.034,2.052,2.011,2.049,877802.41
2022-09-04,2.05,2.131,2.042,2.123,1372686.07
2022-09-05,2.124,2.146,2.065,2.129,1381751.74
2022-09-06,2.129,2.179,1.94,1.941,3106006.07
2022-09-07,1.943,2.063,1.888,2.038,1990871.91
2022-09-08,2.04,2.086,2.006,2.069,1893925.15
2022-09-09,2.07,2.217,2.068,2.188,2494731.96
2022-09-10,2.189,2.241,2.162,2.21,2530261.11
2022-09-11,2.209,2.236,2.151,2.202,2026441.89
2022-09-12,2.201,2.247,2.153,2.172,2750011.09
2022-09-13,2.172,2.173,2.015,2.024,3690716.81
2022-09-14,2.024,2.064,1.967,2.027,1915714.08
2022-09-15,2.026,2.03,1.939,1.97,2521414.3
2022-09-16,1.971,2.007,1.936,1.996,2547538.53
2022-09-17,1.995,2.039,1.991,2.029,1024549.98
2022-09-18,2.03,2.044,1.717,1.81,2905696.74
2022-09-19,1.811,1.847,1.748,1.831,2847921.41
2022-09-20,1.831,1.85,1.766,1.787,2701708.96
2022-09-21,1.788,1.848,1.661,1.674,4569839.07
2022-09-22,1.674,1.809,1.673,1.791,2203718.57
2022-09-23,1.791,1.828,1.714,1.776,2978998.76
2022-09-24,1.777,1.797,1.73,1.735,1664173.74
2022-09-25,1.736,1.759,1.669,1.688,1411915.47
2022-09-26,1.688,1.721,1.639,1.721,2711548.43
2022-09-27,1.722,1.788,1.664,1.68,2372822.32
2022-09-28,1.68,1.709,1.603,1.699,2124593.47
2022-09-29,1.699,1.723,1.651,1.708,2570842.65
2022-09-30,1.709,1.754,1.686,1.711,2117258.78
2022-10-01,1.712,1.726,1.699,1.71,870129.7
2022-10-02,1.709,1.719,1.655,1.661,1256144.28
2022-10-03,1.661,1.786,1.638,1.762,2088363.27
2022-10-04,1.763,1.8,1.747,1.778,2029468.74
2022-10-05,1.778,1.785,1.719,1.761,1255553.48
2022-10-06,1.762,1.782,1.717,1.725,1354250.99
2022-10-07,1.724,1.74,1.695,1.715,1010917.15
2022-10-08,1.715,1.735,1.7,1.712,654694.54
2022-10-09,1.711,1.735,1.71,1.725,591397.9
2022-10-10,1.725,1.743,1.573,1.599,2053368.24
2022-10-11,1.598,1.615,1.528,1.577,1933313.39
2022-10-12,1.578,1.604,1.55,1.569,723832.74
2022-10-13,1.568,1.572,1.394,1.536,3814601.68
2022-10-14,1.535,1.592,1.505,1.523,1784456.36
2022-10-15,1.522,1.566,1.517,1.538,773940.44
2022-10-16,1.538,1.592,1.538,1.563,1104192.46
2022-10-17,1.563,1.614,1.549,1.611,904143.27
2022-10-18,1.612,1.65,1.539,1.573,1629506.85
2022-10-19,1.573,1.577,1.476,1.491,1531814.48
2022-10-20,1.491,1.532,1.468,1.485,1096151.85
2022-10-21,1.485,1.506,1.427,1.502,1073769.91
2022-10-22,1.503,1.513,1.479,1.497,504611.41
2022-10-23,1.499,1.533,1.466,1.527,819266.36
2022-10-24,1.527,1.535,1.484,1.495,1101591.55
2022-10-25,1.496,1.611,1.493,1.559,2074991.38
2022-10-26,1.56,1.621,1.56,1.603,1965606.43
2022-10-27,1.602,1.672,1.593,1.606,2191446.97
2022-10-28,1.605,1.696,1.579,1.676,1758071.7
2022-10-29,1.676,1.75,1.651,1.709,2436231.6
2022-10-30,1.708,1.887,1.677,1.713,4760985.85
2022-10-31,1.712,1.732,1.66,1.704,2649880.82
2022-11-01,1.704,1.73,1.65,1.654,1181058.31
2022-11-02,1.654,1.666,1.547,1.575,2049785.1
2022-11-03,1.575,1.739,1.571,1.712,2777627.52
2022-11-04,1.713,1.815,1.698,1.807,2943803.46
2022-11-05,1.809,1.944,1.782,1.82,4464886.57
2022-11-06,1.819,1.846,1.706,1.709,2448003.82
2022-11-07,1.708,1.766,1.686,1.723,1926064.81
2022-11-08,1.724,1.769,1.251,1.433,8294673.93
2022-11-09,1.431,1.448,1.034,1.062,7970560.62
2022-11-10,1.061,1.307,1.039,1.266,6503932.15
2022-11-11,1.266,1.33,1.137,1.212,6832147.26
2022-11-12,1.214,1.215,1.109,1.143,3427910.94
2022-11-13,1.144,1.219,1.098,1.158,5250062.29
2022-11-14,1.156,1.219,1.085,1.201,5105526.91
2022-11-15,1.201,1.255,1.181,1.218,2692444.69
2022-11-16,1.219,1.257,1.158,1.19,2303282.86
2022-11-17,1.19,1.202,1.162,1.183,1650340.71
2022-11-18,1.183,1.207,1.17,1.199,1144817.21
2022-11-19,1.198,1.23,1.169,1.222,1317862.21
2022-11-20,1.222,1.267,1.135,1.139,3107510.38
2022-11-21,1.139,1.145,1.076,1.114,2271769.07
2022-11-22,1.115,1.171,1.085,1.171,1709102.7
2022-11-23,1.171,1.258,1.164,1.229,2222925.78
2022-11-24,1.229,1.268,1.204,1.234,1988288.1
2022-11-25,1.234,1.283,1.193,1.231,2283862.7
2022-11-26,1.232,1.27,1.22,1.239,1558920.71
2022-11-27,1.239,1.292,1.237,1.241,2255969.1
2022-11-28,1.241,1.26,1.187,1.237,1718497.1
2022-11-29,1.236,1.281,1.22,1.225,3392145.31
2022-11-30,1.226,1.344,1.226,1.312,3493848.88
2022-12-01,1.311,1.332,1.282,1.332,1950433.59
2022-12-02,1.331,1.381,1.312,1.355,3551338.99
2022-12-03,1.356,1.366,1.308,1.313,1191471.2
2022-12-04,1.312,1.37,1.312,1.354,3407890.1
2022-12-05,1.353,1.393,1.322,1.375,3535299.66
2022-12-06,1.375,1.394,1.318,1.348,3122893.49
2022-12-07,1.348,1.354,1.265,1.27,1633949.18
2022-12-08,1.271,1.313,1.267,1.312,827426.6
2022-12-09,1.311,1.328,1.294,1.303,790738.83
2022-12-10,1.303,1.334,1.302,1.315,733927.69
2022-12-11,1.314,1.33,1.274,1.284,504555.22
2022-12-12,1.283,1.286,1.228,1.266,1119810.95
2022-12-13,1.266,1.287,1.196,1.286,2008255.31
2022-12-14,1.285,1.37,1.247,1.294,3313738.14
2022-12-15,1.293,1.297,1.247,1.269,1189733.72
2022-12-16,1.269,1.283,1.078,1.096,1764203.96
2022-12-17,1.095,1.13,1.06,1.122,1066523.92
2022-12-18,1.123,1.13,1.102,1.119,694632.0
2022-12-19,1.119,1.137,1.046,1.064,1418312.06
2022-12-20,1.063,1.125,1.058,1.112,795854.87
2022-12-21,1.112,1.115,1.063,1.085,818316.96
2022-12-22,1.085,1.102,1.06,1.092,854924.85
2022-12-23,1.093,1.114,1.087,1.104,716965.81
2022-12-24,1.103,1.11,1.086,1.087,469208.81
2022-12-25,1.087,1.09,1.052,1.073,700185.61
2022-12-26,1.073,1.093,1.068,1.091,523162.94
2022-12-27,1.09,1.098,1.061,1.093,724596.14
2022-12-28,1.094,1.098,1.038,1.058,1433593.37
2022-12-29,1.058,1.071,1.026,1.049,1005847.03
2022-12-30,1.048,1.05,1.013,1.05,1146402.77
2022-12-31,1.05,1.075,1.038,1.056,1957820.09
2023-01-01,1.056,1.069,1.048,1.063,631560.89
2023-01-02,1.063,1.111,1.044,1.096,1498413.21
2023-01-03,1.097,1.11,1.08,1.091,1086428.32
2023-01-04,1.091,1.125,1.09,1.119,1234179.88
2023-01-05,1.119,1.161,1.104,1.115,2033725.49
2023-01-06,1.116,1.14,1.078,1.136,1391140.69
2023-01-07,1.136,1.176,1.124,1.127,1220763.91
2023-01-08,1.127,1.2,1.108,1.191,1716944.68
2023-01-09,1.191,1.268,1.185,1.222,2843168.47
2023-01-10,1.224,1.271,1.191,1.245,1875498.34
2023-01-11,1.246,1.27,1.198,1.26,1543859.95
2023-01-12,1.26,1.3,1.212,1.294,2355144.92
2023-01-13,1.293,1.562,1.274,1.464,6079593.23
2023-01-14,1.463,1.543,1.338,1.474,6824719.91
2023-01-15,1.475,1.61,1.408,1.51,4606334.63
2023-01-16,1.51,1.56,1.435,1.497,4146647.74
2023-01-17,1.497,1.612,1.461,1.477,4303394.44
2023-01-18,1.478,1.514,1.335,1.367,3938900.4
2023-01-19,1.366,1.415,1.351,1.401,1409855.25
2023-01-20,1.401,1.525,1.371,1.519,2030206.9
2023-01-21,1.519,1.589,1.5,1.503,2663998.89
2023-01-22,1.503,1.667,1.503,1.593,5054844.73
2023-01-23,1.592,1.743,1.577,1.625,5072542.29
2023-01-24,1.625,1.677,1.459,1.509,3089971.98
2023-01-25,1.509,1.623,1.465,1.6,2826922.45
2023-01-26,1.6,1.7,1.584,1.647,3136777.24
2023-01-27,1.646,1.739,1.583,1.721,4153444.98
2023-01-28,1.72,1.875,1.694,1.715,4409563.03
2023-01-29,1.715,2.08,1.682,1.914,12674456.7
2023-01-30,1.915,2.004,1.718,1.786,8731085.66
2023-01-31,1.787,1.817,1.747,1.797,3800789.12
2023-02-01,1.798,1.9,1.671,1.851,3753002.1
2023-02-02,1.852,1.948,1.784,1.795,3703475.33
2023-02-03,1.796,1.901,1.771,1.866,2459181.56
2023-02-04,1.866,1.902,1.828,1.878,1672799.08
2023-02-05,1.878,1.916,1.722,1.775,2794008.74
2023-02-06,1.775,1.824,1.734,1.754,1762694.3
2023-02-07,1.753,2.222,1.751,2.147,6169580.49
2023-02-08,2.146,2.215,1.98,2.04,6772592.05
2023-02-09,2.041,2.091,1.658,1.709,5131740.37
2023-02-10,1.711,1.751,1.64,1.7,4125914.5
2023-02-11,1.699,1.76,1.672,1.751,1599061.51
2023-02-12,1.751,1.808,1.696,1.736,2111891.77
2023-02-13,1.735,1.753,1.602,1.665,3641097.32
2023-02-14,1.665,1.792,1.65,1.781,2983643.37
2023-02-15,1.781,1.959,1.743,1.954,3486004.68
2023-02-16,1.954,1.981,1.788,1.798,3500253.99
2023-02-17,1.797,1.957,1.795,1.937,2637031.49
2023-02-18,1.937,2.009,1.936,1.965,1638934.12
2023-02-19,1.965,2.017,1.876,1.913,2099046.01
2023-02-20,1.914,2.069,1.86,2.059,2792874.41
2023-02-21,2.06,2.247,1.964,2.023,5868772.5
2023-02-22,2.022,2.037,1.905,2.023,2773851.74
2023-02-23,2.026,2.163,2.018,2.084,3785631.55
2023-02-24,2.085,2.094,1.835,1.876,3134056.38
2023-02-25,1.876,1.876,1.764,1.842,1629710.15
2023-02-26,1.841,1.942,1.826,1.923,1231259.03
2023-02-27,1.922,1.981,1.881,1.933,1851081.07
2023-02-28,1.932,1.949,1.812,1.824,1310985.09
2023-03-01,1.825,1.917,1.807,1.91,1178421.68
2023-03-02,1.91,1.924,1.809,1.852,1123525.15
2023-03-03,1.852,1.852,1.621,1.692,1719408.52
2023-03-04,1.692,1.748,1.559,1.607,1601721.21
2023-03-05,1.608,1.654,1.583,1.595,727524.62
2023-03-06,1.594,1.656,1.56,1.637,1501223.36
2023-03-07,1.637,1.658,1.537,1.574,1223350.95
2023-03-08,1.574,1.582,1.413,1.448,2167407.42
2023-03-09,1.448,1.502,1.321,1.339,2604877.76
2023-03-10,1.339,1.379,1.265,1.374,2339292.24
2023-03-11,1.373,1.405,1.298,1.363,1758779.46
2023-03-12,1.361,1.499,1.309,1.489,2191776.29
2023-03-13,1.489,1.579,1.432,1.55,2398956.32
2023-03-14,1.55,1.684,1.507,1.632,2478313.92
2023-03-15,1.631,1.676,1.46,1.489,2648025.75
2023-03-16,1.489,1.539,1.469,1.523,1879103.87
2023-03-17,1.522,1.693,1.503,1.69,3074793.46
2023-03-18,1.69,1.765,1.611,1.636,3351055.15
2023-03-19,1.636,1.71,1.626,1.665,2043237.97
2023-03-20,1.667,1.729,1.534,1.539,4850932.91
2023-03-21,1.539,1.594,1.471,1.582,2657848.09
2023-03-22,1.581,1.594,1.437,1.477,2762528.54
2023-03-23,1.476,1.59,1.467,1.584,1661165.18
2023-03-24,1.584,1.587,1.496,1.512,2106985.07
2023-03-25,1.512,1.537,1.444,1.472,1889079.13
2023-03-26,1.471,1.518,1.46,1.505,949979.92
2023-03-27,1.506,1.512,1.387,1.457,1842284.39
2023-03-28,1.457,1.489,1.402,1.478,1343809.48
2023-03-29,1.479,1.55,1.477,1.544,1556341.64
2023-03-30,1.544,1.564,1.47,1.509,2636493.07
2023-03-31,1.509,1.58,1.475,1.569,1651758.4
2023-04-01,1.569,1.594,1.548,1.576,1231209.33
2023-04-02,1.576,1.638,1.547,1.567,2527516.15
