date,open,high,low,close,volume
2022-08-23,0.1274,0.1322,0.1236,0.1316,5829739.0
2022-08-24,0.1316,0.1362,0.1277,0.1312,7604350.0
2022-08-25,0.1313,0.1361,0.1308,0.134,5479693.0
2022-08-26,0.1337,0.135,0.1179,0.1194,8327214.0
2022-08-27,0.1194,0.1219,0.1174,0.1193,6060466.0
2022-08-28,0.1194,0.1214,0.1141,0.1147,4490874.0
2022-08-29,0.115,0.1263,0.1133,0.1258,13219241.0
2022-08-30,0.1258,0.1275,0.1181,0.1216,8484496.0
2022-08-31,0.122,0.1266,0.1215,0.1219,5732053.0
2022-09-01,0.1218,0.1231,0.1178,0.1227,4208778.0
2022-09-02,0.1226,0.1265,0.1198,0.121,5499481.0
2022-09-03,0.1209,0.1216,0.1171,0.1185,2547807.0
2022-09-04,0.1185,0.1203,0.1164,0.1194,2704126.0
2022-09-05,0.1195,0.1203,0.1158,0.1189,3251026.0
2022-09-06,0.1192,0.1285,0.1072,0.1073,19214215.0
2022-09-07,0.1072,0.1199,0.1068,0.1168,10967417.0
2022-09-08,0.1169,0.1193,0.1138,0.1181,11450412.0
2022-09-09,0.1181,0.1319,0.1181,0.1291,11765741.0
2022-09-10,0.1292,0.1324,0.1257,0.1288,13103145.0
2022-09-11,0.1286,0.1347,0.1264,0.1299,8986028.0
2022-09-12,0.1297,0.1335,0.1244,0.1283,11447210.0
2022-09-13,0.1282,0.1282,0.1159,0.1165,11131217.0
2022-09-14,0.1164,0.1194,0.1151,0.1185,6680211.0
2022-09-15,0.1183,0.1186,0.1108,0.1116,8790968.0
2022-09-16,0.1116,0.1131,0.1096,0.1124,5706590.0
2022-09-17,0.1124,0.1161,0.112,0.1159,3610202.0
2022-09-18,0.1159,0.116,0.1017,0.1063,7932085.0
2022-09-19,0.1064,0.1088,0.1021,0.1078,6590363.0
2022-09-20,0.1078,0.1097,0.1047,0.1056,7605274.0
2022-09-21,0.1055,0.1115,0.1021,0.1032,9503329.0
2022-09-22,0.103,0.1126,0.1027,0.1116,5696479.0
2022-09-23,0.1118,0.114,0.1077,0.1128,6936735.0
2022-09-24,0.1133,0.1147,0.1072,0.1074,5246206.0
