date,open,high,low,close,volume
2022-08-23,4.4877,4.6554,4.1808,4.3642,2012496.92
2022-08-24,4.3587,4.45,4.1328,4.3422,960134.15
2022-08-25,4.3403,4.4908,4.2265,4.2527,979466.35
2022-08-26,4.2522,4.2522,3.64,3.69,1388958.92
2022-08-27,3.69,3.866,3.51,3.7353,920098.26
2022-08-28,3.7407,4.27,3.5811,3.6555,2825285.41
2022-08-29,3.6583,3.9553,3.619,3.8811,801816.54
2022-08-30,3.8853,4.0148,3.6365,3.8429,1123468.14
2022-08-31,3.8455,4.3759,3.816,4.0516,3420484.92
2022-09-01,4.0502,4.3856,3.9279,4.1452,1962314.84
2022-09-02,4.1453,5.44,4.0588,5.1574,6205478.19
2022-09-03,5.1532,5.7097,4.7449,4.8007,5276506.72
2022-09-04,4.8015,4.882,4.514,4.6707,1286332.68
2022-09-05,4.6662,5.238,4.5848,4.9518,4005560.71
2022-09-06,4.9521,4.9596,4.32,4.417,1488638.1
2022-09-07,4.4169,4.8375,4.3928,4.6305,1740244.77
2022-09-08,4.6305,4.7434,4.3342,4.474,983948.89
2022-09-09,4.4758,4.6365,4.4015,4.4753,1008781.84
2022-09-10,4.4764,4.7917,4.366,4.573,1287747.54
2022-09-11,4.5696,5.2,4.5321,4.6789,2354338.36
2022-09-12,4.6786,4.7908,4.43,4.5628,868806.54
2022-09-13,4.5618,4.5915,4.1314,4.1321,1450193.99
2022-09-14,4.1345,4.1391,3.7001,3.8335,1486754.82
2022-09-15,3.8334,3.837,3.43,3.7372,1471567.85
2022-09-16,3.737,4.0493,3.5652,3.6957,1592167.46
2022-09-17,3.6985,3.752,3.62,3.732,430962.06
2022-09-18,3.7306,3.9058,3.55,3.63,1122583.65
2022-09-19,3.635,3.759,3.4,3.5781,905654.02
2022-09-20,3.5768,3.6093,3.3989,3.4018,659613.5
2022-09-21,3.4061,3.502,3.2397,3.3008,838009.82
2022-09-22,3.3052,3.7,3.2891,3.6025,1417848.32
2022-09-23,3.604,4.0999,3.5868,3.8939,2909601.34
2022-09-24,3.8981,4.0731,3.62,3.6408,1033050.32
2022-09-25,3.6408,4.2555,3.6234,3.974,3407127.04
2022-09-26,3.9764,4.3,3.71,3.8697,2890046.94
2022-09-27,3.8704,4.076,3.84,3.9539,1381701.57
2022-09-28,3.9543,4.246,3.8192,4.0247,2104527.92
2022-09-29,4.0256,4.1232,3.9201,4.0567,914522.19
2022-09-30,4.0565,4.0768,3.8573,3.8918,569876.69
2022-10-01,3.8918,3.9832,3.8209,3.8724,394839.31
2022-10-02,3.8688,3.8746,3.5186,3.5357,739113.65
2022-10-03,3.5405,3.6128,3.4597,3.5911,564310.35
2022-10-04,3.594,3.74,3.5502,3.6263,558886.45
2022-10-05,3.625,3.7524,3.4979,3.6003,550942.61
2022-10-06,3.5999,3.6471,3.5224,3.5433,274741.51
2022-10-07,3.5434,3.65,3.509,3.6136,466953.61
2022-10-08,3.6134,3.6439,3.5308,3.5435,140796.31
2022-10-09,3.5393,3.5443,3.4967,3.5064,132587.96
2022-10-10,3.5051,3.6009,3.325,3.325,452324.72
2022-10-11,3.325,3.3251,3.0153,3.1333,577312.29
2022-10-12,3.1378,3.2088,3.058,3.0801,296059.86
2022-10-13,3.0801,3.0909,2.7512,2.9712,590572.46
2022-10-14,2.9702,3.1985,2.9614,2.9723,471118.74
2022-10-15,2.9722,3.0586,2.8532,2.8634,367775.45
2022-10-16,2.8595,3.36,2.8585,3.0282,1416212.61
2022-10-17,3.0315,3.1317,2.9619,3.0125,620394.03
2022-10-18,3.0123,3.0478,2.91,2.9278,223891.16
2022-10-19,2.9266,2.9331,2.8068,2.812,218676.11
2022-10-20,2.81,3.2579,2.7818,2.9055,1915994.96
2022-10-21,2.9057,3.0713,2.851,2.9331,1249160.85
2022-10-22,2.9334,2.9407,2.8813,2.9013,234031.56
2022-10-23,2.9018,2.9306,2.866,2.9029,204807.77
2022-10-24,2.9029,3.1,2.868,2.9511,771909.22
2022-10-25,2.9515,3.1299,2.9389,3.0109,984694.11
2022-10-26,3.0138,3.0547,2.9757,3.0044,269950.48
2022-10-27,3.0017,3.05,2.972,2.9855,268774.21
2022-10-28,2.9849,3.1358,2.9488,3.0156,531769.32
2022-10-29,3.0156,3.15,3.0099,3.1114,838000.21
2022-10-30,3.1149,3.4624,3.0614,3.1853,1925707.09
2022-10-31,3.1842,3.235,3.0322,3.0594,675800.41
2022-11-01,3.0604,3.13,3.0109,3.0328,523683.92
2022-11-02,3.0328,3.057,2.9058,2.9731,527838.03
2022-11-03,2.9739,3.0444,2.9168,2.9687,408565.79
2022-11-04,2.9684,3.2474,2.9483,3.119,1030064.29
2022-11-05,3.119,3.65,3.119,3.3286,2760182.88
2022-11-06,3.3293,3.4351,3.0874,3.0921,1108378.6
2022-11-07,3.0928,3.3082,3.0103,3.2474,1295670.03
2022-11-08,3.2473,3.55,2.5293,3.0604,3991784.56
2022-11-09,3.0607,3.0838,2.21,2.2431,2446399.8
2022-11-10,2.2433,2.8359,2.225,2.7022,1759710.13
2022-11-11,2.7002,3.0198,2.466,2.8297,1708542.91
2022-11-12,2.8326,3.25,2.7987,2.8449,2021514.67
2022-11-13,2.8472,2.9179,2.6454,2.6862,983713.63
2022-11-14,2.6851,2.8494,2.5901,2.7109,613491.54
2022-11-15,2.7114,3.1408,2.7012,3.1205,1620412.37
2022-11-16,3.12,3.346,2.9011,3.1747,2545742.48
2022-11-17,3.1746,3.6,3.0595,3.3229,2509530.08
2022-11-18,3.3256,3.4225,3.1221,3.3084,1144175.13
2022-11-19,3.3061,3.3224,3.1109,3.1564,551136.3
2022-11-20,3.1571,3.169,2.735,2.7507,1053889.66
2022-11-21,2.751,2.7842,2.6001,2.6424,786279.97
2022-11-22,2.6422,2.6445,2.4949,2.6292,684014.13
2022-11-23,2.6297,2.7811,2.5867,2.6731,388025.93
2022-11-24,2.673,2.7022,2.6167,2.6541,298047.12
2022-11-25,2.6547,2.7184,2.5,2.6466,548840.04
2022-11-26,2.6464,2.6945,2.5716,2.5931,470830.25
2022-11-27,2.5931,2.6572,2.5793,2.6091,204812.47
2022-11-28,2.6083,2.6562,2.5206,2.6007,400877.57
2022-11-29,2.6012,2.6629,2.585,2.6034,333871.2
2022-11-30,2.6034,2.7487,2.5921,2.6463,261525.41
2022-12-01,2.6463,2.6858,2.6216,2.6427,183326.71
2022-12-02,2.6406,2.8388,2.6163,2.7463,566688.74
2022-12-03,2.7482,2.8239,2.6673,2.6743,217513.96
2022-12-04,2.6743,2.9,2.6623,2.7192,536302.48
2022-12-05,2.7207,2.7685,2.6445,2.6806,167642.01
2022-12-06,2.679,2.697,2.6453,2.6752,129980.38
2022-12-07,2.6752,2.678,2.5806,2.5997,116952.26
2022-12-08,2.5997,2.6255,2.5592,2.6234,134711.1
2022-12-09,2.6234,2.9775,2.6066,2.7079,1250971.5
2022-12-10,2.7079,2.7732,2.625,2.6349,387491.85
2022-12-11,2.6349,2.6926,2.5968,2.6139,168918.41
2022-12-12,2.6111,2.6111,2.4637,2.4958,234592.53
2022-12-13,2.497,2.4999,2.3664,2.4528,345640.56
2022-12-14,2.4508,2.5457,2.42,2.5121,240817.49
2022-12-15,2.5108,2.5698,2.4118,2.438,311609.93
2022-12-16,2.438,2.4509,2.23,2.25,218416.94
2022-12-17,2.2492,2.3564,2.22,2.3019,211364.55
2022-12-18,2.3019,2.375,2.2362,2.2412,253723.29
2022-12-19,2.2417,2.2651,2.0677,2.0684,254152.35
2022-12-20,2.0691,2.18,2.0583,2.1547,171527.92
2022-12-21,2.1545,2.1561,2.0826,2.0869,102420.97
2022-12-22,2.087,2.3817,2.0827,2.1663,1180920.01
2022-12-23,2.1665,2.1711,2.1298,2.1312,201086.35
2022-12-24,2.1313,2.2119,2.1283,2.1549,271090.11
2022-12-25,2.1534,2.16,2.0873,2.0985,127922.98
2022-12-26,2.0987,2.133,2.0968,2.1135,121356.76
2022-12-27,2.115,2.127,2.0829,2.0964,85373.44
2022-12-28,2.0963,2.1028,2.0036,2.007,136889.33
2022-12-29,2.0071,2.0985,1.995,2.0519,341227.71
2022-12-30,2.0533,2.0898,2.0063,2.0171,216734.71
2022-12-31,2.0154,2.0356,2.0113,2.0235,62700.54
2023-01-01,2.0232,2.0518,2.0121,2.0301,68947.08
2023-01-02,2.0286,2.0525,2.013,2.0403,99993.95
2023-01-03,2.04,2.053,2.022,2.0444,59763.56
2023-01-04,2.0424,2.0878,2.0414,2.0727,139561.15
2023-01-05,2.0727,2.1655,2.0727,2.1072,403283.6
2023-01-06,2.1075,2.1148,2.0619,2.0869,146961.71
2023-01-07,2.0867,2.1069,2.0819,2.0977,95176.76
2023-01-08,2.0979,2.1057,2.0698,2.1024,90409.04
2023-01-09,2.1024,2.2,2.0996,2.1381,248202.16
2023-01-10,2.1382,2.2625,2.1283,2.1941,392578.38
2023-01-11,2.1943,2.2497,2.1449,2.203,248048.92
2023-01-12,2.2034,2.2449,2.1807,2.2244,257919.96
2023-01-13,2.2229,2.2883,2.2078,2.2817,287684.85
2023-01-14,2.2816,2.508,2.2803,2.3693,704817.25
2023-01-15,2.3683,2.4932,2.33,2.3768,503036.23
2023-01-16,2.3768,2.462,2.35,2.4012,350322.9
2023-01-17,2.4013,2.4521,2.3843,2.3943,236978.44
2023-01-18,2.3921,2.43,2.2211,2.2219,347423.59
2023-01-19,2.2215,2.3976,2.2196,2.3567,383978.74
2023-01-20,2.357,2.4309,2.3015,2.425,474104.16
2023-01-21,2.4249,2.4846,2.376,2.4294,367095.34
2023-01-22,2.4294,2.4919,2.4014,2.422,301974.3
2023-01-23,2.422,2.4857,2.421,2.4603,273028.8
2023-01-24,2.4586,2.4992,2.3609,2.3654,294272.02
2023-01-25,2.3658,3.341,2.3162,2.6734,6259607.4
2023-01-26,2.6735,2.7612,2.6217,2.6523,865182.69
2023-01-27,2.6525,2.7,2.5905,2.6708,456826.34
2023-01-28,2.6709,2.7748,2.633,2.6983,520491.7
2023-01-29,2.6989,2.75,2.6699,2.7099,605844.76
2023-01-30,2.7076,2.7543,2.5366,2.5568,441747.9
2023-01-31,2.5569,2.7943,2.5435,2.6424,588812.23
2023-02-01,2.6439,2.6976,2.5674,2.6793,327478.68
2023-02-02,2.6796,2.7814,2.6796,2.7099,365415.57
2023-02-03,2.7093,2.9734,2.6976,2.8385,1217182.18
2023-02-04,2.8392,2.8696,2.8206,2.8247,196324.6
2023-02-05,2.8231,2.8648,2.779,2.7924,296683.34
2023-02-06,2.7923,3.0384,2.7796,2.8526,975358.52
2023-02-07,2.8519,2.9469,2.8436,2.9352,420368.57
2023-02-08,2.9354,3.08,2.8757,2.9397,970801.78
2023-02-09,2.9403,2.9541,2.6628,2.7117,559457.39
2023-02-10,2.7091,2.8029,2.6761,2.7307,240453.95
2023-02-11,2.7313,2.9,2.7176,2.819,342988.31
2023-02-12,2.8206,2.8619,2.755,2.7883,206613.3
2023-02-13,2.7888,3.28,2.7753,3.0416,2910810.25
2023-02-14,3.043,3.5406,2.9822,3.2148,2804996.49
2023-02-15,3.2147,3.321,3.1205,3.2798,1194158.92
2023-02-16,3.28,3.67,3.1825,3.416,2839050.37
2023-02-17,3.4189,3.6189,3.226,3.3244,1358005.86
2023-02-18,3.324,3.3583,3.2484,3.2805,372380.17
2023-02-19,3.2823,3.3063,3.18,3.2089,395496.85
2023-02-20,3.2089,3.35,3.1641,3.3142,663148.95
2023-02-21,3.3143,3.5299,3.2237,3.2798,1397956.21
2023-02-22,3.2798,3.4391,3.1885,3.2547,934126.87
2023-02-23,3.2547,3.3263,3.2039,3.2505,377856.18
2023-02-24,3.2492,3.3,3.004,3.0699,717462.2
2023-02-25,3.0699,3.1799,2.9504,3.017,802119.98
2023-02-26,3.0155,3.1159,2.9954,3.1066,400678.08
2023-02-27,3.1065,3.3758,3.07,3.3214,1486252.58
2023-02-28,3.3213,3.3357,3.0117,3.0486,722426.72
2023-03-01,3.0475,3.1665,3.0264,3.1515,334287.9
2023-03-02,3.1496,3.1531,3.0289,3.0845,238984.66
2023-03-03,3.0848,3.0943,2.7253,2.7558,475544.86
2023-03-04,2.7546,2.8984,2.71,2.7614,604409.81
2023-03-05,2.7626,2.8195,2.7123,2.715,356703.96
2023-03-06,2.7171,2.7194,2.5782,2.6032,467339.63
2023-03-07,2.6017,2.6548,2.4738,2.5324,559894.48
2023-03-08,2.5321,2.5551,2.3997,2.4136,386907.07
2023-03-09,2.4112,2.4603,2.2239,2.2634,287069.24
2023-03-10,2.2637,2.2661,2.0794,2.2395,433937.38
2023-03-11,2.2396,2.5637,2.1433,2.2416,1514074.08
2023-03-12,2.2416,2.3366,2.199,2.3345,553654.72
2023-03-13,2.3367,2.3999,2.285,2.3715,578915.9
2023-03-14,2.3718,2.4723,2.355,2.4009,605737.47
2023-03-15,2.4003,2.5089,2.3114,2.3152,804021.6
2023-03-16,2.3157,2.3541,2.2895,2.3347,295557.39
2023-03-17,2.3332,2.461,2.3189,2.4525,417893.13
2023-03-18,2.4529,2.4764,2.3796,2.4042,302011.84
2023-03-19,2.404,2.443,2.3751,2.3877,317692.47
2023-03-20,2.3882,2.395,2.2863,2.2888,249027.21
2023-03-21,2.2906,2.304,2.203,2.28,281301.21
2023-03-22,2.2787,2.2867,2.1291,2.173,421761.48
2023-03-23,2.1744,2.2649,2.1656,2.2352,213124.92
2023-03-24,2.2345,2.3513,2.1671,2.236,830930.25
2023-03-25,2.2351,2.2554,2.1469,2.1678,417966.31
2023-03-26,2.1677,2.2141,2.1641,2.2015,139984.77
2023-03-27,2.2027,2.2317,2.0746,2.0994,383670.44
2023-03-28,2.0995,2.1296,2.0649,2.1183,211355.96
2023-03-29,2.1177,2.2087,2.1177,2.1849,275455.29
2023-03-30,2.1839,2.3565,2.159,2.2607,1567826.79
2023-03-31,2.2608,2.3345,2.2161,2.2653,895623.12
2023-04-01,2.2669,2.2998,2.2551,2.2622,256547.96
2023-04-02,2.2612,2.6583,2.2183,2.3541,1723930.18
2023-04-03,2.3541,2.51,2.2383,2.2737,2292485.4
2023-04-04,2.2738,2.3136,2.2556,2.2777,425044.62
2023-04-05,2.2764,2.3124,2.268,2.2912,217877.87
2023-04-06,2.2911,2.4243,2.2788,2.3301,814072.46
2023-04-07,2.3301,2.4833,2.28,2.4026,1896114.56
2023-04-08,2.4003,5.8792,2.3997,4.0625,40728212.08
2023-04-09,4.0612,5.05,3.5222,3.7696,27701482.4
2023-04-10,3.7703,3.7746,3.2866,3.4173,5789149.55
2023-04-11,3.4173,4.6888,3.35,4.3444,15483987.45
2023-04-12,4.3454,4.4472,3.7744,3.8191,5329116.61
2023-04-13,3.8202,4.1271,3.6924,3.8528,3225912.01
2023-04-14,3.8538,4.17,3.7824,3.8629,3945428.78
2023-04-15,3.8614,3.92,3.7302,3.7514,1219334.96
2023-04-16,3.7514,3.7675,3.6949,3.7225,733321.4
2023-04-17,3.7225,3.89,3.5091,3.5282,4276097.89
2023-04-18,3.5272,3.624,3.478,3.5,1461576.24
2023-04-19,3.5,3.5951,3.0162,3.0879,2313818.91
2023-04-20,3.0877,3.5156,2.8945,3.2493,3738313.6
2023-04-21,3.2477,3.463,2.965,2.9902,4739723.66
2023-04-22,2.9933,3.0498,2.9237,2.9936,1221864.57
2023-04-23,2.9944,3.2231,2.9606,3.0173,2317101.6
2023-04-24,3.0183,3.1851,2.9496,3.0131,1351871.47
2023-04-25,3.0131,3.1316,2.9829,3.041,1194288.59
2023-04-26,3.0425,3.1495,2.9382,3.0456,1188498.25
2023-04-27,3.0423,3.1742,3.0117,3.0855,1240709.66
2023-04-28,3.0873,3.1417,2.9936,3.0011,743713.79
2023-04-29,3.0034,3.0477,2.9846,3.0024,512224.35
2023-04-30,3.0035,3.35,2.9886,3.0229,3555641.51
2023-05-01,3.0226,3.0489,2.8635,2.8736,919228.54
2023-05-02,2.8741,2.8893,2.8039,2.8834,509583.47
2023-05-03,2.8808,2.9992,2.7043,2.819,1076857.15
2023-05-04,2.8193,2.8766,2.7618,2.8531,722677.86
2023-05-05,2.8527,2.9152,2.7243,2.7765,791489.31
2023-05-06,2.7759,2.7827,2.63,2.6807,784361.82
2023-05-07,2.6807,2.7501,2.64,2.652,696901.51
2023-05-08,2.6509,2.6558,2.3692,2.4066,621616.3
2023-05-09,2.4045,2.5268,2.3762,2.4028,628281.16
2023-05-10,2.4031,2.475,2.3169,2.3959,1300045.7
2023-05-11,2.3978,2.466,2.2994,2.3142,1237661.74
2023-05-12,2.3142,2.3239,2.2225,2.3151,707250.22
2023-05-13,2.3155,2.6934,2.28,2.4929,2599823.1
2023-05-14,2.4936,2.8596,2.4063,2.4773,6364443.05
2023-05-15,2.475,2.5748,2.4327,2.5111,1483027.56
2023-05-16,2.5126,2.5951,2.467,2.4724,1024598.33
2023-05-17,2.4723,2.5125,2.406,2.4803,549263.97
2023-05-18,2.4816,2.6,2.4557,2.5069,1305855.76
2023-05-19,2.5063,2.56,2.4816,2.4892,861798.42
2023-05-20,2.487,2.5443,2.4801,2.5134,717379.17
2023-05-21,2.5131,2.5285,2.4308,2.4422,473706.98
2023-05-22,2.4422,2.4804,2.4152,2.4434,367031.9
2023-05-23,2.4432,2.4798,2.4362,2.4474,236866.52
2023-05-24,2.4485,2.4488,2.311,2.3469,542482.48
2023-05-25,2.3467,2.394,2.3,2.3433,513226.94
2023-05-26,2.3442,2.599,2.3382,2.428,2101403.37
2023-05-27,2.4283,2.4532,2.4065,2.4125,381991.75
2023-05-28,2.4125,2.4886,2.4088,2.4465,674626.67
2023-05-29,2.4466,2.4608,2.4198,2.4319,324075.88
2023-05-30,2.4316,2.48,2.4196,2.4217,349214.02
2023-05-31,2.4224,2.43,2.3363,2.3551,622813.43
2023-06-01,2.3546,2.4125,2.3204,2.3686,403840.27
2023-06-02,2.368,2.3904,2.3458,2.378,244632.55
2023-06-03,2.377,2.4298,2.3652,2.3856,276711.24
2023-06-04,2.3862,2.4105,2.3711,2.3746,276560.43
2023-06-05,2.3749,2.3776,2.1166,2.1458,586509.36
2023-06-06,2.1458,2.2159,2.1073,2.1897,530641.77
2023-06-07,2.1888,2.2011,1.9562,1.9658,657499.79
2023-06-08,1.9653,2.2052,1.9238,2.0726,1717310.8
2023-06-09,2.0726,2.194,2.0253,2.0332,1403473.13
2023-06-10,2.0334,2.0342,1.7485,1.807,913284.06
2023-06-11,1.8071,1.8306,1.79,1.8014,377383.85
2023-06-12,1.8009,1.8188,1.7417,1.7872,335795.89
2023-06-13,1.7881,2.0689,1.7862,1.878,2294336.43
2023-06-14,1.8795,2.5,1.8155,1.9385,4859504.58
2023-06-15,1.9385,2.0369,1.8763,1.9304,2083261.19
2023-06-16,1.9319,1.9794,1.9021,1.9195,1067624.13
2023-06-17,1.9201,1.9731,1.9117,1.9491,350361.6
2023-06-18,1.9501,1.9585,1.8936,1.8981,438870.35
2023-06-19,1.898,2.0,1.8936,1.9435,713938.05
2023-06-20,1.944,2.0169,1.9215,1.9761,743939.62
2023-06-21,1.9766,2.0233,1.9695,2.0122,510750.2
2023-06-22,2.0119,2.0704,1.9609,1.9694,699262.4
2023-06-23,1.9701,2.0264,1.9449,1.9955,712900.46
2023-06-24,1.9958,2.16,1.9829,2.0574,1787953.55
2023-06-25,2.0574,2.0868,1.9926,2.0036,417696.9
2023-06-26,2.0039,2.0464,1.9504,1.9638,526585.97
2023-06-27,1.9638,1.9882,1.9407,1.9565,457110.84
2023-06-28,1.9566,1.9607,1.8483,1.8564,449490.72
2023-06-29,1.8566,1.9043,1.8451,1.8765,280971.61
2023-06-30,1.8761,1.9347,1.8,1.8919,406994.51
2023-07-01,1.8902,1.9596,1.8616,1.9284,391103.55
2023-07-02,1.9295,1.9605,1.8945,1.9304,495712.92
2023-07-03,1.9301,1.9597,1.923,1.9454,393969.5
2023-07-04,1.9477,2.0053,1.9182,1.9376,636630.29
2023-07-05,1.9365,1.9446,1.8589,1.8788,356597.8
2023-07-06,1.8784,2.0236,1.8706,1.8999,1262827.96
2023-07-07,1.9006,1.9686,1.8803,1.9308,930952.34
2023-07-08,1.9306,1.9549,1.9062,1.922,319742.53
2023-07-09,1.9217,1.9586,1.895,1.9249,391331.33
2023-07-10,1.9248,1.9248,1.8557,1.9032,387170.57
