date,open,high,low,close,volume
2022-08-23,0.0371,0.03754,0.0354,0.03754,110218422.9
2022-08-24,0.03755,0.04319,0.03596,0.0402,497654025.2
2022-08-25,0.04022,0.04459,0.0401,0.04099,472823888.1
2022-08-26,0.04099,0.04265,0.03637,0.03704,281725558.3
2022-08-27,0.03706,0.03793,0.03526,0.03595,170348803.6
2022-08-28,0.03597,0.0396,0.03543,0.03558,250920487.2
2022-08-29,0.03559,0.03711,0.03493,0.03685,193810099.7
2022-08-30,0.03682,0.03868,0.03423,0.03527,180393244.1
2022-08-31,0.03528,0.03671,0.03497,0.03536,163667612.5
2022-09-01,0.03538,0.03563,0.03345,0.03507,98682135.2
2022-09-02,0.03507,0.03565,0.03383,0.03434,84592339.0
2022-09-03,0.03434,0.03464,0.03398,0.03445,38633925.4
2022-09-04,0.03445,0.03814,0.03437,0.03577,231716258.8
2022-09-05,0.03577,0.03649,0.03416,0.03551,250335697.7
2022-09-06,0.03551,0.03754,0.03295,0.03333,314817975.4
2022-09-07,0.03333,0.0347,0.03207,0.03458,139252279.4
2022-09-08,0.0346,0.03722,0.03313,0.03539,232994760.9
2022-09-09,0.03541,0.04035,0.03513,0.03896,321291421.7
2022-09-10,0.03897,0.03914,0.0372,0.03796,157182044.8
2022-09-11,0.03797,0.03881,0.03665,0.03799,160079771.9
2022-09-12,0.038,0.03882,0.03692,0.03755,147706572.4
2022-09-13,0.03752,0.03837,0.03357,0.03374,170180658.8
2022-09-14,0.03371,0.03475,0.03344,0.0344,108686223.7
2022-09-15,0.03438,0.03444,0.03226,0.03282,117107150.5
2022-09-16,0.0328,0.0339,0.03231,0.033,164234253.2
2022-09-17,0.03301,0.0355,0.03292,0.03454,156901588.8
2022-09-18,0.03456,0.03461,0.02974,0.03077,118698154.9
2022-09-19,0.03077,0.03156,0.02899,0.03132,154419987.5
2022-09-20,0.03132,0.03154,0.02969,0.0299,85101418.3
2022-09-21,0.0299,0.03166,0.0286,0.02897,150284486.1
2022-09-22,0.02896,0.03097,0.02894,0.03063,108133330.8
2022-09-23,0.03064,0.03139,0.02928,0.03074,112954105.7
2022-09-24,0.03072,0.03102,0.02979,0.0301,66705887.7
2022-09-25,0.03009,0.03049,0.02914,0.02938,66366912.8
2022-09-26,0.02941,0.03232,0.02904,0.03066,208885112.1
2022-09-27,0.03067,0.03182,0.02969,0.0302,147086516.7
2022-09-28,0.03018,0.0307,0.02889,0.0303,127609459.3
2022-09-29,0.03029,0.03166,0.02985,0.03111,132979705.4
