date,open,high,low,close,volume
2022-08-23,5.207,5.308,5.006,5.25,5391054.64
2022-08-24,5.251,5.596,5.063,5.311,9009854.4
2022-08-25,5.311,5.496,5.176,5.376,4937010.54
2022-08-26,5.374,5.385,4.722,4.775,7778415.29
2022-08-27,4.773,4.838,4.661,4.754,5595636.99
2022-08-28,4.754,5.071,4.615,4.649,6424621.13
2022-08-29,4.649,5.026,4.593,4.983,6354069.74
2022-08-30,4.983,5.084,4.673,4.811,5371575.06
2022-08-31,4.811,4.999,4.724,4.76,4136642.38
2022-09-01,4.761,4.81,4.596,4.77,3709543.24
2022-09-02,4.77,4.867,4.642,4.704,3939177.73
2022-09-03,4.702,4.789,4.67,4.76,2216647.4
2022-09-04,4.76,4.816,4.697,4.798,3371923.9
2022-09-05,4.798,4.844,4.627,4.748,3020364.98
2022-09-06,4.749,4.814,4.283,4.303,7605861.99
2022-09-07,4.302,4.482,4.165,4.422,4583196.32
2022-09-08,4.424,4.55,4.35,4.501,5561349.43
2022-09-09,4.501,5.3,4.494,5.047,12424960.32
2022-09-10,5.048,5.122,4.917,5.048,6253900.95
2022-09-11,5.049,5.827,4.956,5.678,16400310.97
2022-09-12,5.677,5.684,5.219,5.49,10677071.21
2022-09-13,5.489,5.9,5.021,5.135,18918051.39
2022-09-14,5.137,5.263,4.821,5.103,10014480.06
2022-09-15,5.103,5.363,4.855,4.911,10887231.08
2022-09-16,4.913,4.981,4.561,4.664,6807236.83
2022-09-17,4.664,5.8,4.662,5.631,8842888.81
2022-09-18,5.632,5.724,5.015,5.083,12553556.66
2022-09-19,5.084,6.197,4.929,5.869,20412324.25
2022-09-20,5.868,6.033,5.55,5.724,14199834.57
2022-09-21,5.729,6.4,5.495,5.789,19633037.6
2022-09-22,5.788,6.034,5.592,5.908,11305188.43
2022-09-23,5.908,6.105,5.417,5.679,10893598.43
2022-09-24,5.679,5.709,5.37,5.421,5848243.66
2022-09-25,5.422,5.763,5.343,5.719,8247881.03
2022-09-26,5.719,5.829,5.36,5.514,6857656.15
2022-09-27,5.514,5.795,5.288,5.414,10408840.22
2022-09-28,5.416,5.469,5.215,5.38,4604487.31
2022-09-29,5.38,5.497,5.276,5.437,3674381.71
2022-09-30,5.438,5.576,5.35,5.407,4320967.18
2022-10-01,5.408,5.438,5.176,5.25,2677228.34
2022-10-02,5.25,5.319,4.97,5.01,2994641.0
2022-10-03,5.012,5.22,4.951,5.177,3777661.73
2022-10-04,5.176,5.362,5.166,5.262,2813467.3
2022-10-05,5.262,5.277,5.071,5.203,2687687.54
2022-10-06,5.201,5.419,5.117,5.164,4294745.42
2022-10-07,5.163,5.25,5.066,5.181,2806118.7
2022-10-08,5.18,5.234,5.109,5.165,1269371.67
2022-10-09,5.165,5.313,5.139,5.264,1718516.38
2022-10-10,5.264,5.354,5.117,5.134,2786565.77
2022-10-11,5.134,5.17,4.61,4.694,11726020.38
2022-10-12,4.693,4.777,4.623,4.715,4503650.42
2022-10-13,4.715,4.738,4.123,4.55,9273621.37
2022-10-14,4.55,4.761,4.436,4.513,4470332.85
2022-10-15,4.512,4.559,4.408,4.44,2126361.68
2022-10-16,4.439,4.584,4.427,4.511,2359297.57
2022-10-17,4.511,4.588,4.476,4.56,1861313.35
2022-10-18,4.56,4.63,4.317,4.416,3374992.68
2022-10-19,4.416,4.425,4.231,4.256,2553964.81
2022-10-20,4.258,4.37,4.136,4.203,2668433.6
2022-10-21,4.203,4.542,3.975,4.456,7848985.16
2022-10-22,4.455,4.6,4.411,4.474,3056009.68
2022-10-23,4.475,4.687,4.435,4.636,2644208.18
2022-10-24,4.636,4.698,4.48,4.507,2911572.7
2022-10-25,4.507,4.998,4.435,4.737,5227827.55
2022-10-26,4.736,4.817,4.622,4.696,3132256.17
2022-10-27,4.694,5.05,4.57,4.61,5204026.21
2022-10-28,4.61,5.11,4.54,4.972,5616867.71
2022-10-29,4.972,5.126,4.838,4.923,5850799.49
2022-10-30,4.924,5.142,4.707,4.794,4912944.52
2022-10-31,4.794,4.883,4.636,4.728,4548769.73
2022-11-01,4.727,4.783,4.444,4.503,3576295.73
2022-11-02,4.504,4.529,4.151,4.228,6596756.96
