date,open,high,low,close,volume
2022-08-23,0.1084,0.114,0.1057,0.1117,4097270.0
2022-08-24,0.1114,0.1125,0.1088,0.1101,2551785.0
2022-08-25,0.1097,0.1147,0.109,0.1132,3031837.0
2022-08-26,0.1135,0.1137,0.1035,0.1041,5263843.0
2022-08-27,0.1042,0.1053,0.1008,0.1032,2378563.0
2022-08-28,0.1032,0.1065,0.0996,0.1003,941761.0
2022-08-29,0.1005,0.1048,0.0996,0.1045,1275444.0
2022-08-30,0.1049,0.107,0.1023,0.1052,1303134.0
2022-08-31,0.1052,0.1073,0.1039,0.1052,975001.0
2022-09-01,0.105,0.1063,0.1018,0.1038,900616.0
2022-09-02,0.1041,0.1051,0.1026,0.1037,783426.0
2022-09-03,0.1037,0.1037,0.1019,0.1034,596855.0
2022-09-04,0.1033,0.1054,0.1019,0.1038,567352.0
2022-09-05,0.1038,0.104,0.1005,0.1035,809575.0
2022-09-06,0.1034,0.1049,0.1004,0.1036,2356959.0
2022-09-07,0.1029,0.1061,0.0999,0.1053,1154767.0
2022-09-08,0.1048,0.118,0.1029,0.11,11682267.0
2022-09-09,0.1104,0.1146,0.1087,0.1141,3281675.0
2022-09-10,0.1136,0.1151,0.1093,0.114,1928182.0
2022-09-11,0.114,0.1217,0.1117,0.1183,3661107.0
2022-09-12,0.118,0.1197,0.1149,0.1166,1719536.0
2022-09-13,0.1165,0.1165,0.1033,0.1037,2669538.0
2022-09-14,0.1036,0.1073,0.1028,0.1053,1129000.0
2022-09-15,0.1054,0.1057,0.1004,0.1021,1525803.0
2022-09-16,0.1014,0.103,0.1003,0.1027,517697.0
2022-09-17,0.1029,0.1047,0.102,0.1041,663353.0
2022-09-18,0.1042,0.106,0.097,0.098,1222655.0
2022-09-19,0.098,0.0995,0.0931,0.099,1687027.0
2022-09-20,0.0991,0.0996,0.0954,0.0967,977929.0
2022-09-21,0.0964,0.1161,0.0938,0.0957,27161748.0
2022-09-22,0.0957,0.1017,0.0944,0.0995,3720549.0
2022-09-23,0.0994,0.1006,0.0971,0.1005,624301.0
2022-09-24,0.0998,0.1011,0.0985,0.0997,1453493.0
2022-09-25,0.0999,0.1017,0.0968,0.0977,444425.0
2022-09-26,0.0976,0.0995,0.0936,0.0981,3100737.0
2022-09-27,0.0976,0.1009,0.0951,0.0969,1419579.0
2022-09-28,0.0968,0.0995,0.0938,0.0984,550269.0
2022-09-29,0.0981,0.0992,0.0956,0.098,676009.0
2022-09-30,0.098,0.0992,0.0965,0.0971,702864.0
2022-10-01,0.0972,0.0974,0.095,0.0956,600266.0
2022-10-02,0.0953,0.0959,0.0934,0.0939,590845.0
2022-10-03,0.0939,0.096,0.0936,0.0953,276312.0
2022-10-04,0.0954,0.0975,0.0948,0.0969,399539.0
2022-10-05,0.0968,0.0973,0.095,0.0962,430353.0
2022-10-06,0.0961,0.0985,0.0959,0.0963,903541.0
2022-10-07,0.0964,0.0973,0.0945,0.0961,943902.0
2022-10-08,0.0962,0.1034,0.0961,0.0998,4921625.0
2022-10-09,0.0998,0.1004,0.0978,0.0989,1249771.0
2022-10-10,0.0987,0.0994,0.0958,0.0958,1033305.0
2022-10-11,0.0958,0.0962,0.0931,0.0943,986043.0
2022-10-12,0.0943,0.0951,0.0939,0.0945,638772.0
2022-10-13,0.0947,0.0951,0.087,0.0929,2399121.0
2022-10-14,0.0929,0.0947,0.0923,0.0923,898014.0
2022-10-15,0.0923,0.095,0.0909,0.0919,1094003.0
2022-10-16,0.0916,0.1062,0.0896,0.0925,11180349.0
2022-10-17,0.0926,0.099,0.0919,0.0956,2911151.0
2022-10-18,0.0956,0.0975,0.0917,0.0944,1735386.0
2022-10-19,0.0944,0.0946,0.0909,0.0919,622756.0
2022-10-20,0.0919,0.0956,0.0909,0.0915,4927226.0
2022-10-21,0.091,0.093,0.0894,0.092,638904.0
2022-10-22,0.0917,0.0942,0.0914,0.0926,869394.0
2022-10-23,0.0925,0.0951,0.0915,0.0948,777047.0
2022-10-24,0.0947,0.0963,0.0919,0.0941,747159.0
2022-10-25,0.0941,0.0996,0.0931,0.0964,984637.0
2022-10-26,0.0966,0.0991,0.0962,0.0978,434117.0
2022-10-27,0.098,0.0991,0.0954,0.0955,487128.0
2022-10-28,0.0956,0.0972,0.0945,0.097,508123.0
2022-10-29,0.0972,0.1012,0.0959,0.0994,1705531.0
2022-10-30,0.0995,0.1,0.0953,0.0958,1009563.0
2022-10-31,0.0959,0.0984,0.0951,0.0973,2422247.0
2022-11-01,0.0975,0.101,0.0955,0.0961,1229814.0
2022-11-02,0.0961,0.0965,0.0921,0.0934,1359030.0
2022-11-03,0.0934,0.0957,0.0927,0.0953,1322702.0
2022-11-04,0.0955,0.1012,0.0948,0.1012,1911333.0
2022-11-05,0.1007,0.1019,0.0999,0.1002,604800.0
2022-11-06,0.1005,0.1014,0.0973,0.0973,737891.0
2022-11-07,0.0973,0.0994,0.0954,0.097,1474779.0
2022-11-08,0.0969,0.0972,0.08,0.0859,2820760.0
2022-11-09,0.0853,0.0855,0.0672,0.0681,3477040.0
2022-11-10,0.0687,0.0784,0.0677,0.077,3181807.0
2022-11-11,0.0772,0.0783,0.0711,0.0738,2264571.0
2022-11-12,0.0742,0.0755,0.0686,0.0701,1722887.0
2022-11-13,0.0702,0.0737,0.0638,0.0661,3428642.0
2022-11-14,0.0661,0.0704,0.059,0.0655,3323477.0
2022-11-15,0.0657,0.0707,0.0657,0.0678,2356057.0
2022-11-16,0.0678,0.0696,0.0654,0.0682,1061862.0
2022-11-17,0.0677,0.075,0.0657,0.0685,3392072.0
2022-11-18,0.0687,0.0711,0.0676,0.0698,4667520.0
2022-11-19,0.0697,0.0768,0.0691,0.0749,7590229.0
2022-11-20,0.0747,0.092,0.0684,0.07,39905524.0
2022-11-21,0.0702,0.0706,0.0668,0.0677,1949431.0
2022-11-22,0.0677,0.0726,0.0674,0.0709,1763305.0
2022-11-23,0.071,0.0753,0.0709,0.0748,992835.0
2022-11-24,0.0748,0.0787,0.0738,0.0784,1409736.0
2022-11-25,0.0783,0.0803,0.0761,0.0799,2026373.0
2022-11-26,0.0799,0.0799,0.0769,0.0776,1003337.0
2022-11-27,0.078,0.0783,0.0752,0.0755,1034743.0
2022-11-28,0.0755,0.0763,0.072,0.0742,1352114.0
2022-11-29,0.0743,0.0763,0.0731,0.0753,1326776.0
2022-11-30,0.0755,0.0777,0.075,0.0775,914787.0
2022-12-01,0.0775,0.08,0.0764,0.0796,1334255.0
2022-12-02,0.0795,0.0804,0.0768,0.0784,3480346.0
2022-12-03,0.0783,0.0785,0.0763,0.0764,426110.0
2022-12-04,0.0764,0.0778,0.0762,0.0775,479056.0
