date,open,high,low,close,volume
2022-08-23,0.03722,0.03896,0.03672,0.03822,86471924.0
2022-08-24,0.03823,0.03901,0.03723,0.03776,57199553.8
2022-08-25,0.03776,0.04055,0.03773,0.03876,84661219.3
2022-08-26,0.0387,0.03923,0.03546,0.03584,67225803.9
2022-08-27,0.03584,0.03609,0.0344,0.03478,41092902.0
2022-08-28,0.03478,0.03618,0.03444,0.03464,38893438.7
2022-08-29,0.03463,0.03664,0.03421,0.03648,52194009.1
2022-08-30,0.03649,0.03704,0.03466,0.0354,48830401.1
2022-08-31,0.03542,0.03631,0.03498,0.03517,45688963.7
2022-09-01,0.03515,0.0354,0.03412,0.03536,50061499.7
2022-09-02,0.03533,0.03595,0.03477,0.03515,32684764.3
2022-09-03,0.03512,0.0356,0.03485,0.0355,21401554.2
2022-09-04,0.03554,0.03766,0.03553,0.03653,74791302.5
2022-09-05,0.03656,0.03697,0.03563,0.03665,41218486.1
2022-09-06,0.03666,0.03827,0.03461,0.03484,83365162.2
2022-09-07,0.03491,0.04028,0.03458,0.03858,222679080.5
2022-09-08,0.03856,0.039,0.03719,0.03817,81203321.5
2022-09-09,0.03819,0.04094,0.03817,0.03916,95856308.7
2022-09-10,0.03923,0.03994,0.03866,0.03923,53492950.9
2022-09-11,0.03925,0.04015,0.0385,0.03924,45289271.4
2022-09-12,0.03923,0.04031,0.03833,0.03976,64902666.3
2022-09-13,0.03975,0.0398,0.03593,0.03596,59673245.5
2022-09-14,0.03595,0.03734,0.03547,0.03657,41339653.7
2022-09-15,0.03654,0.03657,0.03516,0.03561,38373117.1
2022-09-16,0.03561,0.03675,0.03441,0.03522,48333288.1
2022-09-17,0.03522,0.03594,0.03518,0.0359,33443951.0
2022-09-18,0.03589,0.03606,0.03282,0.03323,49749932.0
2022-09-19,0.03324,0.03415,0.03244,0.03388,45705021.3
2022-09-20,0.03387,0.03429,0.03316,0.03335,45078357.4
2022-09-21,0.03335,0.03475,0.03162,0.03205,65176171.2
2022-09-22,0.03204,0.03416,0.03204,0.03387,42496131.3
2022-09-23,0.03387,0.0345,0.03265,0.03382,53628569.8
2022-09-24,0.03383,0.03448,0.03329,0.03346,25288121.7
