date,open,high,low,close,volume
2022-08-23,12.2,12.53,11.66,12.45,239526.76
2022-08-24,12.46,12.99,12.19,12.46,299238.83
2022-08-25,12.46,12.89,12.17,12.29,205151.32
2022-08-26,12.29,12.32,11.04,11.12,469847.07
2022-08-27,11.13,11.39,10.87,10.98,326348.73
2022-08-28,11.0,11.03,10.26,10.28,287605.1
2022-08-29,10.3,10.98,10.08,10.9,366527.98
2022-08-30,10.91,11.04,9.97,10.09,422151.93
2022-08-31,10.1,10.64,9.83,9.97,413527.0
2022-09-01,9.98,10.3,9.83,10.1,310119.86
2022-09-02,10.11,10.55,9.82,10.02,382508.13
2022-09-03,10.02,10.27,9.9,10.14,246867.27
2022-09-04,10.14,10.27,9.9,10.25,227704.1
2022-09-05,10.27,10.39,9.93,10.17,346414.96
2022-09-06,10.17,10.48,9.32,9.34,684697.6
2022-09-07,9.33,9.83,9.27,9.74,332357.99
2022-09-08,9.74,10.17,9.52,10.02,493706.98
2022-09-09,10.02,11.6,9.97,10.95,969590.9
2022-09-10,10.94,11.39,10.76,11.07,451045.42
2022-09-11,11.06,11.76,10.87,11.29,496924.05
2022-09-12,11.28,11.66,10.65,10.73,566210.46
2022-09-13,10.73,11.02,9.61,9.71,728026.19
2022-09-14,9.72,9.99,9.51,9.8,390742.72
2022-09-15,9.79,9.81,9.31,9.75,355322.55
2022-09-16,9.75,10.29,9.59,10.14,374823.49
2022-09-17,10.14,10.36,9.93,10.19,215503.14
2022-09-18,10.19,10.65,9.32,9.43,452734.98
2022-09-19,9.43,9.97,9.12,9.62,612947.35
2022-09-20,9.63,10.11,9.42,9.52,433787.63
2022-09-21,9.52,9.76,8.92,9.2,649752.97
2022-09-22,9.2,10.29,9.15,10.08,713481.47
2022-09-23,10.08,10.38,9.76,10.19,597799.0
2022-09-24,10.2,10.35,9.62,9.74,314513.48
2022-09-25,9.73,9.92,9.33,9.35,323881.21
2022-09-26,9.36,9.64,9.12,9.47,416238.97
2022-09-27,9.47,10.11,9.26,9.43,562168.49
2022-09-28,9.43,9.49,8.98,9.3,433851.89
2022-09-29,9.3,9.38,8.89,9.09,518398.04
2022-09-30,9.09,9.9,8.99,9.35,378701.28
2022-10-01,9.34,9.45,9.18,9.27,125350.52
2022-10-02,9.27,9.43,9.01,9.05,257701.55
2022-10-03,9.05,9.55,8.94,9.48,281827.48
2022-10-04,9.48,9.72,9.44,9.66,211112.41
2022-10-05,9.66,9.74,9.28,9.53,238245.32
2022-10-06,9.53,9.7,9.1,9.13,319125.41
2022-10-07,9.13,9.22,8.97,9.02,247244.35
2022-10-08,9.02,9.15,8.76,8.86,181344.69
2022-10-09,8.85,8.98,8.8,8.87,143081.99
2022-10-10,8.88,9.01,8.61,8.73,280728.35
2022-10-11,8.73,8.76,8.4,8.65,262594.94
2022-10-12,8.66,8.97,8.63,8.92,131322.8
2022-10-13,8.93,10.01,8.52,9.73,1178721.58
