date,open,high,low,close,volume
2022-08-23,5.296,5.49,5.04,5.147,689155.3
2022-08-24,5.147,5.159,4.71,4.9,487438.9
2022-08-25,4.893,4.963,4.65,4.711,337456.5
2022-08-26,4.711,4.723,4.102,4.149,561697.9
2022-08-27,4.144,4.41,3.849,4.23,546839.2
2022-08-28,4.224,4.67,4.076,4.096,884016.1
2022-08-29,4.102,4.299,4.016,4.266,299899.4
2022-08-30,4.259,4.418,4.043,4.11,402838.8
2022-08-31,4.11,4.9,4.11,4.449,1450908.5
2022-09-01,4.449,4.642,4.296,4.485,679497.3
2022-09-02,4.475,4.868,4.398,4.612,744372.8
2022-09-03,4.611,5.198,4.523,4.797,1218070.6
2022-09-04,4.806,5.0,4.544,4.597,478977.2
2022-09-05,4.607,4.67,4.405,4.501,405073.1
2022-09-06,4.501,4.575,4.172,4.174,273873.6
2022-09-07,4.182,4.488,4.173,4.366,379325.1
2022-09-08,4.359,4.41,4.233,4.29,240585.5
2022-09-09,4.29,4.422,4.283,4.322,303833.7
2022-09-10,4.322,4.457,4.304,4.354,206360.2
2022-09-11,4.349,4.631,4.32,4.354,406346.3
2022-09-12,4.362,4.452,4.231,4.285,200315.5
2022-09-13,4.292,4.44,4.048,4.142,403627.4
2022-09-14,4.126,4.234,3.887,4.013,252193.4
2022-09-15,4.003,4.024,3.733,3.815,265958.9
2022-09-16,3.82,4.078,3.77,3.874,301438.5
2022-09-17,3.875,4.074,3.865,3.983,183017.5
2022-09-18,3.983,4.066,3.666,3.731,271651.4
2022-09-19,3.731,3.842,3.519,3.728,223873.5
2022-09-20,3.727,3.787,3.558,3.561,221218.0
2022-09-21,3.561,3.78,3.534,3.59,167596.2
2022-09-22,3.588,3.827,3.583,3.786,256340.4
2022-09-23,3.786,4.387,3.784,4.117,1100767.7
2022-09-24,4.119,4.14,3.903,3.923,313367.0
2022-09-25,3.93,4.285,3.9,4.058,669446.4
2022-09-26,4.066,4.101,3.718,3.87,473529.8
2022-09-27,3.872,3.981,3.821,3.918,320859.2
2022-09-28,3.918,3.999,3.671,3.851,476787.3
2022-09-29,3.854,3.935,3.791,3.892,197552.4
2022-09-30,3.893,3.947,3.817,3.848,198239.4
2022-10-01,3.848,3.905,3.81,3.844,136865.2
2022-10-02,3.839,3.858,3.674,3.691,106157.3
2022-10-03,3.691,3.746,3.6,3.74,197506.1
2022-10-04,3.734,3.835,3.7,3.762,331615.0
2022-10-05,3.762,3.843,3.663,3.721,186735.2
2022-10-06,3.718,4.321,3.67,3.902,811896.8
2022-10-07,3.902,4.04,3.74,3.762,482081.3
2022-10-08,3.769,3.821,3.688,3.701,113794.6
2022-10-09,3.701,3.755,3.69,3.71,63137.0
2022-10-10,3.706,3.737,3.404,3.411,196715.4
2022-10-11,3.41,3.41,3.234,3.34,214433.3
2022-10-12,3.339,3.381,3.211,3.305,152351.2
2022-10-13,3.3,3.306,2.826,3.061,479380.3
2022-10-14,3.064,3.261,3.004,3.032,389360.7
2022-10-15,3.031,3.056,2.986,3.03,103171.8
2022-10-16,3.031,3.232,3.022,3.092,358354.6
2022-10-17,3.095,3.3,3.082,3.146,344119.7
2022-10-18,3.146,3.23,3.0,3.077,156152.9
2022-10-19,3.076,3.086,2.962,2.987,105052.6
2022-10-20,2.986,3.044,2.908,2.92,134188.1
2022-10-21,2.919,3.032,2.81,2.952,293903.0
2022-10-22,2.953,3.008,2.928,2.97,104397.8
2022-10-23,2.969,3.0,2.877,2.939,136698.6
2022-10-24,2.94,3.097,2.893,3.026,216533.3
2022-10-25,3.027,3.161,3.008,3.032,369289.0
2022-10-26,3.036,3.12,3.029,3.051,133883.0
2022-10-27,3.051,3.126,3.003,3.01,143237.9
2022-10-28,3.012,3.037,2.921,3.026,108998.9
2022-10-29,3.026,3.081,2.966,3.006,172985.0
2022-10-30,3.005,3.313,2.995,3.139,731861.9
2022-10-31,3.141,3.376,3.04,3.147,606630.8
2022-11-01,3.145,3.238,3.081,3.087,202405.0
2022-11-02,3.091,3.144,2.996,3.067,215893.2
2022-11-03,3.066,3.135,3.026,3.061,218794.2
2022-11-04,3.062,3.233,3.044,3.204,290413.7
2022-11-05,3.212,3.473,3.16,3.325,710519.3
2022-11-06,3.322,3.543,3.226,3.24,677692.7
2022-11-07,3.238,3.327,3.087,3.193,423442.7
2022-11-08,3.191,3.191,2.29,2.697,1099025.4
2022-11-09,2.699,2.708,2.014,2.087,567162.0
2022-11-10,2.072,2.538,2.063,2.449,582275.1
2022-11-11,2.449,2.535,2.226,2.427,452329.7
2022-11-12,2.427,2.427,2.186,2.306,195449.8
2022-11-13,2.307,2.449,2.185,2.251,403611.2
2022-11-14,2.248,2.385,2.159,2.302,272425.9
2022-11-15,2.303,2.756,2.291,2.644,998545.2
2022-11-16,2.643,2.937,2.481,2.744,1388826.7
2022-11-17,2.746,2.96,2.661,2.769,862889.5
2022-11-18,2.764,3.057,2.759,2.899,714486.7
2022-11-19,2.9,2.97,2.66,2.759,448705.1
2022-11-20,2.754,2.96,2.442,2.491,1193917.8
2022-11-21,2.491,2.533,2.331,2.383,434910.6
2022-11-22,2.387,2.489,2.253,2.421,382815.5
2022-11-23,2.427,2.502,2.387,2.458,276319.4
2022-11-24,2.459,2.466,2.35,2.411,271848.3
2022-11-25,2.415,4.846,2.296,3.392,2276455.7
2022-11-26,3.4,3.409,2.518,2.578,2871098.7
2022-11-27,2.574,2.657,2.501,2.502,631825.1
2022-11-28,2.506,3.4,2.4,3.175,866313.4
2022-11-29,3.203,5.228,2.5,2.746,4928059.3
2022-11-30,2.744,2.802,2.645,2.782,646211.5
2022-12-01,2.79,2.79,2.625,2.701,553724.0
2022-12-02,2.694,2.85,2.634,2.755,492748.2
2022-12-03,2.755,2.791,2.693,2.72,315449.9
2022-12-04,2.722,2.81,2.688,2.783,364377.8
2022-12-05,2.785,2.792,2.693,2.719,209630.8
2022-12-06,2.719,2.797,2.691,2.755,227254.1
2022-12-07,2.759,2.762,2.626,2.686,195572.3
2022-12-08,2.686,2.715,2.598,2.702,139878.7
2022-12-09,2.699,2.779,2.678,2.719,182521.5
2022-12-10,2.721,2.765,2.66,2.693,227793.7
2022-12-11,2.692,2.7,2.613,2.621,104706.4
2022-12-12,2.618,2.627,2.482,2.556,194064.0
2022-12-13,2.559,2.925,2.395,2.583,885515.8
2022-12-14,2.584,2.712,2.54,2.708,443177.9
2022-12-15,2.71,2.779,2.545,2.56,468708.0
2022-12-16,2.56,2.619,2.396,2.398,345552.0
2022-12-17,2.406,2.598,2.316,2.462,486063.2
2022-12-18,2.461,2.555,2.384,2.424,333432.8
2022-12-19,2.42,2.45,2.28,2.288,168304.6
2022-12-20,2.293,2.425,2.282,2.396,146429.8
2022-12-21,2.389,2.456,2.341,2.404,210016.1
2022-12-22,2.408,2.425,2.343,2.378,96709.1
2022-12-23,2.378,2.592,2.36,2.406,326869.0
2022-12-24,2.408,2.469,2.388,2.412,152917.4
2022-12-25,2.414,2.474,2.379,2.398,102137.6
2022-12-26,2.399,2.411,2.362,2.396,78362.9
2022-12-27,2.399,2.408,2.335,2.362,66364.3
2022-12-28,2.362,2.655,2.327,2.331,303294.9
2022-12-29,2.332,2.459,2.325,2.359,224090.4
2022-12-30,2.359,2.369,2.304,2.342,102120.3
2022-12-31,2.34,2.372,2.337,2.342,59931.1
2023-01-01,2.345,2.389,2.338,2.382,56169.5
2023-01-02,2.381,2.404,2.363,2.392,60065.8
2023-01-03,2.39,2.434,2.376,2.418,142690.6
2023-01-04,2.418,2.462,2.386,2.408,143438.6
2023-01-05,2.408,2.624,2.401,2.54,673436.7
2023-01-06,2.54,2.551,2.448,2.486,156281.0
2023-01-07,2.487,2.528,2.481,2.503,100346.4
2023-01-08,2.501,2.516,2.458,2.494,119236.9
2023-01-09,2.504,2.549,2.474,2.493,158008.6
2023-01-10,2.49,2.591,2.48,2.54,210525.6
2023-01-11,2.54,2.563,2.49,2.534,115395.7
2023-01-12,2.537,2.577,2.49,2.544,177732.2
2023-01-13,2.545,2.65,2.53,2.598,253191.5
2023-01-14,2.598,3.14,2.597,2.837,1553084.7
2023-01-15,2.837,2.973,2.777,2.888,503406.8
2023-01-16,2.9,3.012,2.834,2.887,455144.4
2023-01-17,2.886,2.95,2.786,2.871,181236.0
2023-01-18,2.87,2.94,2.682,2.712,241961.8
2023-01-19,2.712,3.0,2.701,2.822,323535.4
2023-01-20,2.822,3.108,2.789,2.951,583654.9
2023-01-21,2.955,3.117,2.909,2.916,347374.7
2023-01-22,2.915,3.037,2.889,2.93,260753.9
2023-01-23,2.93,3.077,2.908,2.973,232289.4
2023-01-24,2.972,3.069,2.833,2.846,310634.8
2023-01-25,2.85,2.969,2.766,2.899,308039.0
2023-01-26,2.899,2.945,2.861,2.901,149016.8
2023-01-27,2.901,2.95,2.862,2.919,155189.9
2023-01-28,2.919,2.966,2.884,2.94,177156.9
2023-01-29,2.932,2.986,2.91,2.938,215435.2
2023-01-30,2.938,2.95,2.764,2.806,191977.6
2023-01-31,2.802,2.875,2.792,2.842,98583.0
2023-02-01,2.84,2.893,2.74,2.853,166500.5
2023-02-02,2.861,2.936,2.837,2.853,195283.8
2023-02-03,2.856,3.082,2.844,2.994,470517.0
2023-02-04,2.994,3.015,2.938,2.94,123740.6
2023-02-05,2.943,2.962,2.83,2.877,154832.2
2023-02-06,2.884,2.95,2.846,2.868,118351.5
2023-02-07,2.874,3.02,2.869,2.999,202120.0
2023-02-08,3.0,3.221,2.933,3.112,822054.2
2023-02-09,3.112,3.267,2.87,2.886,598895.2
2023-02-10,2.898,2.951,2.812,2.864,229631.6
2023-02-11,2.867,3.007,2.861,2.949,225439.4
2023-02-12,2.951,3.04,2.881,2.926,133049.4
2023-02-13,2.92,3.02,2.834,2.919,192504.3
2023-02-14,2.922,2.969,2.872,2.945,133471.8
2023-02-15,2.945,3.061,2.915,3.045,205737.6
2023-02-16,3.043,3.108,2.902,2.908,362344.8
2023-02-17,2.913,3.061,2.9,3.004,158984.7
2023-02-18,3.001,3.026,2.947,2.99,131859.6
2023-02-19,2.987,3.097,2.958,3.026,242091.8
2023-02-20,3.022,3.077,2.954,3.01,287786.7
2023-02-21,3.01,3.058,2.903,2.946,322347.5
2023-02-22,2.945,2.975,2.872,2.954,158832.4
2023-02-23,2.949,2.979,2.883,2.913,145669.0
2023-02-24,2.906,3.03,2.855,2.909,409710.5
2023-02-25,2.909,3.23,2.778,2.882,1238415.9
2023-02-26,2.881,2.932,2.859,2.879,172392.0
2023-02-27,2.879,2.91,2.846,2.89,119538.9
2023-02-28,2.89,2.9,2.731,2.752,161819.5
2023-03-01,2.752,2.845,2.742,2.839,103532.7
2023-03-02,2.836,2.846,2.77,2.803,58470.3
2023-03-03,2.802,2.802,2.62,2.664,109291.3
2023-03-04,2.665,2.741,2.626,2.672,113827.5
2023-03-05,2.674,2.798,2.664,2.685,165974.3
2023-03-06,2.678,2.693,2.636,2.674,62961.3
2023-03-07,2.677,2.837,2.62,2.746,488914.4
2023-03-08,2.747,2.814,2.608,2.613,353561.6
2023-03-09,2.611,3.17,2.487,2.528,1011734.1
2023-03-10,2.528,2.971,2.439,2.603,905821.9
2023-03-11,2.601,2.68,2.48,2.56,290678.2
2023-03-12,2.56,2.629,2.529,2.618,220936.6
2023-03-13,2.623,2.698,2.551,2.647,370951.0
2023-03-14,2.651,2.786,2.629,2.693,299874.0
2023-03-15,2.693,2.866,2.642,2.678,570260.6
2023-03-16,2.677,2.823,2.656,2.695,315922.6
2023-03-17,2.694,2.756,2.674,2.756,184697.5
2023-03-18,2.756,2.795,2.687,2.701,145441.6
2023-03-19,2.698,2.775,2.677,2.677,139402.3
2023-03-20,2.684,2.713,2.623,2.626,94671.6
2023-03-21,2.627,2.7,2.61,2.67,89355.3
2023-03-22,2.671,2.676,2.528,2.56,114619.5
2023-03-23,2.565,2.635,2.545,2.61,88655.7
2023-03-24,2.613,2.729,2.553,2.642,352911.4
2023-03-25,2.642,2.69,2.533,2.558,189359.1
2023-03-26,2.558,2.614,2.543,2.587,59618.4
2023-03-27,2.587,2.593,2.461,2.502,82522.3
2023-03-28,2.502,2.548,2.466,2.525,65915.2
2023-03-29,2.525,2.6,2.522,2.587,76645.3
2023-03-30,2.587,2.753,2.555,2.694,678258.6
2023-03-31,2.686,2.707,2.611,2.654,162452.4
2023-04-01,2.654,2.665,2.622,2.627,91579.2
2023-04-02,2.633,2.651,2.565,2.615,162396.0
2023-04-03,2.613,2.723,2.552,2.637,514335.7
2023-04-04,2.635,2.678,2.625,2.638,105498.3
2023-04-05,2.642,2.678,2.616,2.665,84955.1
2023-04-06,2.667,2.667,2.615,2.645,47672.0
2023-04-07,2.645,3.35,2.588,3.167,4345620.5
2023-04-08,3.168,4.796,3.04,3.235,16602674.5
2023-04-09,3.231,3.58,2.944,3.002,2610311.7
2023-04-10,2.998,4.29,2.856,3.754,6975215.0
2023-04-11,3.755,3.92,3.231,3.338,5003064.0
2023-04-12,3.337,3.408,3.094,3.152,1156362.4
2023-04-13,3.156,3.4,3.076,3.275,1055274.6
2023-04-14,3.275,3.51,3.135,3.345,1955139.7
2023-04-15,3.343,3.527,3.217,3.245,1155336.2
