date,open,high,low,close,volume
2022-08-23,0.0408,0.041,0.0393,0.0405,27068893.6
2022-08-24,0.0405,0.0414,0.0398,0.0403,28300875.5
2022-08-25,0.0402,0.0417,0.04,0.0403,27150000.5
2022-08-26,0.0402,0.0412,0.0369,0.038,44478111.7
2022-08-27,0.0379,0.0385,0.0366,0.037,24254266.7
2022-08-28,0.0369,0.037,0.035,0.0351,18663393.5
2022-08-29,0.035,0.0377,0.0348,0.0371,21200781.5
2022-08-30,0.0371,0.0376,0.0352,0.0362,18704998.1
2022-08-31,0.0361,0.0372,0.0354,0.0357,17482903.0
2022-09-01,0.0358,0.0369,0.0353,0.0366,16421862.0
2022-09-02,0.0367,0.0372,0.0357,0.0362,15497308.1
2022-09-03,0.0361,0.0365,0.0355,0.0358,10842314.3
2022-09-04,0.0358,0.0378,0.0355,0.0366,11312288.3
2022-09-05,0.0366,0.038,0.0356,0.0365,13314248.3
2022-09-06,0.0366,0.0379,0.035,0.0355,25634240.0
2022-09-07,0.0355,0.0359,0.0328,0.0351,35044088.6
2022-09-08,0.0352,0.0355,0.0341,0.0352,17342544.6
2022-09-09,0.0353,0.0379,0.0353,0.0378,39609906.8
2022-09-10,0.0379,0.0386,0.037,0.0381,25934222.2
2022-09-11,0.0381,0.0389,0.036,0.0376,42678510.8
2022-09-12,0.0375,0.046,0.0369,0.0407,168686744.0
2022-09-13,0.0406,0.0454,0.0378,0.0411,205848617.6
2022-09-14,0.0411,0.0422,0.0378,0.039,54547586.0
2022-09-15,0.039,0.0408,0.0351,0.0366,48066544.2
2022-09-16,0.0366,0.038,0.0358,0.037,23482104.5
2022-09-17,0.0369,0.0383,0.0369,0.0376,14120634.5
2022-09-18,0.0376,0.0396,0.0349,0.0362,24563432.9
2022-09-19,0.036,0.0367,0.0344,0.0354,22093029.7
2022-09-20,0.0354,0.0387,0.0347,0.0359,51724711.7
2022-09-21,0.0359,0.0373,0.0342,0.0348,35863925.1
2022-09-22,0.0349,0.042,0.0346,0.0402,112353862.8
2022-09-23,0.0402,0.0409,0.0376,0.0396,56876715.3
2022-09-24,0.0396,0.0432,0.0389,0.0396,55142619.8
2022-09-25,0.0396,0.0439,0.0396,0.0414,58875730.9
2022-09-26,0.0414,0.046,0.0402,0.0422,151638413.0
2022-09-27,0.0421,0.0435,0.0402,0.0405,76772801.2
2022-09-28,0.0406,0.0415,0.0384,0.039,68491773.4
2022-09-29,0.039,0.0395,0.0385,0.0389,25040566.8
2022-09-30,0.0389,0.039,0.0373,0.0375,31037671.9
2022-10-01,0.0375,0.0383,0.0365,0.0371,16660013.3
2022-10-02,0.0371,0.0384,0.0363,0.0367,17901244.6
2022-10-03,0.0367,0.038,0.0363,0.0376,16271381.4
2022-10-04,0.0377,0.0385,0.0375,0.038,15249379.3
2022-10-05,0.0379,0.0384,0.0367,0.0373,16453851.1
2022-10-06,0.0372,0.0378,0.0365,0.0366,27076564.6
2022-10-07,0.0366,0.0376,0.0365,0.0373,15286448.5
2022-10-08,0.0372,0.0373,0.0366,0.0369,5720622.2
2022-10-09,0.0369,0.0373,0.0366,0.0371,4263989.1
2022-10-10,0.037,0.0374,0.0358,0.036,11660165.7
2022-10-11,0.0359,0.036,0.0348,0.0351,10911356.2
2022-10-12,0.0351,0.0359,0.0348,0.0352,6608906.6
2022-10-13,0.0352,0.0357,0.0326,0.0344,26317168.8
2022-10-14,0.0345,0.0356,0.0342,0.0345,10714847.9
2022-10-15,0.0344,0.0394,0.0344,0.0365,47392203.5
2022-10-16,0.0366,0.041,0.036,0.0365,84157564.9
2022-10-17,0.0364,0.038,0.0358,0.0365,19012679.7
2022-10-18,0.0365,0.0378,0.0354,0.0377,22882738.5
2022-10-19,0.0376,0.0387,0.0359,0.0366,39677443.4
2022-10-20,0.0366,0.038,0.0357,0.036,16913222.9
2022-10-21,0.036,0.037,0.0347,0.0368,11763792.0
2022-10-22,0.0369,0.0373,0.0362,0.0365,7954290.5
