date,open,high,low,close,volume
2022-08-23,0.1682,0.1737,0.1643,0.173,8465936.0
2022-08-24,0.1731,0.1775,0.1685,0.1722,8938223.0
2022-08-25,0.1722,0.1787,0.171,0.1738,8994773.0
2022-08-26,0.1737,0.1842,0.1586,0.1604,34920407.0
2022-08-27,0.1603,0.1639,0.1557,0.1592,9408690.0
2022-08-28,0.1592,0.1646,0.1547,0.1553,7795502.0
2022-08-29,0.1554,0.1685,0.1532,0.1671,11245052.0
2022-08-30,0.167,0.1693,0.1577,0.1637,7692554.0
2022-08-31,0.1638,0.17,0.1621,0.1628,8824333.0
2022-09-01,0.1627,0.165,0.1568,0.1599,9443703.0
2022-09-02,0.1601,0.1614,0.1511,0.1528,11318541.0
2022-09-03,0.1527,0.1547,0.1508,0.1538,6621123.0
2022-09-04,0.1537,0.1612,0.153,0.1571,11306617.0
2022-09-05,0.1573,0.1627,0.1537,0.1625,11045031.0
2022-09-06,0.1625,0.1668,0.1449,0.1453,18972146.0
2022-09-07,0.1454,0.1544,0.1436,0.1522,9415510.0
2022-09-08,0.1522,0.156,0.1493,0.1551,8759679.0
2022-09-09,0.1551,0.1714,0.155,0.1703,16471069.0
2022-09-10,0.1703,0.1706,0.1641,0.1673,12009334.0
2022-09-11,0.1673,0.171,0.1642,0.1676,8449157.0
2022-09-12,0.1675,0.172,0.1602,0.1686,14020022.0
2022-09-13,0.1685,0.1688,0.1496,0.1504,18108873.0
2022-09-14,0.1505,0.1533,0.1459,0.1514,10357029.0
2022-09-15,0.1513,0.1515,0.143,0.1444,9280162.0
2022-09-16,0.1445,0.1495,0.1404,0.1432,10417273.0
2022-09-17,0.1432,0.1486,0.1432,0.1483,3451599.0
2022-09-18,0.1483,0.1483,0.1306,0.1329,6440090.0
2022-09-19,0.1328,0.1366,0.1288,0.1353,12092811.0
2022-09-20,0.1354,0.139,0.1322,0.1353,11607426.0
2022-09-21,0.1353,0.1411,0.1276,0.1298,15376260.0
2022-09-22,0.1298,0.1406,0.1294,0.1392,10681620.0
2022-09-23,0.1393,0.1424,0.134,0.1386,10029332.0
2022-09-24,0.1387,0.1422,0.1372,0.138,3748993.0
2022-09-25,0.138,0.1449,0.1328,0.1346,10083989.0
2022-09-26,0.1346,0.136,0.1306,0.1354,7966289.0
2022-09-27,0.1352,0.1462,0.135,0.1375,11478717.0
2022-09-28,0.1374,0.1407,0.1323,0.1391,6542003.0
2022-09-29,0.1393,0.1649,0.1378,0.1502,30214973.0
2022-09-30,0.1501,0.2334,0.1438,0.1668,257733949.0
2022-10-01,0.1669,0.1707,0.1572,0.1576,34919957.0
2022-10-02,0.1578,0.1616,0.1512,0.1593,22779142.0
2022-10-03,0.1594,0.1636,0.1472,0.1522,23498220.0
2022-10-04,0.1522,0.1541,0.1476,0.1487,13924800.0
2022-10-05,0.1486,0.1525,0.1454,0.15,12841781.0
2022-10-06,0.1502,0.1515,0.1466,0.1505,11063353.0
2022-10-07,0.1506,0.1642,0.1505,0.1558,44899768.0
2022-10-08,0.1555,0.1572,0.1498,0.151,7926629.0
2022-10-09,0.1509,0.1522,0.148,0.1509,3910766.0
2022-10-10,0.1509,0.1528,0.1415,0.1429,6510966.0
2022-10-11,0.143,0.1437,0.1375,0.1417,7814326.0
2022-10-12,0.1416,0.1459,0.1411,0.143,4776865.0
2022-10-13,0.1432,0.1436,0.1288,0.1383,13277086.0
2022-10-14,0.1381,0.1438,0.1359,0.1378,5729472.0
2022-10-15,0.1378,0.152,0.1364,0.1466,32951035.0
2022-10-16,0.1466,0.159,0.1448,0.1468,29670674.0
2022-10-17,0.1468,0.1478,0.1433,0.1467,6171175.0
2022-10-18,0.1469,0.159,0.1446,0.1512,34138145.0
2022-10-19,0.1512,0.152,0.1432,0.1464,13115722.0
2022-10-20,0.1463,0.1515,0.1458,0.1494,11437524.0
2022-10-21,0.1494,0.1577,0.1462,0.1522,27623029.0
2022-10-22,0.1522,0.1541,0.1483,0.1503,10177275.0
2022-10-23,0.1503,0.1585,0.15,0.1524,16072651.0
2022-10-24,0.1525,0.1633,0.1496,0.1609,22960373.0
2022-10-25,0.1608,0.1649,0.1543,0.1592,18234495.0
2022-10-26,0.1593,0.1636,0.1578,0.1602,9452536.0
2022-10-27,0.1601,0.1662,0.1584,0.159,10443393.0
2022-10-28,0.1591,0.1629,0.1544,0.16,9931259.0
2022-10-29,0.16,0.1687,0.16,0.1638,17903970.0
2022-10-30,0.1638,0.1676,0.1547,0.1573,10278218.0
2022-10-31,0.1574,0.1595,0.1531,0.1552,9186750.0
2022-11-01,0.1553,0.1587,0.154,0.1545,4520344.0
2022-11-02,0.1544,0.1665,0.1521,0.1637,46543584.0
2022-11-03,0.1635,0.2171,0.1626,0.1805,155559201.0
2022-11-04,0.1806,0.1817,0.1667,0.1777,29057728.0
2022-11-05,0.1778,0.1832,0.1691,0.1721,13729401.0
2022-11-06,0.1721,0.1741,0.1613,0.162,13819793.0
2022-11-07,0.1621,0.1687,0.1554,0.1634,14211170.0
2022-11-08,0.1633,0.166,0.1208,0.1334,31354691.0
2022-11-09,0.1333,0.1335,0.1,0.1036,30187950.0
2022-11-10,0.1036,0.1274,0.102,0.1232,36496305.0
2022-11-11,0.1232,0.131,0.1119,0.1199,34781386.0
2022-11-12,0.1198,0.1213,0.1115,0.1128,7393662.0
2022-11-13,0.1128,0.1269,0.1107,0.1197,38309459.0
2022-11-14,0.1195,0.1203,0.1041,0.1098,31889858.0
2022-11-15,0.1098,0.1126,0.1066,0.109,17502270.0
2022-11-16,0.1089,0.1118,0.1019,0.1054,12767168.0
2022-11-17,0.1054,0.1079,0.1014,0.1021,9781389.0
2022-11-18,0.1021,0.1042,0.0994,0.101,11323399.0
2022-11-19,0.1011,0.1018,0.0957,0.1009,12331115.0
2022-11-20,0.1008,0.1103,0.0959,0.0977,59372394.0
2022-11-21,0.0977,0.1042,0.0912,0.1034,37756784.0
2022-11-22,0.1033,0.1052,0.0958,0.1036,25706204.0
2022-11-23,0.1036,0.1102,0.1028,0.1096,36870928.0
2022-11-24,0.1097,0.111,0.1055,0.1079,18453030.0
2022-11-25,0.1079,0.1084,0.1028,0.1069,14287195.0
2022-11-26,0.1068,0.11,0.1057,0.1075,13676838.0
2022-11-27,0.1076,0.1176,0.1072,0.1123,49923936.0
2022-11-28,0.1121,0.1156,0.1023,0.1074,29331083.0
2022-11-29,0.1074,0.1177,0.1065,0.1123,43570988.0
2022-11-30,0.1123,0.1173,0.1108,0.1165,29956218.0
2022-12-01,0.1165,0.1185,0.1119,0.1134,24822126.0
2022-12-02,0.1134,0.1213,0.111,0.1211,40804850.0
2022-12-03,0.1211,0.1211,0.113,0.1138,22239411.0
2022-12-04,0.1137,0.1208,0.1137,0.1184,35810250.0
2022-12-05,0.1185,0.1202,0.1134,0.1168,18252587.0
2022-12-06,0.1168,0.119,0.1141,0.1158,18180316.0
2022-12-07,0.116,0.1168,0.108,0.11,18987003.0
2022-12-08,0.1101,0.1112,0.106,0.1105,17820021.0
2022-12-09,0.1105,0.1185,0.1101,0.1134,36949297.0
2022-12-10,0.1134,0.1149,0.1112,0.1131,13367883.0
2022-12-11,0.1131,0.1137,0.1085,0.1089,10408647.0
2022-12-12,0.1089,0.1153,0.1043,0.1153,25413579.0
2022-12-13,0.1154,0.1154,0.1074,0.1143,20792801.0
2022-12-14,0.1143,0.1157,0.1103,0.1129,10444455.0
2022-12-15,0.1128,0.1185,0.1104,0.1125,19313812.0
2022-12-16,0.1125,0.1139,0.0976,0.0993,19445049.0
2022-12-17,0.0993,0.1025,0.0964,0.1022,11886445.0
2022-12-18,0.1023,0.103,0.1001,0.1008,7787748.0
2022-12-19,0.1009,0.1022,0.093,0.0941,10011742.0
2022-12-20,0.0941,0.0996,0.0937,0.0981,6609171.0
2022-12-21,0.0982,0.0983,0.0917,0.0938,10084143.0
2022-12-22,0.0938,0.0975,0.0926,0.0959,12516912.0
2022-12-23,0.0959,0.097,0.0957,0.096,6053900.0
2022-12-24,0.0961,0.0973,0.0941,0.0947,4042893.0
2022-12-25,0.0946,0.101,0.0944,0.0956,22972653.0
2022-12-26,0.0957,0.0988,0.0952,0.0981,17909252.0
2022-12-27,0.0982,0.099,0.0929,0.095,11309468.0
2022-12-28,0.095,0.0954,0.0887,0.0907,12822389.0
2022-12-29,0.0907,0.0927,0.0892,0.0912,10793104.0
2022-12-30,0.0911,0.0917,0.0882,0.0903,5261746.0
2022-12-31,0.0904,0.0916,0.0897,0.09,3200138.0
2023-01-01,0.0901,0.0924,0.0896,0.0923,3766446.0
2023-01-02,0.0924,0.0944,0.0908,0.0933,8299473.0
2023-01-03,0.0933,0.0957,0.093,0.0947,7842890.0
2023-01-04,0.0948,0.0973,0.0942,0.096,7696511.0
2023-01-05,0.096,0.097,0.0922,0.0929,8443422.0
2023-01-06,0.0929,0.0937,0.0901,0.0934,9402309.0
2023-01-07,0.0934,0.0948,0.0929,0.094,5231735.0
2023-01-08,0.094,0.0983,0.0934,0.098,7368745.0
2023-01-09,0.098,0.103,0.0973,0.1001,15343028.0
2023-01-10,0.1001,0.1024,0.0985,0.1008,8787533.0
2023-01-11,0.1008,0.1014,0.0955,0.1002,10754164.0
2023-01-12,0.1003,0.1062,0.0979,0.1039,17850287.0
2023-01-13,0.1039,0.1088,0.103,0.108,14426113.0
2023-01-14,0.1079,0.1167,0.1043,0.1146,33471471.0
2023-01-15,0.1146,0.1163,0.1088,0.1144,17154292.0
2023-01-16,0.1143,0.1184,0.1095,0.1156,23279670.0
2023-01-17,0.1155,0.1193,0.113,0.115,16898039.0
2023-01-18,0.115,0.1186,0.1055,0.1069,21103507.0
2023-01-19,0.107,0.11,0.1059,0.1095,9788536.0
2023-01-20,0.1094,0.1182,0.1073,0.1178,11747251.0
2023-01-21,0.1178,0.1235,0.1163,0.1205,23843735.0
2023-01-22,0.1205,0.1434,0.1189,0.1214,69759965.0
2023-01-23,0.1216,0.1271,0.1215,0.1255,20339105.0
2023-01-24,0.1256,0.1309,0.1204,0.1233,23866148.0
2023-01-25,0.1233,0.1276,0.1162,0.1255,20015294.0
2023-01-26,0.1254,0.1323,0.1224,0.129,26969343.0
2023-01-27,0.129,0.1365,0.1249,0.1362,33584919.0
2023-01-28,0.1362,0.1416,0.1313,0.1339,29550804.0
2023-01-29,0.1339,0.142,0.1327,0.1383,33711249.0
2023-01-30,0.1383,0.141,0.1295,0.1348,37402498.0
2023-01-31,0.1348,0.147,0.1327,0.144,53731667.0
2023-02-01,0.1441,0.1539,0.14,0.1512,107132260.0
2023-02-02,0.1513,0.173,0.1495,0.1647,115034671.0
2023-02-03,0.1647,0.1677,0.16,0.164,40449312.0
2023-02-04,0.1641,0.1667,0.1611,0.1644,24465137.0
2023-02-05,0.1645,0.17,0.1488,0.1553,42039929.0
2023-02-06,0.1553,0.1669,0.155,0.1581,31305231.0
2023-02-07,0.1581,0.1906,0.1578,0.1867,72884177.0
2023-02-08,0.1867,0.1877,0.1676,0.1719,34571485.0
2023-02-09,0.1719,0.1757,0.1417,0.1467,43072185.0
2023-02-10,0.1467,0.175,0.1438,0.1594,63656154.0
2023-02-11,0.1593,0.1749,0.1588,0.1726,34259388.0
2023-02-12,0.1726,0.1884,0.1689,0.1724,65569091.0
2023-02-13,0.1724,0.1747,0.155,0.1618,34189673.0
2023-02-14,0.1618,0.1816,0.1584,0.1786,39215357.0
2023-02-15,0.1786,0.1935,0.1771,0.192,39232948.0
2023-02-16,0.192,0.205,0.1823,0.187,67771122.0
2023-02-17,0.187,0.2084,0.187,0.2013,44689070.0
2023-02-18,0.2013,0.2052,0.1926,0.1958,21904702.0
2023-02-19,0.1958,0.2009,0.1847,0.1882,32667645.0
2023-02-20,0.1882,0.2132,0.185,0.2039,43698484.0
2023-02-21,0.2039,0.2066,0.1895,0.1957,26690945.0
2023-02-22,0.1959,0.2048,0.186,0.1999,31399177.0
2023-02-23,0.1999,0.2207,0.1959,0.1991,42373192.0
2023-02-24,0.1991,0.2005,0.1722,0.1769,29205708.0
2023-02-25,0.1769,0.1784,0.1689,0.1753,16058391.0
2023-02-26,0.1753,0.1825,0.1745,0.1809,11885381.0
2023-02-27,0.1809,0.1838,0.1731,0.176,11466258.0
2023-02-28,0.1761,0.1813,0.1665,0.1674,12660965.0
2023-03-01,0.1673,0.1787,0.1667,0.1763,12120167.0
2023-03-02,0.1763,0.1784,0.1667,0.1717,8685503.0
2023-03-03,0.1718,0.1719,0.1486,0.1572,13933133.0
2023-03-04,0.1572,0.16,0.1456,0.1499,9052174.0
2023-03-05,0.1498,0.1648,0.1486,0.1602,31264484.0
2023-03-06,0.1603,0.1675,0.1573,0.1622,23064872.0
2023-03-07,0.1623,0.1667,0.1576,0.1617,23599309.0
2023-03-08,0.1618,0.1637,0.147,0.1512,20152976.0
2023-03-09,0.1512,0.1601,0.138,0.1423,34187690.0
2023-03-10,0.1423,0.1452,0.1321,0.143,27306570.0
2023-03-11,0.143,0.1455,0.133,0.1407,14928814.0
2023-03-12,0.1406,0.1525,0.1383,0.1525,18838666.0
2023-03-13,0.1525,0.1584,0.1438,0.1565,34007625.0
2023-03-14,0.1566,0.169,0.1518,0.1622,41517877.0
2023-03-15,0.1622,0.1662,0.1427,0.1461,32110410.0
2023-03-16,0.1462,0.16,0.1433,0.1579,35637169.0
2023-03-17,0.158,0.1727,0.1534,0.1707,49474118.0
2023-03-18,0.1707,0.176,0.1542,0.161,46972725.0
2023-03-19,0.1609,0.1693,0.1588,0.1644,24253531.0
2023-03-20,0.1645,0.1683,0.1553,0.156,26487195.0
2023-03-21,0.1561,0.1604,0.1493,0.159,20107177.0
2023-03-22,0.159,0.1598,0.1442,0.1497,21719304.0
2023-03-23,0.1498,0.1628,0.1483,0.1615,23397294.0
2023-03-24,0.1617,0.1658,0.1523,0.1548,24237573.0
2023-03-25,0.1547,0.1567,0.1487,0.1511,14674351.0
2023-03-26,0.151,0.154,0.1493,0.1528,11704556.0
2023-03-27,0.1529,0.1536,0.1412,0.1452,17402493.0
2023-03-28,0.1452,0.1502,0.1409,0.1492,14678664.0
2023-03-29,0.1493,0.1623,0.1482,0.1604,25221097.0
2023-03-30,0.1605,0.1662,0.1538,0.1642,31087741.0
2023-03-31,0.1642,0.166,0.1586,0.1642,19492282.0
2023-04-01,0.1643,0.1678,0.1623,0.1631,12051518.0
2023-04-02,0.1631,0.1639,0.1556,0.1585,13789299.0
2023-04-03,0.1586,0.1625,0.1528,0.1601,14690714.0
2023-04-04,0.1601,0.1637,0.1585,0.1626,10959403.0
2023-04-05,0.1625,0.1657,0.1582,0.1618,11450394.0
2023-04-06,0.1618,0.1688,0.1587,0.1641,28922437.0
2023-04-07,0.1641,0.1712,0.1622,0.1643,20977264.0
2023-04-08,0.1643,0.1753,0.1623,0.1689,30033193.0
2023-04-09,0.169,0.1728,0.1608,0.1665,16645472.0
2023-04-10,0.1666,0.1717,0.164,0.171,18773045.0
2023-04-11,0.1709,0.1767,0.1692,0.1735,18406579.0
2023-04-12,0.1735,0.1744,0.165,0.1705,14595900.0
2023-04-13,0.1706,0.1775,0.1689,0.1737,17469163.0
2023-04-14,0.1737,0.1776,0.1695,0.1756,17611697.0
2023-04-15,0.1755,0.1821,0.1725,0.1819,24111544.0
2023-04-16,0.182,0.1869,0.1782,0.1817,20874895.0
2023-04-17,0.1818,0.1852,0.176,0.1819,23780020.0
2023-04-18,0.182,0.1986,0.1809,0.1911,63055665.0
2023-04-19,0.1912,0.1917,0.1654,0.1691,32371540.0
2023-04-20,0.169,0.1705,0.1583,0.1632,21921296.0
2023-04-21,0.1631,0.1648,0.148,0.1543,18373352.0
2023-04-22,0.1543,0.1609,0.1525,0.1598,10777861.0
2023-04-23,0.1598,0.1599,0.1505,0.1554,13699625.0
2023-04-24,0.1554,0.1587,0.1512,0.1555,11273930.0
2023-04-25,0.1555,0.1611,0.1515,0.1605,9611545.0
2023-04-26,0.1605,0.1678,0.1489,0.159,16448051.0
2023-04-27,0.1589,0.1638,0.1554,0.1592,10172488.0
2023-04-28,0.1592,0.1595,0.1538,0.1563,9843499.0
2023-04-29,0.1562,0.1609,0.1549,0.1572,13466873.0
2023-04-30,0.1572,0.1573,0.1511,0.1512,10739591.0
2023-05-01,0.1513,0.1525,0.146,0.149,8553682.0
2023-05-02,0.1489,0.1529,0.1473,0.1524,8096973.0
2023-05-03,0.1525,0.157,0.1484,0.1558,8559278.0
2023-05-04,0.1558,0.1566,0.1505,0.1521,4419017.0
2023-05-05,0.152,0.1569,0.1514,0.1545,5943375.0
2023-05-06,0.1546,0.1558,0.145,0.148,8206256.0
2023-05-07,0.1479,0.1486,0.1446,0.1451,3600442.0
2023-05-08,0.1451,0.1463,0.124,0.1258,14864918.0
2023-05-09,0.1257,0.1281,0.1249,0.1265,8158668.0
2023-05-10,0.1265,0.1325,0.1222,0.1314,14660425.0
2023-05-11,0.1314,0.1314,0.1206,0.1246,8191452.0
2023-05-12,0.1245,0.1278,0.1201,0.1278,7065548.0
