date,open,high,low,close,volume
2022-08-23,5.42,5.53,5.18,5.38,497078.94
2022-08-24,5.4,5.4,5.16,5.19,276106.73
2022-08-25,5.19,5.29,5.03,5.05,210650.62
2022-08-26,5.05,5.12,4.45,4.47,382042.96
2022-08-27,4.47,4.61,4.09,4.59,336570.81
2022-08-28,4.59,4.84,4.34,4.34,416781.11
2022-08-29,4.36,4.59,4.3,4.53,145521.11
2022-08-30,4.55,4.65,4.38,4.47,143667.98
2022-08-31,4.49,5.14,4.44,4.79,863123.71
2022-09-01,4.79,5.11,4.59,4.79,397161.45
2022-09-02,4.79,5.02,4.73,4.95,298348.81
2022-09-03,4.95,5.2,4.83,4.96,374553.91
2022-09-04,4.97,5.04,4.8,4.88,200237.72
2022-09-05,4.88,5.0,4.66,4.72,257902.32
2022-09-06,4.72,4.81,4.37,4.37,214034.33
2022-09-07,4.37,4.56,4.31,4.49,229752.39
2022-09-08,4.5,4.58,4.42,4.54,127443.2
2022-09-09,4.53,4.78,4.53,4.61,208569.49
2022-09-10,4.61,4.68,4.56,4.63,121522.08
2022-09-11,4.62,4.92,4.56,4.64,290907.05
2022-09-12,4.64,4.66,4.46,4.55,151534.59
2022-09-13,4.56,4.91,4.39,4.5,477715.61
2022-09-14,4.51,4.61,4.31,4.38,241019.44
2022-09-15,4.36,4.4,4.2,4.21,205317.38
2022-09-16,4.22,4.49,4.18,4.31,231391.73
2022-09-17,4.32,4.48,4.3,4.45,112836.49
2022-09-18,4.45,4.57,4.2,4.22,187472.35
2022-09-19,4.22,4.44,4.1,4.26,277864.96
2022-09-20,4.25,4.31,4.17,4.18,115453.08
2022-09-21,4.18,4.41,4.09,4.2,162551.34
2022-09-22,4.19,4.5,4.19,4.46,230823.48
2022-09-23,4.45,4.75,4.43,4.69,503182.87
2022-09-24,4.69,4.71,4.45,4.45,224763.21
2022-09-25,4.46,4.68,4.45,4.61,304031.42
2022-09-26,4.61,4.66,4.24,4.37,283050.21
2022-09-27,4.37,4.7,4.36,4.55,225292.39
2022-09-28,4.55,5.17,4.49,4.78,851309.86
2022-09-29,4.8,5.28,4.69,4.84,561089.76
2022-09-30,4.84,4.89,4.66,4.68,200556.54
2022-10-01,4.68,4.71,4.59,4.59,91810.31
2022-10-02,4.59,4.6,4.42,4.48,96542.66
2022-10-03,4.48,4.54,4.3,4.45,115439.12
2022-10-04,4.45,4.53,4.4,4.49,179629.18
2022-10-05,4.48,4.51,4.35,4.4,95049.39
2022-10-06,4.39,4.52,4.36,4.39,86660.17
2022-10-07,4.4,4.45,4.32,4.39,64041.12
2022-10-08,4.4,4.47,4.34,4.39,35419.17
2022-10-09,4.39,4.39,4.3,4.34,28160.0
2022-10-10,4.34,4.37,3.91,3.91,167538.9
2022-10-11,3.91,3.93,3.66,3.71,186339.96
2022-10-12,3.71,3.78,3.66,3.72,71436.88
2022-10-13,3.7,3.72,3.28,3.53,204686.64
2022-10-14,3.53,3.82,3.4,3.43,284341.69
2022-10-15,3.43,3.49,3.39,3.4,83886.74
2022-10-16,3.41,3.63,3.38,3.43,203001.81
2022-10-17,3.43,3.52,3.37,3.47,178452.55
2022-10-18,3.47,3.5,3.35,3.38,128220.58
2022-10-19,3.39,3.39,3.22,3.25,111753.27
2022-10-20,3.24,3.27,3.12,3.14,135431.18
2022-10-21,3.14,3.2,2.93,3.13,276909.14
2022-10-22,3.14,3.18,3.09,3.11,82112.84
2022-10-23,3.12,3.18,3.07,3.17,60178.71
2022-10-24,3.17,3.43,3.12,3.24,395606.49
2022-10-25,3.24,3.4,3.24,3.32,248064.97
2022-10-26,3.32,3.45,3.31,3.34,158134.17
2022-10-27,3.34,3.46,3.27,3.28,119171.63
2022-10-28,3.28,3.35,3.19,3.29,70548.58
2022-10-29,3.31,3.43,3.3,3.34,119047.82
2022-10-30,3.34,3.61,3.31,3.41,429816.16
2022-10-31,3.42,4.2,3.32,3.57,1011228.5
