date,open,high,low,close,volume
2022-08-23,11.089,12.39,10.967,12.122,5930993.11
2022-08-24,12.13,13.45,11.595,13.019,8558648.46
2022-08-25,13.021,13.432,12.56,12.859,6263226.91
2022-08-26,12.853,13.129,11.339,11.549,7256116.83
2022-08-27,11.549,11.549,10.687,11.171,4763181.19
2022-08-28,11.17,11.376,10.452,10.567,2751168.28
2022-08-29,10.565,11.729,10.173,11.435,3934061.85
2022-08-30,11.434,12.17,11.115,11.927,5160873.78
2022-08-31,11.93,12.349,11.546,11.816,3841325.73
2022-09-01,11.816,12.852,11.456,12.733,4031565.01
2022-09-02,12.734,13.078,12.327,12.611,3522484.26
2022-09-03,12.609,12.88,12.126,12.623,2290920.45
2022-09-04,12.622,13.05,12.401,13.045,2124599.68
2022-09-05,13.046,13.359,12.474,12.633,2229818.62
2022-09-06,12.63,12.989,11.75,11.779,3928619.99
2022-09-07,11.775,13.249,11.536,12.929,3791678.48
2022-09-08,12.93,14.149,12.626,13.883,5941151.54
2022-09-09,13.887,17.198,13.753,16.128,10412714.56
2022-09-10,16.131,16.414,15.457,15.992,5142716.66
2022-09-11,15.991,16.313,15.228,15.693,3269962.88
2022-09-12,15.693,16.524,14.969,15.528,4991276.55
2022-09-13,15.528,16.213,13.708,13.9,6344349.57
2022-09-14,13.898,14.445,13.38,13.969,3590401.19
2022-09-15,13.973,15.568,13.224,14.897,7365285.5
2022-09-16,14.899,16.8,14.6,16.605,7752475.36
2022-09-17,16.6,16.964,16.038,16.405,4971229.88
2022-09-18,16.406,16.412,14.57,14.693,4769368.36
2022-09-19,14.701,16.061,14.604,15.62,8070915.79
2022-09-20,15.618,15.889,13.817,13.919,5485331.03
2022-09-21,13.917,15.1,12.955,13.39,8587280.12
2022-09-22,13.386,14.996,13.263,14.633,6252663.72
2022-09-23,14.629,15.269,13.441,14.223,6977954.12
2022-09-24,14.222,14.292,13.556,13.635,3080741.04
2022-09-25,13.635,14.835,13.593,13.976,4663322.79
2022-09-26,13.972,14.899,13.748,13.913,6599448.3
2022-09-27,13.909,14.74,13.159,13.491,6010058.33
2022-09-28,13.489,13.584,12.626,12.997,5182644.36
2022-09-29,12.997,13.076,12.421,12.771,3951949.99
2022-09-30,12.773,13.247,12.61,13.024,3787146.69
2022-10-01,13.023,13.099,12.49,12.682,1589711.08
2022-10-02,12.683,12.896,11.954,11.992,2297392.21
2022-10-03,11.991,12.957,11.825,12.855,3540214.85
2022-10-04,12.856,13.286,12.746,13.019,2938301.46
2022-10-05,13.02,13.136,12.615,13.005,2120541.33
2022-10-06,13.005,13.461,12.871,13.016,3442348.1
2022-10-07,13.016,13.091,12.648,13.056,2444568.2
2022-10-08,13.056,13.35,12.944,13.148,2054083.23
2022-10-09,13.147,13.275,13.033,13.194,1173539.93
2022-10-10,13.191,13.27,12.34,12.436,1854551.91
2022-10-11,12.435,12.538,12.097,12.173,2037518.63
2022-10-12,12.173,12.215,11.655,11.742,1884472.33
2022-10-13,11.739,11.812,10.552,11.339,3945132.39
2022-10-14,11.337,12.274,11.297,11.643,2987570.57
2022-10-15,11.645,11.767,11.436,11.515,1079044.64
2022-10-16,11.514,11.851,11.502,11.699,1059351.57
2022-10-17,11.698,12.499,11.635,12.43,2165607.5
2022-10-18,12.43,12.775,12.11,12.522,2384578.05
2022-10-19,12.522,12.643,11.692,11.753,2288684.96
2022-10-20,11.753,12.0,11.232,11.378,1983252.05
2022-10-21,11.378,11.784,10.917,11.736,2134147.66
2022-10-22,11.737,11.892,11.463,11.715,1240901.74
2022-10-23,11.714,12.138,11.434,12.114,1389978.72
2022-10-24,12.114,12.174,11.582,11.65,1575244.74
2022-10-25,11.65,12.368,11.543,11.999,2267545.92
2022-10-26,12.0,12.543,11.917,12.278,2699503.74
2022-10-27,12.279,13.238,12.261,12.655,4256958.26
2022-10-28,12.658,13.84,12.595,13.53,7136921.82
2022-10-29,13.537,13.97,13.34,13.472,3346514.02
2022-10-30,13.473,14.13,13.304,13.92,3031314.96
2022-10-31,13.92,14.5,13.783,14.319,3570806.46
2022-11-01,14.321,14.462,13.85,14.074,2059461.11
2022-11-02,14.08,14.232,13.016,13.295,3043015.49
2022-11-03,13.295,13.9,13.252,13.51,2254464.64
2022-11-04,13.51,15.198,13.409,15.035,4580906.2
2022-11-05,15.029,15.814,14.955,15.38,3293656.22
2022-11-06,15.384,15.41,14.431,14.443,2368996.29
2022-11-07,14.444,14.805,13.86,14.275,3498112.75
2022-11-08,14.276,14.444,11.232,12.146,8341297.23
2022-11-09,12.152,12.326,9.37,9.791,7516810.93
2022-11-10,9.786,12.511,9.567,12.17,8009015.99
2022-11-11,12.162,12.42,11.177,11.672,4023675.08
2022-11-12,11.676,11.703,10.84,10.951,1882811.3
2022-11-13,10.953,11.107,10.05,10.19,3084666.25
2022-11-14,10.186,10.705,9.616,10.329,4049126.02
2022-11-15,10.329,10.89,10.186,10.556,2465695.24
2022-11-16,10.557,10.637,9.962,10.152,2048566.23
2022-11-17,10.152,10.201,9.853,9.918,1645943.2
2022-11-18,9.92,10.246,9.786,9.972,1708787.37
2022-11-19,9.972,10.058,9.737,9.995,1002202.2
