date,open,high,low,close,volume
2022-08-23,0.304,0.314,0.294,0.31,5894912.2
2022-08-24,0.311,0.339,0.304,0.32,11637354.4
2022-08-25,0.321,0.329,0.309,0.316,6555861.9
2022-08-26,0.316,0.32,0.277,0.283,9301824.6
2022-08-27,0.282,0.291,0.279,0.283,5062120.7
2022-08-28,0.283,0.294,0.278,0.279,4763417.9
2022-08-29,0.279,0.3,0.275,0.298,4985244.9
2022-08-30,0.298,0.304,0.278,0.285,6267113.3
2022-08-31,0.284,0.293,0.278,0.279,5941528.3
2022-09-01,0.279,0.284,0.271,0.283,5520779.0
2022-09-02,0.282,0.289,0.276,0.28,4889058.8
2022-09-03,0.28,0.286,0.278,0.286,2527754.6
2022-09-04,0.286,0.296,0.283,0.295,3657890.3
2022-09-05,0.296,0.298,0.279,0.283,5612168.3
2022-09-06,0.283,0.29,0.238,0.257,15092227.7
2022-09-07,0.257,0.288,0.255,0.283,6132759.0
2022-09-08,0.283,0.289,0.272,0.281,5869644.1
2022-09-09,0.281,0.299,0.28,0.289,8559995.1
2022-09-10,0.29,0.296,0.283,0.287,6398858.6
2022-09-11,0.288,0.293,0.28,0.282,5318135.5
2022-09-12,0.282,0.319,0.276,0.293,29321523.1
2022-09-13,0.293,0.294,0.253,0.258,24866369.1
2022-09-14,0.257,0.262,0.245,0.253,11818740.2
2022-09-15,0.253,0.255,0.24,0.242,7859955.5
2022-09-16,0.242,0.246,0.238,0.245,5794404.3
2022-09-17,0.244,0.252,0.244,0.251,2467097.7
2022-09-18,0.251,0.251,0.208,0.219,8681245.0
2022-09-19,0.219,0.23,0.212,0.228,7217277.7
2022-09-20,0.228,0.23,0.217,0.22,5274490.8
2022-09-21,0.219,0.233,0.212,0.216,10438956.9
2022-09-22,0.217,0.229,0.215,0.227,5579640.4
2022-09-23,0.227,0.231,0.212,0.222,9384334.0
2022-09-24,0.222,0.224,0.215,0.216,4576585.8
2022-09-25,0.216,0.22,0.21,0.212,5351321.5
2022-09-26,0.212,0.219,0.207,0.218,4641823.6
2022-09-27,0.218,0.229,0.208,0.212,7891010.0
2022-09-28,0.212,0.216,0.206,0.214,5331215.1
2022-09-29,0.214,0.217,0.207,0.214,5682666.7
2022-09-30,0.214,0.225,0.211,0.214,9480956.7
2022-10-01,0.214,0.217,0.212,0.214,1870854.0
2022-10-02,0.214,0.216,0.207,0.207,2855316.9
2022-10-03,0.207,0.218,0.203,0.216,5244056.6
2022-10-04,0.215,0.223,0.214,0.22,10116995.9
2022-10-05,0.22,0.222,0.208,0.215,6571761.4
2022-10-06,0.214,0.219,0.207,0.209,6435102.5
2022-10-07,0.209,0.211,0.205,0.206,3954977.7
2022-10-08,0.206,0.207,0.201,0.203,5356856.1
2022-10-09,0.203,0.204,0.198,0.201,9134964.2
2022-10-10,0.2,0.203,0.185,0.187,11668116.1
2022-10-11,0.187,0.189,0.176,0.185,5864054.6
2022-10-12,0.185,0.189,0.185,0.186,1683006.2
2022-10-13,0.187,0.188,0.166,0.183,7976190.3
2022-10-14,0.184,0.191,0.179,0.181,4117459.4
2022-10-15,0.181,0.19,0.18,0.184,6135438.8
2022-10-16,0.185,0.193,0.184,0.19,6257677.1
2022-10-17,0.19,0.196,0.189,0.193,6114622.1
2022-10-18,0.193,0.195,0.186,0.19,7069221.0
2022-10-19,0.191,0.192,0.179,0.18,5783068.2
2022-10-20,0.18,0.186,0.177,0.18,5884085.1
2022-10-21,0.18,0.182,0.173,0.181,5786743.6
2022-10-22,0.181,0.183,0.178,0.181,4017250.7
2022-10-23,0.181,0.184,0.176,0.183,5558695.5
2022-10-24,0.183,0.185,0.179,0.183,6418438.9
2022-10-25,0.183,0.194,0.181,0.19,7627313.4
2022-10-26,0.19,0.195,0.189,0.192,7183129.9
2022-10-27,0.192,0.203,0.187,0.187,10959722.7
