date,open,high,low,close,volume
2022-08-23,14.23,14.87,13.7,14.69,877660.98
2022-08-24,14.69,15.08,14.18,14.56,695003.71
2022-08-25,14.56,14.98,14.42,14.73,521977.79
2022-08-26,14.73,14.88,13.07,13.32,1146921.96
2022-08-27,13.32,14.0,13.01,13.79,792716.97
2022-08-28,13.79,13.99,13.13,13.2,566596.08
2022-08-29,13.2,13.95,13.02,13.84,733518.39
2022-08-30,13.84,14.08,13.06,13.86,822750.92
2022-08-31,13.86,14.65,13.84,14.14,1278371.43
2022-09-01,14.14,14.24,13.53,14.02,979657.16
2022-09-02,14.02,14.45,13.77,14.03,902603.44
2022-09-03,14.03,15.53,13.97,15.17,1633203.81
2022-09-04,15.18,15.37,14.36,14.56,957495.24
2022-09-05,14.57,14.81,13.83,14.3,911487.96
2022-09-06,14.3,14.61,13.0,13.14,1288874.4
2022-09-07,13.14,13.73,12.84,13.51,713154.7
2022-09-08,13.5,14.1,13.34,13.85,1060931.68
2022-09-09,13.85,15.34,13.8,14.72,2015545.66
2022-09-10,14.72,15.0,14.3,14.68,912873.17
2022-09-11,14.68,14.8,14.07,14.55,683145.95
2022-09-12,14.54,15.05,14.08,14.24,947954.9
2022-09-13,14.24,14.5,13.02,13.17,1180842.33
2022-09-14,13.17,13.45,12.84,13.32,711321.64
2022-09-15,13.31,13.38,12.55,12.7,891718.68
2022-09-16,12.71,12.93,12.44,12.83,797402.72
2022-09-17,12.83,13.22,12.78,13.16,355841.57
2022-09-18,13.16,13.27,11.9,12.04,659183.41
2022-09-19,12.05,12.37,11.63,12.29,953689.78
2022-09-20,12.29,12.84,12.02,12.42,1220157.13
2022-09-21,12.41,12.99,11.66,11.78,1158380.69
2022-09-22,11.77,12.49,11.7,12.36,836018.49
2022-09-23,12.36,13.46,12.29,13.16,1654971.05
2022-09-24,13.17,13.7,12.63,12.69,992962.85
2022-09-25,12.69,12.91,12.25,12.38,533016.8
2022-09-26,12.38,12.5,12.09,12.5,566119.45
2022-09-27,12.5,12.92,12.13,12.33,841573.71
2022-09-28,12.34,12.65,11.87,12.5,676552.05
2022-09-29,12.5,12.76,12.19,12.73,665908.27
2022-09-30,12.74,12.9,12.44,12.57,777144.82
2022-10-01,12.56,12.78,12.47,12.55,354933.33
2022-10-02,12.55,12.61,12.09,12.15,361267.02
2022-10-03,12.15,12.76,12.01,12.69,526373.93
2022-10-04,12.69,13.06,12.59,12.98,535609.1
2022-10-05,12.98,13.11,12.51,12.76,646234.85
2022-10-06,12.77,13.05,12.63,12.69,810341.23
2022-10-07,12.69,12.74,12.35,12.46,459306.03
2022-10-08,12.47,12.57,12.25,12.36,300254.57
2022-10-09,12.36,12.58,12.3,12.43,478206.66
2022-10-10,12.42,12.66,11.93,11.93,648581.98
2022-10-11,11.94,11.94,11.43,11.54,758049.6
2022-10-12,11.54,11.74,11.44,11.54,708439.56
2022-10-13,11.55,11.55,10.05,11.09,1819872.19
2022-10-14,11.08,11.52,10.63,10.82,488670.15
2022-10-15,10.81,11.06,10.72,10.81,350810.62
2022-10-16,10.81,11.19,10.8,11.05,342166.6
2022-10-17,11.04,11.24,10.87,11.2,373109.52
2022-10-18,11.2,11.28,10.74,10.94,593140.0
2022-10-19,10.94,10.97,10.03,10.15,730554.69
2022-10-20,10.15,10.18,9.46,9.57,1302390.96
2022-10-21,9.56,9.56,8.65,9.05,2478923.1
2022-10-22,9.06,9.3,8.8,8.98,1326292.2
2022-10-23,8.99,9.09,8.67,9.02,1258278.17
2022-10-24,9.02,9.02,8.18,8.39,2108113.51
2022-10-25,8.39,9.4,8.34,9.02,3462652.57
2022-10-26,9.02,9.48,8.96,9.14,1508363.31
2022-10-27,9.13,9.66,8.96,9.02,1700582.6
2022-10-28,9.01,9.24,8.7,9.11,1338098.39
2022-10-29,9.12,9.55,9.11,9.32,1192831.99
2022-10-30,9.32,10.33,9.05,9.25,1807942.22
2022-10-31,9.26,9.33,8.98,9.22,870365.55
2022-11-01,9.21,9.33,9.02,9.11,649897.31
