date,open,high,low,close,volume
2022-08-23,0.267,0.272,0.258,0.27,9390006.0
2022-08-24,0.271,0.275,0.262,0.265,7191863.8
2022-08-25,0.266,0.284,0.265,0.277,8927452.4
2022-08-26,0.277,0.278,0.248,0.252,11125143.4
2022-08-27,0.252,0.256,0.245,0.25,4457536.8
2022-08-28,0.249,0.254,0.241,0.242,2762519.5
2022-08-29,0.242,0.259,0.239,0.258,4022487.2
2022-08-30,0.258,0.264,0.241,0.246,7172130.1
2022-08-31,0.245,0.258,0.245,0.251,4568318.8
2022-09-01,0.251,0.258,0.246,0.252,5599229.4
2022-09-02,0.252,0.257,0.244,0.247,7867487.4
2022-09-03,0.247,0.25,0.242,0.249,3778524.1
2022-09-04,0.249,0.255,0.246,0.255,3129302.3
2022-09-05,0.255,0.26,0.245,0.25,4764392.5
2022-09-06,0.25,0.258,0.227,0.228,9369774.0
2022-09-07,0.227,0.265,0.225,0.26,11694729.8
2022-09-08,0.26,0.276,0.251,0.26,24317388.8
2022-09-09,0.261,0.2779,0.26,0.2731,25503833.6
2022-09-10,0.273,0.2794,0.2677,0.2742,25759734.9
2022-09-11,0.274,0.2787,0.2629,0.2683,34751240.9
2022-09-12,0.2682,0.2838,0.2564,0.2635,39926422.0
2022-09-13,0.2633,0.2699,0.2413,0.243,36190455.4
2022-09-14,0.2428,0.2578,0.2335,0.2417,29064571.5
2022-09-15,0.2418,0.2419,0.2276,0.2308,41333138.7
2022-09-16,0.2308,0.2311,0.2211,0.2282,16778934.7
2022-09-17,0.2281,0.237,0.2281,0.2356,8677619.6
2022-09-18,0.2356,0.2365,0.202,0.2077,19209654.0
2022-09-19,0.2077,0.2169,0.204,0.214,23338390.8
2022-09-20,0.214,0.2237,0.2117,0.2194,30402142.9
2022-09-21,0.2193,0.237,0.2129,0.2197,36109503.4
2022-09-22,0.2197,0.2454,0.2196,0.2351,30153904.2
2022-09-23,0.2353,0.2411,0.2227,0.2378,19680354.3
2022-09-24,0.2381,0.2467,0.2256,0.227,15200605.1
2022-09-25,0.2269,0.2389,0.2267,0.2285,17565971.3
2022-09-26,0.2282,0.2312,0.2209,0.2305,12188830.3
2022-09-27,0.2307,0.249,0.2285,0.232,16152284.0
2022-09-28,0.2319,0.2415,0.22,0.2391,10621794.4
2022-09-29,0.2392,0.242,0.2294,0.2415,15770218.7
2022-09-30,0.2417,0.254,0.2381,0.2454,30014421.3
2022-10-01,0.2455,0.2494,0.2354,0.2356,7801435.9
2022-10-02,0.2354,0.2613,0.2354,0.2481,33639016.0
2022-10-03,0.2481,0.2574,0.2417,0.2547,14565746.2
2022-10-04,0.2546,0.2625,0.2487,0.2501,13014189.0
2022-10-05,0.25,0.2601,0.2498,0.2567,10305219.4
2022-10-06,0.2568,0.2596,0.2475,0.2539,8978638.1
2022-10-07,0.2538,0.2549,0.2377,0.2413,6914231.5
2022-10-08,0.2413,0.2455,0.2383,0.24,3449509.3
2022-10-09,0.2399,0.2428,0.2371,0.2418,2298779.8
2022-10-10,0.2417,0.2434,0.2286,0.2292,4306712.0
2022-10-11,0.2291,0.2297,0.2209,0.2267,5945965.1
2022-10-12,0.2268,0.2308,0.22,0.2227,3906369.7
2022-10-13,0.2226,0.2237,0.2001,0.2206,10514238.7
2022-10-14,0.2206,0.2278,0.2155,0.2185,4591433.4
2022-10-15,0.2186,0.2245,0.2174,0.2201,7083379.7
2022-10-16,0.22,0.2334,0.2199,0.2299,20041605.8
2022-10-17,0.2299,0.2332,0.2249,0.2326,8264192.7
2022-10-18,0.2327,0.235,0.2221,0.2259,8730310.0
2022-10-19,0.226,0.2271,0.2137,0.2157,6629250.4
2022-10-20,0.2155,0.2211,0.2118,0.2164,5059677.3
2022-10-21,0.2164,0.2189,0.209,0.2178,5764100.8
2022-10-22,0.2179,0.223,0.216,0.2198,3415245.2
2022-10-23,0.2198,0.2264,0.2165,0.2255,5039074.2
2022-10-24,0.2256,0.2268,0.2201,0.2231,4572230.5
2022-10-25,0.2232,0.2342,0.2215,0.2304,6293303.2
2022-10-26,0.2306,0.2373,0.2299,0.2334,7096448.7
2022-10-27,0.2333,0.2442,0.2298,0.2311,9206163.9
2022-10-28,0.231,0.2432,0.2279,0.2399,7560440.6
2022-10-29,0.2399,0.28,0.2389,0.2627,30316334.5
2022-10-30,0.2627,0.2632,0.244,0.2483,12424733.0
2022-10-31,0.2483,0.2583,0.2432,0.2564,11131686.9
2022-11-01,0.2564,0.2606,0.2478,0.2479,6927830.4
2022-11-02,0.248,0.2483,0.2338,0.2411,11583893.4
2022-11-03,0.2412,0.2653,0.2405,0.2571,15972709.6
2022-11-04,0.257,0.2809,0.2555,0.2742,18308553.5
2022-11-05,0.2742,0.2794,0.2599,0.2676,10554141.1
2022-11-06,0.2677,0.2734,0.2494,0.2502,8652942.6
2022-11-07,0.2501,0.2593,0.246,0.2515,7210997.3
2022-11-08,0.2517,0.2552,0.1825,0.2058,28957620.8
2022-11-09,0.2056,0.2082,0.1562,0.1618,34441798.4
2022-11-10,0.1619,0.1933,0.1589,0.1881,32084311.7
2022-11-11,0.1879,0.1902,0.1691,0.1811,23550184.9
2022-11-12,0.181,0.1814,0.1664,0.1713,10689269.3
2022-11-13,0.1712,0.2029,0.1703,0.1714,76957357.2
2022-11-14,0.1715,0.1844,0.1569,0.1808,34722390.9
2022-11-15,0.1809,0.2,0.1767,0.1835,19938357.3
2022-11-16,0.1834,0.189,0.1764,0.1796,8064580.7
2022-11-17,0.1797,0.1816,0.1751,0.1779,6073943.8
2022-11-18,0.1778,0.1854,0.1752,0.1774,5541130.1
2022-11-19,0.1773,0.1809,0.1718,0.1798,4485422.8
2022-11-20,0.1799,0.1859,0.1726,0.1739,10204467.2
2022-11-21,0.1737,0.1774,0.1674,0.1749,10106083.0
2022-11-22,0.175,0.185,0.169,0.184,7269095.9
2022-11-23,0.184,0.193,0.1834,0.1888,7447743.4
2022-11-24,0.1888,0.191,0.1816,0.1856,4297707.0
2022-11-25,0.1854,0.1857,0.1795,0.1841,3706455.4
2022-11-26,0.1841,0.1918,0.184,0.1866,5137809.3
2022-11-27,0.1865,0.1918,0.1844,0.1854,4322487.7
2022-11-28,0.1853,0.1873,0.1765,0.1828,4380163.1
2022-11-29,0.1827,0.1874,0.1798,0.1835,3918665.4
2022-11-30,0.1836,0.2168,0.1836,0.1964,25581136.6
2022-12-01,0.1964,0.1969,0.1887,0.1902,9103351.1
2022-12-02,0.1901,0.1959,0.1878,0.1954,5295745.8
2022-12-03,0.1953,0.2037,0.1907,0.1912,5535851.5
2022-12-04,0.1912,0.1943,0.1894,0.193,3110538.1
2022-12-05,0.1931,0.1963,0.1868,0.1905,4007227.4
2022-12-06,0.1904,0.1918,0.1851,0.1883,3930248.6
2022-12-07,0.1883,0.1889,0.1775,0.179,4485970.5
2022-12-08,0.1791,0.1851,0.1726,0.1781,12837953.1
2022-12-09,0.1781,0.1808,0.1736,0.1779,7640998.3
2022-12-10,0.1779,0.1813,0.1768,0.1779,6736787.0
2022-12-11,0.178,0.1801,0.1713,0.1725,3893358.1
2022-12-12,0.1725,0.1725,0.165,0.1698,6592500.4
2022-12-13,0.1699,0.1715,0.1593,0.1713,12554346.4
2022-12-14,0.1713,0.1732,0.1643,0.1681,6096514.8
2022-12-15,0.1681,0.1692,0.1641,0.1666,4672484.6
2022-12-16,0.1666,0.1682,0.1408,0.145,10914380.7
2022-12-17,0.1449,0.1483,0.1404,0.148,5735421.4
2022-12-18,0.1478,0.1496,0.1446,0.1462,3790819.8
2022-12-19,0.1462,0.1485,0.1342,0.138,5623024.5
2022-12-20,0.138,0.1464,0.1373,0.144,4454004.7
2022-12-21,0.144,0.1448,0.1356,0.1372,4748354.1
2022-12-22,0.1372,0.1375,0.1307,0.1348,6272528.5
2022-12-23,0.135,0.1364,0.1343,0.1358,2854450.6
2022-12-24,0.1357,0.1367,0.1328,0.1332,3410673.3
2022-12-25,0.1331,0.1331,0.1248,0.1291,10864515.7
2022-12-26,0.129,0.1308,0.1274,0.1298,5882269.6
2022-12-27,0.1298,0.1317,0.1245,0.1289,6273100.3
2022-12-28,0.1289,0.1298,0.1219,0.1271,8925848.8
2022-12-29,0.1272,0.1303,0.1218,0.1254,12630835.2
2022-12-30,0.1255,0.1265,0.1227,0.1255,4445706.6
2022-12-31,0.1255,0.1297,0.1255,0.1283,3471726.8
2023-01-01,0.1282,0.1303,0.1272,0.1299,2043034.5
2023-01-02,0.13,0.134,0.1275,0.1327,5290554.3
2023-01-03,0.1327,0.1356,0.13,0.1327,3856587.3
2023-01-04,0.1327,0.1369,0.1325,0.1348,4126956.1
2023-01-05,0.1348,0.1371,0.1333,0.135,3749737.9
2023-01-06,0.135,0.139,0.1312,0.1379,4288741.3
2023-01-07,0.1379,0.14,0.1369,0.1372,2626104.4
2023-01-08,0.1373,0.1438,0.1343,0.1429,6395849.1
2023-01-09,0.1428,0.1565,0.1426,0.1501,15639606.3
2023-01-10,0.15,0.153,0.1453,0.1506,9188694.2
2023-01-11,0.1506,0.1536,0.1438,0.1534,6337705.3
2023-01-12,0.1534,0.1589,0.1481,0.1572,11314407.2
2023-01-13,0.1572,0.1662,0.1552,0.1651,11356998.0
2023-01-14,0.1652,0.18,0.1602,0.1695,21702770.3
2023-01-15,0.1696,0.1728,0.1635,0.1681,13962196.8
2023-01-16,0.1681,0.1746,0.1615,0.1677,12072034.5
2023-01-17,0.1677,0.172,0.1641,0.1646,9729403.9
2023-01-18,0.1647,0.1688,0.1475,0.1487,20233981.9
2023-01-19,0.1486,0.1522,0.1441,0.1509,9457025.2
2023-01-20,0.151,0.1666,0.1489,0.166,12334821.1
2023-01-21,0.166,0.1756,0.1641,0.1681,27047120.3
2023-01-22,0.1682,0.19,0.165,0.1767,50406962.1
2023-01-23,0.1766,0.1836,0.1764,0.1802,20298973.0
2023-01-24,0.1801,0.1986,0.175,0.1821,50923846.4
2023-01-25,0.1821,0.1896,0.1748,0.1846,24368671.6
2023-01-26,0.1846,0.221,0.1846,0.2033,63138100.1
2023-01-27,0.2034,0.2078,0.1939,0.206,30322543.1
2023-01-28,0.206,0.2085,0.198,0.201,12944523.2
2023-01-29,0.2009,0.2119,0.1987,0.2086,13889006.8
2023-01-30,0.2086,0.212,0.1856,0.1907,19518358.7
2023-01-31,0.1908,0.1983,0.1873,0.1956,11685111.4
2023-02-01,0.1957,0.2096,0.1838,0.2029,17918068.6
