date,open,high,low,close,volume
2022-08-23,1.348,1.441,1.342,1.375,1726476.2
2022-08-24,1.375,1.401,1.334,1.365,1158793.5
2022-08-25,1.366,1.423,1.365,1.385,1138533.3
2022-08-26,1.384,1.387,1.207,1.221,2235477.7
2022-08-27,1.221,1.258,1.202,1.221,941242.8
2022-08-28,1.222,1.247,1.177,1.191,1142862.4
2022-08-29,1.193,1.27,1.164,1.264,1087218.0
2022-08-30,1.264,1.289,1.203,1.239,914852.7
2022-08-31,1.24,1.346,1.238,1.277,1965081.5
2022-09-01,1.277,1.298,1.229,1.292,1101148.9
2022-09-02,1.292,1.351,1.272,1.311,1696472.3
2022-09-03,1.31,1.337,1.292,1.323,693558.0
2022-09-04,1.323,1.345,1.301,1.336,865227.0
2022-09-05,1.336,1.353,1.273,1.309,1536388.9
2022-09-06,1.311,1.338,1.181,1.183,1666621.4
2022-09-07,1.184,1.289,1.164,1.276,1397379.0
2022-09-08,1.277,1.32,1.237,1.272,1638457.4
2022-09-09,1.274,1.39,1.273,1.38,1637727.2
2022-09-10,1.38,1.434,1.35,1.372,1863607.2
2022-09-11,1.372,1.409,1.332,1.369,1243671.9
2022-09-12,1.368,1.458,1.316,1.354,2049062.2
2022-09-13,1.353,1.379,1.237,1.246,2364519.1
2022-09-14,1.245,1.268,1.215,1.256,924269.4
2022-09-15,1.255,1.27,1.191,1.205,1467118.9
2022-09-16,1.207,1.245,1.188,1.237,1041798.3
2022-09-17,1.236,1.31,1.231,1.294,868386.3
2022-09-18,1.295,1.31,1.113,1.165,1464847.4
2022-09-19,1.164,1.179,1.117,1.168,954542.9
2022-09-20,1.167,1.18,1.12,1.142,909414.4
2022-09-21,1.141,1.198,1.07,1.097,1847205.9
2022-09-22,1.098,1.195,1.098,1.179,1152985.8
2022-09-23,1.181,1.205,1.122,1.172,1294315.0
2022-09-24,1.173,1.233,1.154,1.19,2024820.7
2022-09-25,1.19,1.298,1.163,1.219,3189274.7
2022-09-26,1.219,1.231,1.176,1.213,1611690.3
2022-09-27,1.214,1.272,1.196,1.209,2206268.5
2022-09-28,1.209,1.266,1.161,1.218,2245672.5
2022-09-29,1.217,1.232,1.183,1.229,1420795.9
2022-09-30,1.23,1.254,1.212,1.226,1379561.2
2022-10-01,1.225,1.28,1.224,1.244,1192320.9
2022-10-02,1.244,1.264,1.174,1.182,910950.2
2022-10-03,1.183,1.235,1.161,1.23,1530029.1
2022-10-04,1.229,1.29,1.229,1.249,1540314.5
2022-10-05,1.249,1.256,1.203,1.226,651055.0
2022-10-06,1.228,1.267,1.217,1.226,1068462.0
2022-10-07,1.226,1.236,1.197,1.217,508510.1
2022-10-08,1.216,1.226,1.188,1.2,319598.2
2022-10-09,1.2,1.221,1.196,1.216,427115.9
2022-10-10,1.216,1.229,1.105,1.119,1259411.4
2022-10-11,1.118,1.132,1.08,1.116,733534.4
2022-10-12,1.116,1.124,1.091,1.101,298292.4
2022-10-13,1.103,1.103,0.978,1.069,1752862.1
2022-10-14,1.067,1.106,1.039,1.054,877219.5
2022-10-15,1.055,1.087,1.044,1.081,654354.0
2022-10-16,1.081,1.3,1.056,1.078,4689876.6
2022-10-17,1.077,1.132,1.065,1.11,1868883.1
2022-10-18,1.11,1.12,1.069,1.1,1319026.0
2022-10-19,1.101,1.102,1.023,1.035,769719.6
2022-10-20,1.036,1.058,1.014,1.024,612053.5
2022-10-21,1.023,1.044,0.984,1.039,833096.8
2022-10-22,1.041,1.055,1.027,1.042,443330.6
2022-10-23,1.043,1.072,1.029,1.065,435738.4
2022-10-24,1.066,1.081,1.045,1.052,624420.6
2022-10-25,1.052,1.123,1.043,1.102,1163474.4
2022-10-26,1.103,1.144,1.101,1.133,1404790.7
2022-10-27,1.131,1.172,1.104,1.112,1618034.4
2022-10-28,1.111,1.182,1.1,1.164,1836226.3
2022-10-29,1.164,1.212,1.151,1.198,2001429.5
2022-10-30,1.197,1.24,1.153,1.181,1442693.3
2022-10-31,1.179,1.197,1.133,1.182,1243903.8
2022-11-01,1.182,1.196,1.153,1.158,672851.5
2022-11-02,1.158,1.177,1.103,1.135,917468.7
2022-11-03,1.134,3.0,1.13,2.595,57972478.3
2022-11-04,2.594,3.682,2.523,2.74,58697054.2
2022-11-05,2.74,3.304,2.626,2.789,25194709.2
2022-11-06,2.787,2.95,2.57,2.67,13551242.8
2022-11-07,2.67,2.868,2.377,2.412,10995822.6
2022-11-08,2.413,3.2,1.85,2.153,21849473.8
2022-11-09,2.155,2.278,1.32,1.459,18089019.5
2022-11-10,1.462,2.6,1.429,2.408,25306769.7
2022-11-11,2.405,2.835,2.066,2.256,14931732.0
2022-11-12,2.256,2.362,2.006,2.221,7411344.4
2022-11-13,2.217,2.3,1.94,1.993,4943435.2
2022-11-14,1.991,2.124,1.841,1.959,4351391.1
2022-11-15,1.959,2.045,1.882,1.936,3312902.1
2022-11-16,1.934,2.3,1.901,1.995,6802813.5
2022-11-17,1.995,2.154,1.93,2.001,4882744.4
2022-11-18,2.001,2.07,1.92,1.953,2051525.4
2022-11-19,1.952,1.968,1.825,1.891,2115107.6
2022-11-20,1.891,1.917,1.653,1.666,2287641.0
2022-11-21,1.666,1.89,1.601,1.686,4604911.6
2022-11-22,1.687,1.721,1.559,1.664,3488893.6
2022-11-23,1.664,1.748,1.605,1.683,2226293.1
2022-11-24,1.683,1.882,1.641,1.718,5276263.0
2022-11-25,1.717,1.75,1.635,1.735,3261259.4
2022-11-26,1.735,1.89,1.715,1.868,5045134.4
2022-11-27,1.867,2.026,1.823,1.852,5626290.6
2022-11-28,1.851,1.996,1.75,1.942,4863536.5
2022-11-29,1.94,2.029,1.801,1.823,3528804.2
2022-11-30,1.824,1.983,1.821,1.953,2831238.7
2022-12-01,1.951,2.785,1.85,2.176,14649865.4
2022-12-02,2.176,2.257,2.08,2.14,5460512.8
2022-12-03,2.139,2.284,2.08,2.143,4056085.0
2022-12-04,2.142,2.177,2.076,2.135,1787117.4
2022-12-05,2.135,2.194,1.979,2.025,2351329.3
2022-12-06,2.026,2.118,1.994,2.032,1902368.7
2022-12-07,2.031,2.047,1.906,1.943,1441422.6
2022-12-08,1.944,2.2,1.941,2.093,6629658.6
2022-12-09,2.094,2.135,2.033,2.049,2301973.7
2022-12-10,2.049,2.062,2.001,2.03,1206271.3
2022-12-11,2.029,2.054,1.9,1.943,1885011.3
2022-12-12,1.942,2.005,1.831,1.96,2336879.9
2022-12-13,1.961,1.993,1.856,1.936,1827878.5
2022-12-14,1.935,2.056,1.873,1.94,1870661.7
2022-12-15,1.94,2.023,1.887,1.903,1618718.9
2022-12-16,1.901,1.954,1.672,1.687,2179220.3
2022-12-17,1.687,1.751,1.636,1.744,1156581.3
2022-12-18,1.742,1.746,1.69,1.728,579308.9
2022-12-19,1.728,1.804,1.579,1.605,2438082.2
2022-12-20,1.605,1.723,1.605,1.68,1359215.0
2022-12-21,1.68,1.683,1.57,1.608,1261967.0
2022-12-22,1.608,1.622,1.53,1.613,1230869.4
2022-12-23,1.613,1.632,1.572,1.574,866924.1
2022-12-24,1.574,1.583,1.538,1.55,759087.2
2022-12-25,1.55,1.559,1.478,1.488,979637.5
2022-12-26,1.488,1.513,1.457,1.494,1033363.5
2022-12-27,1.494,1.504,1.403,1.442,1061194.3
2022-12-28,1.443,1.449,1.336,1.354,1526076.8
2022-12-29,1.356,1.547,1.323,1.43,8316655.4
2022-12-30,1.429,1.458,1.375,1.427,2071416.7
2022-12-31,1.428,1.441,1.4,1.406,813174.3
2023-01-01,1.408,1.414,1.382,1.404,502654.6
2023-01-02,1.405,1.441,1.362,1.427,1352572.8
2023-01-03,1.426,1.447,1.389,1.43,1074714.0
2023-01-04,1.43,1.529,1.43,1.481,2494978.1
2023-01-05,1.48,1.504,1.421,1.436,1014163.4
2023-01-06,1.437,1.474,1.387,1.463,1158323.1
2023-01-07,1.464,1.479,1.447,1.467,517035.8
2023-01-08,1.469,1.545,1.446,1.531,1591996.3
2023-01-09,1.532,1.687,1.53,1.613,2246634.1
2023-01-10,1.612,1.689,1.572,1.623,1550355.3
2023-01-11,1.623,1.643,1.522,1.624,1231418.4
2023-01-12,1.624,1.676,1.559,1.669,2004557.4
2023-01-13,1.67,1.746,1.637,1.739,1263116.8
2023-01-14,1.74,2.063,1.731,1.879,5430858.9
2023-01-15,1.882,1.908,1.8,1.853,1716779.7
2023-01-16,1.851,2.008,1.807,1.889,2500865.2
2023-01-17,1.889,1.921,1.818,1.819,1081909.2
2023-01-18,1.819,1.911,1.671,1.681,1848036.2
2023-01-19,1.68,1.746,1.674,1.728,644796.9
2023-01-20,1.728,1.942,1.707,1.938,960753.8
2023-01-21,1.937,2.009,1.855,1.881,2522276.1
2023-01-22,1.882,2.1,1.879,1.928,3803557.8
2023-01-23,1.928,2.017,1.907,1.948,1671176.8
2023-01-24,1.949,2.059,1.785,1.811,3074523.3
2023-01-25,1.811,1.986,1.773,1.93,2715689.7
2023-01-26,1.932,2.267,1.879,2.217,5767407.7
2023-01-27,2.216,2.217,2.013,2.095,5293075.2
2023-01-28,2.096,2.105,1.97,2.01,2062314.5
2023-01-29,2.01,2.083,1.996,2.073,1406397.2
2023-01-30,2.073,2.159,1.886,2.069,5215706.3
2023-01-31,2.068,2.388,2.022,2.137,10631069.9
2023-02-01,2.137,2.225,1.984,2.213,4893634.3
2023-02-02,2.213,2.347,2.156,2.19,5638309.3
2023-02-03,2.19,2.216,2.123,2.197,2947997.0
2023-02-04,2.197,2.354,2.169,2.233,4808409.6
2023-02-05,2.234,2.325,2.056,2.115,3652830.9
2023-02-06,2.115,2.149,2.02,2.057,2057933.6
2023-02-07,2.057,2.263,2.053,2.245,2967745.3
2023-02-08,2.245,2.312,2.163,2.228,3612692.3
2023-02-09,2.229,2.3,1.831,1.879,6715562.1
2023-02-10,1.88,1.949,1.828,1.882,2885748.4
2023-02-11,1.879,1.95,1.845,1.943,1548313.1
2023-02-12,1.944,1.952,1.83,1.865,1305219.6
2023-02-13,1.864,1.884,1.727,1.844,2035422.3
2023-02-14,1.844,1.898,1.783,1.894,1631160.0
2023-02-15,1.893,2.027,1.857,2.026,2477785.2
2023-02-16,2.026,2.103,1.906,1.92,2718096.0
2023-02-17,1.919,2.075,1.91,2.053,1712743.0
2023-02-18,2.053,2.186,2.021,2.103,2651293.0
2023-02-19,2.105,2.165,2.049,2.078,2475766.0
2023-02-20,2.078,2.272,2.054,2.254,3240647.8
2023-02-21,2.253,2.29,2.112,2.198,3492728.7
2023-02-22,2.197,2.278,2.032,2.115,2935241.7
2023-02-23,2.116,2.245,2.104,2.169,1921898.3
2023-02-24,2.169,2.186,1.949,2.004,2121508.9
2023-02-25,2.004,2.018,1.921,1.999,1081011.2
2023-02-26,1.998,2.035,1.969,2.015,722279.6
2023-02-27,2.014,2.054,1.945,2.007,1302661.1
2023-02-28,2.007,2.037,1.935,1.958,1018315.3
2023-03-01,1.959,2.078,1.949,2.069,1392877.6
2023-03-02,2.068,2.089,1.954,1.992,890331.0
2023-03-03,1.992,1.992,1.731,1.822,1658700.4
2023-03-04,1.822,1.834,1.687,1.73,621313.6
2023-03-05,1.729,1.793,1.716,1.728,477312.4
2023-03-06,1.727,1.762,1.677,1.732,928103.4
2023-03-07,1.732,1.79,1.611,1.683,1630078.3
2023-03-08,1.683,1.693,1.535,1.582,1007682.0
2023-03-09,1.584,1.658,1.425,1.454,1597401.3
2023-03-10,1.454,1.478,1.35,1.46,1532401.9
2023-03-11,1.46,1.508,1.395,1.456,1310452.0
2023-03-12,1.455,1.591,1.414,1.585,1437135.1
2023-03-13,1.586,1.698,1.558,1.684,1691758.1
2023-03-14,1.684,1.833,1.63,1.769,2488802.0
2023-03-15,1.768,1.81,1.578,1.597,1404260.9
2023-03-16,1.598,1.649,1.564,1.625,1153085.4
2023-03-17,1.625,1.801,1.596,1.798,1636335.7
2023-03-18,1.797,1.938,1.762,1.775,3810963.2
2023-03-19,1.776,1.951,1.776,1.834,2958389.6
2023-03-20,1.835,1.865,1.697,1.715,2364424.3
2023-03-21,1.719,1.78,1.654,1.754,1206470.2
2023-03-22,1.754,1.771,1.597,1.635,1536302.7
2023-03-23,1.636,1.759,1.617,1.726,759416.1
2023-03-24,1.727,1.809,1.639,1.791,1671043.6
2023-03-25,1.791,1.853,1.702,1.704,3582219.1
2023-03-26,1.704,1.778,1.677,1.763,1317978.4
2023-03-27,1.763,1.765,1.606,1.659,1602261.6
2023-03-28,1.66,1.731,1.621,1.709,1105216.7
2023-03-29,1.71,1.947,1.701,1.906,3416757.3
2023-03-30,1.906,1.954,1.801,1.825,2481218.0
2023-03-31,1.825,1.88,1.774,1.865,1323667.4
2023-04-01,1.864,1.932,1.793,1.831,1534992.9
2023-04-02,1.832,1.881,1.745,1.772,1118462.8
2023-04-03,1.773,1.837,1.715,1.826,1620983.6
2023-04-04,1.828,1.848,1.78,1.814,1005030.6
2023-04-05,1.814,1.875,1.776,1.832,1022013.3
2023-04-06,1.833,1.835,1.765,1.828,835375.8
2023-04-07,1.829,1.86,1.783,1.855,1034196.8
2023-04-08,1.854,1.919,1.821,1.843,1737912.1
2023-04-09,1.844,1.875,1.777,1.859,1005063.7
2023-04-10,1.859,2.162,1.844,1.963,7836904.8
2023-04-11,1.961,2.008,1.916,1.921,1970573.4
2023-04-12,1.921,1.926,1.82,1.882,1728329.7
2023-04-13,1.881,1.91,1.846,1.904,914706.6
2023-04-14,1.904,1.991,1.89,1.97,1925894.1
2023-04-15,1.968,2.034,1.929,2.002,1331687.9
2023-04-16,2.003,2.092,1.962,2.068,1423661.1
2023-04-17,2.07,2.076,1.945,1.991,1072511.2
2023-04-18,1.99,2.088,1.963,2.04,987034.9
2023-04-19,2.041,2.062,1.788,1.833,2305546.9
2023-04-20,1.833,1.855,1.748,1.766,921037.7
2023-04-21,1.766,1.787,1.624,1.657,811928.5
2023-04-22,1.656,1.724,1.647,1.722,356250.6
2023-04-23,1.721,1.721,1.622,1.666,526585.6
2023-04-24,1.667,1.733,1.634,1.665,859784.7
2023-04-25,1.666,1.694,1.594,1.691,711767.1
2023-04-26,1.691,1.988,1.653,1.744,6312287.6
2023-04-27,1.744,1.786,1.702,1.745,2153552.0
2023-04-28,1.746,1.758,1.681,1.715,807528.5
2023-04-29,1.716,1.776,1.704,1.739,1627648.0
2023-04-30,1.739,1.74,1.681,1.693,602162.9
2023-05-01,1.693,1.706,1.637,1.674,568472.9
2023-05-02,1.673,1.716,1.66,1.703,867676.7
2023-05-03,1.702,1.729,1.651,1.725,618758.6
2023-05-04,1.724,1.726,1.669,1.679,341700.6
2023-05-05,1.679,1.719,1.63,1.714,672725.3
2023-05-06,1.714,1.724,1.627,1.653,613773.3
2023-05-07,1.653,1.68,1.613,1.623,468782.2
2023-05-08,1.623,1.63,1.4,1.444,1640094.8
2023-05-09,1.444,1.467,1.435,1.455,913203.1
2023-05-10,1.454,1.511,1.376,1.474,1753278.6
2023-05-11,1.474,1.475,1.351,1.401,1232149.6
2023-05-12,1.4,1.487,1.344,1.459,2318816.2
2023-05-13,1.46,1.463,1.417,1.427,668965.2
2023-05-14,1.427,1.46,1.406,1.444,630272.5
2023-05-15,1.444,1.474,1.42,1.441,747343.5
2023-05-16,1.441,1.459,1.417,1.457,523833.7
2023-05-17,1.458,1.59,1.445,1.515,1131107.6
2023-05-18,1.516,1.522,1.435,1.485,1308759.7
2023-05-19,1.486,1.508,1.463,1.499,463580.2
2023-05-20,1.5,1.535,1.481,1.528,486495.0
2023-05-21,1.528,1.535,1.445,1.45,566974.0
2023-05-22,1.451,1.458,1.422,1.438,334586.6
2023-05-23,1.439,1.479,1.428,1.472,350643.9
2023-05-24,1.473,1.475,1.394,1.424,738900.5
2023-05-25,1.422,1.43,1.388,1.414,371343.0
2023-05-26,1.414,1.432,1.403,1.426,399057.2
2023-05-27,1.426,1.441,1.407,1.438,428650.8
2023-05-28,1.438,1.487,1.43,1.468,859844.8
2023-05-29,1.469,1.489,1.439,1.45,957697.6
2023-05-30,1.45,1.463,1.43,1.449,723124.5
2023-05-31,1.448,1.457,1.367,1.381,679493.4
2023-06-01,1.382,1.423,1.356,1.401,597771.9
2023-06-02,1.401,1.456,1.384,1.454,442558.1
2023-06-03,1.454,1.536,1.446,1.477,1958199.5
2023-06-04,1.477,1.481,1.436,1.441,936480.6
2023-06-05,1.441,1.441,1.253,1.281,2039400.8
2023-06-06,1.28,1.338,1.26,1.314,1721111.8
2023-06-07,1.314,1.315,1.191,1.21,772267.0
2023-06-08,1.21,1.318,1.192,1.248,923430.0
2023-06-09,1.248,1.253,1.189,1.196,531590.2
2023-06-10,1.196,1.196,0.919,0.984,2753716.4
2023-06-11,0.985,1.043,0.978,1.022,1006900.1
2023-06-12,1.018,1.067,0.987,1.021,1307799.1
2023-06-13,1.02,1.049,1.01,1.016,940537.4
2023-06-14,1.017,1.043,0.959,0.979,1009153.3
2023-06-15,0.979,1.128,0.976,1.1,6771803.3
2023-06-16,1.099,1.112,1.034,1.076,2287404.2
2023-06-17,1.078,1.109,1.064,1.074,1042828.0
2023-06-18,1.074,1.17,1.055,1.078,2203491.5
2023-06-19,1.078,1.142,1.067,1.092,1553065.6
2023-06-20,1.092,1.146,1.074,1.145,976959.0
2023-06-21,1.144,1.231,1.14,1.206,1936300.7
2023-06-22,1.206,1.243,1.14,1.17,1449876.1
2023-06-23,1.172,1.27,1.17,1.251,1100057.3
2023-06-24,1.251,1.278,1.201,1.257,1005908.4
2023-06-25,1.258,1.361,1.254,1.309,1408139.1
2023-06-26,1.309,1.322,1.237,1.267,1302884.9
2023-06-27,1.269,1.317,1.258,1.267,593444.5
2023-06-28,1.268,1.27,1.149,1.191,989034.6
2023-06-29,1.191,1.219,1.177,1.191,579279.5
2023-06-30,1.192,1.275,1.145,1.271,1341985.0
2023-07-01,1.272,1.29,1.239,1.289,652525.1
2023-07-02,1.288,1.289,1.248,1.283,497100.7
2023-07-03,1.282,1.33,1.269,1.32,885943.9
2023-07-04,1.32,1.325,1.26,1.285,886853.0
2023-07-05,1.284,1.349,1.233,1.248,1400382.4
2023-07-06,1.248,1.309,1.194,1.199,762626.7
2023-07-07,1.197,1.212,1.183,1.205,423674.2
2023-07-08,1.206,1.225,1.179,1.208,435475.5
2023-07-09,1.205,1.221,1.185,1.189,219189.8
2023-07-10,1.189,1.243,1.157,1.219,535837.2
2023-07-11,1.22,1.229,1.185,1.205,423391.5
2023-07-12,1.207,1.22,1.165,1.19,557675.7
2023-07-13,1.191,1.276,1.168,1.273,949489.1
2023-07-14,1.276,1.308,1.193,1.237,1357207.1
2023-07-15,1.238,1.277,1.215,1.246,559909.6
2023-07-16,1.246,1.251,1.197,1.204,528770.0
2023-07-17,1.202,1.256,1.196,1.245,820869.2
2023-07-18,1.247,1.255,1.173,1.199,550078.9
2023-07-19,1.197,1.225,1.191,1.196,281866.9
2023-07-20,1.196,1.511,1.193,1.34,14098508.2
2023-07-21,1.341,1.397,1.265,1.295,4488920.8
2023-07-22,1.296,1.332,1.233,1.249,1489401.6
2023-07-23,1.25,1.279,1.239,1.261,851858.4
2023-07-24,1.261,1.309,1.161,1.182,2411752.8
2023-07-25,1.182,1.189,1.156,1.174,671054.5
2023-07-26,1.171,1.22,1.151,1.202,811002.6
2023-07-27,1.2,1.235,1.186,1.203,786006.4
2023-07-28,1.203,1.213,1.179,1.197,487732.4
2023-07-29,1.196,1.214,1.192,1.203,295688.2
2023-07-30,1.204,1.206,1.143,1.178,442268.7
2023-07-31,1.178,1.203,1.17,1.191,466815.2
2023-08-01,1.191,1.227,1.151,1.226,656065.7
2023-08-02,1.226,1.227,1.187,1.208,570976.5
2023-08-03,1.207,1.23,1.184,1.191,544830.9
2023-08-04,1.192,1.201,1.169,1.19,344369.5
2023-08-05,1.188,1.202,1.172,1.202,376901.0
2023-08-06,1.201,1.242,1.198,1.222,1567159.3
2023-08-07,1.222,1.248,1.185,1.232,1127925.8
2023-08-08,1.23,1.252,1.216,1.226,558048.5
2023-08-09,1.226,1.235,1.198,1.205,647042.3
2023-08-10,1.205,1.208,1.178,1.185,465548.9
2023-08-11,1.185,1.204,1.174,1.178,331445.3
2023-08-12,1.177,1.193,1.163,1.165,687958.1
2023-08-13,1.165,1.197,1.155,1.176,999499.8
2023-08-14,1.175,1.196,1.161,1.184,1008561.2
2023-08-15,1.186,1.205,1.039,1.1,2000914.6
2023-08-16,1.1,1.103,1.013,1.051,1566138.2
2023-08-17,1.052,1.068,0.846,0.963,2432365.3
2023-08-18,0.962,1.013,0.955,1.01,1496116.7
2023-08-19,1.009,1.038,1.006,1.034,884595.6
2023-08-20,1.034,1.044,1.022,1.032,526776.5
2023-08-21,1.031,1.033,0.982,1.015,845059.2
