date,open,high,low,close,volume
2022-08-23,7.06,7.24,6.75,7.04,426481.15
2022-08-24,7.08,7.23,6.76,6.85,231983.93
2022-08-25,6.82,7.05,6.64,6.8,167687.49
2022-08-26,6.78,6.78,5.88,5.97,342949.37
2022-08-27,5.96,6.33,5.52,6.22,345774.38
2022-08-28,6.23,6.53,5.87,5.87,355292.04
2022-08-29,5.88,6.33,5.73,6.29,260427.41
2022-08-30,6.29,6.33,5.9,6.03,215895.3
2022-08-31,6.04,6.79,6.04,6.4,656005.83
2022-09-01,6.4,7.11,6.35,6.87,740459.63
2022-09-02,6.88,7.1,6.69,6.91,424906.38
2022-09-03,6.91,7.14,6.76,6.85,321312.15
2022-09-04,6.87,7.0,6.5,6.73,193840.39
2022-09-05,6.73,6.91,6.57,6.64,231993.02
2022-09-06,6.64,6.83,6.08,6.09,343383.48
2022-09-07,6.09,6.49,6.09,6.38,298957.48
2022-09-08,6.38,6.51,6.13,6.34,153193.65
2022-09-09,6.34,6.54,6.31,6.39,193801.03
2022-09-10,6.41,6.59,6.25,6.46,203008.19
2022-09-11,6.46,6.86,6.36,6.57,289171.31
2022-09-12,6.58,6.62,6.16,6.38,282425.76
2022-09-13,6.38,6.64,5.99,6.12,394506.83
2022-09-14,6.12,6.21,5.5,5.87,283152.23
2022-09-15,5.87,5.91,5.39,5.59,257786.77
2022-09-16,5.6,5.95,5.43,5.78,307337.51
2022-09-17,5.79,5.94,5.71,5.91,116286.78
2022-09-18,5.9,6.17,5.55,5.56,262760.65
2022-09-19,5.57,5.84,5.44,5.75,230392.47
2022-09-20,5.75,5.82,5.49,5.52,146825.31
2022-09-21,5.52,5.83,5.37,5.55,244139.2
2022-09-22,5.54,5.98,5.49,5.93,295015.93
2022-09-23,5.93,6.45,5.9,6.37,706800.75
2022-09-24,6.36,6.36,5.96,6.03,289566.94
2022-09-25,6.04,6.22,5.99,6.13,340297.14
2022-09-26,6.12,6.34,5.9,5.99,362998.3
2022-09-27,6.0,6.17,5.88,6.11,197025.64
2022-09-28,6.11,6.18,5.72,6.0,210896.02
2022-09-29,6.01,6.14,5.91,6.08,196195.06
2022-09-30,6.08,6.14,5.9,6.03,111296.35
2022-10-01,6.03,6.12,5.99,6.01,90696.18
2022-10-02,6.0,6.09,5.75,5.81,128690.39
2022-10-03,5.81,5.92,5.65,5.87,123561.81
2022-10-04,5.86,6.0,5.77,5.82,172185.72
2022-10-05,5.82,5.87,5.61,5.73,116013.12
2022-10-06,5.72,5.78,5.64,5.71,82386.57
2022-10-07,5.71,5.76,5.57,5.65,100855.33
2022-10-08,5.65,5.72,5.57,5.63,56143.1
2022-10-09,5.63,5.71,5.58,5.63,45854.06
2022-10-10,5.63,5.68,5.09,5.09,221362.86
2022-10-11,5.11,5.11,4.69,4.92,214833.35
2022-10-12,4.92,4.97,4.65,4.67,135851.04
2022-10-13,4.68,4.7,4.12,4.46,340486.32
2022-10-14,4.47,4.76,4.38,4.45,166142.53
2022-10-15,4.45,4.48,4.15,4.35,192524.06
2022-10-16,4.35,4.47,4.3,4.4,131388.56
2022-10-17,4.39,4.48,4.3,4.44,137802.62
2022-10-18,4.45,4.62,4.33,4.41,135990.73
2022-10-19,4.42,4.43,4.18,4.22,105703.48
2022-10-20,4.22,4.26,4.06,4.19,131610.19
2022-10-21,4.19,4.31,3.88,4.2,221656.59
2022-10-22,4.22,4.28,4.13,4.24,71557.94
2022-10-23,4.25,4.3,4.15,4.29,55646.55
2022-10-24,4.29,4.55,4.17,4.38,153187.91
2022-10-25,4.39,4.55,4.37,4.45,224306.42
2022-10-26,4.45,4.55,4.36,4.37,106214.82
2022-10-27,4.38,4.52,4.22,4.24,151788.26
2022-10-28,4.23,4.34,4.01,4.3,165242.79
