date,open,high,low,close,volume
2022-08-23,122.7,135.8,119.9,133.3,161836.75
2022-08-24,133.4,139.3,130.3,130.4,122996.9
2022-08-25,130.4,132.8,128.5,130.6,72298.195
2022-08-26,130.6,130.6,114.8,116.0,126679.418
2022-08-27,116.1,118.5,113.1,115.2,144100.114
2022-08-28,115.2,121.3,111.7,112.6,83911.9
2022-08-29,112.6,123.5,110.8,119.5,110329.485
2022-08-30,119.4,120.8,111.7,114.6,96427.498
2022-08-31,114.6,118.0,114.2,115.2,50247.786
2022-09-01,115.0,117.2,112.9,116.7,65712.911
2022-09-02,116.7,120.5,114.6,116.3,107018.715
2022-09-03,116.4,119.7,115.8,117.8,82739.11
2022-09-04,117.8,118.4,115.8,118.3,66196.254
2022-09-05,118.4,126.4,117.0,125.7,103294.28
2022-09-06,125.7,128.0,111.7,112.2,146001.678
2022-09-07,112.2,119.5,110.3,118.7,110684.843
2022-09-08,118.8,130.5,115.9,126.5,212852.998
2022-09-09,126.6,140.2,126.0,132.7,269297.023
2022-09-10,132.7,135.0,130.4,132.6,119600.671
2022-09-11,132.6,133.4,127.4,130.3,96300.447
2022-09-12,130.3,132.9,126.2,129.0,114285.71
2022-09-13,128.9,133.8,116.0,117.6,196200.84
2022-09-14,117.5,120.8,116.0,119.9,73570.555
2022-09-15,119.9,123.0,116.0,117.6,102959.186
2022-09-16,117.5,120.9,116.1,119.5,102870.586
2022-09-17,119.5,123.5,119.3,122.1,66653.986
2022-09-18,122.2,122.2,110.5,111.8,92114.982
2022-09-19,111.7,113.4,106.4,112.0,112632.736
2022-09-20,112.0,114.9,110.8,112.8,86969.608
2022-09-21,112.7,119.2,108.3,108.9,124129.327
2022-09-22,108.8,117.3,108.7,116.5,77843.39
2022-09-23,116.6,120.5,112.3,120.1,96078.241
2022-09-24,120.2,122.3,117.3,117.3,67039.071
2022-09-25,117.3,118.5,112.1,113.5,62611.03
2022-09-26,113.5,117.6,112.5,116.3,66191.779
2022-09-27,116.3,120.7,112.4,114.3,105830.629
2022-09-28,114.3,115.9,110.1,114.1,78060.028
2022-09-29,114.1,118.0,113.5,116.9,78588.352
2022-09-30,117.0,125.0,114.8,120.1,141643.925
2022-10-01,120.0,121.0,115.8,117.1,58522.772
2022-10-02,117.1,118.6,113.8,114.3,85470.29
2022-10-03,114.2,116.6,113.5,116.3,64768.723
2022-10-04,116.3,122.1,115.6,121.1,74078.707
2022-10-05,121.2,123.6,118.9,122.1,69793.079
2022-10-06,122.1,123.8,117.8,118.4,55537.838
2022-10-07,118.3,120.2,115.5,116.7,57774.352
2022-10-08,116.7,118.8,115.6,116.9,37817.179
2022-10-09,116.9,118.5,116.4,117.2,39843.498
2022-10-10,117.2,118.1,110.6,111.6,48271.502
2022-10-11,111.6,112.5,109.0,111.1,62627.048
2022-10-12,111.2,112.9,110.7,111.7,70759.021
2022-10-13,111.8,113.1,101.8,108.8,111802.857
2022-10-14,108.8,111.8,106.6,107.5,67367.369
2022-10-15,107.6,109.6,106.7,107.9,28022.37
2022-10-16,107.9,111.0,107.8,110.3,22902.42
