date,open,high,low,close,volume
2022-08-23,0.704,0.73,0.69,0.722,4152161.3
2022-08-24,0.723,0.78,0.708,0.727,8376895.8
2022-08-25,0.727,0.754,0.718,0.734,4276582.0
2022-08-26,0.733,0.743,0.657,0.67,7978922.8
2022-08-27,0.669,0.681,0.646,0.659,5807838.2
2022-08-28,0.659,0.679,0.643,0.645,3221563.9
2022-08-29,0.645,0.688,0.632,0.684,4820096.3
2022-08-30,0.684,0.703,0.652,0.669,4837804.5
2022-08-31,0.67,0.7,0.669,0.673,4381277.8
2022-09-01,0.673,0.68,0.653,0.674,3610181.8
2022-09-02,0.674,0.687,0.661,0.668,4285539.0
2022-09-03,0.668,0.672,0.659,0.669,1845988.2
2022-09-04,0.668,0.716,0.665,0.687,5594634.8
2022-09-05,0.687,0.694,0.667,0.676,3252830.8
2022-09-06,0.676,0.693,0.613,0.614,6856647.8
2022-09-07,0.615,0.657,0.603,0.647,4474086.6
2022-09-08,0.648,0.66,0.631,0.643,3794050.4
2022-09-09,0.643,0.699,0.642,0.691,5314038.3
2022-09-10,0.691,0.704,0.672,0.68,3006517.6
2022-09-11,0.68,0.694,0.664,0.676,2750493.7
2022-09-12,0.676,0.696,0.658,0.672,4282328.9
2022-09-13,0.672,0.674,0.618,0.622,5157489.2
2022-09-14,0.621,0.639,0.606,0.628,3572353.7
2022-09-15,0.628,0.63,0.587,0.593,4282763.1
2022-09-16,0.593,0.595,0.569,0.586,2998399.2
2022-09-17,0.586,0.658,0.585,0.617,6025868.2
2022-09-18,0.617,0.618,0.541,0.552,3639334.0
2022-09-19,0.551,0.582,0.54,0.572,3972615.8
2022-09-20,0.572,0.582,0.549,0.555,3132839.6
2022-09-21,0.554,0.582,0.535,0.542,4800379.1
2022-09-22,0.542,0.581,0.54,0.576,3345634.6
2022-09-23,0.577,0.586,0.554,0.576,3973806.2
2022-09-24,0.576,0.586,0.563,0.564,1964292.6
2022-09-25,0.563,0.578,0.548,0.552,1958892.4
2022-09-26,0.552,0.564,0.546,0.56,1863470.2
2022-09-27,0.559,0.585,0.548,0.558,1936932.6
2022-09-28,0.558,0.567,0.543,0.558,1667305.0
2022-09-29,0.558,0.567,0.548,0.565,1359297.0
2022-09-30,0.566,0.664,0.563,0.593,23684914.9
2022-10-01,0.592,0.593,0.571,0.576,2761170.2
2022-10-02,0.575,0.603,0.554,0.599,9004823.9
2022-10-03,0.6,0.656,0.587,0.616,20707134.8
2022-10-04,0.616,0.619,0.597,0.604,3735876.2
2022-10-05,0.604,0.617,0.585,0.6,2611233.9
2022-10-06,0.6,0.606,0.583,0.593,1946837.7
2022-10-07,0.592,0.597,0.574,0.587,1431069.6
2022-10-08,0.587,0.597,0.577,0.585,1265832.4
2022-10-09,0.584,0.592,0.584,0.59,559575.5
2022-10-10,0.59,0.597,0.557,0.559,1770974.0
2022-10-11,0.56,0.562,0.541,0.553,1316219.6
2022-10-12,0.553,0.559,0.544,0.549,903711.1
2022-10-13,0.55,0.55,0.487,0.53,2855143.7
2022-10-14,0.529,0.55,0.516,0.523,1139427.5
2022-10-15,0.524,0.55,0.52,0.536,4312750.5
2022-10-16,0.537,0.568,0.534,0.559,6230523.6
2022-10-17,0.559,0.575,0.553,0.563,2791058.5
2022-10-18,0.564,0.571,0.54,0.551,2621609.1
2022-10-19,0.552,0.554,0.519,0.525,1220046.7
2022-10-20,0.523,0.538,0.515,0.522,1206740.0
2022-10-21,0.522,0.528,0.502,0.525,1666788.4
2022-10-22,0.525,0.528,0.517,0.52,1006908.1
2022-10-23,0.52,0.537,0.515,0.534,1756448.3
2022-10-24,0.535,0.537,0.519,0.524,1088434.4
2022-10-25,0.524,0.545,0.518,0.533,1476494.8
2022-10-26,0.534,0.552,0.533,0.544,2083746.7
2022-10-27,0.543,0.562,0.536,0.539,2346337.4
2022-10-28,0.538,0.581,0.534,0.568,3630404.1
2022-10-29,0.569,0.585,0.56,0.569,3112393.2
2022-10-30,0.57,0.6,0.559,0.568,3653711.7
2022-10-31,0.567,0.591,0.559,0.581,3127465.9
2022-11-01,0.58,0.586,0.564,0.564,1578833.6
2022-11-02,0.564,0.567,0.529,0.541,3159702.2
2022-11-03,0.541,0.65,0.539,0.606,14595494.8
2022-11-04,0.607,0.629,0.588,0.623,6908991.8
2022-11-05,0.623,0.636,0.601,0.609,4914698.8
2022-11-06,0.61,0.622,0.572,0.573,2716857.9
2022-11-07,0.572,0.594,0.559,0.573,3384981.7
2022-11-08,0.573,0.582,0.408,0.465,14671650.2
2022-11-09,0.465,0.473,0.352,0.362,8994376.6
2022-11-10,0.363,0.438,0.356,0.427,6362997.8
2022-11-11,0.426,0.435,0.388,0.417,7673920.5
2022-11-12,0.416,0.417,0.382,0.396,1824431.9
2022-11-13,0.396,0.443,0.381,0.393,7535083.3
2022-11-14,0.393,0.406,0.373,0.404,3040722.8
2022-11-15,0.404,0.434,0.4,0.412,1575223.3
2022-11-16,0.413,0.419,0.392,0.405,1640419.7
2022-11-17,0.405,0.413,0.394,0.397,1301761.3
2022-11-18,0.398,0.41,0.396,0.401,898709.5
2022-11-19,0.402,0.415,0.392,0.409,2160523.4
2022-11-20,0.409,0.44,0.384,0.385,6391100.4
2022-11-21,0.385,0.406,0.371,0.404,3965594.5
2022-11-22,0.404,0.491,0.374,0.438,15014472.6
2022-11-23,0.438,0.455,0.412,0.437,6387593.3
2022-11-24,0.437,0.446,0.425,0.433,2333241.5
2022-11-25,0.432,0.441,0.421,0.433,2526441.6
2022-11-26,0.432,0.45,0.43,0.437,4481322.6
2022-11-27,0.436,0.456,0.424,0.43,3110362.6
2022-11-28,0.429,0.467,0.406,0.443,4681181.2
2022-11-29,0.443,0.466,0.437,0.443,3251979.7
2022-11-30,0.444,0.471,0.444,0.464,5513789.2
2022-12-01,0.464,0.5,0.455,0.465,6479820.3
2022-12-02,0.465,0.485,0.458,0.475,3175110.1
2022-12-03,0.476,0.481,0.458,0.46,1576749.1
2022-12-04,0.46,0.469,0.449,0.463,3740037.9
2022-12-05,0.462,0.474,0.455,0.466,2280634.8
2022-12-06,0.466,0.507,0.46,0.472,7660424.8
2022-12-07,0.472,0.479,0.442,0.461,6352183.3
2022-12-08,0.46,0.471,0.445,0.461,5171441.7
2022-12-09,0.461,0.467,0.455,0.461,1794748.1
2022-12-10,0.461,0.477,0.461,0.467,2835532.3
2022-12-11,0.468,0.48,0.458,0.459,1731294.7
2022-12-12,0.459,0.46,0.44,0.459,2423194.7
2022-12-13,0.459,0.473,0.434,0.472,2404765.3
2022-12-14,0.472,0.484,0.456,0.466,2944751.3
2022-12-15,0.468,0.475,0.453,0.466,1228243.0
2022-12-16,0.466,0.471,0.41,0.413,2012232.9
2022-12-17,0.413,0.424,0.402,0.42,1538536.4
2022-12-18,0.42,0.424,0.413,0.42,1126942.9
2022-12-19,0.42,0.428,0.384,0.391,1647524.0
2022-12-20,0.392,0.412,0.389,0.41,1025834.3
2022-12-21,0.411,0.411,0.395,0.4,968779.8
2022-12-22,0.399,0.404,0.39,0.404,942794.1
2022-12-23,0.404,0.41,0.4,0.404,645475.4
2022-12-24,0.405,0.409,0.402,0.403,402242.8
2022-12-25,0.404,0.407,0.389,0.398,1371126.7
2022-12-26,0.398,0.405,0.396,0.405,570348.3
2022-12-27,0.404,0.406,0.393,0.401,701469.9
2022-12-28,0.4,0.401,0.378,0.386,1221739.5
2022-12-29,0.387,0.394,0.377,0.386,666061.2
2022-12-30,0.386,0.39,0.375,0.387,657819.0
2022-12-31,0.387,0.393,0.385,0.388,418619.5
2023-01-01,0.389,0.394,0.386,0.393,320356.4
2023-01-02,0.393,0.405,0.385,0.399,2673387.6
2023-01-03,0.399,0.405,0.391,0.398,986110.9
2023-01-04,0.397,0.411,0.397,0.408,1114738.2
2023-01-05,0.408,0.415,0.403,0.409,1349153.5
2023-01-06,0.408,0.415,0.396,0.413,984804.6
2023-01-07,0.413,0.419,0.408,0.41,848230.5
2023-01-08,0.41,0.43,0.404,0.428,893868.5
2023-01-09,0.428,0.446,0.423,0.428,1839526.3
2023-01-10,0.428,0.444,0.422,0.439,1441412.3
2023-01-11,0.439,0.453,0.42,0.452,1396856.1
2023-01-12,0.452,0.463,0.437,0.461,2148847.6
2023-01-13,0.461,0.486,0.455,0.485,1749500.7
2023-01-14,0.485,0.531,0.467,0.496,5114711.5
2023-01-15,0.498,0.516,0.484,0.5,2389164.2
2023-01-16,0.5,0.525,0.489,0.503,3638414.7
2023-01-17,0.503,0.512,0.493,0.496,1508045.4
2023-01-18,0.497,0.511,0.452,0.459,2754738.1
2023-01-19,0.459,0.467,0.449,0.462,1455929.7
2023-01-20,0.461,0.515,0.452,0.511,2401798.3
2023-01-21,0.512,0.57,0.506,0.51,9456799.4
2023-01-22,0.51,0.56,0.508,0.534,6538508.9
2023-01-23,0.535,0.559,0.521,0.543,5094569.1
2023-01-24,0.543,0.616,0.523,0.546,11257993.6
2023-01-25,0.546,0.561,0.504,0.553,3366249.3
2023-01-26,0.553,0.61,0.549,0.592,8292816.1
2023-01-27,0.592,0.594,0.572,0.587,3460922.1
2023-01-28,0.588,0.596,0.567,0.578,1862575.6
2023-01-29,0.578,0.605,0.575,0.599,2015894.8
2023-01-30,0.6,0.605,0.536,0.546,3718805.5
2023-01-31,0.547,0.564,0.54,0.553,1648689.2
2023-02-01,0.554,0.593,0.519,0.577,3306966.3
2023-02-02,0.578,0.624,0.578,0.6,6501600.7
2023-02-03,0.601,0.63,0.589,0.62,4977779.3
2023-02-04,0.619,0.644,0.605,0.619,2379072.7
2023-02-05,0.619,0.623,0.576,0.591,2440106.4
2023-02-06,0.591,0.64,0.582,0.591,2705975.0
2023-02-07,0.592,0.663,0.589,0.655,3900488.0
2023-02-08,0.655,0.661,0.607,0.626,1959786.2
2023-02-09,0.627,0.645,0.536,0.551,3103729.2
2023-02-10,0.55,0.564,0.54,0.553,1808931.4
2023-02-11,0.553,0.571,0.546,0.568,1581615.0
2023-02-12,0.567,0.591,0.554,0.567,1896188.7
2023-02-13,0.567,0.57,0.5173,0.5382,2487907.9
2023-02-14,0.5392,0.574,0.5344,0.5732,2456073.1
2023-02-15,0.5727,0.65,0.5641,0.6474,4926489.8
2023-02-16,0.6489,0.681,0.6122,0.6194,7390022.8
2023-02-17,0.6208,0.6754,0.62,0.664,5766344.0
2023-02-18,0.6643,0.6983,0.6558,0.6669,4085311.9
2023-02-19,0.6673,0.757,0.6653,0.7157,9534044.4
2023-02-20,0.715,1.34,0.6921,1.122,58294625.3
2023-02-21,1.1212,1.3,0.8757,0.9076,39838011.3
2023-02-22,0.909,0.9649,0.859,0.9015,14845588.9
2023-02-23,0.9029,0.9124,0.8594,0.873,6089203.2
