date,open,high,low,close,volume
2022-08-23,0.3266,0.3339,0.3196,0.3308,2963560.1
2022-08-24,0.3311,0.3322,0.3224,0.325,3493840.8
2022-08-25,0.325,0.3302,0.3237,0.325,2757857.9
2022-08-26,0.325,0.3253,0.3004,0.3025,4346368.6
2022-08-27,0.3025,0.3216,0.2981,0.3003,4714564.9
2022-08-28,0.3002,0.3028,0.295,0.2955,2525676.6
2022-08-29,0.2955,0.305,0.2919,0.3033,4186078.9
2022-08-30,0.3032,0.3092,0.2901,0.2952,3803029.3
2022-08-31,0.2953,0.3019,0.288,0.289,3347546.6
2022-09-01,0.289,0.2947,0.2846,0.2939,3366381.0
2022-09-02,0.2939,0.2985,0.2894,0.2924,2657429.7
2022-09-03,0.2925,0.2941,0.2881,0.2925,1754504.4
2022-09-04,0.2925,0.2954,0.2898,0.2945,1439011.5
2022-09-05,0.295,0.3262,0.2889,0.3096,17660969.1
2022-09-06,0.3096,0.3169,0.2875,0.2879,4977273.4
2022-09-07,0.288,0.3022,0.284,0.2996,2826146.9
2022-09-08,0.2998,0.3013,0.2934,0.2981,3162146.7
2022-09-09,0.2981,0.3159,0.2978,0.3131,5499116.6
2022-09-10,0.3131,0.3141,0.3044,0.3101,4027955.0
2022-09-11,0.31,0.3119,0.29,0.309,4640748.7
2022-09-12,0.3089,0.3476,0.3062,0.3232,12925955.0
2022-09-13,0.3233,0.3235,0.293,0.2976,6281548.0
2022-09-14,0.2975,0.3038,0.2948,0.2983,3294708.5
2022-09-15,0.2983,0.3017,0.2886,0.2932,3697639.4
2022-09-16,0.2934,0.2989,0.2905,0.295,2777024.4
2022-09-17,0.295,0.3232,0.2943,0.3025,2230050.2
2022-09-18,0.3024,0.3024,0.2851,0.2876,2352807.3
2022-09-19,0.2875,0.293,0.2794,0.2911,2912018.8
2022-09-20,0.2911,0.2925,0.2861,0.2865,2899601.8
2022-09-21,0.2864,0.2883,0.275,0.278,5087890.9
2022-09-22,0.2778,0.2876,0.2773,0.2873,2382248.1
2022-09-23,0.2873,0.2894,0.2797,0.2884,2527456.6
2022-09-24,0.2886,0.2908,0.2686,0.2806,2245515.7
2022-09-25,0.2802,0.2827,0.2748,0.2767,1528259.3
2022-09-26,0.2766,0.2789,0.2726,0.2785,1707187.4
2022-09-27,0.2787,0.2853,0.2671,0.2707,4458246.8
2022-09-28,0.2708,0.2729,0.262,0.2707,2931653.4
2022-09-29,0.2707,0.2723,0.2535,0.2598,9290644.7
2022-09-30,0.2596,0.3443,0.2568,0.2861,60795890.9
2022-10-01,0.286,0.2942,0.272,0.2737,29446732.5
2022-10-02,0.2737,0.2743,0.2635,0.2644,5500748.1
2022-10-03,0.2644,0.28,0.2576,0.2629,4976248.1
2022-10-04,0.263,0.2678,0.2536,0.2635,3768505.9
2022-10-05,0.2636,0.2686,0.2595,0.2645,3354299.5
2022-10-06,0.2643,0.2677,0.2573,0.2604,3329971.1
2022-10-07,0.2603,0.2606,0.2548,0.258,2240343.3
2022-10-08,0.2578,0.2666,0.2556,0.257,3674243.1
2022-10-09,0.257,0.259,0.255,0.2562,1617169.6
2022-10-10,0.256,0.2578,0.25,0.2503,2179138.5
2022-10-11,0.2502,0.2502,0.2405,0.2416,2543073.9
2022-10-12,0.2417,0.2435,0.2395,0.2405,1359686.3
2022-10-13,0.2406,0.2423,0.2228,0.239,6304062.6
2022-10-14,0.2387,0.2494,0.2324,0.2355,5963035.4
2022-10-15,0.2355,0.238,0.2349,0.2357,2038454.6
2022-10-16,0.2357,0.3222,0.2351,0.2446,35412403.4
2022-10-17,0.2445,0.2496,0.24,0.2465,6306829.9
2022-10-18,0.2469,0.2677,0.2376,0.2417,11585614.1
2022-10-19,0.2422,0.2698,0.2377,0.2429,15851945.1
2022-10-20,0.2424,0.2551,0.2393,0.2407,8235939.3
2022-10-21,0.241,0.2532,0.239,0.2459,5776891.1
2022-10-22,0.2458,0.2534,0.2442,0.2477,3897845.7
2022-10-23,0.2476,0.2565,0.2448,0.2514,5551242.7
2022-10-24,0.2514,0.275,0.2483,0.2625,17201907.6
2022-10-25,0.2625,0.2638,0.2512,0.2587,7587372.6
2022-10-26,0.2589,0.2642,0.2569,0.2601,4505943.3
2022-10-27,0.2601,0.2711,0.2567,0.2585,10731734.3
2022-10-28,0.2585,0.2622,0.2516,0.26,3253801.7
2022-10-29,0.2598,0.2642,0.2581,0.2595,4480923.5
2022-10-30,0.2595,0.2681,0.259,0.263,6851381.5
2022-10-31,0.2628,0.2727,0.2594,0.2618,7536028.7
2022-11-01,0.2618,0.2634,0.2587,0.2608,3448727.1
2022-11-02,0.2611,0.2613,0.2507,0.253,4751149.7
2022-11-03,0.2528,0.2618,0.252,0.2572,4637439.7
2022-11-04,0.2572,0.2707,0.2563,0.2697,6297235.5
2022-11-05,0.2694,0.2839,0.2659,0.2683,7696832.0
2022-11-06,0.2679,0.28,0.2585,0.2596,9306983.5
2022-11-07,0.2595,0.2622,0.2512,0.2563,5053003.7
2022-11-08,0.2562,0.2763,0.215,0.2333,16384979.2
2022-11-09,0.2335,0.2354,0.1864,0.1906,15145572.1
2022-11-10,0.1906,0.2389,0.1888,0.2144,11413555.5
2022-11-11,0.2142,0.2181,0.198,0.2041,6359648.2
2022-11-12,0.204,0.2046,0.1939,0.1986,4355335.7
2022-11-13,0.1987,0.23,0.1969,0.2142,30791606.9
2022-11-14,0.2143,0.2144,0.1991,0.2102,12584559.9
2022-11-15,0.2103,0.2142,0.2061,0.2085,5836915.4
2022-11-16,0.2085,0.2093,0.1999,0.2042,3018389.0
2022-11-17,0.2042,0.205,0.199,0.204,2869582.1
2022-11-18,0.2039,0.2088,0.2011,0.2038,2924284.1
2022-11-19,0.2036,0.2048,0.2,0.2016,2694024.3
2022-11-20,0.2018,0.21,0.1998,0.2002,7013808.0
2022-11-21,0.2002,0.202,0.1908,0.1937,7256811.5
2022-11-22,0.1937,0.1988,0.1894,0.1986,3391792.0
2022-11-23,0.1988,0.2213,0.1973,0.2134,13921988.5
2022-11-24,0.2134,0.2137,0.2068,0.2095,4325571.4
2022-11-25,0.2096,0.213,0.2043,0.2087,2465023.6
2022-11-26,0.2088,0.224,0.2081,0.2133,6628040.9
2022-11-27,0.2134,0.218,0.21,0.2103,2965496.6
2022-11-28,0.2102,0.2113,0.2005,0.203,2377432.7
2022-11-29,0.2033,0.2112,0.202,0.2049,2788287.8
2022-11-30,0.2049,0.2263,0.2046,0.2146,11184948.0
2022-12-01,0.2142,0.2155,0.2071,0.2094,3658621.2
2022-12-02,0.2095,0.214,0.2061,0.2138,2970135.7
2022-12-03,0.2138,0.2186,0.209,0.2098,2904854.6
2022-12-04,0.2099,0.2144,0.2093,0.2133,3781081.6
2022-12-05,0.2133,0.2176,0.2106,0.2136,4215567.0
2022-12-06,0.2136,0.2145,0.2089,0.2117,2565533.5
2022-12-07,0.2117,0.2155,0.2089,0.2113,4774154.8
2022-12-08,0.2114,0.2138,0.209,0.2131,2553443.5
2022-12-09,0.2133,0.2322,0.2087,0.2114,13028725.3
2022-12-10,0.2114,0.232,0.2101,0.213,10025146.7
2022-12-11,0.2131,0.2155,0.2119,0.2123,2419975.1
2022-12-12,0.2123,0.2134,0.2052,0.2073,2821167.5
2022-12-13,0.2072,0.2075,0.1964,0.2037,4308580.0
2022-12-14,0.2037,0.2062,0.1997,0.2004,2553400.7
2022-12-15,0.2003,0.2007,0.1949,0.1952,1768698.5
2022-12-16,0.1957,0.1985,0.1759,0.1774,4447150.2
2022-12-17,0.1774,0.18,0.1709,0.1798,2802048.6
2022-12-18,0.1798,0.183,0.1781,0.1806,2121027.3
2022-12-19,0.1809,0.1819,0.172,0.1722,1907278.1
2022-12-20,0.1723,0.1778,0.1714,0.1765,1393130.0
2022-12-21,0.1765,0.1768,0.1704,0.1719,1475303.2
2022-12-22,0.1721,0.173,0.1673,0.1708,1413368.7
2022-12-23,0.1708,0.1717,0.1688,0.1698,1195025.5
2022-12-24,0.1696,0.1739,0.1687,0.1702,2464437.3
2022-12-25,0.1704,0.1705,0.1673,0.1686,1202007.8
2022-12-26,0.1687,0.1715,0.1683,0.1711,1446584.5
2022-12-27,0.1712,0.1712,0.1672,0.1704,1561652.7
2022-12-28,0.1706,0.1707,0.1627,0.1632,2012695.4
2022-12-29,0.1632,0.178,0.1605,0.1651,6026214.8
2022-12-30,0.1654,0.1783,0.165,0.1674,12656057.9
2022-12-31,0.1675,0.1676,0.1632,0.1639,1679306.5
2023-01-01,0.1641,0.1649,0.1622,0.1637,943500.1
2023-01-02,0.1637,0.1715,0.1616,0.1684,3715995.6
2023-01-03,0.1684,0.1706,0.167,0.168,1715586.6
2023-01-04,0.168,0.1773,0.1677,0.1755,3707526.0
2023-01-05,0.1752,0.1813,0.1727,0.1737,3453743.3
2023-01-06,0.1739,0.1804,0.1719,0.1773,3885105.2
2023-01-07,0.177,0.1785,0.1756,0.1758,642170.1
2023-01-08,0.1758,0.1803,0.1744,0.18,1259062.1
2023-01-09,0.1799,0.1909,0.1794,0.1842,6385721.3
2023-01-10,0.1839,0.1881,0.182,0.1867,2254044.7
2023-01-11,0.1869,0.1946,0.1821,0.1877,5529826.7
2023-01-12,0.1878,0.1909,0.1837,0.1894,3532572.0
2023-01-13,0.1894,0.1937,0.1855,0.1926,4604180.9
2023-01-14,0.1922,0.204,0.1901,0.1942,7582391.7
2023-01-15,0.1942,0.195,0.1843,0.1926,5624168.2
2023-01-16,0.1922,0.1965,0.1875,0.192,3349041.3
2023-01-17,0.192,0.205,0.1901,0.1981,8703714.7
2023-01-18,0.1982,0.2046,0.1797,0.1913,9681451.4
2023-01-19,0.1912,0.1943,0.1831,0.1911,6281464.4
2023-01-20,0.1907,0.1992,0.1857,0.1991,5231000.1
2023-01-21,0.1991,0.2029,0.1944,0.1946,6637263.0
2023-01-22,0.1947,0.2,0.19,0.1958,6152671.3
2023-01-23,0.1957,0.2179,0.1953,0.2061,17879202.5
2023-01-24,0.2062,0.2136,0.198,0.2004,9517002.1
2023-01-25,0.2004,0.211,0.1967,0.2087,8982739.6
2023-01-26,0.209,0.2155,0.2051,0.2113,8136435.0
2023-01-27,0.2112,0.229,0.2063,0.2185,13874388.8
2023-01-28,0.2184,0.2205,0.2117,0.2134,3377070.0
2023-01-29,0.2133,0.2275,0.2124,0.2241,5797836.5
2023-01-30,0.224,0.2248,0.1981,0.2022,12363151.9
2023-01-31,0.2024,0.2113,0.1995,0.2085,5784709.7
2023-02-01,0.2088,0.215,0.2001,0.2119,5935302.9
2023-02-02,0.2119,0.2219,0.2087,0.2118,11611554.4
2023-02-03,0.2118,0.2186,0.21,0.2168,5748343.7
