date,open,high,low,close,volume
2022-08-23,9e-07,9.1e-07,8.7e-07,9.1e-07,1376576192093.0
2022-08-24,9.1e-07,9.2e-07,8.9e-07,9.1e-07,1618092820020.0
2022-08-25,9.1e-07,9.3e-07,9e-07,9.2e-07,1284598035097.0
2022-08-26,9.1e-07,9.2e-07,8.6e-07,8.7e-07,3430034946208.0
2022-08-27,8.7e-07,8.8e-07,8.5e-07,8.7e-07,2984150878814.0
2022-08-28,8.6e-07,8.8e-07,8.4e-07,8.5e-07,1579557569317.0
2022-08-29,8.4e-07,8.9e-07,8.4e-07,8.9e-07,1851827407687.0
2022-08-30,8.9e-07,9.1e-07,8.6e-07,8.8e-07,2388590500837.0
2022-08-31,8.8e-07,9.1e-07,8.7e-07,8.8e-07,1909299243271.0
2022-09-01,8.8e-07,9e-07,8.7e-07,8.9e-07,2529066870768.0
2022-09-02,8.9e-07,9.2e-07,8.7e-07,8.9e-07,2135444389974.0
2022-09-03,8.8e-07,8.9e-07,8.7e-07,8.8e-07,804049949542.0
2022-09-04,8.7e-07,8.9e-07,8.7e-07,8.8e-07,869215103325.0
2022-09-05,8.9e-07,9e-07,8.7e-07,8.9e-07,1659745252865.0
2022-09-06,9e-07,9.1e-07,8.6e-07,8.7e-07,2026327471159.0
2022-09-07,8.7e-07,9e-07,8.5e-07,8.8e-07,2815688706206.0
2022-09-08,8.8e-07,9e-07,8.7e-07,8.8e-07,1800756833107.0
2022-09-09,8.8e-07,9.2e-07,8.8e-07,9.1e-07,2452181020622.0
2022-09-10,9.1e-07,9.3e-07,9e-07,9.3e-07,1523930006503.0
2022-09-11,9.3e-07,9.3e-07,9e-07,9.1e-07,1294042675741.0
2022-09-12,9.2e-07,9.3e-07,8.9e-07,9e-07,1822003365687.0
2022-09-13,9.1e-07,9.2e-07,8.5e-07,8.6e-07,2920035497822.0
2022-09-14,8.5e-07,8.8e-07,8.5e-07,8.8e-07,1296949771266.0
2022-09-15,8.7e-07,8.9e-07,8.2e-07,8.3e-07,4313231018559.0
2022-09-16,8.3e-07,8.4e-07,8.1e-07,8.2e-07,1969434827566.0
2022-09-17,8.2e-07,8.4e-07,8.1e-07,8.4e-07,1528373671818.0
2022-09-18,8.4e-07,8.4e-07,7.8e-07,7.9e-07,2479147579139.0
2022-09-19,7.9e-07,8.1e-07,7.7e-07,8e-07,2176782677818.0
2022-09-20,8.1e-07,8.1e-07,7.8e-07,7.8e-07,1624699028129.0
2022-09-21,7.8e-07,8e-07,7.6e-07,7.7e-07,3246406068717.0
2022-09-22,7.7e-07,8e-07,7.6e-07,8e-07,1699996990695.0
2022-09-23,8e-07,8.1e-07,7.7e-07,8e-07,2156785307896.0
2022-09-24,8e-07,8.1e-07,7.8e-07,7.9e-07,2285829934735.0
2022-09-25,7.9e-07,8e-07,7.7e-07,7.7e-07,1592802397527.0
2022-09-26,7.7e-07,7.9e-07,7.7e-07,7.9e-07,1746158052838.0
2022-09-27,7.9e-07,8.1e-07,7.7e-07,7.7e-07,3038423090180.0
2022-09-28,7.8e-07,7.9e-07,7.6e-07,7.8e-07,2534042623777.0
2022-09-29,7.8e-07,7.9e-07,7.6e-07,7.9e-07,1298498387204.0
2022-09-30,7.8e-07,8e-07,7.7e-07,7.7e-07,1180243118485.0
2022-10-01,7.8e-07,7.9e-07,7.7e-07,7.7e-07,872761568178.0
2022-10-02,7.7e-07,8.1e-07,7.6e-07,7.6e-07,2633591817621.0
2022-10-03,7.7e-07,7.9e-07,7.6e-07,7.9e-07,1024429011936.0
