date,open,high,low,close,volume
2022-08-23,0.403,0.426,0.38,0.409,13740509.1
2022-08-24,0.41,0.425,0.401,0.41,10635543.2
2022-08-25,0.41,0.443,0.41,0.424,9880370.6
2022-08-26,0.424,0.429,0.383,0.389,10413521.8
2022-08-27,0.389,0.389,0.368,0.375,7557760.5
2022-08-28,0.376,0.388,0.365,0.367,4184901.8
2022-08-29,0.367,0.427,0.362,0.422,11639156.6
2022-08-30,0.423,0.448,0.407,0.43,17658148.3
2022-08-31,0.43,0.454,0.423,0.439,7442285.0
2022-09-01,0.439,0.446,0.418,0.427,7104083.7
2022-09-02,0.427,0.438,0.411,0.437,6846575.2
2022-09-03,0.436,0.454,0.431,0.442,5946176.3
2022-09-04,0.441,0.447,0.428,0.434,3220033.9
2022-09-05,0.435,0.439,0.419,0.43,2886672.3
2022-09-06,0.431,0.442,0.388,0.388,5838304.7
2022-09-07,0.389,0.408,0.387,0.403,4185524.8
2022-09-08,0.403,0.407,0.386,0.399,5088908.4
2022-09-09,0.399,0.456,0.399,0.4521,16149501.2
2022-09-10,0.4525,0.4679,0.4352,0.4429,17026180.3
2022-09-11,0.4428,0.4564,0.4336,0.4438,16076279.6
2022-09-12,0.4438,0.4642,0.4338,0.4445,26734470.8
2022-09-13,0.4444,0.4485,0.4,0.4018,21145913.2
2022-09-14,0.4014,0.4251,0.3908,0.4057,14034286.4
2022-09-15,0.4055,0.4057,0.3836,0.3917,17177024.2
2022-09-16,0.3921,0.4481,0.387,0.441,26470510.3
2022-09-17,0.441,0.4629,0.4343,0.4514,32163713.7
2022-09-18,0.4512,0.4551,0.3812,0.3863,23139827.7
2022-09-19,0.3863,0.4217,0.366,0.3921,31266112.6
2022-09-20,0.3921,0.3983,0.369,0.3721,20645217.7
2022-09-21,0.3722,0.3881,0.3518,0.3563,26732460.7
2022-09-22,0.3559,0.39,0.3554,0.3854,16107494.5
2022-09-23,0.3854,0.3901,0.3572,0.3698,17199589.9
2022-09-24,0.3698,0.3754,0.3601,0.3622,10278395.3
2022-09-25,0.3619,0.3708,0.3468,0.3533,9622937.8
2022-09-26,0.3531,0.3655,0.3463,0.3613,12434033.1
2022-09-27,0.361,0.3706,0.3446,0.3497,12076594.1
2022-09-28,0.3497,0.3518,0.3342,0.3486,7315173.6
2022-09-29,0.3487,0.37,0.3425,0.357,8934904.2
2022-09-30,0.3571,0.37,0.3521,0.3617,7773841.2
2022-10-01,0.3607,0.3651,0.3549,0.3593,3133471.1
2022-10-02,0.3591,0.3644,0.3507,0.3543,6740786.1
2022-10-03,0.3541,0.3719,0.3507,0.3666,8549352.2
2022-10-04,0.3666,0.3768,0.3661,0.3721,7416897.2
2022-10-05,0.3722,0.3733,0.3572,0.3662,6609051.9
2022-10-06,0.3655,0.3731,0.358,0.3606,8893304.5
2022-10-07,0.3604,0.3671,0.3533,0.3594,4608529.9
2022-10-08,0.3592,0.3652,0.3495,0.354,3254191.4
2022-10-09,0.3542,0.3594,0.3538,0.3582,1423400.2
2022-10-10,0.3584,0.3632,0.3421,0.3438,2713252.0
2022-10-11,0.3436,0.3557,0.325,0.3557,12078931.6
2022-10-12,0.3554,0.36,0.3385,0.3399,7803261.3
2022-10-13,0.3399,0.3408,0.3001,0.3258,10940427.7
2022-10-14,0.3259,0.34,0.3205,0.324,4546319.8
2022-10-15,0.324,0.3279,0.3188,0.3236,3184939.7
2022-10-16,0.3237,0.3376,0.3234,0.3327,3437687.2
2022-10-17,0.3326,0.3408,0.3295,0.3393,3061453.6
2022-10-18,0.3407,0.3492,0.3268,0.3335,6379699.0
2022-10-19,0.3333,0.3346,0.3118,0.3148,3687347.5
2022-10-20,0.3149,0.3229,0.3067,0.3096,2755167.9
2022-10-21,0.3093,0.3141,0.2965,0.3132,3106882.1
2022-10-22,0.3132,0.3151,0.3087,0.3131,1159175.4
2022-10-23,0.3129,0.3173,0.3004,0.311,4454657.9
2022-10-24,0.311,0.3127,0.2925,0.2943,7597701.3
2022-10-25,0.2943,0.3072,0.2935,0.299,8305902.9
2022-10-26,0.2992,0.3098,0.2984,0.3043,5642950.7
2022-10-27,0.3044,0.3195,0.3035,0.3108,10744536.8
2022-10-28,0.311,0.3499,0.3056,0.3285,50538496.2
2022-10-29,0.3287,0.3723,0.3287,0.3372,59612677.5
2022-10-30,0.3374,0.35,0.3255,0.331,18651856.6
2022-10-31,0.3311,0.3357,0.3165,0.3206,11141555.8
2022-11-01,0.32,0.3277,0.3116,0.3119,6697133.4
2022-11-02,0.312,0.3185,0.298,0.3026,15010560.9
