date,open,high,low,close,volume
2022-08-23,3.962,3.974,3.856,3.922,723327.8
2022-08-24,3.926,3.966,3.856,3.914,601706.9
2022-08-25,3.915,4.071,3.911,4.038,837049.68
2022-08-26,4.038,4.038,3.724,3.742,838142.48
2022-08-27,3.741,3.841,3.684,3.732,803722.4
2022-08-28,3.734,3.954,3.706,3.804,1041979.06
2022-08-29,3.804,4.035,3.79,4.031,970768.43
2022-08-30,4.03,4.32,3.901,4.004,3379288.6
2022-08-31,4.005,4.125,3.91,3.915,1787816.4
2022-09-01,3.916,3.981,3.847,3.967,1107746.11
2022-09-02,3.969,4.058,3.918,3.98,819728.67
2022-09-03,3.981,4.027,3.959,4.025,523147.9
2022-09-04,4.026,4.134,4.016,4.132,1062731.04
2022-09-05,4.133,4.199,4.073,4.148,1208514.78
2022-09-06,4.147,4.256,3.895,3.904,1228676.08
2022-09-07,3.902,4.138,3.845,4.112,950731.77
2022-09-08,4.114,4.141,3.997,4.076,820118.56
2022-09-09,4.075,4.362,4.069,4.325,1641722.61
2022-09-10,4.327,4.386,4.257,4.339,780178.04
2022-09-11,4.34,4.55,4.273,4.543,1870966.06
2022-09-12,4.543,4.591,4.382,4.414,1587656.61
2022-09-13,4.415,4.454,4.112,4.137,1307610.77
2022-09-14,4.136,4.243,4.105,4.165,858800.02
2022-09-15,4.163,4.185,4.015,4.056,1388865.1
2022-09-16,4.057,4.2,4.025,4.173,1117956.02
2022-09-17,4.174,4.38,4.172,4.367,818242.66
2022-09-18,4.368,4.501,4.204,4.254,1934476.93
2022-09-19,4.255,4.367,4.119,4.349,1753411.85
2022-09-20,4.35,4.395,4.293,4.333,1125194.55
2022-09-21,4.333,4.44,4.177,4.232,3480936.39
2022-09-22,4.232,4.518,4.216,4.495,1362092.59
2022-09-23,4.495,4.549,4.357,4.503,1846889.58
2022-09-24,4.504,4.695,4.495,4.495,1814032.29
2022-09-25,4.495,4.622,4.46,4.618,1239252.15
2022-09-26,4.617,4.657,4.514,4.626,1436475.77
