date,open,high,low,close,volume
2022-08-23,0.897,0.914,0.866,0.906,2768936.4
2022-08-24,0.907,0.925,0.882,0.899,2937001.2
2022-08-25,0.899,0.922,0.89,0.904,2089312.0
2022-08-26,0.904,0.905,0.801,0.811,6041721.2
2022-08-27,0.811,0.826,0.801,0.816,2643455.2
2022-08-28,0.816,0.826,0.78,0.784,2105239.9
2022-08-29,0.785,0.829,0.774,0.826,2535480.9
2022-08-30,0.826,0.838,0.784,0.799,3286527.2
2022-08-31,0.8,0.84,0.799,0.828,3241455.2
2022-09-01,0.828,0.855,0.813,0.854,3634325.8
2022-09-02,0.853,0.868,0.827,0.836,2855415.5
2022-09-03,0.835,0.838,0.818,0.825,1036426.8
2022-09-04,0.826,0.84,0.816,0.839,1326618.8
2022-09-05,0.84,0.848,0.802,0.84,2563661.1
2022-09-06,0.84,0.875,0.774,0.775,6381659.8
2022-09-07,0.775,0.827,0.757,0.81,3219183.2
2022-09-08,0.81,0.841,0.792,0.837,3144223.9
2022-09-09,0.837,0.901,0.836,0.89,4185201.1
2022-09-10,0.889,0.924,0.875,0.888,3914158.2
2022-09-11,0.889,0.898,0.863,0.884,2543745.7
2022-09-12,0.884,0.914,0.868,0.887,4527627.1
2022-09-13,0.887,0.888,0.788,0.789,5971259.2
2022-09-14,0.79,0.81,0.784,0.804,3805590.3
2022-09-15,0.804,0.809,0.768,0.78,4258230.9
2022-09-16,0.78,0.801,0.769,0.799,3312543.1
2022-09-17,0.799,0.818,0.794,0.815,1581614.6
2022-09-18,0.814,0.816,0.755,0.764,3212812.4
2022-09-19,0.764,0.775,0.727,0.771,3201530.8
2022-09-20,0.771,0.782,0.743,0.748,3794121.1
2022-09-21,0.748,0.792,0.72,0.732,6712464.0
2022-09-22,0.732,0.81,0.727,0.801,4301927.2
2022-09-23,0.802,0.826,0.777,0.824,5086669.5
2022-09-24,0.824,0.836,0.813,0.814,2805788.9
2022-09-25,0.814,0.815,0.77,0.778,2525679.5
2022-09-26,0.778,0.786,0.747,0.777,4658362.8
2022-09-27,0.776,0.811,0.773,0.793,4548221.2
2022-09-28,0.793,0.794,0.753,0.785,3593330.8
2022-09-29,0.785,0.813,0.779,0.812,3693424.6
2022-09-30,0.812,0.83,0.791,0.796,3818322.3
2022-10-01,0.795,0.806,0.78,0.787,1191290.6
2022-10-02,0.787,0.794,0.755,0.756,2109289.4
2022-10-03,0.757,0.78,0.748,0.774,2986858.7
2022-10-04,0.774,0.797,0.764,0.796,2493479.6
2022-10-05,0.796,0.799,0.762,0.776,3710290.1
2022-10-06,0.776,0.794,0.763,0.765,2887513.9
2022-10-07,0.765,0.795,0.755,0.78,2961999.0
2022-10-08,0.78,0.786,0.765,0.773,921935.2
2022-10-09,0.772,0.779,0.767,0.776,601854.7
2022-10-10,0.775,0.79,0.759,0.765,2007821.8
2022-10-11,0.765,0.765,0.734,0.741,2588540.7
2022-10-12,0.74,0.755,0.739,0.746,1151563.9
2022-10-13,0.746,0.75,0.665,0.739,4530274.9
2022-10-14,0.739,0.783,0.737,0.759,3190160.5
2022-10-15,0.759,0.76,0.73,0.736,1163698.2
2022-10-16,0.736,0.757,0.734,0.748,1096421.3
2022-10-17,0.748,0.759,0.738,0.756,1206773.8
2022-10-18,0.756,0.774,0.731,0.744,2685838.0
2022-10-19,0.744,0.747,0.685,0.692,2765399.9
2022-10-20,0.691,0.705,0.674,0.681,2200091.8
2022-10-21,0.681,0.718,0.661,0.717,2380247.2
2022-10-22,0.717,0.739,0.706,0.732,2382896.6
2022-10-23,0.731,0.733,0.702,0.724,2042283.2
2022-10-24,0.726,0.728,0.694,0.701,1577393.3
2022-10-25,0.701,0.732,0.696,0.718,1865377.0
2022-10-26,0.718,0.731,0.708,0.728,2720533.9
2022-10-27,0.727,0.745,0.707,0.713,3696568.1
2022-10-28,0.713,0.719,0.689,0.713,3199699.8
2022-10-29,0.712,0.746,0.705,0.716,4444825.6
