date,open,high,low,close,volume
2022-08-23,0.0528,0.063,0.0522,0.0539,73185328.0
2022-08-24,0.0539,0.0557,0.053,0.0547,13091203.0
2022-08-25,0.0547,0.0555,0.0539,0.055,8942755.0
2022-08-26,0.0549,0.062,0.0545,0.0573,114166042.0
2022-08-27,0.0573,0.0614,0.052,0.0544,55426214.0
2022-08-28,0.0545,0.0545,0.0502,0.0503,11191111.0
2022-08-29,0.0505,0.0527,0.0503,0.0526,9601604.0
2022-08-30,0.0526,0.0535,0.0498,0.0501,10670076.0
2022-08-31,0.0504,0.0522,0.0501,0.0505,8056948.0
2022-09-01,0.0504,0.0516,0.0492,0.0507,12003095.0
2022-09-02,0.0506,0.0522,0.0498,0.0506,7342701.0
2022-09-03,0.0505,0.0512,0.0503,0.0511,2698957.0
2022-09-04,0.0512,0.0527,0.051,0.0527,8995682.0
2022-09-05,0.0527,0.0534,0.0502,0.0532,14793595.0
2022-09-06,0.0531,0.0539,0.0503,0.0506,14930455.0
2022-09-07,0.0506,0.0523,0.0502,0.0519,8191693.0
2022-09-08,0.0519,0.0527,0.0507,0.0521,9188491.0
2022-09-09,0.0522,0.0564,0.0518,0.0554,25398573.0
2022-09-10,0.0555,0.0568,0.0547,0.056,21585527.0
2022-09-11,0.056,0.0562,0.0536,0.0541,20330374.0
2022-09-12,0.0542,0.0554,0.0512,0.0528,25804496.0
2022-09-13,0.0528,0.055,0.0467,0.0478,45083283.0
2022-09-14,0.0478,0.0647,0.0476,0.0608,170022446.0
2022-09-15,0.0606,0.0638,0.051,0.0512,121421986.0
2022-09-16,0.0513,0.0513,0.0479,0.0489,31118042.0
2022-09-17,0.0488,0.0496,0.0478,0.0493,22115051.0
2022-09-18,0.0492,0.0496,0.0432,0.0435,21845201.0
2022-09-19,0.0434,0.0444,0.0419,0.0436,21316511.0
2022-09-20,0.0436,0.0509,0.0428,0.0431,65819805.0
2022-09-21,0.043,0.0449,0.0409,0.0422,17901343.0
2022-09-22,0.0422,0.0439,0.0418,0.0436,12233877.0
2022-09-23,0.0436,0.0442,0.0415,0.043,15527679.0
2022-09-24,0.043,0.0445,0.0426,0.0429,13185354.0
2022-09-25,0.0428,0.044,0.0421,0.0424,6576755.0
2022-09-26,0.0424,0.0443,0.0422,0.0436,9719528.0
2022-09-27,0.0436,0.0459,0.042,0.0428,31559428.0
