date,open,high,low,close,volume
2022-08-23,0.294,0.301,0.284,0.299,1643146.6
2022-08-24,0.299,0.315,0.291,0.295,2905406.9
2022-08-25,0.295,0.311,0.295,0.303,2702403.0
2022-08-26,0.302,0.302,0.265,0.269,2802104.0
2022-08-27,0.268,0.273,0.262,0.27,1312007.3
2022-08-28,0.269,0.309,0.262,0.263,5109653.9
2022-08-29,0.264,0.299,0.264,0.287,6109431.9
2022-08-30,0.287,0.295,0.267,0.271,2841707.1
2022-08-31,0.271,0.288,0.271,0.281,2440333.5
2022-09-01,0.282,0.286,0.272,0.284,1436079.9
2022-09-02,0.285,0.293,0.273,0.277,2339197.5
2022-09-03,0.276,0.278,0.273,0.277,684579.1
2022-09-04,0.277,0.305,0.274,0.284,5901268.5
2022-09-05,0.284,0.286,0.276,0.283,1388271.7
2022-09-06,0.283,0.287,0.258,0.259,2347515.3
2022-09-07,0.258,0.277,0.252,0.271,3856474.4
2022-09-08,0.272,0.293,0.268,0.28,5271335.3
2022-09-09,0.28,0.291,0.28,0.288,2930974.0
2022-09-10,0.288,0.297,0.284,0.293,3353394.3
2022-09-11,0.293,0.301,0.286,0.292,2980898.5
2022-09-12,0.293,0.297,0.282,0.285,2194758.7
2022-09-13,0.285,0.291,0.266,0.267,3131002.9
2022-09-14,0.268,0.292,0.265,0.28,4784878.8
2022-09-15,0.28,0.282,0.264,0.265,3089045.9
2022-09-16,0.266,0.27,0.259,0.265,1666604.1
2022-09-17,0.264,0.32,0.264,0.281,9784946.5
2022-09-18,0.281,0.289,0.261,0.262,3573399.8
2022-09-19,0.262,0.268,0.249,0.259,3940447.6
2022-09-20,0.26,0.268,0.251,0.258,4099496.0
2022-09-21,0.258,0.29,0.246,0.251,8455271.1
2022-09-22,0.252,0.264,0.251,0.26,2416742.4
2022-09-23,0.259,0.265,0.251,0.261,2365389.7
2022-09-24,0.26,0.264,0.258,0.26,1158101.9
2022-09-25,0.26,0.261,0.249,0.25,1324863.0
2022-09-26,0.25,0.262,0.247,0.261,2865098.5
2022-09-27,0.261,0.267,0.249,0.254,2739779.7
2022-09-28,0.254,0.258,0.246,0.255,1555504.7
2022-09-29,0.256,0.33,0.254,0.287,17368469.4
2022-09-30,0.288,0.306,0.261,0.267,11324719.0
2022-10-01,0.267,0.267,0.256,0.259,2298436.4
2022-10-02,0.259,0.268,0.251,0.253,2711805.8
2022-10-03,0.254,0.264,0.252,0.263,1838096.1
2022-10-04,0.262,0.272,0.259,0.27,3490129.9
2022-10-05,0.271,0.271,0.26,0.265,1833355.1
2022-10-06,0.265,0.268,0.258,0.259,1340645.1
2022-10-07,0.259,0.267,0.256,0.258,1473719.0
2022-10-08,0.258,0.263,0.254,0.258,1751353.7
2022-10-09,0.258,0.266,0.256,0.259,1326922.6
2022-10-10,0.258,0.264,0.248,0.248,1427249.6
2022-10-11,0.248,0.252,0.242,0.249,1172090.1
2022-10-12,0.249,0.252,0.242,0.246,773242.7
2022-10-13,0.246,0.246,0.212,0.23,2735297.2
2022-10-14,0.231,0.248,0.228,0.239,4363450.3
2022-10-15,0.24,0.29,0.235,0.239,15056726.8
2022-10-16,0.24,0.271,0.239,0.254,7312660.5
2022-10-17,0.254,0.308,0.249,0.252,13048990.5
2022-10-18,0.252,0.261,0.248,0.251,3273920.1
2022-10-19,0.251,0.252,0.239,0.24,1982225.6
2022-10-20,0.241,0.248,0.237,0.243,894032.7
2022-10-21,0.242,0.248,0.234,0.246,1616636.6
2022-10-22,0.247,0.285,0.244,0.265,14781409.6
2022-10-23,0.265,0.287,0.258,0.262,7586190.8
2022-10-24,0.262,0.269,0.258,0.259,2722949.7
2022-10-25,0.259,0.267,0.257,0.264,2098515.8
2022-10-26,0.264,0.27,0.262,0.265,2337392.9
2022-10-27,0.265,0.269,0.258,0.261,1946340.9
2022-10-28,0.26,0.264,0.254,0.263,1507953.0
2022-10-29,0.264,0.267,0.261,0.267,2546831.9
2022-10-30,0.266,0.271,0.26,0.263,2285398.5
2022-10-31,0.263,0.265,0.256,0.259,1499732.2
2022-11-01,0.259,0.26,0.254,0.254,1046458.9
2022-11-02,0.254,0.258,0.244,0.248,1275189.2
2022-11-03,0.248,0.261,0.247,0.254,2816207.0
2022-11-04,0.254,0.273,0.252,0.27,5330480.9
2022-11-05,0.27,0.277,0.269,0.271,3536037.9
2022-11-06,0.272,0.275,0.258,0.26,2482614.1
2022-11-07,0.26,0.265,0.25,0.255,2107859.8
2022-11-08,0.255,0.256,0.186,0.208,10107173.1
2022-11-09,0.208,0.209,0.157,0.16,4629167.2
2022-11-10,0.159,0.186,0.159,0.183,2601060.0
2022-11-11,0.183,0.188,0.163,0.172,4638095.6
2022-11-12,0.172,0.172,0.164,0.168,1255420.4
2022-11-13,0.167,0.188,0.164,0.172,5196848.1
2022-11-14,0.172,0.192,0.163,0.179,5895706.8
2022-11-15,0.18,0.181,0.174,0.176,2150296.0
2022-11-16,0.176,0.177,0.169,0.173,1320574.7
2022-11-17,0.174,0.183,0.169,0.182,1603241.0
2022-11-18,0.181,0.191,0.169,0.172,2860517.9
2022-11-19,0.171,0.198,0.168,0.173,10060896.7
