date,open,high,low,close,volume
2022-08-23,0.1691,0.1749,0.1649,0.1741,15724829.0
2022-08-24,0.1744,0.1775,0.169,0.1723,13293047.0
2022-08-25,0.1723,0.1864,0.1707,0.1844,23452701.0
2022-08-26,0.1845,0.1979,0.1616,0.164,95535181.0
2022-08-27,0.1639,0.188,0.1611,0.1693,35988544.0
2022-08-28,0.1692,0.1717,0.1578,0.1589,22330666.0
2022-08-29,0.1589,0.1758,0.1559,0.1748,21221770.0
2022-08-30,0.1748,0.1838,0.173,0.1819,32054942.0
2022-08-31,0.182,0.1887,0.1755,0.1802,30312535.0
2022-09-01,0.1802,0.1893,0.1747,0.1821,22860809.0
2022-09-02,0.1821,0.1848,0.1743,0.177,23996530.0
2022-09-03,0.177,0.181,0.1714,0.175,10579835.0
2022-09-04,0.175,0.1799,0.1743,0.1786,8455989.0
2022-09-05,0.1787,0.1877,0.1755,0.1865,19939160.0
2022-09-06,0.1865,0.1924,0.1771,0.181,42434133.0
2022-09-07,0.181,0.182,0.168,0.177,31628195.0
2022-09-08,0.177,0.1794,0.1722,0.1771,17895323.0
2022-09-09,0.1771,0.1875,0.1767,0.1863,18203139.0
2022-09-10,0.1865,0.1918,0.1829,0.1856,20778461.0
2022-09-11,0.1856,0.189,0.1812,0.184,16423853.0
2022-09-12,0.1841,0.1895,0.1801,0.1835,22952579.0
2022-09-13,0.1836,0.1836,0.1629,0.1638,41067114.0
2022-09-14,0.1637,0.1662,0.1578,0.1629,21364461.0
2022-09-15,0.1629,0.1635,0.1537,0.1554,25267260.0
2022-09-16,0.1556,0.1576,0.1521,0.157,16079317.0
2022-09-17,0.157,0.1701,0.1567,0.1685,21583602.0
2022-09-18,0.1686,0.1686,0.1443,0.1472,31025953.0
2022-09-19,0.1472,0.166,0.143,0.1545,34802492.0
2022-09-20,0.1546,0.1563,0.1427,0.1447,35741766.0
2022-09-21,0.1448,0.151,0.137,0.1394,40975012.0
2022-09-22,0.1394,0.1503,0.1393,0.1497,20405600.0
2022-09-23,0.1496,0.1553,0.1441,0.1535,27997425.0
2022-09-24,0.1535,0.158,0.1496,0.1516,11785453.0
2022-09-25,0.1515,0.1529,0.1453,0.147,10874037.0
2022-09-26,0.147,0.1504,0.1433,0.1497,20733211.0
2022-09-27,0.1497,0.1568,0.1472,0.1489,17114111.0
2022-09-28,0.1489,0.1508,0.142,0.1497,17529989.0
2022-09-29,0.1498,0.1514,0.1462,0.151,12137853.0
2022-09-30,0.151,0.1547,0.1497,0.1521,11553202.0
2022-10-01,0.1521,0.1545,0.1518,0.1527,5734961.0
2022-10-02,0.1527,0.154,0.1456,0.1462,9074910.0
2022-10-03,0.1463,0.1601,0.1443,0.1566,18182130.0
2022-10-04,0.1568,0.1612,0.155,0.1601,13960683.0
2022-10-05,0.1601,0.1615,0.1557,0.1604,12472636.0
