date,open,high,low,close,volume
2022-08-23,0.223,0.265,0.2157,0.2505,732768907.0
2022-08-24,0.2505,0.2654,0.2345,0.2426,554010014.0
2022-08-25,0.2425,0.2446,0.2192,0.2244,366832889.0
2022-08-26,0.2244,0.243,0.2022,0.2073,714190002.0
2022-08-27,0.2073,0.225,0.2059,0.2201,383456181.0
2022-08-28,0.2202,0.233,0.2088,0.2103,427693899.0
2022-08-29,0.2103,0.224,0.2016,0.2158,425679992.0
2022-08-30,0.2157,0.2178,0.1931,0.1967,374014520.0
2022-08-31,0.1968,0.221,0.1967,0.2179,516458497.0
2022-09-01,0.2178,0.2208,0.2016,0.2138,289497783.0
2022-09-02,0.2138,0.2273,0.2084,0.2188,317822317.0
2022-09-03,0.2188,0.2268,0.2126,0.2172,276341002.0
2022-09-04,0.2172,0.2176,0.2091,0.2133,133871306.0
2022-09-05,0.2134,0.2148,0.2013,0.2073,184320489.0
2022-09-06,0.2073,0.2104,0.1821,0.185,372080367.0
2022-09-07,0.185,0.1947,0.1824,0.1934,236567760.0
2022-09-08,0.1935,0.1982,0.1831,0.187,222560093.0
2022-09-09,0.1871,0.2093,0.1864,0.2053,381022022.0
2022-09-10,0.2053,0.2076,0.1973,0.2018,160273933.0
2022-09-11,0.2018,0.221,0.1971,0.2081,327699075.0
2022-09-12,0.2082,0.2092,0.1954,0.2015,244204080.0
2022-09-13,0.2015,0.2108,0.1895,0.1933,471325765.0
2022-09-14,0.1932,0.1994,0.1873,0.1924,226391234.0
2022-09-15,0.1922,0.1975,0.1776,0.1911,346871703.0
2022-09-16,0.1912,0.2133,0.1897,0.2102,447815930.0
2022-09-17,0.2102,0.2279,0.2086,0.2253,325518667.0
2022-09-18,0.2253,0.248,0.2202,0.2311,620127800.0
2022-09-19,0.2311,0.2583,0.222,0.2532,800630654.0
2022-09-20,0.2531,0.2573,0.2353,0.2399,413288874.0
2022-09-21,0.24,0.2551,0.2218,0.2286,624147477.0
2022-09-22,0.2286,0.2738,0.2285,0.269,626477104.0
2022-09-23,0.2689,0.2828,0.2612,0.2703,709628178.0
2022-09-24,0.2704,0.2739,0.2564,0.2654,305157445.0
2022-09-25,0.2654,0.2766,0.2531,0.2558,372296433.0
2022-09-26,0.2558,0.2631,0.244,0.2579,358907492.0
2022-09-27,0.2578,0.2684,0.2424,0.2492,405118598.0
2022-09-28,0.2492,0.25,0.2313,0.2406,282789114.0
2022-09-29,0.2406,0.242,0.2305,0.2412,259965516.0
2022-09-30,0.2412,0.243,0.2326,0.2353,169344258.0
2022-10-01,0.2353,0.2496,0.2345,0.2388,178620263.0
2022-10-02,0.2387,0.2428,0.2122,0.2157,304917682.0
2022-10-03,0.2157,0.223,0.2086,0.2209,240906808.0
2022-10-04,0.2209,0.2224,0.2132,0.2187,169828431.0
2022-10-05,0.2186,0.2254,0.209,0.2176,169475244.0
2022-10-06,0.2176,0.2206,0.2125,0.2143,110368531.0
2022-10-07,0.2143,0.223,0.2124,0.2213,201922548.0
2022-10-08,0.2212,0.2231,0.2101,0.2154,72860494.0
2022-10-09,0.2155,0.2177,0.2122,0.2152,59886561.0
2022-10-10,0.2151,0.2179,0.186,0.1892,292559336.0
2022-10-11,0.1891,0.1971,0.182,0.1946,211379626.0
2022-10-12,0.1946,0.1964,0.1874,0.1899,88377044.0
2022-10-13,0.1899,0.1903,0.16,0.1842,333446602.0
2022-10-14,0.1842,0.1944,0.1767,0.1801,158038733.0
2022-10-15,0.1801,0.19,0.1743,0.1802,125372911.0
2022-10-16,0.1803,0.1868,0.1784,0.1815,91307671.0
2022-10-17,0.1815,0.1882,0.1786,0.1875,87404862.0
2022-10-18,0.1875,0.1902,0.1793,0.1832,106620349.0
2022-10-19,0.1832,0.1841,0.1627,0.1701,109124944.0
2022-10-20,0.17,0.173,0.1644,0.1683,99168751.0
2022-10-21,0.1682,0.186,0.1633,0.1847,215349770.0
2022-10-22,0.1848,0.1888,0.1811,0.1847,108682853.0
2022-10-23,0.1848,0.187,0.1771,0.1856,95364702.0
2022-10-24,0.1856,0.1961,0.1781,0.1926,201282864.0
2022-10-25,0.1927,0.2018,0.1895,0.1983,255668237.0
2022-10-26,0.1983,0.2049,0.1956,0.2018,180297249.0
2022-10-27,0.2019,0.208,0.1905,0.1909,209266114.0
2022-10-28,0.191,0.2028,0.1861,0.1983,204546301.0
2022-10-29,0.1984,0.205,0.193,0.1972,222008365.0
2022-10-30,0.1973,0.2322,0.1939,0.227,523832862.0
2022-10-31,0.227,0.2424,0.2148,0.2211,370832594.0
2022-11-01,0.2211,0.238,0.2164,0.228,359785624.0
2022-11-02,0.228,0.2499,0.2221,0.2402,549841223.0
2022-11-03,0.2402,0.251,0.2322,0.2392,300930293.0
2022-11-04,0.2392,0.2585,0.2307,0.2566,302936866.0
2022-11-05,0.2567,0.281,0.2513,0.2689,404929800.0
2022-11-06,0.2689,0.2937,0.2618,0.273,524132403.0
