date,open,high,low,close,volume
2022-08-23,6.95,7.38,6.75,7.16,488269.65
2022-08-24,7.16,7.59,6.89,6.94,593083.99
2022-08-25,6.94,7.07,6.69,6.84,234668.15
2022-08-26,6.86,6.87,5.91,6.04,342662.4
2022-08-27,6.04,6.25,5.82,6.18,244474.81
2022-08-28,6.18,6.73,6.02,6.04,368480.0
2022-08-29,6.04,6.39,5.99,6.38,139373.75
2022-08-30,6.38,6.4,6.1,6.14,176102.27
2022-08-31,6.15,6.9,6.15,6.7,597048.31
2022-09-01,6.7,7.2,6.45,6.91,624849.14
2022-09-02,6.91,7.23,6.74,7.11,344894.14
2022-09-03,7.1,7.27,6.79,6.87,419750.65
2022-09-04,6.88,6.96,6.65,6.81,174673.7
2022-09-05,6.8,6.96,6.64,6.72,212544.23
2022-09-06,6.72,6.89,6.22,6.26,302067.74
2022-09-07,6.27,6.57,6.1,6.41,241799.75
2022-09-08,6.41,6.56,6.24,6.37,135662.4
2022-09-09,6.37,6.62,6.37,6.47,208583.95
2022-09-10,6.48,6.76,6.46,6.62,152418.24
2022-09-11,6.63,7.2,6.58,6.73,400047.4
2022-09-12,6.74,6.91,6.45,6.71,211231.68
2022-09-13,6.71,6.89,6.35,6.47,352990.64
2022-09-14,6.46,6.57,5.95,6.2,332091.49
2022-09-15,6.21,6.46,5.89,6.06,323876.9
2022-09-16,6.05,6.38,5.99,6.26,218025.62
2022-09-17,6.26,6.36,6.19,6.35,110342.14
2022-09-18,6.35,6.52,5.95,6.01,275091.98
2022-09-19,6.02,6.22,5.78,6.05,215049.15
2022-09-20,6.04,6.07,5.89,5.9,125289.07
2022-09-21,5.9,6.18,5.78,5.89,193023.04
2022-09-22,5.88,6.35,5.85,6.27,204477.48
2022-09-23,6.27,6.8,6.23,6.74,552710.28
2022-09-24,6.74,6.97,6.46,6.68,448774.8
2022-09-25,6.69,6.99,6.63,6.91,495663.62
2022-09-26,6.91,7.8,6.7,6.72,1545474.39
2022-09-27,6.72,6.97,6.47,6.63,500158.18
2022-09-28,6.63,6.75,6.19,6.53,310855.4
2022-09-29,6.55,6.8,6.47,6.62,183900.57
2022-09-30,6.63,6.71,6.48,6.53,154352.15
2022-10-01,6.53,6.66,6.49,6.53,108190.22
2022-10-02,6.52,6.67,6.24,6.3,221574.17
2022-10-03,6.3,6.42,6.12,6.4,173975.78
2022-10-04,6.39,6.54,6.34,6.52,206542.2
2022-10-05,6.52,6.54,6.3,6.44,158882.07
2022-10-06,6.43,6.48,6.36,6.4,99478.35
2022-10-07,6.41,6.51,6.3,6.47,111214.5
2022-10-08,6.47,6.55,6.37,6.41,75769.61
2022-10-09,6.41,6.47,6.34,6.4,48507.13
2022-10-10,6.4,6.49,5.82,5.83,245129.87
2022-10-11,5.82,5.92,5.39,5.78,267884.74
2022-10-12,5.78,5.85,5.57,5.67,158171.55
2022-10-13,5.67,5.76,5.1,5.61,360349.2
2022-10-14,5.61,5.84,5.54,5.59,173645.17
2022-10-15,5.59,5.82,5.55,5.74,133455.89
2022-10-16,5.75,5.96,5.62,5.69,147361.96
2022-10-17,5.69,5.83,5.58,5.79,120707.43
2022-10-18,5.79,6.03,5.71,5.82,195358.2
2022-10-19,5.83,5.85,5.5,5.56,116784.65
2022-10-20,5.55,5.64,5.35,5.52,121212.05
2022-10-21,5.5,5.72,5.16,5.52,214847.71
2022-10-22,5.53,5.73,5.45,5.67,138994.44
2022-10-23,5.67,5.75,5.51,5.63,82409.16
2022-10-24,5.63,5.9,5.52,5.71,133415.92
2022-10-25,5.71,5.92,5.69,5.8,304545.33
2022-10-26,5.78,5.94,5.75,5.79,111915.82
2022-10-27,5.82,6.03,5.68,5.69,146662.37
2022-10-28,5.69,5.87,5.48,5.8,114100.54
2022-10-29,5.82,5.92,5.66,5.76,171707.58
2022-10-30,5.76,6.25,5.73,5.92,490102.42
2022-10-31,5.92,6.08,5.67,5.92,277960.06
2022-11-01,5.92,6.08,5.77,5.81,176179.66
2022-11-02,5.82,5.85,5.52,5.74,211688.33
2022-11-03,5.74,5.89,5.65,5.73,279018.13
2022-11-04,5.73,5.9,5.67,5.85,208317.22
2022-11-05,5.86,6.27,5.86,6.08,639587.14
2022-11-06,6.09,6.52,6.0,6.05,777423.79
2022-11-07,6.05,6.36,5.92,6.1,352050.72
2022-11-08,6.11,6.11,4.51,5.11,1383250.03
2022-11-09,5.12,5.21,4.0,4.07,674256.05
2022-11-10,4.06,5.01,4.04,4.83,438002.71
2022-11-11,4.82,5.04,4.45,4.73,417727.02
2022-11-12,4.73,4.94,4.32,4.49,210200.87
2022-11-13,4.49,4.62,4.32,4.49,216661.57
2022-11-14,4.49,4.72,4.23,4.55,232773.33
2022-11-15,4.55,5.24,4.5,4.96,630980.03
2022-11-16,4.95,5.19,4.72,4.8,510578.4
2022-11-17,4.8,4.94,4.58,4.82,356977.04
2022-11-18,4.82,5.24,4.81,5.02,521953.44
2022-11-19,5.02,5.04,4.7,4.78,291075.45
2022-11-20,4.76,4.87,4.21,4.27,587263.34
2022-11-21,4.25,4.37,3.94,4.16,450368.46
2022-11-22,4.16,4.39,4.02,4.24,369152.75
2022-11-23,4.24,4.42,4.08,4.24,231451.46
2022-11-24,4.24,4.34,4.14,4.22,177777.37
2022-11-25,4.21,4.33,4.07,4.27,180436.74
2022-11-26,4.27,4.42,4.17,4.19,187444.21
2022-11-27,4.19,4.24,4.15,4.16,96631.61
2022-11-28,4.16,4.23,4.01,4.14,175511.24
2022-11-29,4.14,4.34,4.04,4.12,212982.74
2022-11-30,4.13,4.23,4.1,4.19,124308.82
2022-12-01,4.19,4.19,4.11,4.17,119737.19
2022-12-02,4.16,4.26,4.11,4.24,165940.15
2022-12-03,4.24,4.31,4.12,4.13,115566.29
2022-12-04,4.14,4.73,4.06,4.21,642573.34
2022-12-05,4.22,4.27,4.1,4.13,152461.14
2022-12-06,4.14,4.26,4.09,4.17,257676.64
2022-12-07,4.17,4.2,4.0,4.06,116206.85
2022-12-08,4.06,4.21,3.98,4.1,327203.13
2022-12-09,4.1,4.21,4.02,4.1,358798.74
2022-12-10,4.1,4.2,4.03,4.09,315175.27
2022-12-11,4.1,4.14,4.04,4.05,42165.98
2022-12-12,4.05,4.06,3.89,3.98,115210.38
2022-12-13,3.99,4.02,3.78,3.94,154961.89
2022-12-14,3.95,4.24,3.88,4.19,327177.84
2022-12-15,4.19,4.51,4.07,4.1,564400.63
2022-12-16,4.11,4.2,3.76,3.89,358778.38
2022-12-17,3.9,4.11,3.83,3.96,174060.02
2022-12-18,3.97,4.29,3.93,4.02,256816.45
2022-12-19,4.02,4.06,3.86,3.86,73814.65
2022-12-20,3.87,4.05,3.87,4.0,51623.59
2022-12-21,4.0,4.04,3.95,3.99,46322.02
2022-12-22,3.99,4.05,3.96,4.0,26525.73
2022-12-23,4.01,4.08,3.96,4.04,41495.79
2022-12-24,4.04,4.08,4.02,4.06,32334.12
2022-12-25,4.06,4.19,4.06,4.07,64034.24
2022-12-26,4.08,4.25,4.05,4.13,62019.91
2022-12-27,4.13,4.18,4.06,4.11,39394.94
2022-12-28,4.1,4.11,4.0,4.03,44030.47
2022-12-29,4.03,4.1,4.0,4.05,42203.45
2022-12-30,4.04,4.1,3.96,4.02,56812.21
2022-12-31,4.02,4.17,3.99,4.0,120980.47
2023-01-01,4.0,4.04,3.98,4.02,42356.21
2023-01-02,4.02,4.06,3.99,4.04,71000.85
2023-01-03,4.04,4.14,4.0,4.14,59943.13
2023-01-04,4.14,4.19,4.08,4.11,61897.88
