date,open,high,low,close,volume
2022-08-23,50.82,52.58,48.84,50.86,205764.186
2022-08-24,50.91,52.42,49.56,50.59,77184.426
2022-08-25,50.59,52.75,50.09,51.75,73539.382
2022-08-26,51.75,54.6,45.68,46.25,200421.17
2022-08-27,46.21,46.93,45.22,46.26,68665.336
2022-08-28,46.3,47.77,43.75,43.94,150022.541
2022-08-29,43.98,49.99,43.32,49.52,191438.509
2022-08-30,49.55,54.14,46.04,47.56,448850.369
2022-08-31,47.68,49.32,46.22,46.47,153412.817
2022-09-01,46.42,49.15,45.09,48.17,191883.374
2022-09-02,48.19,48.88,45.38,46.18,297007.81
2022-09-03,46.16,48.49,45.8,47.83,75777.782
2022-09-04,47.82,48.91,47.54,48.57,53665.413
2022-09-05,48.59,49.2,46.61,48.79,69104.188
2022-09-06,48.82,50.57,44.48,44.6,99906.134
2022-09-07,44.61,49.08,43.9,48.68,81229.013
2022-09-08,48.73,50.47,48.28,48.5,88097.118
2022-09-09,48.58,53.07,48.51,52.57,91254.68
2022-09-10,52.6,54.73,52.38,54.03,92275.774
2022-09-11,54.02,57.05,54.01,55.9,107447.61
2022-09-12,55.92,56.68,52.8,54.93,117394.459
2022-09-13,54.94,57.98,51.68,54.4,145634.051
2022-09-14,54.36,62.05,51.63,59.88,178503.392
2022-09-15,59.86,60.17,53.16,56.7,224958.267
2022-09-16,56.72,57.74,52.48,53.96,138128.938
2022-09-17,53.96,56.02,53.12,54.49,80765.549
2022-09-18,54.49,55.26,46.48,49.55,99943.659
2022-09-19,49.55,53.99,47.87,52.0,157991.448
2022-09-20,51.99,55.42,51.12,54.72,179382.38
2022-09-21,54.66,61.4,51.5,56.66,220610.158
2022-09-22,56.66,70.0,53.95,61.49,216627.221
2022-09-23,61.46,65.71,59.03,63.61,242234.013
2022-09-24,63.63,64.94,60.42,60.75,111281.452
2022-09-25,60.74,64.14,60.69,61.3,112451.005
2022-09-26,61.28,65.1,60.78,62.74,139192.509
2022-09-27,62.76,65.84,60.21,61.29,162453.326
2022-09-28,61.32,63.33,58.07,61.88,126915.638
2022-09-29,61.91,62.75,59.44,62.03,72927.419
2022-09-30,62.03,63.14,60.57,60.94,70505.199
2022-10-01,60.92,63.38,60.44,60.91,57178.769
2022-10-02,60.91,61.31,58.12,58.35,43028.092
2022-10-03,58.35,60.84,57.07,59.35,142579.995
2022-10-04,59.37,61.25,58.91,60.07,65286.513
2022-10-05,60.0,60.41,58.15,59.28,42025.692
2022-10-06,59.27,60.38,58.37,58.7,48385.885
2022-10-07,58.69,60.53,57.76,58.75,50093.992
2022-10-08,58.74,60.26,57.92,58.8,37196.954
2022-10-09,58.79,59.76,58.66,59.25,27435.115
