date,open,high,low,close,volume
2022-08-23,0.00757,0.00762,0.0073,0.00744,91060488.3
2022-08-24,0.00744,0.00771,0.00728,0.00747,116742070.9
2022-08-25,0.00747,0.00767,0.0074,0.00754,57908584.2
2022-08-26,0.00752,0.00755,0.00682,0.00685,72309408.2
2022-08-27,0.00688,0.00729,0.00674,0.00689,95938081.4
2022-08-28,0.00687,0.00696,0.00656,0.00656,129966813.8
2022-08-29,0.00655,0.00704,0.00651,0.00689,141251759.4
2022-08-30,0.00688,0.00726,0.00664,0.00678,270952963.6
2022-08-31,0.00678,0.0071,0.00678,0.00685,88215751.8
2022-09-01,0.00686,0.00699,0.00652,0.00678,102577342.6
2022-09-02,0.00675,0.00707,0.00664,0.00679,141531590.7
2022-09-03,0.00676,0.00682,0.00665,0.0067,37590113.2
2022-09-04,0.00672,0.00674,0.00642,0.00669,78755626.8
2022-09-05,0.00669,0.00672,0.00643,0.00653,99512238.5
2022-09-06,0.00653,0.00666,0.006,0.00604,143381245.2
2022-09-07,0.00603,0.00643,0.00596,0.00631,124660444.6
2022-09-08,0.0063,0.00658,0.0062,0.00653,167855487.4
2022-09-09,0.00653,0.00691,0.0065,0.00677,131486702.7
2022-09-10,0.00675,0.00682,0.00665,0.00673,82204400.8
2022-09-11,0.00672,0.00699,0.00666,0.00687,136275897.3
2022-09-12,0.00685,0.00709,0.00677,0.00682,112055877.5
2022-09-13,0.00682,0.00688,0.00614,0.0062,122335182.0
2022-09-14,0.0062,0.00643,0.00616,0.00637,48829698.1
2022-09-15,0.00635,0.00696,0.0062,0.00631,293608558.1
2022-09-16,0.00631,0.00646,0.00621,0.00626,89004128.9
2022-09-17,0.00626,0.00651,0.00625,0.0064,62174054.5
2022-09-18,0.0064,0.00641,0.00597,0.00603,74005471.3
2022-09-19,0.00603,0.00604,0.0057,0.00593,82507765.2
2022-09-20,0.00594,0.00651,0.00582,0.00585,300684622.0
2022-09-21,0.00585,0.00655,0.00585,0.00598,397641625.7
2022-09-22,0.00599,0.00616,0.0059,0.00612,65251203.0
2022-09-23,0.00611,0.00627,0.00592,0.00606,81657708.5
2022-09-24,0.00607,0.00613,0.006,0.00604,25996141.1
2022-09-25,0.00601,0.0061,0.00592,0.00594,29280998.4
2022-09-26,0.00594,0.00597,0.00576,0.00587,55822103.7
2022-09-27,0.00587,0.00609,0.0058,0.00586,93339497.0
2022-09-28,0.00587,0.00593,0.00567,0.00589,49539945.7
2022-09-29,0.00589,0.00613,0.00577,0.00595,116162871.9
2022-09-30,0.00595,0.00607,0.00587,0.0059,85639220.5
2022-10-01,0.0059,0.00595,0.00586,0.00588,46830217.6
2022-10-02,0.00588,0.00637,0.00583,0.00594,335061142.8
2022-10-03,0.00593,0.00597,0.00582,0.00593,83851696.9
2022-10-04,0.00594,0.00611,0.0059,0.00604,67900300.4
2022-10-05,0.00604,0.0061,0.00591,0.006,53370077.7
2022-10-06,0.006,0.00647,0.006,0.00605,179893139.6
2022-10-07,0.00606,0.00609,0.0059,0.00597,48532405.5
2022-10-08,0.00597,0.00602,0.00592,0.00594,13909716.8
2022-10-09,0.00596,0.00639,0.00592,0.00598,121701503.0
2022-10-10,0.00597,0.006,0.00559,0.00562,67814944.6
2022-10-11,0.00562,0.00563,0.00546,0.00552,43236890.7
2022-10-12,0.00554,0.00587,0.00554,0.00559,82111522.9
2022-10-13,0.00558,0.00562,0.00505,0.00549,109259587.8
2022-10-14,0.00549,0.00569,0.00543,0.00545,71048865.6
2022-10-15,0.00548,0.00579,0.00546,0.00562,115432913.2
2022-10-16,0.00562,0.00617,0.00561,0.00573,288544540.6
2022-10-17,0.00572,0.00575,0.0056,0.00571,59459519.1
2022-10-18,0.0057,0.00599,0.00561,0.00565,135927752.0
2022-10-19,0.00566,0.00566,0.005,0.00537,97869876.6
2022-10-20,0.00536,0.00565,0.00529,0.0054,125552054.1
2022-10-21,0.00539,0.00545,0.0052,0.00542,91524613.9
2022-10-22,0.00542,0.00567,0.00532,0.00547,82358087.4
2022-10-23,0.00545,0.00557,0.00538,0.00549,47943659.2
2022-10-24,0.0055,0.00575,0.00543,0.00548,100652279.7
2022-10-25,0.00548,0.00563,0.0054,0.00555,72139770.7
2022-10-26,0.00555,0.00572,0.00555,0.00563,61931850.7
2022-10-27,0.00563,0.00573,0.00545,0.00547,54566710.9
2022-10-28,0.00547,0.00558,0.00541,0.00553,40815064.0
2022-10-29,0.00554,0.00565,0.00552,0.00561,81726913.7
2022-10-30,0.00562,0.00581,0.00552,0.00557,106855825.2
2022-10-31,0.00557,0.00562,0.00546,0.00554,48735903.7
2022-11-01,0.00553,0.00588,0.00547,0.00556,222089693.9
2022-11-02,0.00557,0.00562,0.00538,0.00546,132730507.1
2022-11-03,0.00545,0.00572,0.00545,0.00563,155021691.9
2022-11-04,0.00563,0.00589,0.00562,0.00586,121407225.8
2022-11-05,0.00586,0.006,0.00584,0.00589,104055593.9
2022-11-06,0.00588,0.00616,0.00579,0.0058,200797476.8
2022-11-07,0.0058,0.00583,0.00554,0.00563,133707925.5
2022-11-08,0.00562,0.00569,0.00451,0.00488,216380115.3
2022-11-09,0.00488,0.00489,0.00384,0.00395,156480697.3
2022-11-10,0.00394,0.00463,0.00391,0.00454,142300328.1
2022-11-11,0.00453,0.00453,0.00414,0.0042,94095466.6
2022-11-12,0.00421,0.00439,0.00405,0.00419,79104442.3
2022-11-13,0.00419,0.00678,0.00405,0.00474,885625395.8
2022-11-14,0.00473,0.00478,0.00418,0.00437,382297002.2
2022-11-15,0.00437,0.00448,0.00434,0.00441,116450732.1
2022-11-16,0.00442,0.00447,0.00429,0.00434,88799458.2
2022-11-17,0.00434,0.0046,0.00428,0.00441,124142930.0
2022-11-18,0.00441,0.00462,0.00439,0.00446,63750752.7
2022-11-19,0.00447,0.00448,0.00438,0.00443,42578503.6
2022-11-20,0.00443,0.00485,0.00441,0.00445,177125118.8
2022-11-21,0.00446,0.0045,0.00417,0.00424,72288468.3
2022-11-22,0.00425,0.00445,0.0041,0.00441,40976479.6
2022-11-23,0.00441,0.00464,0.0044,0.0046,48884284.1
2022-11-24,0.0046,0.00467,0.00444,0.00457,60269552.1
2022-11-25,0.00457,0.00486,0.00437,0.00449,262594508.0
2022-11-26,0.0045,0.0058,0.00448,0.0055,1046869366.4
2022-11-27,0.0055,0.00637,0.00479,0.0048,761944668.7
2022-11-28,0.0048,0.0095,0.00422,0.00517,3358027733.6
2022-11-29,0.00517,0.00607,0.00498,0.00534,1355128775.4
2022-11-30,0.00534,0.00553,0.00518,0.00523,225387703.7
2022-12-01,0.00523,0.0056,0.00502,0.00518,430674005.7
2022-12-02,0.00519,0.00545,0.00507,0.00523,335685845.6
2022-12-03,0.00523,0.0053,0.00512,0.00513,102639741.6
2022-12-04,0.00512,0.00519,0.00508,0.00513,50436538.3
2022-12-05,0.00513,0.00522,0.00507,0.00508,79857884.7
2022-12-06,0.00508,0.00511,0.00496,0.00507,67629175.1
2022-12-07,0.00508,0.00528,0.00484,0.00494,254294824.0
2022-12-08,0.00495,0.00505,0.00491,0.00498,89073615.7
2022-12-09,0.00499,0.00556,0.00497,0.00521,498839875.3
2022-12-10,0.00522,0.00522,0.00506,0.0051,110282855.1
2022-12-11,0.00511,0.00516,0.00501,0.00505,79589087.6
2022-12-12,0.00505,0.00506,0.00484,0.0049,89586141.2
2022-12-13,0.00491,0.00501,0.00477,0.00492,79687416.4
2022-12-14,0.00492,0.00515,0.00491,0.00499,112548983.2
2022-12-15,0.00498,0.00504,0.00488,0.0049,52604973.5
2022-12-16,0.00489,0.00493,0.00446,0.00451,81628562.9
2022-12-17,0.0045,0.00493,0.00446,0.00462,199510216.8
2022-12-18,0.00462,0.00465,0.00451,0.00454,62347350.2
2022-12-19,0.00454,0.00463,0.00427,0.00429,47635516.5
2022-12-20,0.00429,0.00454,0.00427,0.00448,32393404.1
2022-12-21,0.00449,0.00465,0.00439,0.00445,142783143.3
2022-12-22,0.00445,0.00448,0.0043,0.00442,58288848.9
2022-12-23,0.00441,0.00449,0.00438,0.00446,42720986.0
2022-12-24,0.00446,0.00483,0.00442,0.00457,302581929.8
2022-12-25,0.00456,0.00458,0.0044,0.00443,54800226.2
2022-12-26,0.00442,0.0045,0.0044,0.00443,41921391.3
2022-12-27,0.00443,0.00449,0.00436,0.0044,31170846.1
2022-12-28,0.0044,0.00462,0.00434,0.00438,229459996.1
2022-12-29,0.00439,0.00455,0.00428,0.00445,95916591.3
2022-12-30,0.00446,0.00446,0.00434,0.00437,41398705.2
2022-12-31,0.00438,0.00442,0.00418,0.00436,54893159.3
2023-01-01,0.00437,0.00443,0.00434,0.00438,22073368.4
2023-01-02,0.00437,0.00448,0.00434,0.00442,72619041.6
2023-01-03,0.00442,0.00448,0.00435,0.0044,53317510.0
2023-01-04,0.00441,0.00448,0.00439,0.00445,56771646.7
2023-01-05,0.00444,0.00462,0.00442,0.00447,123491316.2
2023-01-06,0.00448,0.00453,0.00439,0.00445,57945024.9
2023-01-07,0.00445,0.00454,0.00444,0.00449,46665586.7
2023-01-08,0.00449,0.00459,0.00446,0.00456,55490069.8
