date,open,high,low,close,volume
2022-08-23,0.0978,0.1049,0.0963,0.1007,15051341.0
2022-08-24,0.1009,0.1024,0.0986,0.0991,12387266.0
2022-08-25,0.0991,0.104,0.0959,0.0989,22083870.0
2022-08-26,0.0988,0.1025,0.0875,0.0887,29549905.0
2022-08-27,0.0887,0.0932,0.0877,0.0909,11093921.0
2022-08-28,0.0908,0.0916,0.0853,0.0857,11878794.0
2022-08-29,0.0857,0.0935,0.0848,0.0923,15594821.0
2022-08-30,0.0924,0.0943,0.0866,0.0888,11447645.0
2022-08-31,0.0889,0.0924,0.0889,0.0898,8958529.0
2022-09-01,0.0898,0.0929,0.0883,0.0924,16150380.0
2022-09-02,0.0925,0.0958,0.0905,0.093,14357545.0
2022-09-03,0.093,0.0971,0.0922,0.095,14524638.0
2022-09-04,0.0951,0.0964,0.0931,0.0959,10262502.0
2022-09-05,0.096,0.0967,0.0922,0.094,9806472.0
2022-09-06,0.094,0.096,0.0862,0.0885,22637965.0
2022-09-07,0.0885,0.096,0.088,0.0952,18674168.0
2022-09-08,0.0951,0.0993,0.0939,0.0971,25277457.0
2022-09-09,0.0971,0.0995,0.0966,0.0984,21697640.0
2022-09-10,0.0984,0.1012,0.0976,0.0989,19169177.0
2022-09-11,0.099,0.102,0.0972,0.0995,13251563.0
2022-09-12,0.0996,0.1059,0.0976,0.1027,33070283.0
2022-09-13,0.1028,0.105,0.0918,0.0925,38291256.0
2022-09-14,0.0924,0.0955,0.0912,0.0948,15199609.0
2022-09-15,0.0947,0.0947,0.09,0.0904,17852365.0
2022-09-16,0.0903,0.1195,0.0889,0.0976,125970521.0
2022-09-17,0.0976,0.0988,0.0939,0.0959,24600257.0
2022-09-18,0.096,0.1046,0.09,0.091,38171226.0
2022-09-19,0.0909,0.0946,0.0888,0.094,25063512.0
2022-09-20,0.094,0.1005,0.0939,0.0954,37363836.0
2022-09-21,0.0955,0.099,0.0906,0.0963,46219755.0
2022-09-22,0.0964,0.1009,0.0956,0.1002,34492998.0
2022-09-23,0.1003,0.11,0.0994,0.1073,91013081.0
2022-09-24,0.1074,0.1108,0.1027,0.1058,35326156.0
2022-09-25,0.1059,0.108,0.0996,0.1073,45455894.0
2022-09-26,0.1073,0.109,0.1001,0.1021,36184402.0
2022-09-27,0.1021,0.1066,0.1011,0.104,35335627.0
2022-09-28,0.1041,0.1083,0.1013,0.1051,62842310.0
2022-09-29,0.1051,0.1087,0.1024,0.1074,41064269.0
2022-09-30,0.1075,0.109,0.1045,0.1075,30819909.0
2022-10-01,0.1075,0.1106,0.1054,0.1075,33582256.0
2022-10-02,0.1075,0.1124,0.1063,0.1084,43236388.0
2022-10-03,0.1084,0.1328,0.1072,0.1272,165022571.0
2022-10-04,0.1272,0.131,0.1211,0.1221,69125951.0
2022-10-05,0.1221,0.1277,0.1193,0.1222,41371630.0
2022-10-06,0.1221,0.1234,0.1151,0.1181,33270933.0
2022-10-07,0.118,0.1187,0.1127,0.1155,23356288.0
2022-10-08,0.1155,0.1167,0.1103,0.1121,12513505.0
2022-10-09,0.1121,0.1161,0.112,0.1144,15077640.0
2022-10-10,0.1143,0.1161,0.1044,0.1071,34449465.0
2022-10-11,0.1071,0.1071,0.1028,0.105,23823722.0
2022-10-12,0.1049,0.1059,0.1015,0.1027,13223348.0
2022-10-13,0.1026,0.1031,0.0932,0.1,33336745.0
2022-10-14,0.0999,0.1028,0.0951,0.0967,28464138.0
2022-10-15,0.0966,0.1017,0.0962,0.0988,21229231.0
2022-10-16,0.0989,0.1016,0.0983,0.0993,18806049.0
2022-10-17,0.0993,0.1036,0.0983,0.1021,17007602.0
2022-10-18,0.1021,0.1028,0.0972,0.0985,14111562.0
2022-10-19,0.0986,0.1014,0.0959,0.0973,14199875.0
2022-10-20,0.0972,0.0994,0.0959,0.0969,8809760.0
2022-10-21,0.0969,0.0996,0.0953,0.099,11731448.0
2022-10-22,0.099,0.1005,0.098,0.0986,6842159.0
2022-10-23,0.0986,0.1015,0.0973,0.101,11623619.0
2022-10-24,0.1011,0.1013,0.0986,0.1001,7369679.0
2022-10-25,0.1,0.1041,0.0996,0.1019,23264850.0
2022-10-26,0.1018,0.1051,0.1017,0.1038,11290935.0
2022-10-27,0.1038,0.1076,0.1026,0.103,23134211.0
2022-10-28,0.103,0.1044,0.1008,0.1037,14501649.0
2022-10-29,0.1037,0.1078,0.1035,0.1059,19205504.0
2022-10-30,0.1059,0.1099,0.1035,0.105,16685871.0
2022-10-31,0.105,0.1062,0.101,0.1028,16649896.0
2022-11-01,0.1029,0.1045,0.1015,0.1015,8988790.0
2022-11-02,0.1016,0.1017,0.0958,0.0984,22251502.0
2022-11-03,0.0986,0.104,0.0983,0.1026,35902147.0
2022-11-04,0.1025,0.1154,0.1013,0.1142,71463546.0
