date,open,high,low,close,volume
2022-08-23,1.099,1.2,1.065,1.183,23807869.8
2022-08-24,1.184,1.225,1.135,1.178,12362292.2
2022-08-25,1.178,1.238,1.164,1.18,9519014.0
2022-08-26,1.179,1.215,1.042,1.054,15852316.1
2022-08-27,1.053,1.067,1.018,1.048,8282789.7
2022-08-28,1.047,1.068,0.987,0.993,7905143.9
2022-08-29,0.994,1.087,0.974,1.079,9356816.2
2022-08-30,1.08,1.118,1.022,1.063,10435059.9
2022-08-31,1.064,1.193,1.064,1.147,16890928.6
2022-09-01,1.147,1.166,1.063,1.154,12686033.5
2022-09-02,1.155,1.184,1.078,1.094,12041739.7
2022-09-03,1.093,1.111,1.058,1.073,7348905.5
2022-09-04,1.073,1.104,1.047,1.092,8914157.2
2022-09-05,1.092,1.16,1.06,1.153,8830281.2
2022-09-06,1.152,1.2,1.018,1.037,26852735.0
2022-09-07,1.037,1.19,1.013,1.167,16197974.4
2022-09-08,1.167,1.177,1.102,1.128,16711731.0
2022-09-09,1.129,1.25,1.127,1.204,22900559.8
2022-09-10,1.205,1.277,1.165,1.242,19046262.9
2022-09-11,1.243,1.256,1.153,1.183,19415188.7
2022-09-12,1.183,1.206,1.123,1.143,19491783.8
2022-09-13,1.143,1.154,1.039,1.053,28522565.3
2022-09-14,1.052,1.131,1.029,1.071,21084483.6
2022-09-15,1.07,1.093,1.016,1.053,17674316.8
2022-09-16,1.053,1.075,1.022,1.06,11952121.4
2022-09-17,1.059,1.088,1.044,1.083,7068771.6
2022-09-18,1.083,1.089,0.9,0.935,13916031.9
2022-09-19,0.935,0.991,0.9,0.982,19631239.4
2022-09-20,0.982,0.987,0.938,0.944,13035377.9
2022-09-21,0.944,0.963,0.837,0.862,21930343.7
2022-09-22,0.862,0.931,0.861,0.916,11170169.9
2022-09-23,0.916,0.977,0.868,0.943,12816426.3
2022-09-24,0.943,0.95,0.912,0.921,6068090.8
2022-09-25,0.92,0.932,0.876,0.888,5587394.5
2022-09-26,0.888,0.935,0.871,0.93,24498750.8
2022-09-27,0.931,0.983,0.905,0.915,16139102.6
2022-09-28,0.914,0.944,0.865,0.94,10312848.1
2022-09-29,0.94,0.947,0.899,0.927,8522835.0
2022-09-30,0.927,0.946,0.905,0.917,9796307.2
2022-10-01,0.917,0.932,0.885,0.891,6228449.0
2022-10-02,0.892,0.908,0.854,0.859,4421151.4
2022-10-03,0.859,0.908,0.848,0.898,6186057.6
2022-10-04,0.899,0.92,0.887,0.913,9667601.0
2022-10-05,0.912,0.92,0.875,0.907,10563902.2
2022-10-06,0.906,0.937,0.887,0.892,15116372.0
2022-10-07,0.891,0.903,0.869,0.899,4918710.7
2022-10-08,0.898,0.912,0.874,0.884,3374934.6
2022-10-09,0.883,0.891,0.875,0.882,2194619.1
2022-10-10,0.883,0.892,0.847,0.852,5574616.2
2022-10-11,0.852,0.852,0.809,0.819,6104107.6
2022-10-12,0.819,0.841,0.816,0.821,4561627.4
2022-10-13,0.82,0.825,0.724,0.8,16296525.0
2022-10-14,0.8,0.849,0.794,0.814,8773079.5
2022-10-15,0.813,0.827,0.798,0.805,4129086.3
2022-10-16,0.805,0.824,0.8,0.817,3564486.3
2022-10-17,0.817,0.905,0.81,0.89,11852733.5
2022-10-18,0.89,0.923,0.866,0.912,11328121.1
2022-10-19,0.912,0.915,0.846,0.85,9403347.0
2022-10-20,0.849,0.886,0.836,0.847,10013302.0
2022-10-21,0.847,0.907,0.837,0.894,8740313.8
2022-10-22,0.894,0.896,0.869,0.877,5310252.2
2022-10-23,0.877,0.924,0.85,0.917,5238365.1
2022-10-24,0.917,0.928,0.874,0.876,6155395.5
2022-10-25,0.876,0.954,0.862,0.906,9382390.0
2022-10-26,0.906,0.96,0.906,0.934,9365198.8
2022-10-27,0.933,0.959,0.897,0.909,8005299.5
2022-10-28,0.909,0.966,0.899,0.943,7983840.2
2022-10-29,0.944,0.983,0.919,0.935,8183993.3
2022-10-30,0.934,0.948,0.884,0.907,8125435.8
2022-10-31,0.908,0.92,0.875,0.885,7088854.4
2022-11-01,0.884,0.904,0.877,0.892,6177753.8
2022-11-02,0.892,0.92,0.85,0.866,9531566.8
2022-11-03,0.866,0.927,0.86,0.902,11448650.1
2022-11-04,0.902,1.07,0.894,1.025,27599991.3
2022-11-05,1.025,1.04,0.982,0.997,15354779.6
