date,open,high,low,close,volume
2022-08-23,0.855,0.896,0.836,0.893,968188.7
2022-08-24,0.893,0.932,0.875,0.886,2298577.9
2022-08-25,0.887,0.935,0.886,0.923,1267527.2
2022-08-26,0.922,0.962,0.868,0.928,4519112.2
2022-08-27,0.928,1.155,0.833,0.84,17180543.6
2022-08-28,0.839,0.862,0.833,0.84,1873921.2
2022-08-29,0.84,0.997,0.828,0.946,9145487.8
2022-08-30,0.946,1.015,0.922,0.994,5528072.0
2022-08-31,0.994,1.008,0.899,0.91,2958551.5
2022-09-01,0.909,0.993,0.885,0.974,3867839.0
2022-09-02,0.974,1.011,0.935,1.008,2973208.3
2022-09-03,1.007,1.039,0.987,1.014,3492849.1
2022-09-04,1.014,1.04,0.964,0.982,1874309.9
2022-09-05,0.982,1.082,0.975,1.056,3536793.9
2022-09-06,1.056,1.06,0.926,0.94,4003480.5
2022-09-07,0.94,1.077,0.937,1.047,4295205.3
2022-09-08,1.046,1.055,0.991,1.038,2578220.3
2022-09-09,1.038,1.07,1.02,1.04,2744715.8
2022-09-10,1.04,1.063,1.011,1.028,1985698.9
2022-09-11,1.029,1.057,1.001,1.024,1694863.0
2022-09-12,1.024,1.044,0.993,1.01,1850623.2
2022-09-13,1.009,1.01,0.915,0.921,3031443.2
2022-09-14,0.921,0.932,0.895,0.928,2023156.0
2022-09-15,0.927,0.945,0.893,0.92,1409330.7
2022-09-16,0.919,0.937,0.9,0.928,1319894.6
2022-09-17,0.928,0.95,0.928,0.947,720681.2
2022-09-18,0.948,0.965,0.857,0.864,2616253.7
2022-09-19,0.863,0.899,0.84,0.893,2399257.0
2022-09-20,0.893,0.902,0.865,0.882,1447556.3
2022-09-21,0.883,0.915,0.855,0.868,2005234.8
2022-09-22,0.868,0.905,0.864,0.898,1119711.2
2022-09-23,0.898,0.911,0.861,0.894,1259459.8
2022-09-24,0.895,0.906,0.87,0.874,934738.0
2022-09-25,0.873,0.889,0.852,0.862,676327.1
2022-09-26,0.861,0.873,0.839,0.87,945473.1
2022-09-27,0.871,0.899,0.853,0.866,1017782.5
2022-09-28,0.865,0.871,0.831,0.857,1012296.7
2022-09-29,0.858,0.874,0.852,0.873,721423.1
2022-09-30,0.873,0.88,0.856,0.865,863119.0
