date,open,high,low,close,volume
2022-08-23,0.1491,0.1586,0.1469,0.1574,10951510.0
2022-08-24,0.1575,0.1578,0.1496,0.1508,12020986.0
2022-08-25,0.1509,0.17,0.1508,0.1552,24983316.0
2022-08-26,0.1548,0.1551,0.1379,0.1394,18404363.0
2022-08-27,0.1395,0.1413,0.1362,0.1402,6549209.0
2022-08-28,0.1401,0.1417,0.1325,0.1337,6623923.0
2022-08-29,0.134,0.1459,0.1317,0.1448,7509031.0
2022-08-30,0.1447,0.1467,0.1354,0.1389,6987026.0
2022-08-31,0.1393,0.1444,0.1391,0.1395,6591197.0
2022-09-01,0.1394,0.1423,0.1336,0.1409,5681013.0
2022-09-02,0.141,0.1477,0.1382,0.1389,8608301.0
2022-09-03,0.1388,0.1395,0.136,0.1375,4557643.0
2022-09-04,0.1378,0.1514,0.1369,0.1463,18093472.0
2022-09-05,0.1465,0.1472,0.1377,0.1399,8853171.0
2022-09-06,0.1401,0.1491,0.1299,0.1308,16675641.0
2022-09-07,0.1307,0.1436,0.1281,0.1416,10493937.0
2022-09-08,0.1417,0.1513,0.1417,0.1494,15938226.0
2022-09-09,0.1495,0.155,0.1487,0.1546,11015088.0
2022-09-10,0.1543,0.1585,0.1515,0.1532,8602638.0
2022-09-11,0.1532,0.1594,0.1503,0.1544,7558299.0
2022-09-12,0.1541,0.1614,0.1485,0.1547,13383473.0
2022-09-13,0.1546,0.1574,0.1414,0.1444,27385727.0
2022-09-14,0.1444,0.1555,0.1434,0.1479,13006782.0
2022-09-15,0.1478,0.1512,0.1417,0.1498,10167205.0
2022-09-16,0.1499,0.1565,0.1462,0.156,9612997.0
2022-09-17,0.156,0.1609,0.1544,0.1593,5390834.0
2022-09-18,0.1594,0.1624,0.132,0.1382,14611325.0
2022-09-19,0.1382,0.1409,0.1353,0.1384,9996486.0
2022-09-20,0.1384,0.1406,0.1332,0.1356,5408278.0
2022-09-21,0.1356,0.1395,0.1285,0.1317,7535219.0
2022-09-22,0.1317,0.1405,0.1314,0.1395,4581042.0
2022-09-23,0.1393,0.1445,0.1348,0.1399,5238510.0
2022-09-24,0.1401,0.1441,0.1381,0.1391,3592851.0
2022-09-25,0.1388,0.1412,0.1356,0.1382,3161955.0
2022-09-26,0.1379,0.1401,0.134,0.1392,3533780.0
2022-09-27,0.1393,0.1466,0.137,0.139,7377302.0
2022-09-28,0.139,0.1419,0.1334,0.1397,4829688.0
2022-09-29,0.1397,0.1427,0.1373,0.1425,2734817.0
2022-09-30,0.1427,0.1447,0.1403,0.1423,3855075.0
2022-10-01,0.1422,0.1443,0.1398,0.1405,1988079.0
2022-10-02,0.1405,0.142,0.1352,0.136,3274504.0
2022-10-03,0.136,0.1423,0.1341,0.141,4201255.0
2022-10-04,0.1412,0.1472,0.1409,0.1462,4925359.0
