date,open,high,low,close,volume
2022-08-23,0.1467,0.149,0.1418,0.1483,5725417.0
2022-08-24,0.1485,0.1517,0.1438,0.1481,7535140.0
2022-08-25,0.1481,0.1639,0.1478,0.1573,58646891.0
2022-08-26,0.1574,0.1576,0.1425,0.143,19455685.0
2022-08-27,0.143,0.1441,0.1391,0.142,6544010.0
2022-08-28,0.1421,0.1457,0.1391,0.1398,6961400.0
2022-08-29,0.1399,0.1549,0.138,0.1478,9734637.0
2022-08-30,0.1477,0.1497,0.1414,0.146,8168121.0
2022-08-31,0.1463,0.1503,0.1438,0.1448,7770217.0
2022-09-01,0.1447,0.1456,0.1388,0.1437,8686385.0
2022-09-02,0.1437,0.1461,0.1387,0.1409,6297958.0
2022-09-03,0.1411,0.1423,0.1399,0.1418,2928852.0
2022-09-04,0.1419,0.1437,0.1398,0.1433,3768020.0
2022-09-05,0.1434,0.1459,0.1401,0.1444,4575707.0
2022-09-06,0.1446,0.1477,0.1314,0.1318,14831520.0
2022-09-07,0.132,0.1372,0.1284,0.1356,8443000.0
2022-09-08,0.1356,0.145,0.1329,0.1401,23404445.0
2022-09-09,0.1402,0.1509,0.1394,0.15,8777135.0
2022-09-10,0.15,0.1516,0.1464,0.1491,9707055.0
2022-09-11,0.1493,0.1562,0.1468,0.1519,9815231.0
2022-09-12,0.152,0.1558,0.1478,0.1519,11876816.0
2022-09-13,0.152,0.1544,0.1387,0.1394,12611572.0
2022-09-14,0.1393,0.1415,0.1364,0.1398,6825386.0
2022-09-15,0.1397,0.1399,0.1322,0.1336,6954586.0
2022-09-16,0.1337,0.1386,0.1319,0.1384,9141564.0
2022-09-17,0.1383,0.1419,0.138,0.1417,3390706.0
2022-09-18,0.1417,0.1417,0.1263,0.1291,8895885.0
2022-09-19,0.1291,0.1315,0.1251,0.1308,8734200.0
2022-09-20,0.1308,0.1318,0.1269,0.129,8309121.0
2022-09-21,0.129,0.1357,0.1227,0.1242,16505293.0
2022-09-22,0.1242,0.1338,0.1241,0.1327,6287864.0
2022-09-23,0.1328,0.1358,0.1276,0.132,8680054.0
2022-09-24,0.1321,0.133,0.1295,0.1301,5366152.0
2022-09-25,0.13,0.1324,0.1276,0.1292,4360772.0
2022-09-26,0.1293,0.1305,0.1233,0.1286,10717621.0
2022-09-27,0.1286,0.1358,0.1261,0.128,13823953.0
2022-09-28,0.128,0.129,0.1225,0.1276,7975899.0
2022-09-29,0.1277,0.1288,0.1248,0.1286,5173121.0
2022-09-30,0.1288,0.1305,0.1267,0.1277,7613844.0
2022-10-01,0.1277,0.1292,0.1269,0.1276,2297505.0
2022-10-02,0.1274,0.1278,0.1227,0.123,3487184.0
2022-10-03,0.123,0.1278,0.1214,0.1275,3926853.0
2022-10-04,0.1274,0.1322,0.1264,0.1289,15565147.0
2022-10-05,0.1289,0.1289,0.125,0.1284,3083228.0
2022-10-06,0.1284,0.1312,0.1279,0.1284,6629206.0
2022-10-07,0.1283,0.1293,0.1262,0.1286,3038579.0
2022-10-08,0.1284,0.1329,0.1283,0.131,6734418.0
2022-10-09,0.131,0.1315,0.1292,0.1309,1586866.0
2022-10-10,0.1309,0.1323,0.1244,0.1248,2623715.0
2022-10-11,0.1248,0.1248,0.1208,0.1224,3222302.0
2022-10-12,0.1223,0.1235,0.1204,0.1215,2175719.0
2022-10-13,0.1214,0.1216,0.1091,0.1172,9406184.0
2022-10-14,0.1172,0.1208,0.1136,0.1151,4223806.0
2022-10-15,0.115,0.1157,0.1133,0.1146,2235820.0
2022-10-16,0.1147,0.1195,0.1147,0.1181,5984922.0
2022-10-17,0.118,0.1223,0.1167,0.1216,5419166.0
2022-10-18,0.122,0.1227,0.1182,0.1206,5164860.0
2022-10-19,0.1206,0.121,0.1135,0.1146,3772454.0
2022-10-20,0.1143,0.118,0.1133,0.1144,2739464.0
2022-10-21,0.1143,0.116,0.1098,0.1157,4903134.0
2022-10-22,0.1157,0.1201,0.1143,0.1174,10862586.0
2022-10-23,0.1174,0.1202,0.1142,0.1195,4917413.0
2022-10-24,0.1196,0.1199,0.1153,0.1176,3900291.0
2022-10-25,0.1178,0.1243,0.1173,0.1214,4587320.0
2022-10-26,0.1218,0.125,0.1212,0.1239,3228957.0
2022-10-27,0.1239,0.1308,0.1228,0.1234,9447037.0
2022-10-28,0.1235,0.1262,0.121,0.125,6016362.0
2022-10-29,0.1251,0.131,0.1249,0.1276,9639974.0
2022-10-30,0.1277,0.129,0.1214,0.1232,7105354.0
2022-10-31,0.1231,0.1253,0.1212,0.1234,5854051.0
2022-11-01,0.1234,0.1251,0.1218,0.1221,3623277.0
2022-11-02,0.1222,0.1233,0.116,0.1182,7251447.0
2022-11-03,0.1181,0.128,0.118,0.1241,11568588.0
2022-11-04,0.1241,0.1321,0.1236,0.1315,10546242.0
2022-11-05,0.1315,0.142,0.1315,0.1374,43937819.0
2022-11-06,0.1374,0.1385,0.1278,0.128,22604669.0
2022-11-07,0.128,0.1377,0.1277,0.1329,25772938.0
2022-11-08,0.1329,0.1346,0.0959,0.1083,60019231.0
2022-11-09,0.1082,0.109,0.0784,0.0808,32495385.0
2022-11-10,0.0808,0.0998,0.0795,0.0968,33049014.0
2022-11-11,0.0968,0.0984,0.0883,0.0937,12381685.0
2022-11-12,0.0937,0.094,0.088,0.0892,9462996.0
2022-11-13,0.0894,0.0918,0.085,0.0874,20359999.0
2022-11-14,0.0872,0.0894,0.0821,0.0881,19540785.0
2022-11-15,0.088,0.0938,0.0868,0.0917,12457064.0
2022-11-16,0.0917,0.0974,0.0894,0.0915,15456153.0
2022-11-17,0.0916,0.094,0.089,0.0908,7609537.0
2022-11-18,0.0907,0.0946,0.0907,0.0936,9025559.0
2022-11-19,0.0937,0.1005,0.0917,0.0979,13560029.0
2022-11-20,0.0978,0.1045,0.0925,0.0935,17876174.0
2022-11-21,0.0935,0.0997,0.0891,0.0935,16315997.0
2022-11-22,0.0935,0.0965,0.0899,0.0962,5756438.0
2022-11-23,0.0962,0.1046,0.0956,0.1013,28554792.0
2022-11-24,0.1014,0.1051,0.0989,0.1016,13097289.0
2022-11-25,0.1015,0.1016,0.0978,0.0997,4549845.0
2022-11-26,0.0997,0.1011,0.0973,0.0984,5061202.0
2022-11-27,0.0983,0.105,0.0978,0.0979,12296329.0
2022-11-28,0.0978,0.1077,0.0941,0.1027,51280114.0
2022-11-29,0.1029,0.1039,0.0985,0.1025,15483676.0
