date,open,high,low,close,volume
2022-08-23,5.28,5.9,5.18,5.71,542126.161
2022-08-24,5.7,5.92,5.45,5.79,228997.379
2022-08-25,5.79,5.99,5.71,5.85,170253.398
2022-08-26,5.83,5.96,5.11,5.15,292430.328
2022-08-27,5.14,5.24,4.96,5.1,141394.766
2022-08-28,5.1,5.21,4.95,4.95,102309.993
2022-08-29,4.96,5.39,4.9,5.11,299859.396
2022-08-30,5.11,5.23,4.9,5.06,323347.041
2022-08-31,5.06,5.42,4.89,5.06,273606.914
2022-09-01,5.06,5.29,4.97,5.23,274089.612
2022-09-02,5.23,5.43,5.11,5.28,154785.445
2022-09-03,5.28,5.3,5.09,5.13,98975.819
2022-09-04,5.13,5.32,5.06,5.28,78485.827
2022-09-05,5.28,5.44,5.11,5.34,142865.55
2022-09-06,5.34,5.77,5.12,5.13,498732.424
2022-09-07,5.13,5.42,5.0,5.33,444438.273
2022-09-08,5.33,5.42,5.16,5.28,190962.57
2022-09-09,5.29,5.71,5.26,5.512,434000.27
2022-09-10,5.518,5.79,5.433,5.681,525229.95
2022-09-11,5.687,5.794,5.5,5.563,214257.815
2022-09-12,5.563,5.64,5.28,5.351,242900.054
2022-09-13,5.35,5.555,4.998,5.018,584936.137
2022-09-14,5.018,5.125,4.734,4.959,379333.647
2022-09-15,4.96,5.046,4.594,4.852,399015.777
2022-09-16,4.854,4.918,4.684,4.781,214989.196
2022-09-17,4.778,4.983,4.697,4.855,199619.868
2022-09-18,4.856,4.883,4.506,4.548,516577.783
2022-09-19,4.535,4.992,4.497,4.878,639685.591
2022-09-20,4.878,4.886,4.647,4.68,303378.531
2022-09-21,4.68,5.673,4.434,4.479,769976.004
2022-09-22,4.472,4.834,4.45,4.749,275969.176
2022-09-23,4.754,4.894,4.6,4.818,286188.076
2022-09-24,4.816,4.963,4.7,4.734,290845.777
2022-09-25,4.734,4.785,4.585,4.607,141455.28
2022-09-26,4.609,4.826,4.592,4.777,217571.921
2022-09-27,4.778,5.088,4.765,4.882,381825.11
2022-09-28,4.877,4.979,4.683,4.877,220137.702
2022-09-29,4.874,5.023,4.762,4.916,281828.645
2022-09-30,4.922,5.099,4.867,4.922,268455.012
2022-10-01,4.921,4.939,4.777,4.789,95666.398
2022-10-02,4.787,4.906,4.659,4.666,151916.884
2022-10-03,4.667,4.948,4.622,4.918,212058.124
2022-10-04,4.919,5.5,4.884,5.367,832781.294
2022-10-05,5.374,5.673,5.286,5.517,709232.411
2022-10-06,5.523,5.593,5.451,5.5,323698.518
2022-10-07,5.5,5.75,5.367,5.577,317324.727
2022-10-08,5.578,5.664,5.461,5.586,108324.637
2022-10-09,5.589,5.63,5.443,5.507,106747.145
2022-10-10,5.505,5.695,5.402,5.591,261393.06
2022-10-11,5.596,5.697,5.48,5.668,226045.638
2022-10-12,5.668,6.5,5.648,5.914,597004.458
2022-10-13,5.914,5.92,5.073,5.322,779645.029
2022-10-14,5.314,5.557,5.267,5.353,360594.191
2022-10-15,5.352,5.501,5.322,5.364,239263.708
2022-10-16,5.377,5.449,5.289,5.42,194622.251
2022-10-17,5.419,5.665,5.353,5.624,207515.366
2022-10-18,5.635,5.733,5.073,5.231,611607.994
2022-10-19,5.225,5.23,4.95,5.0,210601.22
2022-10-20,4.996,5.106,4.815,4.936,176705.642
2022-10-21,4.929,5.205,4.847,5.126,333812.175
2022-10-22,5.131,5.142,4.996,5.061,75647.351
2022-10-23,5.061,5.255,4.984,5.248,142440.964
2022-10-24,5.254,5.254,5.05,5.058,66892.472
2022-10-25,5.053,5.55,4.974,5.466,241501.75
2022-10-26,5.466,5.962,5.443,5.901,648599.205
2022-10-27,5.901,5.977,5.57,5.634,526106.84
2022-10-28,5.626,5.9,5.49,5.681,336003.894
2022-10-29,5.688,5.869,5.559,5.634,277823.112
2022-10-30,5.631,5.69,5.294,5.386,216465.234
2022-10-31,5.382,5.457,5.178,5.327,196968.287
2022-11-01,5.326,5.346,5.165,5.2,134688.008
2022-11-02,5.2,5.275,4.933,5.049,268131.321
2022-11-03,5.045,5.234,5.012,5.139,363013.07
2022-11-04,5.135,5.59,5.072,5.477,308608.415
2022-11-05,5.49,5.579,5.282,5.423,181847.082
2022-11-06,5.422,5.48,5.185,5.253,136812.018
2022-11-07,5.253,5.37,5.182,5.251,155757.99
2022-11-08,5.245,5.304,4.3,4.383,813419.285
2022-11-09,4.39,4.42,3.6,3.673,1047687.49
2022-11-10,3.661,4.387,3.619,4.195,337727.723
2022-11-11,4.21,4.232,3.878,4.053,292832.588
2022-11-12,4.058,4.061,3.745,3.83,178615.934
2022-11-13,3.826,13.1,3.621,4.417,5945288.099
2022-11-14,4.411,4.511,4.0,4.094,1175456.3
2022-11-15,4.118,4.327,4.022,4.06,570124.383
2022-11-16,4.059,4.132,3.878,4.038,436460.914
2022-11-17,4.031,4.068,3.85,3.926,208860.182
2022-11-18,3.927,4.008,3.818,3.902,283328.47
2022-11-19,3.894,3.97,3.826,3.925,218108.656
2022-11-20,3.924,3.948,3.594,3.668,380250.878
2022-11-21,3.669,3.717,3.469,3.593,390361.375
2022-11-22,3.596,4.248,3.484,3.959,833486.709
2022-11-23,3.957,4.85,3.921,4.355,1165142.135
2022-11-24,4.348,4.493,4.243,4.332,424696.083
2022-11-25,4.325,4.38,4.181,4.372,306857.583
2022-11-26,4.371,4.464,4.258,4.285,291082.265
2022-11-27,4.284,4.441,4.256,4.279,248661.208
2022-11-28,4.271,4.343,3.915,3.946,565168.328
2022-11-29,3.947,4.4,3.883,3.954,807170.033
2022-11-30,3.96,4.219,3.95,4.191,260084.682
2022-12-01,4.186,4.194,3.977,4.004,237860.101
2022-12-02,4.004,4.029,3.906,4.0,173525.822
2022-12-03,3.999,4.034,3.85,3.862,78023.31
2022-12-04,3.87,3.976,3.867,3.948,71667.224
2022-12-05,3.945,4.047,3.872,3.927,133425.04
2022-12-06,3.932,3.981,3.879,3.935,168376.235
2022-12-07,3.933,3.966,3.782,3.863,166652.137
2022-12-08,3.867,4.013,3.668,3.93,227921.456
2022-12-09,3.928,3.955,3.841,3.865,118707.554
2022-12-10,3.865,3.883,3.833,3.855,118446.396
2022-12-11,3.855,3.963,3.842,3.865,148838.178
2022-12-12,3.871,3.919,3.775,3.905,123555.417
2022-12-13,3.905,4.09,3.801,4.026,257702.067
2022-12-14,4.026,4.037,3.902,3.911,108251.304
2022-12-15,3.904,3.923,3.689,3.702,86031.573
2022-12-16,3.704,3.764,3.288,3.384,254264.673
2022-12-17,3.384,3.473,3.331,3.452,178651.572
2022-12-18,3.455,3.538,3.415,3.488,155817.059
2022-12-19,3.488,3.566,3.336,3.363,291707.181
2022-12-20,3.365,3.535,3.338,3.528,144613.958
2022-12-21,3.524,3.563,3.47,3.546,89277.298
2022-12-22,3.543,3.592,3.478,3.581,167966.812
2022-12-23,3.581,3.593,3.54,3.548,117194.401
2022-12-24,3.553,3.605,3.549,3.578,116775.728
2022-12-25,3.582,3.635,3.526,3.61,149508.166
2022-12-26,3.61,3.625,3.551,3.601,232555.663
2022-12-27,3.6,3.616,3.441,3.464,196667.376
2022-12-28,3.464,3.473,3.18,3.2,229628.349
2022-12-29,3.202,3.339,3.185,3.195,297897.088
2022-12-30,3.2,3.258,3.193,3.214,165821.062
2022-12-31,3.216,3.29,3.181,3.203,138358.807
2023-01-01,3.203,3.21,3.182,3.205,120023.94
2023-01-02,3.207,3.279,3.162,3.221,211071.072
2023-01-03,3.222,3.277,3.146,3.177,336654.943
2023-01-04,3.179,3.351,3.156,3.199,462941.128
2023-01-05,3.198,3.247,3.051,3.104,485027.45
2023-01-06,3.104,3.115,2.984,3.086,303682.803
2023-01-07,3.087,3.187,3.087,3.187,166080.676
2023-01-08,3.182,3.277,3.142,3.266,277735.626
2023-01-09,3.269,3.499,3.259,3.395,564896.2
2023-01-10,3.387,3.443,3.326,3.401,406653.316
2023-01-11,3.396,3.485,3.293,3.467,221859.953
2023-01-12,3.465,3.6,3.402,3.544,547600.61
2023-01-13,3.545,3.832,3.478,3.808,629037.907
2023-01-14,3.808,4.181,3.8,4.012,1091842.694
2023-01-15,4.015,4.561,3.818,4.408,1264664.968
2023-01-16,4.401,5.378,4.276,4.814,2529985.256
2023-01-17,4.813,5.09,4.733,4.941,739959.425
2023-01-18,4.93,5.188,4.682,4.765,819573.276
2023-01-19,4.761,4.92,4.707,4.834,578119.244
2023-01-20,4.829,5.29,4.793,5.263,632822.319
2023-01-21,5.263,5.309,4.809,4.99,929357.33
2023-01-22,4.99,5.568,4.98,5.267,771730.024
2023-01-23,5.262,5.45,5.148,5.32,452278.442
2023-01-24,5.312,5.572,4.964,5.025,406640.065
2023-01-25,5.019,5.25,4.891,5.135,275434.107
2023-01-26,5.133,5.237,5.08,5.155,201847.935
2023-01-27,5.144,5.517,5.011,5.447,271599.154
2023-01-28,5.447,6.02,5.398,5.909,794930.802
2023-01-29,5.909,6.4,5.836,6.222,496731.956
2023-01-30,6.222,6.29,5.86,6.0,473098.186
2023-01-31,6.005,6.247,5.724,5.872,495371.703
2023-02-01,5.87,6.795,5.673,6.516,552894.98
2023-02-02,6.52,7.253,6.404,6.66,900943.805
2023-02-03,6.657,7.1,6.543,6.731,537051.944
2023-02-04,6.733,6.737,6.425,6.446,262762.389
2023-02-05,6.445,6.566,5.899,6.135,352717.023
2023-02-06,6.135,6.54,6.043,6.308,178802.383
2023-02-07,6.308,6.71,6.3,6.653,215787.948
2023-02-08,6.655,6.721,6.226,6.391,243656.746
2023-02-09,6.399,6.412,5.504,5.687,446933.109
2023-02-10,5.688,5.856,5.672,5.798,204977.269
2023-02-11,5.803,5.895,5.729,5.86,117751.055
2023-02-12,5.86,5.867,5.514,5.639,212474.605
2023-02-13,5.64,6.5,5.599,6.107,1838054.956
2023-02-14,6.107,6.214,5.747,6.153,855048.452
2023-02-15,6.161,6.451,6.099,6.417,351083.098
2023-02-16,6.42,6.781,6.35,6.411,499557.027
2023-02-17,6.415,6.875,6.372,6.703,457462.937
2023-02-18,6.703,6.769,6.514,6.569,209716.732
2023-02-19,6.568,6.687,6.373,6.44,236517.927
2023-02-20,6.438,6.666,6.311,6.621,290684.248
2023-02-21,6.637,6.819,6.19,6.364,331518.748
2023-02-22,6.368,6.378,6.029,6.212,226435.654
2023-02-23,6.22,6.35,6.085,6.217,171024.482
2023-02-24,6.221,6.25,5.705,5.816,280668.835
2023-02-25,5.813,5.837,5.558,5.733,134266.625
2023-02-26,5.735,5.929,5.693,5.886,94303.2
2023-02-27,5.88,6.096,5.778,6.09,395023.025
2023-02-28,6.095,6.228,6.02,6.063,283653.288
2023-03-01,6.068,6.565,6.045,6.392,395090.243
2023-03-02,6.392,6.403,5.967,6.084,387429.378
2023-03-03,6.086,6.094,5.648,5.833,587557.905
2023-03-04,5.833,5.943,5.698,5.842,283815.184
2023-03-05,5.842,5.981,5.793,5.868,272752.918
2023-03-06,5.871,6.02,5.823,5.993,257699.918
2023-03-07,5.994,6.081,5.819,5.961,323479.913
2023-03-08,5.961,5.986,5.458,5.488,371742.407
2023-03-09,5.487,5.531,4.931,5.144,397516.166
2023-03-10,5.146,5.148,4.81,4.997,594032.55
2023-03-11,4.998,5.181,4.766,4.995,447593.745
2023-03-12,4.995,5.555,4.837,5.39,443577.825
2023-03-13,5.396,5.77,5.3,5.633,572708.757
2023-03-14,5.638,6.101,5.402,5.919,663557.875
2023-03-15,5.914,6.017,5.377,5.523,701786.56
2023-03-16,5.523,5.573,5.112,5.17,382993.114
2023-03-17,5.171,5.672,5.106,5.663,437293.004
2023-03-18,5.659,5.882,5.464,5.502,432942.095
2023-03-19,5.496,5.827,5.471,5.635,266775.712
2023-03-20,5.634,5.725,5.371,5.401,363629.73
2023-03-21,5.389,5.59,5.262,5.578,225038.892
2023-03-22,5.57,5.663,5.19,5.291,197025.158
2023-03-23,5.281,5.523,5.23,5.407,189627.527
2023-03-24,5.41,5.421,5.0,5.035,229374.326
2023-03-25,5.039,5.143,5.01,5.111,128766.712
2023-03-26,5.11,5.243,5.063,5.132,119800.379
2023-03-27,5.137,5.156,4.842,4.923,129410.548
2023-03-28,4.927,5.131,4.858,5.078,121269.669
2023-03-29,5.077,5.476,5.077,5.405,249970.202
2023-03-30,5.41,5.5,5.266,5.309,209168.281
2023-03-31,5.312,5.409,5.252,5.347,112094.208
2023-04-01,5.346,5.367,5.101,5.18,151731.09
2023-04-02,5.178,5.25,5.01,5.084,159490.391
2023-04-03,5.082,5.17,4.908,5.043,134937.746
2023-04-04,5.047,5.381,5.006,5.329,269136.743
2023-04-05,5.329,5.49,5.247,5.431,268438.562
2023-04-06,5.432,5.438,5.213,5.297,130322.88
2023-04-07,5.293,5.325,5.172,5.245,71690.344
2023-04-08,5.241,5.287,5.155,5.214,82622.372
2023-04-09,5.211,5.377,5.183,5.329,110363.54
2023-04-10,5.329,5.46,5.263,5.441,189109.786
2023-04-11,5.444,5.613,5.409,5.454,365983.156
2023-04-12,5.452,5.552,5.319,5.531,356215.651
2023-04-13,5.535,5.917,5.484,5.851,352743.691
2023-04-14,5.851,6.179,5.825,6.02,380056.652
2023-04-15,6.02,6.053,5.922,6.002,184823.439
2023-04-16,6.002,6.142,5.9,6.078,180940.881
2023-04-17,6.076,6.149,5.92,6.024,503823.251
2023-04-18,6.026,6.369,5.965,6.254,364223.107
2023-04-19,6.254,6.258,5.6,5.692,325752.74
2023-04-20,5.688,5.744,5.36,5.519,352579.778
2023-04-21,5.52,5.603,5.162,5.256,263835.887
2023-04-22,5.253,5.431,5.235,5.412,149884.289
2023-04-23,5.408,5.449,5.245,5.356,150395.975
2023-04-24,5.356,5.443,5.193,5.284,125317.714
2023-04-25,5.288,5.401,5.177,5.369,149487.483
2023-04-26,5.369,5.562,5.048,5.279,218962.377
2023-04-27,5.28,5.441,5.2,5.344,226882.164
2023-04-28,5.349,5.378,5.234,5.279,119093.989
2023-04-29,5.283,5.335,5.244,5.289,46484.629
2023-04-30,5.289,5.307,5.147,5.158,71038.125
2023-05-01,5.164,5.189,4.955,5.029,86780.606
2023-05-02,5.029,5.132,5.001,5.111,94525.537
2023-05-03,5.113,5.32,5.049,5.269,242984.311
2023-05-04,5.267,5.278,5.143,5.175,159439.672
2023-05-05,5.178,5.459,5.16,5.439,179591.664
2023-05-06,5.439,5.495,5.118,5.21,119970.325
2023-05-07,5.209,5.239,5.096,5.126,79790.359
2023-05-08,5.128,5.136,4.613,4.781,299808.801
2023-05-09,4.779,5.024,4.592,4.619,321143.756
2023-05-10,4.619,4.776,4.441,4.686,291673.274
2023-05-11,4.683,4.683,4.23,4.341,333787.926
2023-05-12,4.341,4.519,4.278,4.51,437097.405
2023-05-13,4.513,4.588,4.439,4.507,118942.576
2023-05-14,4.509,4.668,4.464,4.614,147534.33
2023-05-15,4.616,4.728,4.562,4.676,144568.337
2023-05-16,4.674,4.785,4.634,4.754,186300.957
2023-05-17,4.754,4.827,4.611,4.802,243503.317
2023-05-18,4.806,4.806,4.59,4.668,288282.643
2023-05-19,4.668,4.69,4.579,4.636,197755.603
2023-05-20,4.633,4.677,4.602,4.642,79763.557
2023-05-21,4.648,4.654,4.454,4.528,156612.761
2023-05-22,4.529,4.576,4.458,4.566,110717.031
2023-05-23,4.569,4.687,4.521,4.629,129974.687
2023-05-24,4.633,4.633,4.384,4.458,144710.167
2023-05-25,4.458,4.467,4.334,4.429,150995.349
