date,open,high,low,close,volume
2022-08-23,47.2,49.5,45.6,48.5,73439.714
2022-08-24,48.6,50.7,47.2,49.2,64651.429
2022-08-25,49.1,50.2,48.6,49.1,47053.873
2022-08-26,49.1,49.2,43.7,44.3,120504.373
2022-08-27,44.3,45.3,43.7,45.0,55701.851
2022-08-28,45.1,46.0,44.0,44.1,40425.459
2022-08-29,44.2,47.7,43.6,47.5,59775.522
2022-08-30,47.5,48.3,45.1,45.6,79990.963
2022-08-31,45.7,46.4,44.1,44.5,65226.112
2022-09-01,44.5,44.9,43.1,44.8,51495.879
2022-09-02,44.8,46.4,44.2,45.7,50357.138
2022-09-03,45.7,47.0,45.1,46.7,39983.097
2022-09-04,46.8,47.7,46.0,47.6,30072.352
2022-09-05,47.6,48.6,46.3,47.6,45456.24
2022-09-06,47.7,48.9,42.6,42.7,86738.364
2022-09-07,42.7,45.7,42.2,44.9,66029.619
2022-09-08,45.0,46.6,44.2,46.3,54749.481
2022-09-09,46.3,49.59,46.3,49.03,104590.208
2022-09-10,49.05,50.18,48.45,48.73,131746.441
2022-09-11,48.77,49.07,47.1,48.3,144842.67
2022-09-12,48.3,49.93,46.86,47.09,260036.34
2022-09-13,47.09,48.19,43.25,43.83,259195.832
2022-09-14,43.83,45.8,43.57,45.55,173604.272
2022-09-15,45.55,45.69,43.22,43.88,206933.891
2022-09-16,43.89,44.47,42.69,43.78,73726.0
2022-09-17,43.8,44.76,43.77,44.54,57982.736
2022-09-18,44.53,44.63,39.87,40.31,132484.534
2022-09-19,40.33,41.02,39.01,40.76,147187.161
2022-09-20,40.74,41.57,40.0,40.61,99302.657
2022-09-21,40.63,42.8,39.17,39.65,167639.238
2022-09-22,39.64,42.31,39.5,41.91,117001.272
2022-09-23,41.91,42.92,40.53,42.15,138908.392
2022-09-24,42.18,42.79,41.38,41.61,73241.717
2022-09-25,41.6,42.39,40.62,41.15,64791.264
2022-09-26,41.15,41.84,40.21,41.7,110198.583
2022-09-27,41.69,43.69,41.01,41.55,96508.094
2022-09-28,41.55,41.87,39.88,41.26,94687.958
2022-09-29,41.27,42.39,40.71,42.28,80933.271
2022-09-30,42.28,42.89,41.55,41.95,74960.266
2022-10-01,41.93,42.49,41.61,41.73,39878.288
2022-10-02,41.74,41.96,39.56,39.85,63222.383
2022-10-03,39.86,41.38,39.3,41.25,70615.892
2022-10-04,41.25,42.78,41.1,42.31,56484.64
2022-10-05,42.33,43.07,41.28,42.15,143058.037
2022-10-06,42.16,42.82,41.94,42.06,72267.036
2022-10-07,42.05,42.45,41.32,42.28,46745.382
2022-10-08,42.31,42.93,41.9,42.4,37361.074
2022-10-09,42.4,43.18,42.19,42.95,29717.034
2022-10-10,42.95,43.51,41.81,41.88,50854.259
2022-10-11,41.87,41.87,40.56,41.27,58377.587
2022-10-12,41.27,42.5,41.2,41.74,42621.682
2022-10-13,41.73,41.73,38.0,40.38,103008.178
2022-10-14,40.36,41.7,39.6,40.22,48959.547
2022-10-15,40.21,41.14,39.97,40.52,33339.299
2022-10-16,40.52,42.19,40.35,41.79,35179.304
2022-10-17,41.75,41.89,40.95,41.54,27259.044
2022-10-18,41.55,41.8,40.12,40.72,42831.565
2022-10-19,40.73,40.92,39.22,39.7,42251.518
2022-10-20,39.65,40.68,39.16,39.7,31114.332
2022-10-21,39.7,40.94,38.51,40.62,41857.543
2022-10-22,40.67,41.19,40.09,40.86,22554.123
2022-10-23,40.87,41.95,39.93,41.71,37062.521
2022-10-24,41.71,41.93,39.75,40.11,60489.399
2022-10-25,40.15,42.05,39.65,41.35,68820.882
2022-10-26,41.36,42.86,41.08,42.0,61835.513
2022-10-27,41.97,43.52,41.18,41.3,84444.707
2022-10-28,41.29,42.63,41.0,42.46,53919.277
2022-10-29,42.45,44.02,42.41,42.94,79175.489
2022-10-30,42.91,43.65,41.39,41.94,66578.23
2022-10-31,41.93,42.73,41.27,41.86,59404.948
2022-11-01,41.85,42.39,41.09,41.09,46879.759
2022-11-02,41.1,42.0,39.9,40.84,120357.677
2022-11-03,40.84,42.73,40.73,41.82,83872.368
2022-11-04,41.82,45.25,41.65,44.57,114897.287
