date,open,high,low,close,volume
2022-08-23,28.5,29.1,28.0,29.0,10116.034
2022-08-24,29.0,37.6,28.3,31.6,128881.483
2022-08-25,31.5,37.9,30.4,33.4,254834.494
2022-08-26,33.5,35.6,28.0,29.1,61320.623
2022-08-27,29.0,29.4,27.0,27.9,21837.494
2022-08-28,27.8,30.0,27.3,27.4,19666.914
2022-08-29,27.4,29.5,27.2,28.8,17476.484
2022-08-30,28.8,29.7,27.5,28.2,10813.641
2022-08-31,28.2,29.2,28.1,28.3,6729.578
2022-09-01,28.3,34.7,27.5,29.5,82001.664
2022-09-02,29.6,33.3,29.6,30.3,58855.974
2022-09-03,30.2,31.1,29.4,30.6,9862.718
2022-09-04,30.6,31.0,29.8,30.5,6856.904
2022-09-05,30.6,30.7,28.9,29.4,9232.741
2022-09-06,29.3,30.0,27.8,28.2,16947.855
2022-09-07,28.2,29.1,27.3,28.8,7620.136
2022-09-08,28.7,30.8,27.8,28.6,26167.434
2022-09-09,28.7,30.7,28.5,30.0,16185.994
2022-09-10,29.9,30.8,29.7,30.0,11403.581
2022-09-11,30.1,30.5,29.4,30.0,8060.937
2022-09-12,30.0,30.3,28.6,29.0,13448.059
2022-09-13,29.1,29.8,27.5,27.8,15563.665
2022-09-14,27.9,28.8,27.2,27.9,9914.189
2022-09-15,27.8,27.8,26.0,26.2,9972.515
2022-09-16,26.2,26.5,25.3,25.7,10006.591
2022-09-17,25.8,27.5,25.3,26.8,11497.249
2022-09-18,26.8,26.9,24.1,24.6,15400.474
2022-09-19,24.6,25.5,24.2,24.8,11148.671
2022-09-20,24.8,25.5,23.9,24.0,11234.776
2022-09-21,23.9,25.4,23.3,23.8,12242.38
2022-09-22,23.7,32.9,23.7,26.2,146977.792
2022-09-23,26.1,26.9,24.5,25.1,31123.512
2022-09-24,25.0,25.3,24.1,24.3,11503.922
2022-09-25,24.3,25.3,24.2,24.5,7031.957
2022-09-26,24.5,25.1,23.8,24.8,8016.255
2022-09-27,24.7,26.2,24.1,24.7,15189.574
2022-09-28,24.7,29.5,23.9,24.8,44266.663
2022-09-29,24.8,28.4,24.8,25.7,45756.638
2022-09-30,25.7,26.3,24.9,25.0,15467.451
2022-10-01,25.1,27.2,25.1,25.7,23032.809
2022-10-02,25.7,26.9,25.4,25.8,22633.088
2022-10-03,25.9,26.2,25.5,26.1,11018.323
2022-10-04,26.1,27.0,25.7,26.5,14938.193
2022-10-05,26.5,27.6,26.0,26.3,21970.257
2022-10-06,26.3,26.9,26.2,26.4,6943.039
2022-10-07,26.4,26.5,25.6,25.9,8270.137
2022-10-08,25.8,26.4,25.6,25.8,4690.74
2022-10-09,25.8,26.4,25.5,26.3,7860.205
2022-10-10,26.2,26.5,25.1,25.2,6245.011
2022-10-11,25.1,25.4,24.2,24.6,13224.474
2022-10-12,24.5,25.4,24.5,24.7,4080.722
2022-10-13,24.9,25.5,23.5,25.1,16943.016
2022-10-14,25.2,25.7,24.4,24.6,6300.588
2022-10-15,24.7,27.1,24.5,25.4,34078.279
2022-10-16,25.4,28.4,25.2,26.2,31342.611
2022-10-17,26.3,29.9,25.7,27.1,58815.821
2022-10-18,27.1,27.4,25.9,26.1,8497.059
2022-10-19,26.1,26.2,25.5,25.6,5633.574
2022-10-20,25.6,26.5,25.3,25.5,5850.025
2022-10-21,25.4,27.5,25.0,26.7,12697.186
2022-10-22,26.7,28.8,25.6,26.2,49720.848
2022-10-23,26.2,28.2,25.6,26.6,23765.275
2022-10-24,26.6,27.4,26.0,26.2,9742.888
2022-10-25,26.2,27.7,26.1,27.1,11033.61
2022-10-26,27.2,28.0,27.1,27.3,9757.387
2022-10-27,27.3,28.3,27.2,27.3,10535.433
2022-10-28,27.3,29.0,27.1,28.7,16678.827
2022-10-29,28.8,29.0,27.6,27.7,16869.193
2022-10-30,27.7,28.2,27.2,27.6,6911.618
2022-10-31,27.6,27.6,26.8,27.2,5649.351
2022-11-01,27.2,27.5,26.7,27.0,5378.458
2022-11-02,26.9,27.7,26.5,26.6,9673.745
2022-11-03,26.6,27.7,26.5,27.0,9850.089
2022-11-04,27.0,28.7,26.8,28.3,15708.554
2022-11-05,28.2,28.8,28.0,28.1,9118.037
2022-11-06,28.0,28.2,27.4,27.4,5823.516
2022-11-07,27.4,27.6,26.8,27.0,5893.771
2022-11-08,27.0,27.0,22.8,23.4,24422.343
2022-11-09,23.3,24.1,19.0,19.2,22737.748
2022-11-10,19.2,23.3,19.1,22.0,23647.704
2022-11-11,22.0,22.1,20.0,21.0,7930.107
2022-11-12,21.0,21.1,19.4,20.2,7974.242
2022-11-13,20.1,20.7,19.6,19.7,5968.562
2022-11-14,19.7,20.4,18.5,19.9,7230.081
2022-11-15,20.0,20.4,19.3,19.5,14531.073
2022-11-16,19.5,22.3,19.3,20.5,47778.638
2022-11-17,20.4,20.6,19.2,19.6,11733.28
2022-11-18,19.6,20.0,19.3,19.6,4757.243
2022-11-19,19.4,20.0,19.3,19.6,7944.068
2022-11-20,19.6,20.0,18.6,18.9,7685.82
2022-11-21,18.7,19.2,18.3,18.6,8721.818
2022-11-22,18.6,19.9,18.5,19.7,9236.975
2022-11-23,19.7,23.7,19.6,21.2,51670.978
2022-11-24,21.1,21.5,19.8,20.3,18941.016
2022-11-25,20.4,20.6,19.8,19.8,5697.564
2022-11-26,19.9,21.3,19.8,20.5,13695.605
2022-11-27,20.5,20.6,19.8,19.8,7912.531
2022-11-28,19.9,19.9,19.1,19.5,10374.995
2022-11-29,19.4,24.3,19.1,19.9,110498.798
2022-11-30,19.9,21.3,19.8,20.7,29353.141
2022-12-01,20.7,22.4,20.1,21.1,30754.033
2022-12-02,21.1,24.8,20.7,22.0,73772.476
2022-12-03,22.0,22.4,20.6,20.9,13704.155
2022-12-04,20.8,21.6,20.6,21.5,9720.649
2022-12-05,21.5,23.4,21.2,21.5,39293.85
2022-12-06,21.5,21.8,20.8,21.3,11478.944
2022-12-07,21.4,21.4,20.3,20.4,7198.253
2022-12-08,20.4,21.2,20.3,21.0,5094.835
2022-12-09,21.0,22.1,20.7,21.2,13765.651
2022-12-10,21.2,23.4,21.0,21.5,43964.788
2022-12-11,21.6,22.0,21.2,21.2,9391.401
2022-12-12,21.2,21.3,20.5,21.1,8156.983
2022-12-13,21.1,21.5,20.4,21.0,10600.367
2022-12-14,20.9,21.4,20.7,21.1,9519.21
2022-12-15,21.0,24.0,20.8,21.7,53252.34
2022-12-16,21.7,23.2,19.5,19.6,43032.634
2022-12-17,19.5,20.0,18.9,19.8,10660.077
2022-12-18,19.8,19.9,19.3,19.6,5293.707
2022-12-19,19.6,19.7,18.4,18.7,11176.452
2022-12-20,18.6,19.9,18.5,19.5,6931.751
2022-12-21,19.5,21.0,18.7,19.6,34051.571
2022-12-22,19.7,20.1,19.1,19.5,6544.487
2022-12-23,19.6,19.7,19.2,19.5,6530.572
2022-12-24,19.5,19.7,19.0,19.4,8013.575
2022-12-25,19.4,19.6,19.1,19.3,6603.598
2022-12-26,19.3,19.5,19.2,19.4,6175.701
2022-12-27,19.4,19.5,19.2,19.3,4752.361
2022-12-28,19.3,19.5,18.6,18.7,6890.927
2022-12-29,18.7,19.3,18.5,18.8,7896.841
2022-12-30,18.9,18.9,18.2,18.4,4047.449
2022-12-31,18.5,18.9,18.3,18.4,5647.93
2023-01-01,18.5,18.6,18.3,18.5,2488.863
2023-01-02,18.5,19.3,18.4,19.0,5899.603
2023-01-03,19.0,19.4,18.5,18.7,6398.977
2023-01-04,18.7,19.3,18.5,18.8,6372.759
2023-01-05,18.8,19.1,18.6,18.7,5304.827
2023-01-06,18.6,18.9,18.3,18.6,7343.642
2023-01-07,18.7,18.8,18.5,18.6,6535.563
2023-01-08,18.6,19.1,18.4,19.0,8900.698
2023-01-09,19.0,20.3,18.7,19.6,38451.649
2023-01-10,19.6,19.8,19.2,19.7,9778.478
2023-01-11,19.6,20.0,19.0,19.8,10979.1
2023-01-12,19.8,20.9,19.3,20.2,27852.31
2023-01-13,20.2,21.0,20.1,20.9,21261.817
2023-01-14,20.9,22.5,20.8,21.9,26269.415
2023-01-15,21.8,22.0,20.5,21.6,16067.479
2023-01-16,21.5,23.0,21.1,22.1,25393.805
2023-01-17,22.1,22.3,21.7,22.0,8052.974
2023-01-18,22.1,22.2,20.4,20.6,14137.981
2023-01-19,20.6,21.3,20.5,21.3,4243.785
2023-01-20,21.2,24.2,20.9,23.8,33685.169
2023-01-21,23.8,24.3,22.7,22.7,25192.274
2023-01-22,22.7,23.5,22.6,23.0,9922.651
2023-01-23,23.0,24.9,22.8,23.8,25929.207
2023-01-24,23.8,24.7,23.1,23.2,19439.267
2023-01-25,23.3,24.4,23.1,23.8,16221.56
2023-01-26,23.9,24.7,23.4,23.6,21582.404
2023-01-27,23.6,24.0,23.0,23.6,10670.423
2023-01-28,23.6,24.3,23.5,23.8,19339.924
2023-01-29,23.8,24.2,23.0,23.9,22243.353
2023-01-30,23.9,23.9,22.2,22.4,20072.445
2023-01-31,22.3,22.9,22.2,22.8,9396.504
2023-02-01,22.9,23.7,21.8,23.5,18174.131
2023-02-02,23.5,23.9,22.8,22.9,21741.156
2023-02-03,22.9,23.5,22.4,23.1,15317.403
2023-02-04,23.1,24.2,23.1,23.7,22353.796
2023-02-05,23.8,24.0,22.9,23.4,12735.531
2023-02-06,23.3,23.5,22.4,22.9,9915.142
2023-02-07,22.9,24.6,22.9,24.5,19648.223
2023-02-08,24.4,25.0,23.6,23.8,22671.076
2023-02-09,23.7,27.3,22.7,24.0,101973.084
2023-02-10,24.0,25.5,23.6,23.6,33458.373
2023-02-11,23.7,23.9,23.3,23.6,14109.396
2023-02-12,23.6,23.7,22.7,22.9,16444.454
2023-02-13,22.9,23.0,21.71,22.46,15154.907
2023-02-14,22.42,23.14,21.98,23.03,13406.958
2023-02-15,23.07,24.4,23.0,24.33,17277.021
2023-02-16,24.36,26.22,22.95,23.13,36702.845
2023-02-17,23.09,25.17,22.96,24.7,22054.104
2023-02-18,24.7,25.52,24.55,25.22,22149.132
2023-02-19,25.22,27.27,24.12,25.65,63771.738
2023-02-20,25.71,28.52,25.14,27.02,59952.996
2023-02-21,27.01,27.7,25.01,25.54,29734.281
2023-02-22,25.53,25.7,24.0,25.22,20096.407
2023-02-23,25.22,27.03,25.05,25.84,41319.788
2023-02-24,25.79,26.13,24.0,24.32,16776.613
2023-02-25,24.33,24.34,23.1,23.55,11546.152
2023-02-26,23.52,24.38,23.43,24.15,6582.191
2023-02-27,24.19,24.47,23.52,24.36,16544.899
2023-02-28,24.36,24.37,23.4,23.4,9831.992
2023-03-01,23.4,24.2,23.24,23.81,12378.879
2023-03-02,23.84,23.88,23.15,23.6,8992.287
2023-03-03,23.53,23.58,22.01,22.5,9932.37
2023-03-04,22.5,22.62,21.58,21.79,7517.043
