date,open,high,low,close,volume
2022-08-23,1.935,1.988,1.9,1.972,379439.76
2022-08-24,1.974,2.247,1.923,2.1,2126601.22
2022-08-25,2.1,2.13,1.994,2.021,643307.7
2022-08-26,2.019,2.032,1.854,1.907,454808.78
2022-08-27,1.904,1.905,1.784,1.828,324487.85
2022-08-28,1.827,2.05,1.791,1.797,1300456.91
2022-08-29,1.799,1.91,1.73,1.871,543818.45
2022-08-30,1.871,1.954,1.778,1.851,429568.86
2022-08-31,1.851,1.896,1.811,1.818,273054.42
2022-09-01,1.822,1.865,1.797,1.839,347243.25
2022-09-02,1.839,1.897,1.821,1.855,390570.58
2022-09-03,1.852,1.862,1.785,1.831,305321.12
2022-09-04,1.832,1.927,1.8,1.861,539217.64
2022-09-05,1.865,1.874,1.809,1.847,298625.55
2022-09-06,1.849,1.884,1.73,1.738,439383.87
2022-09-07,1.738,1.813,1.705,1.79,324518.41
2022-09-08,1.789,1.843,1.765,1.833,332622.89
2022-09-09,1.836,1.936,1.823,1.925,593620.12
2022-09-10,1.929,1.93,1.846,1.884,420489.12
2022-09-11,1.881,1.939,1.84,1.897,591211.8
2022-09-12,1.899,1.93,1.858,1.865,567344.84
2022-09-13,1.865,1.89,1.735,1.752,447400.77
2022-09-14,1.752,1.86,1.711,1.796,595220.54
2022-09-15,1.796,1.802,1.697,1.706,453617.67
2022-09-16,1.71,1.734,1.629,1.637,365413.28
2022-09-17,1.639,1.795,1.637,1.756,522849.24
2022-09-18,1.752,1.754,1.62,1.636,241315.78
2022-09-19,1.636,1.659,1.56,1.628,443945.09
2022-09-20,1.629,1.84,1.599,1.608,2063123.31
2022-09-21,1.61,1.652,1.54,1.572,1266897.2
2022-09-22,1.572,1.659,1.565,1.62,946180.04
2022-09-23,1.625,1.69,1.574,1.676,879405.2
2022-09-24,1.675,1.689,1.63,1.644,959892.87
2022-09-25,1.645,1.67,1.574,1.582,313676.4
2022-09-26,1.585,1.603,1.556,1.596,597947.31
2022-09-27,1.602,1.648,1.56,1.573,226325.01
2022-09-28,1.574,1.659,1.547,1.645,466470.88
2022-09-29,1.653,2.33,1.599,1.731,11203719.34
2022-09-30,1.731,1.835,1.691,1.724,1909952.15
2022-10-01,1.726,1.859,1.643,1.708,2390535.49
2022-10-02,1.709,1.765,1.651,1.657,972589.94
2022-10-03,1.657,1.726,1.625,1.691,474963.29
2022-10-04,1.693,2.15,1.669,1.774,6492405.66
2022-10-05,1.775,2.013,1.72,1.773,3814621.06
2022-10-06,1.772,1.798,1.728,1.735,670565.43
2022-10-07,1.737,1.768,1.705,1.725,355775.89
2022-10-08,1.724,1.914,1.715,1.817,1776666.48
