date,open,high,low,close,volume
2022-08-23,3.083,3.163,3.022,3.142,81975.07
2022-08-24,3.138,3.138,2.951,3.0,218457.83
2022-08-25,3.001,3.076,2.99,3.004,136697.02
2022-08-26,3.003,3.013,2.681,2.681,234103.88
2022-08-27,2.687,2.712,2.611,2.682,98141.35
2022-08-28,2.677,4.745,2.647,3.876,9422274.71
2022-08-29,3.875,4.1,3.151,3.276,3039053.55
2022-08-30,3.277,3.422,3.112,3.133,759198.41
2022-08-31,3.133,3.296,2.869,2.922,540922.31
2022-09-01,2.925,2.993,2.85,2.946,282852.61
2022-09-02,2.946,3.166,2.932,2.96,480929.1
2022-09-03,2.963,2.997,2.902,2.976,180860.5
2022-09-04,2.979,3.66,2.926,3.038,1840719.7
2022-09-05,3.039,3.071,2.946,2.972,315605.1
2022-09-06,2.971,3.125,2.802,2.889,424241.6
2022-09-07,2.889,3.58,2.808,3.12,2641346.41
2022-09-08,3.123,3.327,3.04,3.093,474830.92
2022-09-09,3.094,3.383,3.088,3.24,726867.67
2022-09-10,3.235,3.298,3.176,3.272,160625.99
2022-09-11,3.272,3.464,3.222,3.278,413856.62
2022-09-12,3.278,3.319,3.164,3.245,214690.55
2022-09-13,3.245,3.495,3.04,3.055,436383.33
2022-09-14,3.054,3.162,3.001,3.109,203367.13
2022-09-15,3.104,3.218,2.96,2.988,248507.07
2022-09-16,2.989,3.022,2.92,2.987,111871.01
2022-09-17,2.986,3.29,2.983,3.155,446892.81
2022-09-18,3.153,3.222,2.92,2.925,214830.41
2022-09-19,2.928,3.031,2.822,2.975,194466.06
2022-09-20,2.979,3.177,2.907,2.911,256776.47
2022-09-21,2.913,3.01,2.811,2.88,160585.65
2022-09-22,2.876,3.014,2.843,2.993,135577.13
2022-09-23,2.992,3.01,2.866,2.966,175049.96
2022-09-24,2.967,3.254,2.942,3.023,615694.91
2022-09-25,3.026,3.1,3.0,3.035,147603.42
2022-09-26,3.034,3.072,2.958,3.028,158184.2
2022-09-27,3.026,3.09,2.953,3.006,140979.6
2022-09-28,3.01,3.02,2.824,2.971,223708.05
2022-09-29,2.971,3.22,2.934,3.094,660449.97
2022-09-30,3.092,3.203,3.032,3.081,290939.56
2022-10-01,3.083,3.1,3.0,3.01,78159.61
2022-10-02,3.011,3.048,2.945,2.973,103399.01
2022-10-03,2.972,3.2,2.947,3.03,325987.79
2022-10-04,3.027,3.117,3.004,3.093,123330.41
2022-10-05,3.093,3.093,2.96,2.993,89879.74
2022-10-06,2.995,3.067,2.971,2.993,145036.4
2022-10-07,2.995,3.149,2.956,2.97,269073.76
2022-10-08,2.97,3.033,2.955,2.98,90506.76
2022-10-09,2.98,3.021,2.97,3.019,48097.79
2022-10-10,3.014,3.05,2.902,2.91,88952.86
2022-10-11,2.908,2.908,2.845,2.858,76067.5
2022-10-12,2.856,2.886,2.821,2.859,78033.98
2022-10-13,2.867,2.88,2.6,2.773,137224.87
2022-10-14,2.769,2.85,2.723,2.739,132949.69
2022-10-15,2.741,2.835,2.733,2.817,87361.37
2022-10-16,2.815,3.671,2.815,2.931,1351137.33
2022-10-17,2.932,3.045,2.885,2.91,211285.36
2022-10-18,2.909,2.936,2.856,2.87,84969.56
2022-10-19,2.872,2.872,2.788,2.806,71556.93
2022-10-20,2.806,2.888,2.75,2.768,89595.99
2022-10-21,2.768,2.855,2.729,2.819,55021.44
2022-10-22,2.821,3.37,2.786,2.896,738159.78
2022-10-23,2.896,2.963,2.819,2.957,102577.74
2022-10-24,2.957,3.268,2.913,3.047,526093.16
2022-10-25,3.043,3.15,2.953,3.024,199822.18
2022-10-26,3.031,3.075,2.992,3.029,106347.76
2022-10-27,3.029,3.086,2.99,3.013,73555.34
2022-10-28,3.023,3.094,2.981,3.041,91219.69
2022-10-29,3.041,3.112,2.992,3.015,117018.8
2022-10-30,3.015,3.047,2.957,2.966,75243.98
2022-10-31,2.964,3.259,2.921,3.018,363879.31
2022-11-01,3.015,3.091,2.976,3.017,157795.74
2022-11-02,3.019,3.09,2.929,2.972,127435.34
2022-11-03,2.97,3.105,2.968,3.038,232373.62
2022-11-04,3.035,3.186,3.031,3.184,216327.86
