date,open,high,low,close,volume
2022-08-23,0.0371,0.0371,0.0349,0.0367,8200266.0
2022-08-24,0.0366,0.0386,0.036,0.0372,6064135.0
2022-08-25,0.0371,0.0377,0.0363,0.0369,5321531.0
2022-08-26,0.0368,0.039,0.035,0.035,20040386.0
2022-08-27,0.0352,0.0355,0.034,0.0353,6437845.0
2022-08-28,0.0354,0.0361,0.0345,0.0351,4668198.0
2022-08-29,0.0351,0.0384,0.0349,0.0361,22906325.0
2022-08-30,0.036,0.0368,0.0345,0.0353,6620307.0
2022-08-31,0.0353,0.0365,0.0348,0.0348,7551590.0
2022-09-01,0.0349,0.0358,0.0336,0.0353,6894307.0
2022-09-02,0.0354,0.038,0.0351,0.0353,18886120.0
2022-09-03,0.0354,0.0356,0.0347,0.0352,2758474.0
2022-09-04,0.0352,0.0361,0.035,0.0356,2537952.0
2022-09-05,0.0357,0.036,0.035,0.0356,2418244.0
2022-09-06,0.0356,0.0362,0.0335,0.0336,4824973.0
2022-09-07,0.0337,0.0348,0.0325,0.0343,3969181.0
2022-09-08,0.0343,0.0363,0.034,0.0347,10898533.0
2022-09-09,0.0347,0.0365,0.0347,0.0361,6489993.0
2022-09-10,0.0362,0.037,0.0357,0.0363,5498911.0
2022-09-11,0.0362,0.0415,0.0355,0.036,34502982.0
2022-09-12,0.0359,0.037,0.0353,0.0356,6062030.0
2022-09-13,0.0356,0.0363,0.0333,0.0337,8471296.0
2022-09-14,0.0337,0.0358,0.0336,0.0343,12550304.0
2022-09-15,0.0342,0.0349,0.0331,0.0335,9049744.0
2022-09-16,0.0335,0.034,0.0325,0.0333,3672996.0
2022-09-17,0.0333,0.0565,0.0331,0.0382,188398885.0
2022-09-18,0.0382,0.0385,0.0333,0.0341,34037875.0
2022-09-19,0.034,0.0365,0.0324,0.0336,37176496.0
2022-09-20,0.0335,0.0348,0.0305,0.0324,19874223.0
2022-09-21,0.0323,0.0329,0.0307,0.0314,17411980.0
2022-09-22,0.0314,0.033,0.0311,0.0327,11635505.0
2022-09-23,0.0327,0.0335,0.0311,0.0323,14326834.0
2022-09-24,0.0323,0.0327,0.032,0.0323,2968541.0
2022-09-25,0.0323,0.0346,0.0317,0.0321,12961599.0
2022-09-26,0.032,0.0327,0.0313,0.0319,6942217.0
2022-09-27,0.0319,0.0342,0.0317,0.0327,11669577.0
2022-09-28,0.0328,0.0379,0.0319,0.0328,40535777.0
2022-09-29,0.0327,0.0339,0.0316,0.0326,19871129.0
2022-09-30,0.0326,0.041,0.0322,0.0338,85244729.0
2022-10-01,0.0339,0.0399,0.0337,0.034,150308717.0
2022-10-02,0.0339,0.0348,0.0331,0.0334,20703197.0
2022-10-03,0.0334,0.0348,0.0332,0.0344,9018204.0
2022-10-04,0.0343,0.0349,0.0336,0.0346,10254361.0
2022-10-05,0.0345,0.0346,0.0331,0.0336,7152809.0
2022-10-06,0.0337,0.034,0.0332,0.0335,2953000.0
2022-10-07,0.0335,0.0363,0.033,0.0338,27856294.0
2022-10-08,0.0338,0.0354,0.0334,0.0338,9166161.0
2022-10-09,0.0338,0.0347,0.0336,0.0343,4361396.0
2022-10-10,0.0342,0.036,0.0334,0.0334,13137584.0
2022-10-11,0.0334,0.0334,0.0321,0.0323,5672320.0
2022-10-12,0.0324,0.033,0.0321,0.0325,4067695.0
2022-10-13,0.0325,0.0327,0.0294,0.032,8705964.0
2022-10-14,0.0318,0.0339,0.0318,0.0323,8879721.0
2022-10-15,0.0324,0.036,0.0322,0.0338,26131940.0
2022-10-16,0.034,0.0449,0.0335,0.0342,180521357.0
2022-10-17,0.0343,0.037,0.0332,0.0343,29423213.0
2022-10-18,0.0345,0.036,0.0336,0.0339,25447438.0
2022-10-19,0.034,0.0377,0.0333,0.0352,54106079.0
2022-10-20,0.0354,0.0385,0.034,0.0342,26471974.0
2022-10-21,0.0342,0.0355,0.0335,0.0349,9360032.0
2022-10-22,0.0349,0.195,0.0343,0.0666,765225203.0
2022-10-23,0.0666,0.073,0.05,0.0525,231207239.0
2022-10-24,0.0525,0.0659,0.05,0.0564,230782357.0
2022-10-25,0.0564,0.0579,0.0511,0.0522,66089030.0
2022-10-26,0.0521,0.0528,0.0495,0.0499,31415391.0
2022-10-27,0.0499,0.0586,0.0478,0.0512,137092407.0
2022-10-28,0.0511,0.0589,0.0489,0.0523,176287913.0
2022-10-29,0.0522,0.0534,0.0494,0.0497,41841379.0
2022-10-30,0.0497,0.0501,0.046,0.047,47159185.0
2022-10-31,0.0471,0.0487,0.0461,0.0471,30566216.0
2022-11-01,0.047,0.0539,0.0462,0.0479,72165882.0
2022-11-02,0.0479,0.0488,0.0451,0.0457,34057848.0
2022-11-03,0.0457,0.0484,0.045,0.0455,32203228.0
2022-11-04,0.0455,0.0474,0.045,0.0472,25876052.0
2022-11-05,0.0471,0.0484,0.0465,0.0468,23781278.0
2022-11-06,0.0468,0.057,0.0459,0.0506,197194377.0
2022-11-07,0.0506,0.0545,0.0476,0.0477,94109456.0
2022-11-08,0.0477,0.0478,0.0364,0.0381,54756656.0
2022-11-09,0.0382,0.0386,0.0296,0.0305,39369810.0
2022-11-10,0.0305,0.0375,0.0304,0.0357,33240949.0
2022-11-11,0.0357,0.0364,0.0318,0.0335,20678309.0
2022-11-12,0.0335,0.042,0.0323,0.0353,80577552.0
2022-11-13,0.0353,0.0377,0.0334,0.0341,35845638.0
2022-11-14,0.0339,0.037,0.0321,0.035,29713357.0
2022-11-15,0.0352,0.0364,0.0344,0.0355,13714808.0
2022-11-16,0.0354,0.043,0.0345,0.0379,71018288.0
2022-11-17,0.0377,0.0377,0.0351,0.0359,16699600.0
2022-11-18,0.0355,0.0376,0.0353,0.0359,12581412.0
