date,open,high,low,close,volume
2022-08-23,0.392,0.408,0.382,0.406,1086397.2
2022-08-24,0.406,0.41,0.395,0.401,862802.0
2022-08-25,0.4,0.415,0.4,0.411,822325.0
2022-08-26,0.411,0.411,0.366,0.368,1461113.3
2022-08-27,0.368,0.377,0.362,0.368,824725.4
2022-08-28,0.368,0.373,0.36,0.361,777316.1
2022-08-29,0.361,0.429,0.36,0.388,7268929.2
2022-08-30,0.388,0.393,0.369,0.379,1566359.9
2022-08-31,0.379,0.391,0.373,0.375,698905.4
2022-09-01,0.376,0.379,0.361,0.377,905709.5
2022-09-02,0.376,0.385,0.371,0.377,718559.6
2022-09-03,0.378,0.38,0.373,0.375,361630.7
2022-09-04,0.376,0.389,0.374,0.387,529114.7
2022-09-05,0.388,0.39,0.373,0.381,537928.0
2022-09-06,0.38,0.387,0.362,0.364,734561.7
2022-09-07,0.364,0.377,0.357,0.374,761135.2
2022-09-08,0.374,0.39,0.368,0.38,852167.2
2022-09-09,0.38,0.399,0.38,0.399,1219614.2
2022-09-10,0.399,0.404,0.389,0.403,682664.8
2022-09-11,0.403,0.426,0.39,0.405,2903027.5
2022-09-12,0.404,0.42,0.395,0.399,995658.2
2022-09-13,0.4,0.405,0.377,0.378,1238684.8
2022-09-14,0.379,0.388,0.371,0.382,797379.7
2022-09-15,0.382,0.389,0.363,0.369,953642.3
2022-09-16,0.367,0.376,0.364,0.376,489270.5
2022-09-17,0.376,0.48,0.375,0.383,6101170.9
2022-09-18,0.383,0.464,0.371,0.376,9506170.2
2022-09-19,0.376,0.423,0.369,0.39,7018810.7
2022-09-20,0.39,0.394,0.376,0.389,1557473.6
2022-09-21,0.389,0.403,0.365,0.373,2714939.1
2022-09-22,0.372,0.4,0.369,0.382,2104152.0
2022-09-23,0.383,0.392,0.367,0.381,1948855.6
2022-09-24,0.38,0.384,0.374,0.377,579148.9
2022-09-25,0.377,0.382,0.372,0.375,420198.5
2022-09-26,0.376,0.389,0.373,0.386,1101783.1
2022-09-27,0.386,0.392,0.374,0.379,1304698.9
2022-09-28,0.379,0.384,0.371,0.379,660676.0
2022-09-29,0.379,0.429,0.372,0.386,8320901.8
2022-09-30,0.386,0.393,0.374,0.382,2436524.3
2022-10-01,0.383,0.39,0.379,0.38,1282214.5
2022-10-02,0.381,0.385,0.375,0.38,925166.1
2022-10-03,0.38,0.42,0.379,0.386,3525621.1
2022-10-04,0.386,0.427,0.386,0.398,2942774.1
2022-10-05,0.398,0.426,0.391,0.418,6061134.3
2022-10-06,0.418,0.436,0.399,0.4,1945203.3
2022-10-07,0.401,0.41,0.39,0.394,1039577.8
2022-10-08,0.395,0.404,0.391,0.393,612678.6
2022-10-09,0.393,0.398,0.388,0.391,455055.3
2022-10-10,0.39,0.399,0.388,0.389,863449.5
2022-10-11,0.388,0.389,0.38,0.383,584129.7
2022-10-12,0.383,0.405,0.38,0.392,1868902.2
2022-10-13,0.393,0.416,0.37,0.39,4520615.6
2022-10-14,0.39,0.4,0.385,0.39,1172703.3
