date,open,high,low,close,volume
2022-08-23,0.1283,0.1336,0.1243,0.1294,26653066.0
2022-08-24,0.1297,0.1359,0.1281,0.1328,26121356.0
2022-08-25,0.1328,0.1406,0.1327,0.1378,26540218.0
2022-08-26,0.1378,0.1413,0.1235,0.1246,33975280.0
2022-08-27,0.1246,0.126,0.1209,0.1236,16157405.0
2022-08-28,0.1237,0.1266,0.12,0.1202,13477820.0
2022-08-29,0.1202,0.1309,0.1178,0.1306,13365115.0
2022-08-30,0.1306,0.1344,0.1237,0.1325,23308466.0
2022-08-31,0.1326,0.1362,0.1315,0.1324,18336734.0
2022-09-01,0.1323,0.1401,0.1308,0.1398,21437858.0
2022-09-02,0.1398,0.14,0.1317,0.1352,12970646.0
2022-09-03,0.1352,0.1414,0.1339,0.1363,13727724.0
2022-09-04,0.1363,0.1401,0.1341,0.1386,8193443.0
2022-09-05,0.1387,0.1472,0.1387,0.1447,26985227.0
2022-09-06,0.1446,0.1457,0.1266,0.1271,27323702.0
2022-09-07,0.1271,0.1325,0.1266,0.1298,19425058.0
2022-09-08,0.1298,0.1318,0.1275,0.131,13580418.0
2022-09-09,0.131,0.1387,0.1306,0.1374,17084678.0
2022-09-10,0.1375,0.1424,0.137,0.1391,19655152.0
2022-09-11,0.1392,0.1449,0.135,0.1378,21958052.0
2022-09-12,0.1378,0.141,0.1319,0.1347,19456860.0
2022-09-13,0.1348,0.1355,0.1237,0.1243,21084762.0
2022-09-14,0.1243,0.127,0.1214,0.1252,17421634.0
2022-09-15,0.125,0.1251,0.1185,0.1206,17976953.0
2022-09-16,0.1206,0.1224,0.1181,0.1213,11917701.0
2022-09-17,0.1213,0.1258,0.1212,0.1254,8956438.0
2022-09-18,0.1253,0.1253,0.1129,0.1145,11937967.0
2022-09-19,0.1145,0.1179,0.1099,0.1151,23177318.0
2022-09-20,0.115,0.1159,0.1109,0.1115,15926760.0
2022-09-21,0.1114,0.117,0.1064,0.1083,19755179.0
2022-09-22,0.1083,0.122,0.1078,0.1154,23280889.0
2022-09-23,0.1155,0.118,0.1108,0.116,15864525.0
2022-09-24,0.116,0.1171,0.1132,0.1132,8094687.0
2022-09-25,0.1132,0.115,0.1096,0.1109,6349326.0
2022-09-26,0.111,0.1141,0.1089,0.1132,10833526.0
2022-09-27,0.1132,0.1192,0.1115,0.1135,12870118.0
2022-09-28,0.1135,0.118,0.1098,0.1145,12119585.0
2022-09-29,0.1146,0.1181,0.113,0.118,9035376.0
2022-09-30,0.118,0.1277,0.1161,0.1183,30962156.0
2022-10-01,0.1182,0.1209,0.1174,0.1192,7809019.0
2022-10-02,0.1191,0.1206,0.114,0.1152,7404922.0
2022-10-03,0.1151,0.1265,0.1141,0.1259,36726294.0
2022-10-04,0.126,0.1272,0.1219,0.1251,13326980.0
2022-10-05,0.1253,0.1303,0.1228,0.128,17959835.0
2022-10-06,0.1281,0.1324,0.1263,0.1306,26223712.0
2022-10-07,0.1306,0.1331,0.1271,0.1329,18386048.0
2022-10-08,0.133,0.1343,0.1302,0.1313,6813512.0
2022-10-09,0.1313,0.1341,0.1249,0.1262,14638321.0
2022-10-10,0.1261,0.1279,0.1205,0.1217,12197316.0
2022-10-11,0.1215,0.1234,0.1163,0.1203,14697644.0
2022-10-12,0.1204,0.1219,0.1175,0.1193,6108533.0
2022-10-13,0.1191,0.1194,0.1101,0.1168,16708763.0
2022-10-14,0.1168,0.1212,0.1154,0.1172,11345898.0
2022-10-15,0.1173,0.1207,0.1161,0.1191,8659668.0
2022-10-16,0.1189,0.1241,0.1189,0.123,12965025.0
2022-10-17,0.1229,0.1242,0.1214,0.1236,6035113.0
2022-10-18,0.1236,0.1254,0.1203,0.1211,12652673.0
2022-10-19,0.1212,0.1219,0.1142,0.115,13679571.0
2022-10-20,0.115,0.1179,0.1137,0.1151,7272495.0
2022-10-21,0.1149,0.1172,0.1117,0.1169,6838568.0
2022-10-22,0.1171,0.1181,0.1152,0.1172,4284977.0
2022-10-23,0.1173,0.1199,0.115,0.1196,5850438.0
2022-10-24,0.1196,0.1199,0.1161,0.1197,6220983.0
2022-10-25,0.1197,0.1255,0.1181,0.1227,10293870.0
2022-10-26,0.1228,0.1269,0.1227,0.1256,6762207.0
2022-10-27,0.1257,0.1305,0.1233,0.1247,12224767.0
2022-10-28,0.1246,0.1292,0.1235,0.1285,9848043.0
2022-10-29,0.1285,0.1356,0.1278,0.1314,16192467.0
2022-10-30,0.1314,0.1386,0.1287,0.1308,11890932.0
2022-10-31,0.1308,0.1328,0.1266,0.1321,10854762.0
2022-11-01,0.1322,0.1357,0.1279,0.129,8899770.0
2022-11-02,0.1289,0.1304,0.1227,0.1246,12979374.0
2022-11-03,0.1246,0.1435,0.1245,0.1412,30637152.0
2022-11-04,0.1411,0.1512,0.1356,0.1459,38361400.0
2022-11-05,0.146,0.1482,0.1388,0.1409,14508689.0
2022-11-06,0.141,0.1448,0.1331,0.1335,13627190.0
2022-11-07,0.1334,0.1362,0.1301,0.1321,12396426.0
2022-11-08,0.1322,0.1355,0.1008,0.1132,52941769.0
2022-11-09,0.1131,0.1136,0.0826,0.0855,54933199.0
2022-11-10,0.0854,0.1025,0.084,0.0994,47299938.0
2022-11-11,0.0993,0.1001,0.0853,0.0938,22954187.0
2022-11-12,0.0939,0.0941,0.0876,0.0896,10134838.0
2022-11-13,0.0896,0.0923,0.0856,0.0889,18499873.0
2022-11-14,0.0889,0.0927,0.083,0.0914,25492406.0
2022-11-15,0.0914,0.0964,0.0906,0.0917,13193225.0
2022-11-16,0.0918,0.0945,0.0893,0.0908,8382902.0
2022-11-17,0.0907,0.0929,0.0888,0.0903,7268153.0
2022-11-18,0.0903,0.092,0.0877,0.0887,5337240.0
2022-11-19,0.0887,0.0895,0.0866,0.0885,3046806.0
2022-11-20,0.0885,0.0917,0.0865,0.0868,10205967.0
2022-11-21,0.0868,0.087,0.081,0.0825,11093934.0
2022-11-22,0.0825,0.0855,0.0799,0.0852,7515756.0
2022-11-23,0.0852,0.0902,0.0845,0.0891,8686816.0
2022-11-24,0.0892,0.091,0.088,0.0891,6510854.0
2022-11-25,0.089,0.0908,0.0864,0.0897,6014488.0
2022-11-26,0.0897,0.0921,0.0891,0.0901,4535716.0
2022-11-27,0.09,0.094,0.0898,0.0902,7404665.0
2022-11-28,0.0901,0.0941,0.0862,0.0921,14583399.0
2022-11-29,0.0921,0.0972,0.0902,0.0947,19572164.0
2022-11-30,0.0947,0.0977,0.0935,0.0967,11254247.0
2022-12-01,0.0967,0.0984,0.0943,0.0952,8630518.0
2022-12-02,0.0953,0.0982,0.0943,0.098,7427439.0
2022-12-03,0.0979,0.099,0.0948,0.095,5113274.0
2022-12-04,0.0951,0.0965,0.0935,0.096,3053930.0
2022-12-05,0.096,0.0973,0.0926,0.0937,18100734.0
2022-12-06,0.0938,0.095,0.0932,0.0943,2214535.0
2022-12-07,0.0943,0.0946,0.0897,0.0914,5483500.0
2022-12-08,0.0913,0.0936,0.0896,0.0932,3023243.0
2022-12-09,0.0932,0.0939,0.0916,0.0924,3481568.0
2022-12-10,0.0924,0.0973,0.0923,0.093,8874829.0
2022-12-11,0.0931,0.0946,0.0915,0.0918,2468409.0
2022-12-12,0.0917,0.0919,0.0884,0.0896,3609606.0
2022-12-13,0.0896,0.093,0.0849,0.0904,15251022.0
2022-12-14,0.0904,0.0916,0.088,0.0895,4632740.0
2022-12-15,0.0895,0.0896,0.0872,0.0877,2883074.0
2022-12-16,0.0877,0.0885,0.0779,0.0789,7111732.0
2022-12-17,0.0789,0.0816,0.0768,0.0815,4912733.0
2022-12-18,0.0815,0.0816,0.0791,0.0805,6348693.0
2022-12-19,0.0806,0.0818,0.0746,0.0757,6744937.0
2022-12-20,0.0757,0.0803,0.0754,0.0799,4217090.0
2022-12-21,0.0799,0.08,0.0784,0.0793,2034913.0
2022-12-22,0.0794,0.0815,0.0786,0.0814,8375821.0
2022-12-23,0.0813,0.082,0.0806,0.0814,4350127.0
2022-12-24,0.0815,0.0821,0.0809,0.0814,1588685.0
2022-12-25,0.0815,0.0819,0.073,0.0811,4100179.0
2022-12-26,0.081,0.0832,0.0808,0.0828,2879919.0
2022-12-27,0.0828,0.0837,0.0816,0.0826,5339320.0
2022-12-28,0.0827,0.0837,0.0799,0.0823,6611795.0
2022-12-29,0.0823,0.094,0.0798,0.0814,48479439.0
2022-12-30,0.0814,0.0819,0.0793,0.0814,5269761.0
2022-12-31,0.0813,0.0841,0.0811,0.0832,6500485.0
2023-01-01,0.0833,0.084,0.0815,0.0819,4039786.0
2023-01-02,0.0819,0.0836,0.0805,0.0828,5765843.0
2023-01-03,0.0828,0.085,0.0825,0.0836,4405511.0
2023-01-04,0.0836,0.086,0.0834,0.0853,5227991.0
2023-01-05,0.0853,0.087,0.0847,0.0856,4730580.0
2023-01-06,0.0857,0.0876,0.0838,0.0873,3481369.0
2023-01-07,0.0873,0.0879,0.0868,0.0869,1551236.0
2023-01-08,0.087,0.0908,0.0853,0.0904,5143526.0
2023-01-09,0.0904,0.095,0.0902,0.0919,9027075.0
2023-01-10,0.0918,0.0945,0.0904,0.0938,8554214.0
2023-01-11,0.0938,0.0969,0.0891,0.0966,7690415.0
2023-01-12,0.0966,0.1017,0.0923,0.098,16615643.0
2023-01-13,0.098,0.1073,0.096,0.1029,30159921.0
