date,open,high,low,close,volume
2022-08-23,1.73,1.845,1.692,1.821,7201387.82
2022-08-24,1.822,1.831,1.736,1.763,4039029.31
2022-08-25,1.763,1.854,1.75,1.815,3884626.95
2022-08-26,1.814,1.815,1.617,1.647,4611362.79
2022-08-27,1.647,1.663,1.604,1.632,2953199.8
2022-08-28,1.632,1.65,1.485,1.509,3691254.37
2022-08-29,1.507,1.618,1.481,1.614,3887932.61
2022-08-30,1.613,1.637,1.488,1.533,3569994.04
2022-08-31,1.534,1.59,1.513,1.522,3209392.94
2022-09-01,1.522,1.542,1.458,1.535,4582447.82
2022-09-02,1.535,1.594,1.503,1.539,5466100.67
2022-09-03,1.539,1.562,1.507,1.561,2403962.59
2022-09-04,1.561,1.608,1.542,1.588,2880456.02
2022-09-05,1.589,1.605,1.532,1.584,2014498.17
2022-09-06,1.586,1.632,1.424,1.448,4374371.33
2022-09-07,1.448,1.483,1.382,1.448,8146728.53
2022-09-08,1.448,1.483,1.404,1.451,5550923.31
2022-09-09,1.451,1.586,1.449,1.572,6750801.53
2022-09-10,1.572,1.649,1.545,1.605,7549271.93
2022-09-11,1.606,1.683,1.557,1.639,6817321.6
2022-09-12,1.638,1.663,1.513,1.566,7616758.1
2022-09-13,1.566,1.62,1.399,1.405,9245378.44
2022-09-14,1.404,1.422,1.332,1.388,10056771.44
2022-09-15,1.386,1.39,1.3,1.315,6529883.51
2022-09-16,1.317,1.353,1.3,1.349,3923512.04
2022-09-17,1.348,1.408,1.346,1.403,2927176.18
2022-09-18,1.404,1.405,1.12,1.196,6126084.02
2022-09-19,1.197,1.267,1.165,1.26,7280270.12
2022-09-20,1.26,1.269,1.21,1.238,6748466.29
2022-09-21,1.238,1.299,1.143,1.18,9038127.53
2022-09-22,1.18,1.295,1.179,1.279,5011677.16
2022-09-23,1.279,1.304,1.212,1.276,6008913.43
2022-09-24,1.279,1.299,1.231,1.238,2835720.81
2022-09-25,1.237,1.264,1.205,1.214,2765473.15
2022-09-26,1.214,1.374,1.203,1.342,10906398.97
2022-09-27,1.342,1.393,1.308,1.329,7723947.26
2022-09-28,1.33,1.345,1.226,1.275,6044600.39
2022-09-29,1.275,1.287,1.227,1.27,4726879.09
2022-09-30,1.271,1.299,1.244,1.271,5256202.06
2022-10-01,1.271,1.296,1.237,1.244,2562880.81
2022-10-02,1.244,1.269,1.196,1.202,4709185.75
2022-10-03,1.202,1.275,1.175,1.265,8163045.97
2022-10-04,1.265,1.296,1.251,1.29,3629290.53
2022-10-05,1.29,1.306,1.227,1.258,6206069.02
2022-10-06,1.258,1.285,1.224,1.232,5921057.78
2022-10-07,1.232,1.276,1.211,1.261,4725257.92
2022-10-08,1.262,1.297,1.225,1.246,8658146.34
2022-10-09,1.246,1.292,1.244,1.287,3463924.01
2022-10-10,1.286,1.338,1.258,1.303,6669260.4
2022-10-11,1.304,1.483,1.249,1.425,16630483.83
2022-10-12,1.426,1.5,1.415,1.45,11830860.34
2022-10-13,1.449,1.57,1.342,1.531,17092227.01
2022-10-14,1.53,1.575,1.458,1.54,13203333.63
2022-10-15,1.541,1.541,1.429,1.444,5917252.97
2022-10-16,1.444,1.492,1.411,1.443,3889776.42
2022-10-17,1.442,1.529,1.427,1.524,5007852.52
2022-10-18,1.524,1.606,1.483,1.573,8398428.72
2022-10-19,1.572,1.592,1.49,1.503,7419417.87
2022-10-20,1.503,1.532,1.437,1.456,4525664.04
2022-10-21,1.455,1.456,1.374,1.437,3863984.87
2022-10-22,1.437,1.478,1.404,1.46,2445866.95
2022-10-23,1.461,1.549,1.417,1.541,4655629.26
2022-10-24,1.543,1.579,1.49,1.5,4483382.26
2022-10-25,1.5,1.56,1.457,1.518,5368256.51
2022-10-26,1.52,1.656,1.505,1.625,7780496.3
2022-10-27,1.626,1.78,1.603,1.661,9406732.58
2022-10-28,1.661,1.8,1.635,1.742,7889820.41
2022-10-29,1.743,1.92,1.688,1.762,8516465.61
2022-10-30,1.763,1.826,1.658,1.686,6410299.61
2022-10-31,1.686,1.755,1.614,1.637,6224783.09
2022-11-01,1.637,1.678,1.604,1.614,4043724.36
2022-11-02,1.614,1.618,1.452,1.498,8345855.73
2022-11-03,1.498,1.652,1.494,1.595,8743176.58
2022-11-04,1.595,1.98,1.576,1.879,15227862.68
2022-11-05,1.881,2.003,1.838,1.897,7333165.49
2022-11-06,1.896,2.0,1.797,1.804,9355596.66
2022-11-07,1.803,2.06,1.7,1.755,19648202.08
2022-11-08,1.756,1.786,1.184,1.427,20864034.06
2022-11-09,1.426,1.56,1.191,1.329,23883923.62
2022-11-10,1.33,1.8,1.328,1.721,31609286.76
2022-11-11,1.723,2.2,1.72,1.947,39672468.98
2022-11-12,1.948,2.101,1.717,1.886,24154810.22
2022-11-13,1.886,2.57,1.867,2.397,44869687.82
2022-11-14,2.4,2.71,2.144,2.536,38906566.21
2022-11-15,2.536,2.73,2.273,2.366,28846872.97
2022-11-16,2.365,2.489,2.233,2.318,16346492.33
2022-11-17,2.319,2.341,2.082,2.128,17599622.67
2022-11-18,2.129,2.235,2.03,2.047,10664026.4
2022-11-19,2.048,2.219,2.007,2.152,11851695.35
2022-11-20,2.151,2.162,1.8,1.83,12423009.73
2022-11-21,1.83,1.896,1.7,1.846,15984718.43
2022-11-22,1.847,1.933,1.705,1.8,15594505.67
2022-11-23,1.799,2.039,1.765,2.029,18887813.78
2022-11-24,2.028,2.076,1.882,1.941,11846469.61
2022-11-25,1.94,1.964,1.765,1.834,10669007.48
2022-11-26,1.835,1.888,1.72,1.768,9314435.36
2022-11-27,1.767,1.848,1.738,1.757,6175544.77
2022-11-28,1.759,1.774,1.58,1.661,9706884.95
2022-11-29,1.66,1.759,1.637,1.738,7747522.09
2022-11-30,1.737,1.828,1.644,1.765,8481718.95
2022-12-01,1.765,1.87,1.7,1.831,13003504.96
2022-12-02,1.83,1.933,1.813,1.893,10577497.77
2022-12-03,1.893,1.93,1.779,1.783,5088358.64
2022-12-04,1.785,1.875,1.78,1.851,3097264.61
2022-12-05,1.852,1.886,1.731,1.777,5401098.94
2022-12-06,1.778,1.796,1.718,1.759,2810452.29
2022-12-07,1.759,1.767,1.609,1.62,5496396.57
2022-12-08,1.619,1.653,1.55,1.629,6150861.52
2022-12-09,1.629,1.647,1.57,1.593,5232712.44
2022-12-10,1.594,1.625,1.577,1.609,3967848.55
2022-12-11,1.61,1.638,1.525,1.559,3718841.69
2022-12-12,1.558,1.729,1.461,1.682,9878997.75
2022-12-13,1.68,1.778,1.605,1.663,15995360.27
2022-12-14,1.663,1.691,1.553,1.608,8300224.58
2022-12-15,1.608,1.696,1.57,1.627,7282297.79
2022-12-16,1.627,1.665,1.35,1.402,10207135.87
2022-12-17,1.401,1.442,1.373,1.424,6556584.88
2022-12-18,1.425,1.447,1.386,1.405,3357116.16
2022-12-19,1.406,1.439,1.3,1.333,5516079.4
2022-12-20,1.333,1.417,1.333,1.381,5386542.19
2022-12-21,1.381,1.393,1.139,1.197,39225383.15
2022-12-22,1.197,1.239,1.182,1.223,14502970.45
2022-12-23,1.223,1.245,1.186,1.204,6295492.82
2022-12-24,1.205,1.216,1.194,1.211,2891362.77
2022-12-25,1.211,1.217,1.052,1.129,8605717.98
2022-12-26,1.129,1.16,1.125,1.146,5123629.01
2022-12-27,1.147,1.167,1.092,1.127,6172769.31
2022-12-28,1.128,1.128,1.021,1.042,8495677.35
2022-12-29,1.042,1.073,1.014,1.047,9117080.97
2022-12-30,1.047,1.054,1.012,1.051,4892377.54
2022-12-31,1.052,1.12,1.035,1.103,5737724.37
2023-01-01,1.103,1.162,1.086,1.14,5658813.84
2023-01-02,1.14,1.212,1.123,1.182,7349093.59
2023-01-03,1.183,1.196,1.132,1.163,6007260.76
2023-01-04,1.163,1.202,1.155,1.179,7245003.04
2023-01-05,1.18,1.249,1.159,1.179,8015555.68
2023-01-06,1.179,1.238,1.136,1.214,7067488.34
2023-01-07,1.214,1.236,1.194,1.216,6592769.92
2023-01-08,1.216,1.267,1.184,1.262,5835606.88
2023-01-09,1.263,1.374,1.252,1.321,8915432.14
2023-01-10,1.321,1.423,1.279,1.379,9029594.46
2023-01-11,1.379,1.382,1.315,1.37,7019533.26
2023-01-12,1.369,1.449,1.323,1.43,10920286.69
2023-01-13,1.432,1.488,1.379,1.468,10407643.99
2023-01-14,1.468,1.59,1.418,1.539,15523063.49
2023-01-15,1.539,1.586,1.449,1.505,10461747.54
2023-01-16,1.505,1.588,1.421,1.479,10688359.13
2023-01-17,1.479,1.51,1.4,1.411,7220410.19
2023-01-18,1.412,1.45,1.243,1.282,13483115.24
2023-01-19,1.282,1.343,1.28,1.317,6170930.16
2023-01-20,1.316,1.749,1.301,1.674,16589808.52
2023-01-21,1.672,1.8,1.6,1.616,16374207.12
2023-01-22,1.616,1.758,1.607,1.658,13748715.24
2023-01-23,1.659,1.868,1.658,1.739,17612200.01
2023-01-24,1.739,1.762,1.516,1.542,12234945.92
2023-01-25,1.542,2.2,1.516,1.927,46572814.14
2023-01-26,1.927,2.378,1.886,2.306,34892041.48
2023-01-27,2.306,2.523,2.091,2.415,27220548.83
2023-01-28,2.414,2.454,2.209,2.296,14999325.11
2023-01-29,2.296,2.402,2.175,2.341,16388065.04
2023-01-30,2.34,2.694,2.172,2.496,36166678.72
2023-01-31,2.495,3.55,2.331,3.223,48696723.7
2023-02-01,3.221,3.525,2.923,3.286,49997536.87
2023-02-02,3.287,3.674,3.144,3.193,28009484.09
2023-02-03,3.193,3.342,3.091,3.217,20268927.24
2023-02-04,3.217,3.289,3.063,3.119,13963885.49
2023-02-05,3.119,3.193,2.732,2.976,22703853.28
2023-02-06,2.977,3.138,2.819,2.901,16796505.95
2023-02-07,2.901,3.218,2.901,3.155,20865686.55
2023-02-08,3.156,3.269,2.838,2.921,14784524.59
2023-02-09,2.921,3.012,2.413,2.517,26727562.21
2023-02-10,2.517,2.569,2.404,2.444,20281947.94
2023-02-11,2.443,2.685,2.371,2.626,15357117.56
2023-02-12,2.627,2.74,2.454,2.504,15663903.49
2023-02-13,2.504,2.533,2.304,2.43,21469576.33
2023-02-14,2.43,2.694,2.381,2.635,23583404.04
2023-02-15,2.636,2.998,2.59,2.989,24322942.85
2023-02-16,2.99,3.248,2.832,2.867,25459177.15
2023-02-17,2.866,3.186,2.847,3.135,25341596.98
2023-02-18,3.135,3.166,2.95,2.99,10987674.34
2023-02-19,2.989,3.087,2.775,2.829,13161188.86
2023-02-20,2.828,2.954,2.735,2.916,11962743.64
2023-02-21,2.916,2.979,2.65,2.725,12916281.99
2023-02-22,2.725,2.734,2.523,2.671,12481648.59
2023-02-23,2.672,2.807,2.542,2.661,17025896.09
2023-02-24,2.66,2.805,2.523,2.663,20806878.21
2023-02-25,2.663,2.849,2.5,2.841,18419719.59
2023-02-26,2.84,2.899,2.783,2.857,11660199.3
2023-02-27,2.856,3.048,2.741,2.97,17802249.62
2023-02-28,2.97,3.119,2.89,2.918,22644479.17
2023-03-01,2.918,3.287,2.915,3.242,20109954.58
2023-03-02,3.241,3.298,2.967,3.038,18465346.6
2023-03-03,3.038,3.039,2.474,2.614,30953960.91
2023-03-04,2.615,2.64,2.295,2.389,13555206.29
2023-03-05,2.389,2.499,2.354,2.414,13947479.75
2023-03-06,2.415,2.478,2.336,2.436,11240634.64
2023-03-07,2.435,2.499,2.192,2.252,15320657.47
2023-03-08,2.252,2.265,1.912,1.996,19714651.67
2023-03-09,1.996,2.159,1.923,2.057,28289492.97
2023-03-10,2.057,2.114,1.792,1.998,30416550.12
2023-03-11,1.997,2.07,1.753,1.878,25188133.21
2023-03-12,1.878,2.289,1.834,2.233,20069369.29
2023-03-13,2.233,2.475,2.108,2.389,25806112.71
2023-03-14,2.388,2.772,2.336,2.574,25279178.02
2023-03-15,2.574,2.75,2.225,2.274,31248653.17
2023-03-16,2.272,2.497,2.21,2.386,19658054.58
2023-03-17,2.387,2.706,2.345,2.702,19189005.26
2023-03-18,2.702,3.01,2.613,2.66,27165783.81
2023-03-19,2.659,2.914,2.626,2.733,19949002.58
2023-03-20,2.734,2.854,2.459,2.494,18465511.52
2023-03-21,2.493,2.729,2.405,2.598,15224671.22
2023-03-22,2.598,2.663,2.372,2.5,23911884.01
2023-03-23,2.499,2.672,2.421,2.624,16151350.22
2023-03-24,2.624,2.664,2.364,2.423,12952345.28
2023-03-25,2.423,2.434,2.239,2.287,8649266.72
2023-03-26,2.287,2.411,2.265,2.381,8160255.98
2023-03-27,2.38,2.435,2.134,2.395,20626009.48
2023-03-28,2.395,2.55,2.274,2.525,22095641.24
2023-03-29,2.526,2.612,2.484,2.519,14995130.15
2023-03-30,2.518,2.613,2.375,2.442,16348330.18
2023-03-31,2.443,2.535,2.39,2.511,11745889.65
2023-04-01,2.511,2.537,2.427,2.462,5700018.38
2023-04-02,2.462,2.483,2.35,2.424,7289679.18
2023-04-03,2.424,2.532,2.291,2.46,15494409.71
2023-04-04,2.46,2.56,2.404,2.499,9998913.23
2023-04-05,2.499,2.668,2.491,2.634,11605650.28
2023-04-06,2.633,2.718,2.539,2.564,11253043.65
2023-04-07,2.564,2.619,2.41,2.462,6981141.17
2023-04-08,2.462,2.511,2.403,2.425,5166077.27
2023-04-09,2.425,2.483,2.41,2.456,5753947.06
2023-04-10,2.456,2.564,2.401,2.558,5978657.5
2023-04-11,2.558,2.585,2.505,2.546,5626956.21
2023-04-12,2.545,2.552,2.377,2.471,8245321.42
2023-04-13,2.471,2.658,2.44,2.629,8347924.34
2023-04-14,2.629,2.79,2.592,2.73,11524519.59
2023-04-15,2.73,2.949,2.673,2.868,13239483.51
2023-04-16,2.867,2.937,2.761,2.851,10185811.51
2023-04-17,2.85,3.092,2.75,2.956,20248164.3
2023-04-18,2.957,3.2,2.9,3.154,14541789.03
2023-04-19,3.154,3.2,2.713,2.784,17017456.79
2023-04-20,2.784,2.915,2.656,2.692,13022355.06
2023-04-21,2.692,2.743,2.431,2.476,12618010.26
2023-04-22,2.476,2.549,2.442,2.547,8442171.7
2023-04-23,2.547,2.547,2.34,2.407,8815211.27
2023-04-24,2.407,2.592,2.373,2.487,11661762.17
2023-04-25,2.488,2.606,2.378,2.589,9861561.61
2023-04-26,2.589,2.715,2.406,2.537,15066570.25
