date,open,high,low,close,volume
2022-08-23,53.93,54.6,52.3,54.02,107630.39
2022-08-24,54.03,56.47,52.77,55.13,128888.92
2022-08-25,55.13,58.08,55.12,57.31,143614.99
2022-08-26,57.31,59.34,51.27,51.78,325047.89
2022-08-27,51.78,53.14,50.76,51.9,139820.5
2022-08-28,51.89,52.8,49.2,49.66,131276.41
2022-08-29,49.68,53.13,49.37,52.99,130419.75
2022-08-30,52.98,55.34,52.17,54.17,184529.99
2022-08-31,54.22,55.9,52.43,52.53,141281.27
2022-09-01,52.51,53.01,51.1,52.8,109428.39
2022-09-02,52.8,53.56,51.44,52.21,98646.44
2022-09-03,52.21,52.6,50.86,50.96,56496.72
2022-09-04,50.96,51.79,50.43,51.55,69576.09
2022-09-05,51.54,52.05,50.63,51.21,74630.8
2022-09-06,51.22,52.8,48.36,48.63,233691.43
2022-09-07,48.63,51.54,48.1,51.04,135017.91
2022-09-08,51.07,53.31,50.22,52.96,142759.87
2022-09-09,52.99,54.66,52.86,53.72,189584.2
2022-09-10,53.74,54.64,53.2,53.73,128548.58
2022-09-11,53.74,54.5,52.01,52.84,112721.74
2022-09-12,52.83,53.92,51.38,51.69,180762.58
2022-09-13,51.69,52.6,48.76,49.02,275749.83
2022-09-14,49.0,50.09,48.42,49.81,147378.44
2022-09-15,49.78,50.07,48.03,48.65,171840.89
2022-09-16,48.65,49.24,48.19,49.07,107798.85
2022-09-17,49.07,51.29,49.02,51.17,93479.99
2022-09-18,51.17,51.59,46.83,47.35,159555.41
2022-09-19,47.36,48.98,46.47,47.84,200668.78
2022-09-20,47.84,48.77,47.32,47.75,129347.41
2022-09-21,47.77,48.9,45.2,45.95,243633.44
2022-09-22,45.94,48.1,45.68,47.71,158020.1
2022-09-23,47.71,48.57,46.51,47.82,139230.72
2022-09-24,47.84,49.09,47.64,47.98,116051.38
2022-09-25,47.95,48.67,45.97,46.25,125886.56
2022-09-26,46.26,47.01,45.56,46.78,123032.88
2022-09-27,46.79,48.2,46.0,46.51,148221.6
2022-09-28,46.51,47.92,45.0,47.33,168665.53
2022-09-29,47.35,48.0,46.65,47.77,138690.78
2022-09-30,47.79,50.01,47.17,47.52,275236.65
2022-10-01,47.53,48.36,46.88,47.81,104564.47
2022-10-02,47.81,48.9,47.06,48.1,126735.24
2022-10-03,48.12,53.53,47.71,52.04,373186.22
2022-10-04,52.04,56.87,52.03,55.25,499741.88
2022-10-05,55.24,56.35,53.8,54.4,309803.51
2022-10-06,54.4,56.02,53.8,55.31,203654.29
2022-10-07,55.3,56.37,53.98,55.47,240830.5
2022-10-08,55.48,55.96,53.5,53.84,115048.56
2022-10-09,53.85,57.25,53.76,56.77,187931.34
2022-10-10,56.77,57.75,54.81,56.6,296472.89
2022-10-11,56.58,56.61,54.01,54.79,204119.17
2022-10-12,54.79,56.46,54.46,55.49,131591.68
2022-10-13,55.46,56.23,50.1,53.19,373130.65
2022-10-14,53.19,54.65,52.58,53.3,159473.92
2022-10-15,53.29,56.71,53.25,56.28,213508.86
2022-10-16,56.29,57.66,55.57,55.81,148300.06
2022-10-17,55.77,57.46,54.89,57.37,122610.63
2022-10-18,57.35,58.0,56.13,56.27,210539.62
2022-10-19,56.27,57.54,55.68,56.49,148415.97
2022-10-20,56.49,59.18,55.94,57.96,228545.1
2022-10-21,57.98,58.38,55.0,55.72,170798.98
2022-10-22,55.73,55.8,53.84,54.94,126215.55
2022-10-23,54.94,56.74,54.57,56.66,83327.2
2022-10-24,56.7,59.0,56.32,57.86,164926.05
2022-10-25,57.89,58.88,56.52,56.67,229816.63
2022-10-26,56.66,58.32,55.9,57.13,172361.14
2022-10-27,57.11,58.5,54.85,55.25,150475.17
2022-10-28,55.21,57.36,54.75,56.96,91579.99
2022-10-29,56.97,58.0,56.11,56.61,119519.33
