date,open,high,low,close,volume
2022-08-23,6.33,6.45,6.12,6.38,3612176.08
2022-08-24,6.38,6.6,6.17,6.28,4816804.66
2022-08-25,6.27,6.49,6.26,6.36,3464454.2
2022-08-26,6.35,6.36,5.56,5.66,7018802.97
2022-08-27,5.67,5.87,5.58,5.83,3482726.91
2022-08-28,5.83,5.89,5.59,5.63,2566948.14
2022-08-29,5.64,6.06,5.52,6.01,3490929.79
2022-08-30,6.01,6.11,5.57,5.72,3915660.29
2022-08-31,5.72,5.89,5.67,5.75,2431904.93
2022-09-01,5.75,5.81,5.59,5.78,2467712.13
2022-09-02,5.78,5.99,5.69,5.83,3294057.34
2022-09-03,5.83,6.8,5.79,6.51,9936669.76
2022-09-04,6.51,6.65,6.13,6.27,3734283.9
2022-09-05,6.27,6.34,5.92,6.14,3891589.32
2022-09-06,6.15,6.3,5.52,5.6,5990697.38
2022-09-07,5.59,5.95,5.52,5.85,3636111.03
2022-09-08,5.85,5.96,5.7,5.87,3610799.21
2022-09-09,5.87,6.49,5.86,6.38,7716456.81
2022-09-10,6.38,6.56,6.21,6.36,4654919.21
2022-09-11,6.36,6.99,6.16,6.41,6429397.96
2022-09-12,6.41,6.79,6.32,6.55,6465526.02
2022-09-13,6.55,6.56,5.8,5.86,7415419.6
2022-09-14,5.87,6.02,5.74,5.96,3567571.67
2022-09-15,5.96,5.98,5.63,5.72,4066814.16
2022-09-16,5.73,5.86,5.64,5.82,2798783.1
2022-09-17,5.83,5.96,5.79,5.91,1916908.72
2022-09-18,5.91,5.92,5.12,5.26,4522074.36
2022-09-19,5.26,5.53,5.14,5.48,5012314.2
2022-09-20,5.48,5.52,5.26,5.32,3140581.73
2022-09-21,5.32,5.63,5.1,5.24,5692990.31
2022-09-22,5.24,5.57,5.23,5.52,4058894.63
2022-09-23,5.52,5.83,5.32,5.69,4666443.33
2022-09-24,5.69,5.8,5.5,5.57,3465959.85
2022-09-25,5.57,5.91,5.51,5.71,3905534.87
2022-09-26,5.71,5.81,5.51,5.7,3720096.49
2022-09-27,5.7,6.16,5.59,5.73,6748398.56
2022-09-28,5.73,6.06,5.55,5.85,4104281.78
2022-09-29,5.85,5.95,5.66,5.79,2780534.73
2022-09-30,5.78,5.84,5.6,5.69,3018804.46
2022-10-01,5.68,5.7,5.46,5.52,1792042.21
2022-10-02,5.52,5.57,5.33,5.37,2622589.01
2022-10-03,5.38,5.55,5.28,5.52,1858159.82
2022-10-04,5.52,5.66,5.48,5.6,2459941.06
2022-10-05,5.6,5.66,5.43,5.58,2049096.75
2022-10-06,5.59,5.65,5.46,5.48,2294253.11
2022-10-07,5.49,5.53,5.39,5.48,1348183.87
2022-10-08,5.47,5.51,5.35,5.39,930359.56
2022-10-09,5.4,5.48,5.38,5.43,840201.75
2022-10-10,5.43,5.49,5.1,5.16,1910332.81
2022-10-11,5.15,5.23,4.98,5.14,1995827.77
2022-10-12,5.14,5.23,5.1,5.14,1485619.99
2022-10-13,5.15,5.18,4.72,5.14,4283437.66
2022-10-14,5.14,5.32,5.0,5.07,3223054.61
2022-10-15,5.06,5.29,4.97,5.2,2563130.1
2022-10-16,5.19,5.29,5.09,5.15,1991408.21
2022-10-17,5.16,5.28,5.09,5.25,2984384.74
2022-10-18,5.26,5.28,5.05,5.13,2181067.6
2022-10-19,5.13,5.15,4.91,4.98,1877753.03
2022-10-20,4.98,5.09,4.9,4.94,1717628.17
2022-10-21,4.94,5.0,4.8,4.95,2150448.1
2022-10-22,4.96,5.0,4.9,4.96,1128173.45
2022-10-23,4.96,5.17,4.94,5.11,2675794.42
2022-10-24,5.12,5.15,4.91,4.94,1963409.31
2022-10-25,4.95,5.32,4.91,5.17,3056032.15
2022-10-26,5.18,5.37,5.17,5.25,3507573.86
2022-10-27,5.26,5.5,5.21,5.23,4446700.56
2022-10-28,5.23,5.48,5.12,5.36,4424731.32
2022-10-29,5.37,5.9,5.34,5.72,7323071.11
2022-10-30,5.72,5.76,5.28,5.38,5218019.97
2022-10-31,5.38,5.52,5.29,5.42,3375342.94
2022-11-01,5.42,5.51,5.32,5.37,3221613.95
2022-11-02,5.36,5.44,5.09,5.22,3480250.71
2022-11-03,5.23,6.25,5.21,5.78,14961938.64
2022-11-04,5.79,6.3,5.74,6.15,8468565.8
2022-11-05,6.15,6.56,6.01,6.16,6868297.38
2022-11-06,6.16,6.4,5.77,5.83,6034571.07
2022-11-07,5.83,5.95,5.6,5.73,5210565.64
2022-11-08,5.73,5.86,4.23,4.79,12120955.51
2022-11-09,4.78,4.88,4.0,4.14,11801644.22
2022-11-10,4.14,4.79,4.08,4.63,10748733.61
2022-11-11,4.63,4.68,4.2,4.47,5810216.11
2022-11-12,4.48,4.5,4.22,4.27,2836955.93
2022-11-13,4.27,4.45,4.21,4.29,4164826.85
2022-11-14,4.28,4.41,4.08,4.33,5128034.97
2022-11-15,4.33,4.51,4.27,4.4,3003100.37
2022-11-16,4.39,4.55,4.26,4.33,3901111.51
2022-11-17,4.33,4.4,4.22,4.31,2367004.21
2022-11-18,4.31,4.42,4.28,4.34,2023215.76
2022-11-19,4.34,4.43,4.25,4.38,2137590.2
2022-11-20,4.39,4.47,4.1,4.16,3363463.43
2022-11-21,4.17,4.23,4.04,4.17,3876261.13
2022-11-22,4.17,4.36,4.09,4.32,3896773.77
2022-11-23,4.32,4.49,4.29,4.45,3964459.6
2022-11-24,4.44,4.46,4.34,4.39,2743277.88
2022-11-25,4.4,4.4,4.25,4.29,2750452.38
2022-11-26,4.3,4.41,4.27,4.3,2374212.49
2022-11-27,4.3,4.52,4.29,4.35,5384090.44
2022-11-28,4.35,4.39,4.13,4.25,3927160.78
2022-11-29,4.25,4.41,4.21,4.35,3665157.93
2022-11-30,4.35,4.51,4.23,4.42,4057278.66
2022-12-01,4.42,4.48,4.35,4.39,2771045.71
2022-12-02,4.39,4.71,4.34,4.64,5311164.77
2022-12-03,4.65,4.69,4.38,4.42,2564050.56
2022-12-04,4.42,4.6,4.42,4.58,1621764.64
2022-12-05,4.58,4.62,4.46,4.52,2931216.23
2022-12-06,4.52,4.63,4.49,4.59,2612142.31
2022-12-07,4.6,4.6,4.19,4.35,2978626.78
2022-12-08,4.34,4.44,4.3,4.4,1911133.52
2022-12-09,4.4,4.47,4.38,4.44,1966711.29
2022-12-10,4.44,4.45,4.36,4.38,889329.58
