date,open,high,low,close,volume
2022-08-23,0.0464,0.0472,0.0454,0.0467,6827910.0
2022-08-24,0.0468,0.0481,0.0456,0.0473,7355592.0
2022-08-25,0.0472,0.0519,0.0472,0.0488,51638981.0
2022-08-26,0.0487,0.0493,0.0423,0.0441,18535068.0
2022-08-27,0.044,0.0464,0.0431,0.0448,11253173.0
2022-08-28,0.0445,0.0459,0.044,0.0441,6795464.0
2022-08-29,0.0441,0.0458,0.0434,0.0454,5148793.0
2022-08-30,0.0454,0.0483,0.0442,0.0449,23939583.0
2022-08-31,0.0449,0.0467,0.0445,0.0455,9703072.0
2022-09-01,0.0456,0.046,0.044,0.0455,7124007.0
2022-09-02,0.0454,0.0477,0.0449,0.0461,21099047.0
2022-09-03,0.046,0.0461,0.0451,0.0457,4734658.0
2022-09-04,0.0457,0.046,0.0451,0.0458,2826063.0
2022-09-05,0.0458,0.0459,0.0444,0.0453,4724183.0
2022-09-06,0.0453,0.0463,0.0425,0.0426,9101505.0
2022-09-07,0.0425,0.0437,0.0413,0.0431,7087657.0
2022-09-08,0.0431,0.0455,0.0427,0.0445,10188421.0
2022-09-09,0.0445,0.048,0.0444,0.0476,9883550.0
2022-09-10,0.0476,0.0476,0.0466,0.0472,4803444.0
2022-09-11,0.0473,0.051,0.0467,0.0505,26215908.0
2022-09-12,0.0504,0.0526,0.0471,0.0472,30934616.0
2022-09-13,0.0472,0.0484,0.0443,0.0449,11717054.0
2022-09-14,0.045,0.0463,0.0439,0.0452,7318130.0
2022-09-15,0.0452,0.0457,0.0429,0.044,7253696.0
2022-09-16,0.0441,0.0443,0.0428,0.0436,3535130.0
2022-09-17,0.0438,0.0465,0.0437,0.0455,8893084.0
2022-09-18,0.0455,0.0542,0.0421,0.0422,67565823.0
2022-09-19,0.0422,0.0433,0.041,0.0424,11460412.0
2022-09-20,0.0424,0.0434,0.042,0.0428,8928149.0
2022-09-21,0.0428,0.0441,0.0407,0.0419,10030426.0
2022-09-22,0.0419,0.0432,0.0419,0.0429,4869266.0
2022-09-23,0.043,0.0441,0.0422,0.0433,8165013.0
2022-09-24,0.0433,0.044,0.0424,0.0428,4770569.0
2022-09-25,0.0427,0.0437,0.0427,0.0431,2969648.0
2022-09-26,0.0431,0.044,0.0421,0.0431,6234499.0
2022-09-27,0.0431,0.0443,0.0425,0.0429,7701982.0
2022-09-28,0.043,0.0431,0.0416,0.0425,3840469.0
2022-09-29,0.0425,0.0495,0.0422,0.044,62093332.0
2022-09-30,0.0441,0.0458,0.0435,0.0448,24672769.0
2022-10-01,0.0449,0.045,0.0434,0.0439,6943952.0
2022-10-02,0.0438,0.0444,0.0426,0.0429,4692348.0
2022-10-03,0.0429,0.0437,0.0421,0.0436,4716110.0
2022-10-04,0.0435,0.0464,0.0431,0.0443,27059298.0
2022-10-05,0.0444,0.0449,0.0435,0.0441,9008319.0
2022-10-06,0.0441,0.0448,0.0436,0.0441,4206834.0
2022-10-07,0.0441,0.0443,0.0429,0.0432,4179678.0
2022-10-08,0.0432,0.0434,0.0427,0.0429,1721833.0
2022-10-09,0.0429,0.0434,0.0425,0.043,1965463.0
2022-10-10,0.043,0.0432,0.0418,0.0419,1521716.0
2022-10-11,0.0418,0.0419,0.0404,0.0406,3007496.0
2022-10-12,0.0407,0.0411,0.0405,0.0409,1200702.0
2022-10-13,0.041,0.0431,0.0378,0.0396,13656652.0
2022-10-14,0.0397,0.0415,0.0395,0.0402,5087019.0
2022-10-15,0.0404,0.0432,0.04,0.0422,13720857.0
2022-10-16,0.0424,0.0519,0.0419,0.0433,73874666.0
2022-10-17,0.0433,0.0434,0.0417,0.0421,9281830.0
2022-10-18,0.0422,0.0424,0.0408,0.0416,4799158.0
2022-10-19,0.0415,0.0443,0.0407,0.041,14604239.0
2022-10-20,0.0408,0.0437,0.0405,0.0411,14282962.0
2022-10-21,0.0411,0.0413,0.0398,0.0411,3997480.0
2022-10-22,0.0411,0.0447,0.0408,0.0418,20068593.0
2022-10-23,0.0419,0.0432,0.0416,0.0422,5491287.0
2022-10-24,0.0421,0.0429,0.0413,0.0417,5235104.0
2022-10-25,0.0416,0.0433,0.0414,0.0427,4825266.0
2022-10-26,0.0427,0.0438,0.0425,0.0428,5813240.0
2022-10-27,0.0428,0.0439,0.0421,0.0424,4526465.0
2022-10-28,0.0426,0.0433,0.0419,0.043,4502334.0
2022-10-29,0.043,0.0441,0.0429,0.0431,3946718.0
2022-10-30,0.0429,0.0444,0.0429,0.0436,4257514.0
2022-10-31,0.0436,0.044,0.0424,0.0431,5222305.0
2022-11-01,0.0431,0.0435,0.042,0.0424,2494530.0
2022-11-02,0.0422,0.0427,0.041,0.0414,4534648.0
2022-11-03,0.0413,0.0437,0.0412,0.0426,7138581.0
2022-11-04,0.0426,0.0455,0.0425,0.0447,12830593.0
2022-11-05,0.0448,0.0457,0.0445,0.0446,5515885.0
2022-11-06,0.0446,0.0458,0.0432,0.0432,8233247.0
2022-11-07,0.0433,0.0438,0.0416,0.0427,6478582.0
2022-11-08,0.0427,0.0429,0.0356,0.0369,14114257.0
