date,open,high,low,close,volume
2022-08-23,0.3416,0.365,0.3408,0.3616,3084488.0
2022-08-24,0.3611,0.3628,0.3459,0.3486,2744034.0
2022-08-25,0.3485,0.3582,0.3382,0.3411,1906007.0
2022-08-26,0.3408,0.3439,0.3206,0.3224,3608952.0
2022-08-27,0.3222,0.3527,0.3206,0.3313,5028961.0
2022-08-28,0.3312,0.3372,0.3122,0.3129,2681347.0
2022-08-29,0.3131,0.3327,0.3117,0.3316,3013972.0
2022-08-30,0.3316,0.3444,0.3188,0.3251,3886296.0
2022-08-31,0.3254,0.3368,0.3253,0.3312,2531728.0
2022-09-01,0.3314,0.3346,0.3172,0.3262,2482385.0
2022-09-02,0.3265,0.3359,0.3234,0.3275,2883429.0
2022-09-03,0.3276,0.3285,0.3221,0.3276,1018221.0
2022-09-04,0.328,0.3339,0.3255,0.33,1751050.0
2022-09-05,0.33,0.336,0.3244,0.3343,2706342.0
2022-09-06,0.3338,0.3409,0.3198,0.321,4385772.0
2022-09-07,0.3209,0.3333,0.3175,0.3302,2392837.0
2022-09-08,0.3306,0.345,0.326,0.3349,2614815.0
2022-09-09,0.335,0.3654,0.3345,0.3483,3642366.0
2022-09-10,0.3482,0.3726,0.3467,0.3594,1762513.0
2022-09-11,0.3595,0.3832,0.3563,0.3674,2553569.0
2022-09-12,0.3675,0.3798,0.3589,0.3695,2486861.0
2022-09-13,0.3698,0.3865,0.3271,0.336,4653691.0
2022-09-14,0.3359,0.3458,0.3319,0.344,1345578.0
2022-09-15,0.3442,0.3495,0.3343,0.3358,2023958.0
2022-09-16,0.3361,0.3397,0.3317,0.3384,1133408.0
2022-09-17,0.3386,0.485,0.3375,0.3499,14739790.0
2022-09-18,0.35,0.3505,0.321,0.3233,3102776.0
2022-09-19,0.3231,0.3366,0.3175,0.3315,2237970.0
2022-09-20,0.3316,0.3379,0.3187,0.3198,1326878.0
2022-09-21,0.319,0.3353,0.3116,0.3168,968957.0
2022-09-22,0.3168,0.338,0.3159,0.3331,579185.0
2022-09-23,0.3338,0.3352,0.32,0.3319,874063.0
2022-09-24,0.3307,0.3386,0.3236,0.3268,1139424.0
2022-09-25,0.3268,0.3293,0.3176,0.3192,680876.0
2022-09-26,0.3191,0.3229,0.3117,0.3203,1261017.0
2022-09-27,0.3203,0.3292,0.3118,0.3143,1826143.0
2022-09-28,0.3141,0.3487,0.305,0.3196,4937051.0
2022-09-29,0.3197,0.3295,0.3197,0.3267,1423836.0
2022-09-30,0.3267,0.4381,0.3185,0.3192,16106165.0
