date,open,high,low,close,volume
2022-08-23,2.129,2.171,2.034,2.147,4173228.57
2022-08-24,2.146,2.239,2.067,2.144,4670830.36
2022-08-25,2.146,2.219,2.126,2.137,3410502.97
2022-08-26,2.138,2.138,1.818,1.851,6538171.98
2022-08-27,1.85,1.911,1.794,1.826,3980206.36
2022-08-28,1.826,1.845,1.676,1.694,3281757.8
2022-08-29,1.694,2.071,1.671,1.917,10389898.01
2022-08-30,1.918,2.085,1.872,2.012,12018525.6
2022-08-31,2.012,2.174,1.978,2.069,10565014.88
2022-09-01,2.07,2.091,1.958,2.046,6136209.6
2022-09-02,2.047,2.061,1.933,1.968,5620470.14
2022-09-03,1.968,1.97,1.884,1.951,4053128.33
2022-09-04,1.951,1.983,1.916,1.948,3810680.03
2022-09-05,1.95,1.966,1.847,1.919,4485177.55
2022-09-06,1.919,1.972,1.748,1.77,4984586.56
2022-09-07,1.77,1.885,1.731,1.86,2771581.02
2022-09-08,1.86,2.033,1.848,1.954,5550430.14
2022-09-09,1.954,2.22,1.945,2.111,10744623.45
2022-09-10,2.111,2.194,2.061,2.108,6029689.52
2022-09-11,2.108,2.146,2.058,2.116,4383397.96
2022-09-12,2.115,2.3,2.054,2.103,7206381.82
2022-09-13,2.102,2.103,1.842,1.863,6734688.97
2022-09-14,1.862,1.882,1.796,1.87,6292565.98
2022-09-15,1.869,1.87,1.74,1.756,5362076.34
2022-09-16,1.756,1.792,1.724,1.781,4237472.21
2022-09-17,1.779,1.849,1.777,1.84,2578474.31
2022-09-18,1.84,1.845,1.577,1.653,3213972.53
2022-09-19,1.654,1.712,1.592,1.697,4525098.67
2022-09-20,1.696,1.719,1.634,1.678,4517847.9
2022-09-21,1.677,1.765,1.595,1.621,4469228.95
2022-09-22,1.62,1.72,1.618,1.707,3909470.05
2022-09-23,1.709,1.76,1.631,1.707,4077957.56
2022-09-24,1.708,1.742,1.672,1.677,2373481.27
2022-09-25,1.676,1.7,1.621,1.644,1995449.08
2022-09-26,1.643,1.666,1.591,1.662,3066840.94
2022-09-27,1.662,1.734,1.625,1.652,5146107.96
2022-09-28,1.652,1.664,1.574,1.64,3512196.46
2022-09-29,1.641,1.797,1.604,1.693,9267693.01
2022-09-30,1.693,1.741,1.662,1.687,5577038.86
2022-10-01,1.686,1.705,1.669,1.684,1717409.46
2022-10-02,1.683,1.696,1.615,1.624,2293715.59
2022-10-03,1.623,1.694,1.603,1.68,2033640.4
2022-10-04,1.681,1.724,1.663,1.714,2419817.78
2022-10-05,1.714,1.72,1.654,1.7,1979106.44
2022-10-06,1.7,1.724,1.67,1.695,4812902.97
2022-10-07,1.696,1.7,1.66,1.684,1390572.18
2022-10-08,1.684,1.71,1.668,1.685,1020888.17
2022-10-09,1.685,1.712,1.673,1.706,1463246.35
2022-10-10,1.706,1.717,1.568,1.573,2876790.57
2022-10-11,1.573,1.612,1.526,1.582,2367200.49
2022-10-12,1.582,1.597,1.543,1.558,1057689.72
2022-10-13,1.557,1.559,1.393,1.511,3804052.57
2022-10-14,1.51,1.571,1.458,1.48,1416264.27
2022-10-15,1.479,1.501,1.456,1.464,1010382.66
2022-10-16,1.466,1.514,1.464,1.497,969378.84
2022-10-17,1.497,1.544,1.478,1.536,2515365.25
2022-10-18,1.536,1.579,1.503,1.526,2688712.23
2022-10-19,1.526,1.535,1.432,1.445,3109692.69
2022-10-20,1.445,1.48,1.418,1.429,1504927.74
2022-10-21,1.429,1.457,1.38,1.449,1598025.83
2022-10-22,1.449,1.48,1.435,1.468,1016820.21
2022-10-23,1.469,1.542,1.43,1.518,2296138.73
2022-10-24,1.518,1.536,1.466,1.479,1740648.4
2022-10-25,1.48,1.587,1.475,1.548,2555038.42
2022-10-26,1.547,1.699,1.54,1.623,6645493.81
2022-10-27,1.622,1.726,1.603,1.608,8115622.83
2022-10-28,1.609,1.72,1.59,1.691,4530596.23
2022-10-29,1.691,1.864,1.69,1.792,7173009.13
2022-10-30,1.792,1.815,1.686,1.72,5180051.94
2022-10-31,1.721,1.736,1.638,1.674,4517907.5
2022-11-01,1.675,1.697,1.619,1.643,2688651.22
2022-11-02,1.642,1.688,1.566,1.608,6397878.8
2022-11-03,1.607,2.065,1.603,1.767,20049365.13
2022-11-04,1.768,1.875,1.714,1.85,9462724.15
2022-11-05,1.849,1.946,1.814,1.847,8606259.79
2022-11-06,1.846,1.862,1.718,1.728,4905688.66
2022-11-07,1.727,1.774,1.686,1.729,2850177.78
2022-11-08,1.728,1.737,1.24,1.453,8987621.87
2022-11-09,1.454,1.465,1.127,1.159,8473693.52
2022-11-10,1.16,1.41,1.143,1.347,10263403.89
2022-11-11,1.348,1.373,1.207,1.282,6505504.97
2022-11-12,1.282,1.3,1.194,1.232,3496981.73
2022-11-13,1.231,1.287,1.172,1.186,5065478.77
2022-11-14,1.185,1.222,1.122,1.2,4709345.56
2022-11-15,1.198,1.282,1.186,1.24,3678137.36
2022-11-16,1.239,1.292,1.182,1.218,4571463.01
2022-11-17,1.218,1.23,1.168,1.196,2827145.53
2022-11-18,1.197,1.232,1.191,1.21,2772257.08
2022-11-19,1.21,1.249,1.192,1.231,2871612.08
2022-11-20,1.23,1.255,1.137,1.146,3044790.9
2022-11-21,1.147,1.155,1.089,1.122,3808908.53
2022-11-22,1.122,1.146,1.071,1.143,4029302.31
2022-11-23,1.143,1.186,1.127,1.174,5550520.71
2022-11-24,1.174,1.184,1.127,1.147,4193067.08
2022-11-25,1.147,1.148,1.102,1.126,3748196.31
2022-11-26,1.125,1.145,1.111,1.123,3360806.7
2022-11-27,1.123,1.156,1.116,1.12,3193952.56
2022-11-28,1.121,1.134,1.077,1.092,4125345.11
2022-11-29,1.091,1.118,1.078,1.094,4697242.71
2022-11-30,1.095,1.136,1.094,1.132,5268880.79
2022-12-01,1.132,1.142,1.091,1.102,4852038.69
2022-12-02,1.101,1.111,1.073,1.101,4581843.19
2022-12-03,1.1,1.104,1.066,1.069,2926748.72
2022-12-04,1.069,1.146,1.063,1.125,5682330.47
2022-12-05,1.124,1.164,1.087,1.099,6758253.58
2022-12-06,1.099,1.113,1.085,1.11,4477812.17
2022-12-07,1.111,1.113,1.01,1.039,6586887.67
2022-12-08,1.04,1.055,1.0,1.042,6383216.59
2022-12-09,1.042,1.046,1.012,1.025,5101087.53
2022-12-10,1.024,1.032,1.006,1.022,4006420.04
2022-12-11,1.022,1.038,0.978,0.982,3108093.05
2022-12-12,0.981,0.988,0.917,0.95,5317886.46
2022-12-13,0.95,0.984,0.886,0.959,6495048.58
2022-12-14,0.959,0.969,0.921,0.923,4103050.66
2022-12-15,0.925,0.93,0.888,0.892,5131457.36
2022-12-16,0.893,0.905,0.742,0.769,9770114.95
2022-12-17,0.769,0.787,0.717,0.785,7129647.33
2022-12-18,0.785,0.787,0.748,0.764,2093198.18
2022-12-19,0.764,0.775,0.709,0.729,3775041.64
2022-12-20,0.73,0.783,0.718,0.776,3576316.67
2022-12-21,0.775,0.778,0.748,0.77,2773386.68
2022-12-22,0.769,0.772,0.738,0.764,2582219.9
2022-12-23,0.764,0.77,0.75,0.761,4616982.74
2022-12-24,0.761,0.765,0.751,0.758,1483269.89
2022-12-25,0.756,0.758,0.734,0.744,1641317.85
2022-12-26,0.742,0.779,0.742,0.766,2767538.02
2022-12-27,0.765,0.772,0.73,0.74,2073173.35
2022-12-28,0.74,0.742,0.678,0.692,3766597.15
2022-12-29,0.691,0.709,0.665,0.679,5606933.64
2022-12-30,0.679,0.682,0.638,0.656,4352028.86
2022-12-31,0.656,0.668,0.647,0.653,2624215.36
2023-01-01,0.653,0.66,0.644,0.658,1660035.18
2023-01-02,0.659,0.675,0.644,0.666,3096478.4
2023-01-03,0.666,0.758,0.666,0.723,11339561.82
2023-01-04,0.724,0.745,0.71,0.727,6820872.61
2023-01-05,0.727,0.731,0.7,0.706,3616761.57
