date,open,high,low,close,volume
2022-08-23,4.71,6.42,4.7,5.24,5497658.56
2022-08-24,5.23,5.76,4.92,5.01,1738628.32
2022-08-25,5.01,5.83,4.98,5.19,1254783.15
2022-08-26,5.19,5.19,4.6,4.66,612073.76
2022-08-27,4.66,5.25,4.66,4.81,831588.35
2022-08-28,4.81,5.04,4.78,4.8,346298.81
2022-08-29,4.8,5.03,4.8,4.95,325618.31
2022-08-30,4.95,5.21,4.7,4.81,464310.92
2022-08-31,4.83,4.95,4.74,4.78,172579.89
2022-09-01,4.8,4.83,4.56,4.77,234481.0
2022-09-02,4.77,5.84,4.74,4.74,2213590.76
2022-09-03,4.76,4.95,4.74,4.85,238584.76
2022-09-04,4.85,4.91,4.75,4.85,240989.08
2022-09-05,4.86,4.88,4.71,4.79,171290.71
2022-09-06,4.78,4.85,4.44,4.44,348684.32
2022-09-07,4.44,4.65,4.27,4.57,229718.84
2022-09-08,4.56,5.4,4.5,4.71,1199609.31
2022-09-09,4.73,5.02,4.68,4.91,475223.55
2022-09-10,4.91,5.05,4.86,4.93,271987.17
2022-09-11,4.94,5.49,4.86,4.96,1170320.28
2022-09-12,4.96,5.04,4.61,4.76,484257.86
2022-09-13,4.77,4.9,4.56,4.67,251055.9
2022-09-14,4.67,4.8,4.56,4.69,244060.9
2022-09-15,4.69,4.92,4.58,4.64,276297.42
2022-09-16,4.64,4.73,4.55,4.62,144322.37
2022-09-17,4.63,4.87,4.62,4.84,263954.98
2022-09-18,4.85,5.73,4.6,4.66,1410931.4
2022-09-19,4.66,4.83,4.5,4.68,332997.62
2022-09-20,4.68,4.79,4.56,4.6,193434.19
2022-09-21,4.61,4.73,4.5,4.54,225916.29
2022-09-22,4.55,4.8,4.53,4.73,227905.48
2022-09-23,4.73,4.9,4.61,4.73,202048.27
2022-09-24,4.74,4.83,4.65,4.78,150439.8
2022-09-25,4.78,4.79,4.61,4.64,134812.0
2022-09-26,4.65,4.79,4.63,4.69,151182.97
2022-09-27,4.69,4.82,4.64,4.71,152629.48
2022-09-28,4.71,4.73,4.52,4.68,147612.48
2022-09-29,4.67,4.79,4.58,4.68,172129.5
2022-09-30,4.69,4.78,4.62,4.7,123379.44
2022-10-01,4.7,4.89,4.65,4.68,211214.73
2022-10-02,4.68,4.74,4.54,4.58,146688.79
2022-10-03,4.57,4.74,4.53,4.68,114546.11
2022-10-04,4.68,4.96,4.65,4.75,310269.17
2022-10-05,4.76,4.87,4.67,4.76,224085.17
2022-10-06,4.76,4.86,4.67,4.7,138013.2
2022-10-07,4.71,4.74,4.66,4.72,72145.15
2022-10-08,4.72,5.29,4.64,4.66,1887507.51
2022-10-09,4.66,4.71,4.52,4.59,192942.29
2022-10-10,4.6,4.65,4.42,4.45,78623.21
2022-10-11,4.45,4.45,4.29,4.31,101167.17
2022-10-12,4.31,4.6,4.25,4.3,151147.58
