date,open,high,low,close,volume
2022-08-23,27.73,28.01,26.91,27.78,208344.06
2022-08-24,27.79,28.08,27.2,27.55,152837.85
2022-08-25,27.56,28.3,27.53,27.94,160129.37
2022-08-26,27.93,28.16,25.71,25.97,360543.16
2022-08-27,25.95,26.09,25.45,25.8,195509.1
2022-08-28,25.8,26.09,25.14,25.35,139284.65
2022-08-29,25.37,27.43,25.26,27.34,315564.53
2022-08-30,27.34,27.73,26.01,26.6,317416.5
2022-08-31,26.61,27.79,26.48,26.73,313771.43
2022-09-01,26.72,26.99,26.1,26.91,164894.69
2022-09-02,26.91,27.18,26.05,26.31,249472.09
2022-09-03,26.3,26.41,25.94,26.2,84306.95
2022-09-04,26.2,26.48,25.87,26.4,108169.26
2022-09-05,26.41,26.69,25.92,26.62,100201.68
2022-09-06,26.62,27.15,25.34,25.64,265516.59
2022-09-07,25.67,26.45,25.03,25.99,441479.97
2022-09-08,26.01,26.27,25.57,26.05,236625.51
2022-09-09,26.05,27.9,26.01,27.21,350136.3
2022-09-10,27.21,27.86,27.03,27.69,247685.9
2022-09-11,27.69,27.99,27.27,27.89,296685.84
2022-09-12,27.87,28.6,27.46,28.46,559408.96
2022-09-13,28.46,29.23,25.82,25.89,821422.44
2022-09-14,25.88,26.21,24.76,25.5,445592.24
2022-09-15,25.49,25.6,23.9,24.08,703980.06
2022-09-16,24.1,24.38,23.55,24.08,247195.2
2022-09-17,24.07,24.68,24.01,24.62,164535.94
2022-09-18,24.62,24.62,23.3,23.45,260220.22
2022-09-19,23.45,24.4,22.43,24.19,638838.47
2022-09-20,24.19,24.31,23.24,23.34,328076.94
2022-09-21,23.35,24.31,22.37,22.71,428633.07
2022-09-22,22.7,23.85,22.62,23.73,317741.0
2022-09-23,23.73,24.03,22.88,23.88,426973.66
2022-09-24,23.88,24.14,23.55,23.68,172969.2
2022-09-25,23.68,23.96,23.28,23.5,142175.7
2022-09-26,23.5,24.23,23.21,24.21,327917.95
2022-09-27,24.21,25.14,23.35,23.63,426151.81
2022-09-28,23.64,24.35,22.84,24.09,330757.11
2022-09-29,24.09,24.34,23.52,24.3,315888.69
2022-09-30,24.32,24.97,23.95,24.25,347767.14
2022-10-01,24.25,24.51,23.95,24.28,225895.33
2022-10-02,24.28,24.38,23.86,24.04,144927.8
2022-10-03,24.04,24.86,23.88,24.75,418398.04
2022-10-04,24.75,25.29,24.6,25.11,241309.67
2022-10-05,25.11,25.16,24.39,24.76,176582.73
2022-10-06,24.76,25.17,24.34,24.5,201466.26
