date,open,high,low,close,volume
2022-08-23,1.323,1.326,1.309,1.312,235563.0
2022-08-24,1.315,1.319,1.306,1.306,222499.2
2022-08-25,1.307,1.325,1.298,1.302,311834.0
2022-08-26,1.303,1.308,1.274,1.274,399074.3
2022-08-27,1.277,1.293,1.267,1.275,240987.8
2022-08-28,1.275,1.282,1.262,1.265,158151.8
2022-08-29,1.266,1.282,1.262,1.276,95890.2
2022-08-30,1.276,1.295,1.257,1.257,247466.4
2022-08-31,1.257,1.271,1.248,1.256,210489.1
2022-09-01,1.258,1.267,1.25,1.265,174070.5
2022-09-02,1.263,1.266,1.254,1.258,118057.2
2022-09-03,1.258,1.262,1.252,1.255,78896.6
2022-09-04,1.253,1.261,1.248,1.25,156879.8
2022-09-05,1.251,1.255,1.244,1.248,127755.9
2022-09-06,1.247,1.255,1.223,1.23,184213.2
2022-09-07,1.23,1.246,1.221,1.24,156538.3
2022-09-08,1.24,1.248,1.228,1.23,168212.1
2022-09-09,1.231,1.276,1.226,1.236,396898.4
2022-09-10,1.236,1.24,1.228,1.232,189709.4
2022-09-11,1.232,1.249,1.226,1.231,146601.4
2022-09-12,1.231,1.239,1.207,1.217,290220.8
2022-09-13,1.218,1.223,1.206,1.207,213309.8
2022-09-14,1.206,1.216,1.193,1.208,326409.3
2022-09-15,1.207,1.217,1.195,1.196,119409.5
2022-09-16,1.197,1.227,1.195,1.202,210175.5
2022-09-17,1.203,1.215,1.197,1.208,119276.0
2022-09-18,1.205,1.212,1.194,1.195,135222.2
2022-09-19,1.196,1.237,1.188,1.209,339212.5
2022-09-20,1.207,1.207,1.188,1.189,74466.0
2022-09-21,1.188,1.212,1.188,1.189,181755.7
2022-09-22,1.19,1.198,1.187,1.194,92570.1
2022-09-23,1.194,1.198,1.176,1.194,199765.2
2022-09-24,1.193,1.201,1.185,1.186,85249.8
2022-09-25,1.186,1.189,1.183,1.183,43203.1
2022-09-26,1.184,1.197,1.182,1.183,84696.2
2022-09-27,1.186,1.194,1.179,1.179,84677.0
2022-09-28,1.179,1.211,1.176,1.186,240235.1
2022-09-29,1.186,1.189,1.178,1.18,81460.3
2022-09-30,1.18,1.194,1.176,1.18,119555.4
2022-10-01,1.178,1.186,1.174,1.174,53096.4
2022-10-02,1.178,1.179,1.169,1.17,77574.7
2022-10-03,1.169,1.179,1.164,1.17,200040.0
2022-10-04,1.17,1.208,1.166,1.174,261457.1
2022-10-05,1.173,1.176,1.167,1.17,100157.0
2022-10-06,1.171,1.176,1.163,1.163,75030.5
2022-10-07,1.164,1.165,1.158,1.163,76159.8
2022-10-08,1.163,1.167,1.159,1.164,28596.0
2022-10-09,1.164,1.17,1.159,1.165,30452.0
2022-10-10,1.168,1.173,1.157,1.162,77156.9
2022-10-11,1.162,1.171,1.155,1.162,78899.5
2022-10-12,1.159,1.164,1.151,1.154,96033.6
2022-10-13,1.154,1.17,1.145,1.154,168136.9
2022-10-14,1.155,1.17,1.141,1.143,203132.6
2022-10-15,1.143,1.165,1.14,1.144,79208.4
2022-10-16,1.144,1.155,1.142,1.144,56836.9
2022-10-17,1.145,1.157,1.142,1.154,100913.8
2022-10-18,1.153,1.202,1.143,1.153,444907.7
2022-10-19,1.154,1.161,1.14,1.14,136111.5
2022-10-20,1.14,1.149,1.137,1.141,65389.8
2022-10-21,1.14,1.151,1.137,1.144,71781.0
2022-10-22,1.144,1.169,1.139,1.159,174103.4
2022-10-23,1.158,1.167,1.144,1.159,133682.8
2022-10-24,1.158,1.159,1.138,1.14,93727.6
2022-10-25,1.14,1.155,1.134,1.139,166636.2
2022-10-26,1.139,1.151,1.134,1.144,110840.1
2022-10-27,1.144,1.147,1.134,1.138,108962.9
2022-10-28,1.139,1.143,1.136,1.139,88419.3
2022-10-29,1.139,1.143,1.128,1.133,164742.8
2022-10-30,1.133,1.135,1.12,1.124,94274.4
2022-10-31,1.124,1.133,1.12,1.126,109883.1
2022-11-01,1.126,1.132,1.096,1.102,354744.3
2022-11-02,1.104,1.12,1.094,1.105,260840.3
2022-11-03,1.104,1.119,1.101,1.103,159506.9
2022-11-04,1.103,1.128,1.1,1.122,280988.9
2022-11-05,1.122,1.127,1.106,1.108,349487.3
2022-11-06,1.109,1.119,1.094,1.095,189547.4
2022-11-07,1.095,1.11,1.093,1.102,248171.0
2022-11-08,1.1,1.12,1.077,1.085,1201608.2
2022-11-09,1.085,1.09,1.057,1.06,736303.2
2022-11-10,1.06,1.125,1.054,1.063,795159.7
2022-11-11,1.062,1.07,1.047,1.054,245473.1
2022-11-12,1.054,1.059,1.043,1.044,286818.3
2022-11-13,1.046,1.047,1.037,1.039,191261.7
2022-11-14,1.041,1.051,1.035,1.039,146282.5
2022-11-15,1.037,1.046,1.037,1.039,78817.2
2022-11-16,1.039,1.04,1.016,1.026,211821.7
2022-11-17,1.026,1.042,1.012,1.015,301636.2
2022-11-18,1.015,1.028,1.015,1.023,68505.8
2022-11-19,1.024,1.024,1.017,1.023,63141.6
2022-11-20,1.024,1.034,1.017,1.019,167491.2
2022-11-21,1.017,1.025,1.016,1.021,189287.7
2022-11-22,1.02,1.029,1.018,1.02,97184.6
2022-11-23,1.021,1.039,1.02,1.034,292434.5
2022-11-24,1.033,1.034,1.022,1.027,99547.9
2022-11-25,1.028,1.029,1.016,1.018,62485.1
2022-11-26,1.019,1.059,1.018,1.028,720015.0
2022-11-27,1.028,1.044,1.026,1.028,103019.4
2022-11-28,1.028,1.039,1.018,1.026,191976.3
2022-11-29,1.026,1.097,1.02,1.056,937371.4
2022-11-30,1.058,1.076,1.047,1.058,659473.1
2022-12-01,1.058,1.067,1.043,1.051,219774.2
2022-12-02,1.048,1.055,1.009,1.028,224110.5
2022-12-03,1.028,1.031,1.014,1.018,120942.6
2022-12-04,1.019,1.05,1.016,1.036,291785.6
2022-12-05,1.033,1.12,1.027,1.044,2512460.9
2022-12-06,1.046,1.07,1.027,1.033,1313818.2
2022-12-07,1.033,1.05,1.013,1.02,844488.1
2022-12-08,1.02,1.035,1.013,1.024,244405.8
2022-12-09,1.023,1.029,1.014,1.022,137692.9
2022-12-10,1.022,1.035,1.013,1.015,248082.6
2022-12-11,1.015,1.025,1.014,1.014,84785.2
2022-12-12,1.014,1.831,1.001,1.055,7055045.2
2022-12-13,1.055,1.059,1.014,1.022,1092276.0
