date,open,high,low,close,volume
2022-08-23,0.6239,0.6251,0.5961,0.6163,3552281.2
2022-08-24,0.6166,0.6251,0.5887,0.5993,4297686.3
2022-08-25,0.5991,0.6138,0.597,0.603,3954929.0
2022-08-26,0.6017,0.6034,0.544,0.551,6253326.4
2022-08-27,0.5506,0.5636,0.5353,0.5491,4029168.3
2022-08-28,0.5489,0.5565,0.5242,0.5275,2417785.1
2022-08-29,0.5276,0.56,0.5226,0.5511,3690423.5
2022-08-30,0.551,0.56,0.5138,0.5183,5463376.6
2022-08-31,0.5184,0.5351,0.5126,0.5267,4504454.2
2022-09-01,0.5272,0.5316,0.511,0.5287,3497322.8
2022-09-02,0.5286,0.5746,0.5201,0.5382,6878735.4
2022-09-03,0.538,0.538,0.52,0.5255,3058915.8
2022-09-04,0.5255,0.53,0.517,0.5276,2737545.2
2022-09-05,0.5279,0.5299,0.5101,0.5186,3058960.2
2022-09-06,0.5189,0.5276,0.4756,0.4759,6039394.9
2022-09-07,0.4763,0.5054,0.4701,0.4963,3959314.8
2022-09-08,0.4965,0.5099,0.4789,0.4987,5579035.4
2022-09-09,0.499,0.63,0.4972,0.5597,22388499.3
2022-09-10,0.5595,0.609,0.5422,0.5622,15655822.3
2022-09-11,0.5625,0.6136,0.5606,0.5952,9652275.4
2022-09-12,0.5955,0.6287,0.5652,0.5698,10990393.9
2022-09-13,0.5696,0.572,0.5141,0.5215,10583096.8
2022-09-14,0.5215,0.5247,0.4926,0.5136,7937548.9
2022-09-15,0.5136,0.5137,0.4833,0.4856,4730100.9
2022-09-16,0.4855,0.4965,0.473,0.4897,6766472.9
2022-09-17,0.4894,0.5343,0.4893,0.5161,6275644.3
2022-09-18,0.516,0.5228,0.4702,0.4745,6694894.7
2022-09-19,0.4748,0.4874,0.4534,0.4734,5823774.7
2022-09-20,0.4734,0.4814,0.455,0.456,4760073.2
2022-09-21,0.456,0.4775,0.4346,0.4434,6481929.9
2022-09-22,0.4431,0.4742,0.4392,0.4663,4261231.6
2022-09-23,0.4671,0.4737,0.4444,0.4632,3836092.7
2022-09-24,0.4639,0.4685,0.4502,0.4524,2455736.9
2022-09-25,0.4523,0.4885,0.4514,0.4636,4815377.8
2022-09-26,0.4641,0.4823,0.4463,0.4687,5440745.9
2022-09-27,0.469,0.4887,0.4503,0.4593,5350789.8
2022-09-28,0.4594,0.4625,0.4395,0.4542,4898767.2
2022-09-29,0.4541,0.4723,0.4432,0.4555,6446794.4
2022-09-30,0.4558,0.4598,0.4238,0.4429,6928642.3
2022-10-01,0.4433,0.4848,0.4396,0.4705,6466299.9
2022-10-02,0.4706,0.4849,0.446,0.4477,17541874.4
2022-10-03,0.4479,0.466,0.438,0.4579,4860723.5
2022-10-04,0.4579,0.4816,0.4556,0.4714,4784572.9
2022-10-05,0.4718,0.4724,0.4514,0.4676,3863400.1
2022-10-06,0.468,0.5399,0.4667,0.4836,25635739.1
2022-10-07,0.4839,0.4891,0.4621,0.4861,5350823.7
2022-10-08,0.4867,0.51,0.477,0.4904,6312658.5
2022-10-09,0.4907,0.507,0.4867,0.4917,2885355.6
2022-10-10,0.4922,0.501,0.4671,0.4684,3414080.3
2022-10-11,0.4685,0.475,0.4512,0.4533,3735192.6
2022-10-12,0.4533,0.4656,0.4473,0.4573,2319391.1
2022-10-13,0.4573,0.4574,0.4151,0.4384,6827346.9
2022-10-14,0.4387,0.4483,0.4262,0.4315,2932018.7
2022-10-15,0.4315,0.4663,0.4268,0.4546,5199582.0
2022-10-16,0.4554,0.5554,0.4542,0.4653,20816511.0
2022-10-17,0.4651,0.4888,0.45,0.4796,5255793.4
2022-10-18,0.4805,0.4866,0.4625,0.481,3964422.0
2022-10-19,0.4805,0.4849,0.4644,0.4645,4880112.8
2022-10-20,0.4651,0.4757,0.4588,0.4694,2870140.5
2022-10-21,0.4691,0.4742,0.4447,0.4567,3725619.0
2022-10-22,0.4561,0.4635,0.452,0.4622,2107764.8
2022-10-23,0.4621,0.4636,0.4492,0.4617,2120172.6
2022-10-24,0.4616,0.4629,0.4488,0.4496,2048068.4
2022-10-25,0.4499,0.48,0.4475,0.462,3876600.6
2022-10-26,0.4621,0.4962,0.4621,0.4776,4871806.3
2022-10-27,0.4776,0.494,0.4597,0.4612,3343622.2
2022-10-28,0.4607,0.4731,0.453,0.4728,2400425.7
2022-10-29,0.4729,0.5,0.4702,0.486,3893333.3
2022-10-30,0.4864,0.4992,0.4716,0.4812,3733623.6
2022-10-31,0.4814,0.4919,0.471,0.4766,3481443.7
2022-11-01,0.4769,0.4928,0.47,0.4861,3550242.7
2022-11-02,0.4868,0.49,0.468,0.4718,3656530.3
2022-11-03,0.4722,0.5099,0.4716,0.4936,5368216.9
2022-11-04,0.4941,0.542,0.4913,0.5308,7432083.0
2022-11-05,0.531,0.5476,0.5203,0.5312,5738373.3
2022-11-06,0.5319,0.5387,0.497,0.497,3545141.1
2022-11-07,0.4971,0.5179,0.49,0.5089,3889891.4
2022-11-08,0.508,0.5178,0.4032,0.441,10267054.4
